country;variable;percentile;year;value;age;pop
AD;ansrnf999i;p0p100;2012;4292.1;999;i
AD;ansrnf999i;p0p100;2013;1001.8;999;i
AD;ansrnf999i;p0p100;2014;2542.3;999;i
AD;ansrnf999i;p0p100;2015;3625.5;999;i
AD;ansrnf999i;p0p100;2016;4685.2;999;i
AD;aconfc999i;p0p100;1970;4769.3;999;i
AD;aconfc999i;p0p100;1971;4821.8;999;i
AD;aconfc999i;p0p100;1972;4874.5;999;i
AD;aconfc999i;p0p100;1973;4914.3;999;i
AD;aconfc999i;p0p100;1974;4927.0;999;i
AD;aconfc999i;p0p100;1975;4910.1;999;i
AD;aconfc999i;p0p100;1976;4875.6;999;i
AD;aconfc999i;p0p100;1977;4822.6;999;i
AD;aconfc999i;p0p100;1978;4747.4;999;i
AD;aconfc999i;p0p100;1979;4638.5;999;i
AD;aconfc999i;p0p100;1980;4504.8;999;i
AD;aconfc999i;p0p100;1981;4355.8;999;i
AD;aconfc999i;p0p100;1982;4208.2;999;i
AD;aconfc999i;p0p100;1983;4077.7;999;i
AD;aconfc999i;p0p100;1984;3976.1;999;i
AD;aconfc999i;p0p100;1985;3909.9;999;i
AD;aconfc999i;p0p100;1986;3881.1;999;i
AD;aconfc999i;p0p100;1987;3881.4;999;i
AD;aconfc999i;p0p100;1988;3890.7;999;i
AD;aconfc999i;p0p100;1989;3890.1;999;i
AD;aconfc999i;p0p100;1990;3863.4;999;i
AD;aconfc999i;p0p100;1991;3801.5;999;i
AD;aconfc999i;p0p100;1992;3716.8;999;i
AD;aconfc999i;p0p100;1993;3643.1;999;i
AD;aconfc999i;p0p100;1994;3619.9;999;i
AD;aconfc999i;p0p100;1995;3668.3;999;i
AD;aconfc999i;p0p100;1996;3801.3;999;i
AD;aconfc999i;p0p100;1997;4007.9;999;i
AD;aconfc999i;p0p100;1998;4248.6;999;i
AD;aconfc999i;p0p100;1999;4483.4;999;i
AD;aconfc999i;p0p100;2000;4688.3;999;i
AD;aconfc999i;p0p100;2001;4858.3;999;i
AD;aconfc999i;p0p100;2002;4999.0;999;i
AD;aconfc999i;p0p100;2003;5125.5;999;i
AD;aconfc999i;p0p100;2004;5239.6;999;i
AD;aconfc999i;p0p100;2005;5320.6;999;i
AD;aconfc999i;p0p100;2006;5330.7;999;i
AD;aconfc999i;p0p100;2007;5240.6;999;i
AD;aconfc999i;p0p100;2008;5069.2;999;i
AD;aconfc999i;p0p100;2009;4875.7;999;i
AD;aconfc999i;p0p100;2010;4713.5;999;i
AD;aconfc999i;p0p100;2011;4612.1;999;i
AD;aconfc999i;p0p100;2012;4579.8;999;i
AD;aconfc999i;p0p100;2013;4625.0;999;i
AD;aconfc999i;p0p100;2014;4736.1;999;i
AD;aconfc999i;p0p100;2015;4876.5;999;i
AD;aconfc999i;p0p100;2016;5000.1;999;i
AD;aconfc999i;p0p100;2017;5058.4;999;i
AD;aconfc999i;p0p100;2018;5015.9;999;i
AD;aconfc999i;p0p100;2019;4852.6;999;i
AD;aconfc999i;p0p100;2020;4581.8;999;i
AD;aconfc999i;p0p100;2021;4275.3;999;i
AD;mcfcnf999i;p0p100;2012;225133312.0;999;i
AD;mcfcnf999i;p0p100;2013;222797072.0;999;i
AD;mcfcnf999i;p0p100;2014;223738928.0;999;i
AD;mcfcnf999i;p0p100;2015;226877536.0;999;i
AD;mcfcnf999i;p0p100;2016;230494768.0;999;i
AD;aptfrn999i;p0p100;1970;0.0;999;i
AD;aptfrn999i;p0p100;1971;0.0;999;i
AD;aptfrn999i;p0p100;1972;-0.1;999;i
AD;aptfrn999i;p0p100;1973;-0.2;999;i
AD;aptfrn999i;p0p100;1974;-0.2;999;i
AD;aptfrn999i;p0p100;1975;-0.3;999;i
AD;aptfrn999i;p0p100;1976;-0.3;999;i
AD;aptfrn999i;p0p100;1977;-0.3;999;i
AD;aptfrn999i;p0p100;1978;-0.4;999;i
AD;aptfrn999i;p0p100;1979;-0.5;999;i
AD;aptfrn999i;p0p100;1980;-0.4;999;i
AD;aptfrn999i;p0p100;1981;-0.4;999;i
AD;aptfrn999i;p0p100;1982;-0.4;999;i
AD;aptfrn999i;p0p100;1983;-0.4;999;i
AD;aptfrn999i;p0p100;1984;-0.5;999;i
AD;aptfrn999i;p0p100;1985;-0.5;999;i
AD;aptfrn999i;p0p100;1986;-0.6;999;i
AD;aptfrn999i;p0p100;1987;-0.6;999;i
AD;aptfrn999i;p0p100;1988;-0.7;999;i
AD;aptfrn999i;p0p100;1989;-0.7;999;i
AD;aptfrn999i;p0p100;1990;-0.8;999;i
AD;aptfrn999i;p0p100;1991;-0.8;999;i
AD;aptfrn999i;p0p100;1992;-0.8;999;i
AD;aptfrn999i;p0p100;1993;-0.9;999;i
AD;aptfrn999i;p0p100;1994;-0.9;999;i
AD;aptfrn999i;p0p100;1995;-1.0;999;i
AD;aptfrn999i;p0p100;1996;-0.9;999;i
AD;aptfrn999i;p0p100;1997;-1.0;999;i
AD;aptfrn999i;p0p100;1998;-1.5;999;i
AD;aptfrn999i;p0p100;1999;-1.4;999;i
AD;aptfrn999i;p0p100;2000;-1.6;999;i
AD;aptfrn999i;p0p100;2001;-1.3;999;i
AD;aptfrn999i;p0p100;2002;-14.7;999;i
AD;aptfrn999i;p0p100;2003;-0.2;999;i
