country;variable;percentile;year;value;age;pop
AG;enfcar999i;p0p100;1990;0.633708561970114;999;i
AG;enfcar999i;p0p100;1991;0.644019601721446;999;i
AG;enfcar999i;p0p100;1992;0.654330641472778;999;i
AG;enfcar999i;p0p100;1993;0.664641681224109;999;i
AG;enfcar999i;p0p100;1994;0.674952720975444;999;i
AG;enfcar999i;p0p100;1995;0.685263760726776;999;i
AG;enfcar999i;p0p100;1996;0.695574800478108;999;i
AG;enfcar999i;p0p100;1997;0.70588584022944;999;i
AG;enfcar999i;p0p100;1998;0.716196879980771;999;i
AG;enfcar999i;p0p100;1999;0.726507919732103;999;i
AG;enfcar999i;p0p100;2000;0.736818959483438;999;i
AG;enfcar999i;p0p100;2001;0.74712999923477;999;i
AG;enfcar999i;p0p100;2002;0.757441038986101;999;i
AG;enfcar999i;p0p100;2003;0.767752078737433;999;i
AG;enfcar999i;p0p100;2004;0.778063118488765;999;i
AG;enfcar999i;p0p100;2005;0.7883741582401;999;i
AG;enfcar999i;p0p100;2006;0.798685197991432;999;i
AG;enfcar999i;p0p100;2007;0.808996237742764;999;i
AG;enfcar999i;p0p100;2008;0.819307277494095;999;i
AG;enfcar999i;p0p100;2009;0.829618317245427;999;i
AG;enfcar999i;p0p100;2010;0.839929356996759;999;i
AG;enfcar999i;p0p100;2011;0.850240396748094;999;i
AG;enfcar999i;p0p100;2012;0.860551436499425;999;i
AG;enfcar999i;p0p100;2013;0.870862476250757;999;i
AG;enfcar999i;p0p100;2014;0.881173516002089;999;i
AG;enfcar999i;p0p100;2015;0.891484555753421;999;i
AG;enfcar999i;p0p100;2016;0.901795595504753;999;i
AG;enfcar999i;p0p100;2017;0.912106635256087;999;i
AG;enfcar999i;p0p100;2018;0.922417675007419;999;i
AG;enfcar999i;p0p100;2019;0.932728714758751;999;i
AG;enfcar999i;p0p100;2020;0.886092279020814;999;i
AG;khfgho999i;p0p100;1990;1.46070849895477;999;i
AG;khfgho999i;p0p100;1991;1.45837068557739;999;i
AG;khfgho999i;p0p100;1992;1.44679045677185;999;i
AG;khfgho999i;p0p100;1993;1.44263112545013;999;i
AG;khfgho999i;p0p100;1994;1.41035604476929;999;i
AG;khfgho999i;p0p100;1995;1.41952228546143;999;i
AG;khfgho999i;p0p100;1996;1.42515933513641;999;i
AG;khfgho999i;p0p100;1997;1.416876912117;999;i
AG;khfgho999i;p0p100;1998;1.39035058021545;999;i
