country;variable;percentile;year;value;age;pop
AI;apweal999i;p0p100;1995;-24143.9;999;i
AI;apweal999i;p0p100;1996;-25029.9;999;i
AI;apweal999i;p0p100;1997;-28976.5;999;i
AI;apweal999i;p0p100;1998;-30166.4;999;i
AI;apweal999i;p0p100;1999;-31330.9;999;i
AI;apweal999i;p0p100;2000;-33345.6;999;i
AI;apweal999i;p0p100;2001;-34038.3;999;i
AI;apweal999i;p0p100;2002;-30535.0;999;i
AI;apweal999i;p0p100;2003;-30177.4;999;i
AI;apweal999i;p0p100;2004;-30923.2;999;i
AI;apweal999i;p0p100;2005;-30373.2;999;i
AI;apweal999i;p0p100;2006;-31042.8;999;i
AI;apweal999i;p0p100;2007;-32741.0;999;i
AI;apweal999i;p0p100;2008;-40288.0;999;i
AI;apweal999i;p0p100;2009;-51166.1;999;i
AI;apweal999i;p0p100;2010;-49851.1;999;i
AI;apweal999i;p0p100;2011;-42681.3;999;i
AI;apweal999i;p0p100;2012;-42991.0;999;i
AI;apweal999i;p0p100;2013;-59264.2;999;i
AI;apweal999i;p0p100;2014;-66086.2;999;i
AI;apweal999i;p0p100;2015;-61707.9;999;i
AI;apweal999i;p0p100;2016;-25654.2;999;i
AI;apweal999i;p0p100;2017;2917.5;999;i
AI;apweal999i;p0p100;2018;6626.6;999;i
AI;apweal999i;p0p100;2019;10929.3;999;i
AI;apweal999i;p0p100;2020;9572.6;999;i
AI;apweal999i;p0p100;2021;8299.1;999;i
AI;aconfc999i;p0p100;1970;1811.5;999;i
AI;aconfc999i;p0p100;1971;1861.1;999;i
AI;aconfc999i;p0p100;1972;1916.4;999;i
AI;aconfc999i;p0p100;1973;1969.4;999;i
AI;aconfc999i;p0p100;1974;2014.7;999;i
AI;aconfc999i;p0p100;1975;2063.4;999;i
AI;aconfc999i;p0p100;1976;2120.6;999;i
AI;aconfc999i;p0p100;1977;2192.5;999;i
AI;aconfc999i;p0p100;1978;2294.2;999;i
AI;aconfc999i;p0p100;1979;2415.9;999;i
AI;aconfc999i;p0p100;1980;2536.6;999;i
AI;aconfc999i;p0p100;1981;2656.1;999;i
AI;aconfc999i;p0p100;1982;2782.2;999;i
AI;aconfc999i;p0p100;1983;2933.9;999;i
AI;aconfc999i;p0p100;1984;3133.9;999;i
AI;aconfc999i;p0p100;1985;3383.6;999;i
AI;aconfc999i;p0p100;1986;3670.4;999;i
AI;aconfc999i;p0p100;1987;3972.8;999;i
AI;aconfc999i;p0p100;1988;4291.4;999;i
AI;aconfc999i;p0p100;1989;4612.8;999;i
AI;aconfc999i;p0p100;1990;4936.5;999;i
AI;aconfc999i;p0p100;1991;5244.6;999;i
AI;aconfc999i;p0p100;1992;5601.2;999;i
AI;aconfc999i;p0p100;1993;5958.4;999;i
AI;aconfc999i;p0p100;1994;6254.6;999;i
AI;aconfc999i;p0p100;1995;6473.1;999;i
AI;aconfc999i;p0p100;1996;6656.4;999;i
AI;aconfc999i;p0p100;1997;6853.9;999;i
AI;aconfc999i;p0p100;1998;7022.6;999;i
AI;aconfc999i;p0p100;1999;7138.9;999;i
AI;aconfc999i;p0p100;2000;7206.5;999;i
AI;aconfc999i;p0p100;2001;7293.9;999;i
AI;aconfc999i;p0p100;2002;7491.0;999;i
AI;aconfc999i;p0p100;2003;7905.3;999;i
AI;aconfc999i;p0p100;2004;8575.5;999;i
AI;aconfc999i;p0p100;2005;9426.1;999;i
AI;aconfc999i;p0p100;2006;10260.9;999;i
AI;aconfc999i;p0p100;2007;10756.7;999;i
AI;aconfc999i;p0p100;2008;10709.1;999;i
AI;aconfc999i;p0p100;2009;10216.3;999;i
AI;aconfc999i;p0p100;2010;9641.8;999;i
AI;aconfc999i;p0p100;2011;9162.8;999;i
AI;aconfc999i;p0p100;2012;8825.8;999;i
AI;aconfc999i;p0p100;2013;8664.9;999;i
AI;aconfc999i;p0p100;2014;8630.3;999;i
AI;aconfc999i;p0p100;2015;8611.7;999;i
AI;aconfc999i;p0p100;2016;8514.1;999;i
AI;aconfc999i;p0p100;2017;8244.2;999;i
AI;aconfc999i;p0p100;2018;7739.7;999;i
AI;aconfc999i;p0p100;2019;6893.3;999;i
AI;aconfc999i;p0p100;2020;5767.4;999;i
AI;aconfc999i;p0p100;2021;4676.6;999;i
AI;aptfor999i;p0p100;1990;1137.0;999;i
AI;aptfor999i;p0p100;1991;520.2;999;i
AI;aptfor999i;p0p100;1992;535.7;999;i
AI;aptfor999i;p0p100;1993;576.4;999;i
AI;aptfor999i;p0p100;1994;727.0;999;i
AI;aptfor999i;p0p100;1995;961.0;999;i
AI;aptfor999i;p0p100;1996;1006.4;999;i
AI;aptfor999i;p0p100;1997;1396.4;999;i
AI;aptfor999i;p0p100;1998;628.9;999;i
AI;aptfor999i;p0p100;1999;1411.7;999;i
AI;aptfor999i;p0p100;2000;1472.8;999;i
AI;aptfor999i;p0p100;2001;673.1;999;i
AI;aptfor999i;p0p100;2002;444.8;999;i
AI;aptfor999i;p0p100;2003;447.2;999;i
AI;aptfor999i;p0p100;2004;1159.5;999;i
AI;aptfor999i;p0p100;2005;2575.9;999;i
AI;aptfor999i;p0p100;2006;3171.7;999;i
AI;aptfor999i;p0p100;2007;2218.7;999;i
AI;aptfor999i;p0p100;2008;627.0;999;i
AI;aptfor999i;p0p100;2009;555.6;999;i
AI;aptfor999i;p0p100;2010;473.8;999;i
AI;aptfor999i;p0p100;2011;412.7;999;i
AI;aptfor999i;p0p100;2012;292.6;999;i
AI;aptfor999i;p0p100;2013;281.8;999;i
AI;aptfor999i;p0p100;2014;1386.1;999;i
AI;aptfor999i;p0p100;2015;1490.8;999;i
AI;aptfor999i;p0p100;2016;1397.6;999;i
AI;aptfor999i;p0p100;2017;1699.3;999;i
AI;aptfor999i;p0p100;2018;1882.9;999;i
AI;mptfrx999i;p0p100;1990;10118193.0;999;i
AI;mptfrx999i;p0p100;1991;4752051.0;999;i
AI;mptfrx999i;p0p100;1992;4999155.0;999;i
AI;mptfrx999i;p0p100;1993;5471401.0;999;i
AI;mptfrx999i;p0p100;1994;7026005.0;999;i
AI;mptfrx999i;p0p100;1995;9481022.0;999;i
AI;mptfrx999i;p0p100;1996;10182099.0;999;i
AI;mptfrx999i;p0p100;1997;14505802.0;999;i
AI;mptfrx999i;p0p100;1998;6719330.0;999;i
AI;mptfrx999i;p0p100;1999;15487771.0;999;i
AI;mptfrx999i;p0p100;2000;16571415.0;999;i
AI;mptfrx999i;p0p100;2001;7750832.0;999;i
AI;mptfrx999i;p0p100;2002;5231631.0;999;i
AI;mptfrx999i;p0p100;2003;5366624.0;999;i
AI;mptfrx999i;p0p100;2004;14184720.0;999;i
AI;mptfrx999i;p0p100;2005;32078276.0;999;i
AI;mptfrx999i;p0p100;2006;40156744.0;999;i
AI;mptfrx999i;p0p100;2007;28549964.0;999;i
AI;mptfrx999i;p0p100;2008;8191037.0;999;i
AI;mptfrx999i;p0p100;2009;7365826.0;999;i
AI;mptfrx999i;p0p100;2010;6366868.0;999;i
AI;mptfrx999i;p0p100;2011;5620440.0;999;i
AI;mptfrx999i;p0p100;2012;4036843.0;999;i
AI;mptfrx999i;p0p100;2013;3932383.0;999;i
