country;variable;percentile;year;value;age;pop
AS;xlcyux999i;p0p100;1960;0.40620536870828;999;i
AS;xlcyux999i;p0p100;1961;0.40620536870828;999;i
AS;xlcyux999i;p0p100;1962;0.40620536870828;999;i
AS;xlcyux999i;p0p100;1963;0.40620536870828;999;i
AS;xlcyux999i;p0p100;1964;0.40620536870828;999;i
AS;xlcyux999i;p0p100;1965;0.40620536870828;999;i
AS;xlcyux999i;p0p100;1966;0.40620536870828;999;i
AS;xlcyux999i;p0p100;1967;0.40620536870828;999;i
AS;xlcyux999i;p0p100;1968;0.40620536870828;999;i
AS;xlcyux999i;p0p100;1969;0.40620536870828;999;i
AS;xlcyux999i;p0p100;1970;0.40620536870828;999;i
AS;xlcyux999i;p0p100;1971;0.40620536870828;999;i
AS;xlcyux999i;p0p100;1972;0.445421123431223;999;i
AS;xlcyux999i;p0p100;1973;0.502660196793862;999;i
AS;xlcyux999i;p0p100;1974;0.509916048055314;999;i
AS;xlcyux999i;p0p100;1975;0.537685475384821;999;i
AS;xlcyux999i;p0p100;1976;0.515088139512207;999;i
AS;xlcyux999i;p0p100;1977;0.538264301726479;999;i
AS;xlcyux999i;p0p100;1978;0.593969031447489;999;i
AS;xlcyux999i;p0p100;1979;0.643112081144006;999;i
AS;xlcyux999i;p0p100;1980;0.667384761356036;999;i
AS;xlcyux999i;p0p100;1981;0.586667964683862;999;i
AS;xlcyux999i;p0p100;1982;0.528389957287165;999;i
AS;xlcyux999i;p0p100;1983;0.506156127228098;999;i
AS;xlcyux999i;p0p100;1984;0.431026743507321;999;i
AS;xlcyux999i;p0p100;1985;0.34052309454441;999;i
AS;xlcyux999i;p0p100;1986;0.289620715508804;999;i
AS;xlcyux999i;p0p100;1987;0.268665536867124;999;i
AS;xlcyux999i;p0p100;1988;0.268665536867124;999;i
AS;xlcyux999i;p0p100;1989;0.26559660648623;999;i
AS;xlcyux999i;p0p100;1990;0.209064695200882;999;i
AS;xlcyux999i;p0p100;1991;0.187850172532849;999;i
AS;xlcyux999i;p0p100;1992;0.181337088131133;999;i
AS;xlcyux999i;p0p100;1993;0.173552111761776;999;i
AS;xlcyux999i;p0p100;1994;0.116026200878194;999;i
AS;xlcyux999i;p0p100;1995;0.1197401649748;999;i
AS;xlcyux999i;p0p100;1996;0.120276520742497;999;i
AS;xlcyux999i;p0p100;1997;0.120629926731115;999;i
AS;xlcyux999i;p0p100;1998;0.120788142816184;999;i
AS;xlcyux999i;p0p100;1999;0.120798481724405;999;i
