country;variable;percentile;year;value;age;pop
BB;entcar999i;p0p100;1980;0.967;999;i
BB;entcar999i;p0p100;1981;0.983;999;i
BB;entcar999i;p0p100;1982;0.931;999;i
BB;entcar999i;p0p100;1983;1.15;999;i
BB;entcar999i;p0p100;1984;1.09;999;i
BB;entcar999i;p0p100;1985;1.25;999;i
BB;entcar999i;p0p100;1986;1.35;999;i
BB;entcar999i;p0p100;1987;1.39;999;i
BB;entcar999i;p0p100;1988;1.39;999;i
BB;entcar999i;p0p100;1989;1.46;999;i
BB;entcar999i;p0p100;1990;1.57;999;i
BB;entcar999i;p0p100;1991;1.97;999;i
BB;entcar999i;p0p100;1992;1.87;999;i
BB;entcar999i;p0p100;1993;2.62;999;i
BB;entcar999i;p0p100;1994;1.92;999;i
BB;entcar999i;p0p100;1995;2.14;999;i
BB;entcar999i;p0p100;1996;2.16;999;i
BB;entcar999i;p0p100;1997;2.22;999;i
BB;entcar999i;p0p100;1998;2.79;999;i
BB;entcar999i;p0p100;1999;2.97;999;i
BB;entcar999i;p0p100;2000;2.91;999;i
BB;entcar999i;p0p100;2001;2.99;999;i
BB;entcar999i;p0p100;2002;2.99;999;i
BB;entcar999i;p0p100;2003;3.09;999;i
BB;entcar999i;p0p100;2004;3.14;999;i
BB;entcar999i;p0p100;2005;3.27;999;i
BB;entcar999i;p0p100;2006;3.31;999;i
BB;entcar999i;p0p100;2007;3.35;999;i
BB;entcar999i;p0p100;2008;3.97;999;i
BB;entcar999i;p0p100;2009;3.96;999;i
BB;entcar999i;p0p100;2010;3.61;999;i
BB;entcar999i;p0p100;2011;3.75;999;i
BB;entcar999i;p0p100;2012;3.62;999;i
BB;entcar999i;p0p100;2013;3.56;999;i
BB;entcar999i;p0p100;2014;3.12;999;i
BB;entcar999i;p0p100;2015;3.2;999;i
BB;entcar999i;p0p100;2016;3.29;999;i
BB;entcar999i;p0p100;2017;3.19;999;i
BB;entcar999i;p0p100;2018;3.32;999;i
BB;entcar999i;p0p100;2019;3.36258698384643;999;i
BB;entcar999i;p0p100;2020;3.19445763465411;999;i
BB;khfgho999i;p0p100;1990;0.895395696163177;999;i
BB;khfgho999i;p0p100;1991;0.912525773048401;999;i
BB;khfgho999i;p0p100;1992;0.93335497379303;999;i
BB;khfgho999i;p0p100;1993;0.936332702636719;999;i
BB;khfgho999i;p0p100;1994;0.918055653572083;999;i
BB;khfgho999i;p0p100;1995;0.930834829807281;999;i
BB;khfgho999i;p0p100;1996;0.937818348407745;999;i
BB;khfgho999i;p0p100;1997;0.957298934459686;999;i
BB;khfgho999i;p0p100;1998;0.958980798721313;999;i
BB;khfgho999i;p0p100;1999;0.964605808258057;999;i
BB;khfgho999i;p0p100;2000;0.97956770658493;999;i
BB;khfgho999i;p0p100;2001;0.984915554523468;999;i
BB;khfgho999i;p0p100;2002;0.984289824962616;999;i
BB;khfgho999i;p0p100;2003;0.972531914710999;999;i
BB;khfgho999i;p0p100;2004;0.985726654529572;999;i
BB;khfgho999i;p0p100;2005;0.99271422624588;999;i
BB;khfgho999i;p0p100;2006;0.992911815643311;999;i
BB;khfgho999i;p0p100;2007;0.997373819351196;999;i
BB;khfgho999i;p0p100;2008;1.01984667778015;999;i
BB;khfgho999i;p0p100;2009;1.02433121204376;999;i
BB;khfgho999i;p0p100;2010;1.02662825584412;999;i
BB;khfgho999i;p0p100;2011;1.02274227142334;999;i
BB;khfgho999i;p0p100;2012;1.04076111316681;999;i
BB;khfgho999i;p0p100;2013;1.03704416751862;999;i
BB;khfgho999i;p0p100;2014;1.04466664791107;999;i
BB;khfgho999i;p0p100;2015;1.05693769454956;999;i
BB;khfgho999i;p0p100;2016;1.06476414203644;999;i
BB;khfgho999i;p0p100;2017;1.07269978523254;999;i
BB;khfgho999i;p0p100;2018;1.08071291446686;999;i
BB;khfgho999i;p0p100;2019;1.08879816532135;999;i
BB;khfgho999i;p0p100;2020;1.03309845924377;999;i
BB;kntona999i;p0p100;1980;8.6095552444458;999;i
BB;kntona999i;p0p100;1981;8.23930740356445;999;i
BB;kntona999i;p0p100;1982;8.18239784240723;999;i
BB;kntona999i;p0p100;1983;8.08515357971191;999;i
BB;kntona999i;p0p100;1984;8.21927452087402;999;i
BB;kntona999i;p0p100;1985;8.19470596313477;999;i
BB;kntona999i;p0p100;1986;8.2455940246582;999;i
BB;kntona999i;p0p100;1987;8.02266502380371;999;i
BB;kntona999i;p0p100;1988;7.99298763275146;999;i
BB;kntona999i;p0p100;1989;7.88591957092285;999;i
BB;kntona999i;p0p100;1990;7.89465618133545;999;i
BB;kntona999i;p0p100;1991;7.97999286651611;999;i
BB;kntona999i;p0p100;1992;8.02629280090332;999;i
BB;kntona999i;p0p100;1993;8.14782810211182;999;i
BB;kntona999i;p0p100;1994;8.34299087524414;999;i
BB;kntona999i;p0p100;1995;8.19687557220459;999;i
BB;kntona999i;p0p100;1996;8.3505277633667;999;i
BB;kntona999i;p0p100;1997;8.31509399414062;999;i
BB;kntona999i;p0p100;1998;8.20536422729492;999;i
BB;kntona999i;p0p100;1999;8.17153549194336;999;i
BB;kntona999i;p0p100;2000;8.21317386627197;999;i
BB;kntona999i;p0p100;2001;8.11009216308594;999;i
BB;kntona999i;p0p100;2002;7.97293567657471;999;i
BB;kntona999i;p0p100;2003;7.91021013259888;999;i
BB;kntona999i;p0p100;2004;7.91909456253052;999;i
BB;kntona999i;p0p100;2005;7.96169710159302;999;i
BB;kntona999i;p0p100;2006;7.85650682449341;999;i
BB;kntona999i;p0p100;2007;7.85791158676147;999;i
BB;kntona999i;p0p100;2008;7.82293748855591;999;i
BB;kntona999i;p0p100;2009;7.82628488540649;999;i
BB;kntona999i;p0p100;2010;7.76235151290894;999;i
BB;kntona999i;p0p100;2011;7.77420854568481;999;i
BB;kntona999i;p0p100;2012;7.78989124298096;999;i
BB;kntona999i;p0p100;2013;7.77358818054199;999;i
BB;kntona999i;p0p100;2014;7.7240138053894;999;i
BB;kntona999i;p0p100;2015;7.74558067321777;999;i
BB;kntona999i;p0p100;2016;7.73278856277466;999;i
BB;kntona999i;p0p100;2017;7.75594615936279;999;i
BB;kntona999i;p0p100;2018;7.70999240875244;999;i
BB;kntona999i;p0p100;2019;7.7984447479248;999;i
BB;kntona999i;p0p100;2020;7.39949941635132;999;i
BB;enfgho999i;p0p100;1990;0.40344609051338;999;i
BB;enfgho999i;p0p100;1991;0.408179320673428;999;i
BB;enfgho999i;p0p100;1992;0.412912550833477;999;i
BB;enfgho999i;p0p100;1993;0.417645780993523;999;i
BB;enfgho999i;p0p100;1994;0.422379011153571;999;i
BB;enfgho999i;p0p100;1995;0.427112241313618;999;i
BB;enfgho999i;p0p100;1996;0.431845471473665;999;i
BB;enfgho999i;p0p100;1997;0.436578701633712;999;i
BB;enfgho999i;p0p100;1998;0.44131193179376;999;i
BB;enfgho999i;p0p100;1999;0.446045161953806;999;i
BB;enfgho999i;p0p100;2000;0.450778392113854;999;i
BB;enfgho999i;p0p100;2001;0.455511622273901;999;i
BB;enfgho999i;p0p100;2002;0.460244852433949;999;i
BB;enfgho999i;p0p100;2003;0.464978082593997;999;i
BB;enfgho999i;p0p100;2004;0.469711312754043;999;i
BB;enfgho999i;p0p100;2005;0.474444542914091;999;i
BB;enfgho999i;p0p100;2006;0.479177773074138;999;i
BB;enfgho999i;p0p100;2007;0.483911003234186;999;i
BB;enfgho999i;p0p100;2008;0.488644233394232;999;i
BB;enfgho999i;p0p100;2009;0.49337746355428;999;i
BB;enfgho999i;p0p100;2010;0.498110693714327;999;i
BB;enfgho999i;p0p100;2011;0.502843923874375;999;i
BB;enfgho999i;p0p100;2012;0.507577154034421;999;i
BB;enfgho999i;p0p100;2013;0.512310384194469;999;i
BB;enfgho999i;p0p100;2014;0.517043614354517;999;i
BB;enfgho999i;p0p100;2015;0.521776844514564;999;i
BB;enfgho999i;p0p100;2016;0.526510074674611;999;i
BB;enfgho999i;p0p100;2017;0.531243304834658;999;i
BB;enfgho999i;p0p100;2018;0.535976534994706;999;i
BB;enfgho999i;p0p100;2019;0.540709765154753;999;i
BB;enfgho999i;p0p100;2020;0.513674276897015;999;i
BB;ehfghg999i;p0p100;1980;1.06356020548267;999;i
BB;ehfghg999i;p0p100;1981;1.07497055541661;999;i
BB;ehfghg999i;p0p100;1982;1.08564663030595;999;i
BB;ehfghg999i;p0p100;1983;1.12404331157715;999;i
BB;ehfghg999i;p0p100;1984;1.14749250798822;999;i
BB;ehfghg999i;p0p100;1985;1.1855329721767;999;i
BB;ehfghg999i;p0p100;1986;1.22077047949182;999;i
BB;ehfghg999i;p0p100;1987;1.24507465204138;999;i
BB;ehfghg999i;p0p100;1988;1.2571286782684;999;i
BB;ehfghg999i;p0p100;1989;1.26319516647629;999;i
BB;ehfghg999i;p0p100;1990;1.28095736901077;999;i
BB;ehfghg999i;p0p100;1991;1.32171663133894;999;i
BB;ehfghg999i;p0p100;1992;1.34168457327716;999;i
BB;ehfghg999i;p0p100;1993;1.36428613579321;999;i
BB;ehfghg999i;p0p100;1994;1.32523265006301;999;i
BB;ehfghg999i;p0p100;1995;1.35428246201673;999;i
BB;ehfghg999i;p0p100;1996;1.37461128505048;999;i
BB;ehfghg999i;p0p100;1997;1.42625315620895;999;i
BB;ehfghg999i;p0p100;1998;1.46959291790275;999;i
BB;ehfghg999i;p0p100;1999;1.49314787890742;999;i
BB;ehfghg999i;p0p100;2000;1.5183727480497;999;i
BB;ehfghg999i;p0p100;2001;1.54338614859196;999;i
BB;ehfghg999i;p0p100;2002;1.55602709987287;999;i
BB;ehfghg999i;p0p100;2003;1.52850667190999;999;i
BB;ehfghg999i;p0p100;2004;1.54249903404492;999;i
BB;ehfghg999i;p0p100;2005;1.55501390463384;999;i
BB;ehfghg999i;p0p100;2006;1.55781126034654;999;i
BB;ehfghg999i;p0p100;2007;1.56548271592596;999;i
BB;ehfghg999i;p0p100;2008;1.60871812599109;999;i
BB;ehfghg999i;p0p100;2009;1.62103079841366;999;i
BB;ehfghg999i;p0p100;2010;1.62568288772862;999;i
BB;ehfghg999i;p0p100;2011;1.64741578743229;999;i
BB;ehfghg999i;p0p100;2012;1.67441966818631;999;i
BB;ehfghg999i;p0p100;2013;1.66986294039883;999;i
BB;ehfghg999i;p0p100;2014;1.66540298975725;999;i
BB;ehfghg999i;p0p100;2015;1.69376981006072;999;i
BB;ehfghg999i;p0p100;2016;1.7091346205797;999;i
BB;ehfghg999i;p0p100;2017;1.72449943109867;999;i
