country;variable;percentile;year;value;age;pop
BM;mgsmho999i;p0p100;2000;-28701508.0;999;i
BM;mgsmho999i;p0p100;2001;608196160.0;999;i
BM;mgsmho999i;p0p100;2002;633847168.0;999;i
BM;mgsmho999i;p0p100;2003;642262976.0;999;i
BM;mgsmho999i;p0p100;2004;630020672.0;999;i
BM;mgsmho999i;p0p100;2005;638519360.0;999;i
BM;mgsmho999i;p0p100;2006;620399104.0;999;i
BM;mgsmho999i;p0p100;2007;658580800.0;999;i
BM;mgsmho999i;p0p100;2008;647922560.0;999;i
BM;mgsmho999i;p0p100;2009;745528384.0;999;i
BM;mgsmho999i;p0p100;2010;730659648.0;999;i
BM;mgsmho999i;p0p100;2011;742794944.0;999;i
BM;mgsmho999i;p0p100;2012;692738880.0;999;i
BM;mgsmho999i;p0p100;2013;668429504.0;999;i
BM;mgsmho999i;p0p100;2014;680997824.0;999;i
BM;mgsmho999i;p0p100;2015;678334144.0;999;i
BM;mgsmho999i;p0p100;2016;659283520.0;999;i
BM;mgsmho999i;p0p100;2017;703383680.0;999;i
BM;mgsmho999i;p0p100;2018;717129728.0;999;i
BM;mgsmho999i;p0p100;2019;722560384.0;999;i
BM;mcomhn999i;p0p100;2000;4302469120.0;999;i
BM;mcomhn999i;p0p100;2001;4946359808.0;999;i
BM;mcomhn999i;p0p100;2002;5180194304.0;999;i
BM;mcomhn999i;p0p100;2003;5520679424.0;999;i
BM;mcomhn999i;p0p100;2004;4161172480.0;999;i
BM;mcomhn999i;p0p100;2005;4414103040.0;999;i
BM;mcomhn999i;p0p100;2006;4550519808.0;999;i
BM;mcomhn999i;p0p100;2007;4861564416.0;999;i
BM;mcomhn999i;p0p100;2008;4738691584.0;999;i
BM;mcomhn999i;p0p100;2009;4605614592.0;999;i
BM;mcomhn999i;p0p100;2010;4463795200.0;999;i
BM;mcomhn999i;p0p100;2011;4304114176.0;999;i
BM;mcomhn999i;p0p100;2012;4126221312.0;999;i
BM;mcomhn999i;p0p100;2013;4044039936.0;999;i
BM;mcomhn999i;p0p100;2014;3916614912.0;999;i
BM;mcomhn999i;p0p100;2015;4020085248.0;999;i
BM;mcomhn999i;p0p100;2016;3856375552.0;999;i
BM;mcomhn999i;p0p100;2017;3997266176.0;999;i
BM;mcomhn999i;p0p100;2018;3948118784.0;999;i
BM;mcomhn999i;p0p100;2019;3956155392.0;999;i
BM;mflcin999i;p0p100;1996;5824594432.0;999;i
BM;mflcin999i;p0p100;1997;6484200448.0;999;i
BM;mflcin999i;p0p100;1998;5776485888.0;999;i
BM;mflcin999i;p0p100;1999;5942979584.0;999;i
BM;mflcin999i;p0p100;2000;5808937984.0;999;i
BM;mflcin999i;p0p100;2001;5758626816.0;999;i
BM;mflcin999i;p0p100;2002;5458746368.0;999;i
BM;mflcin999i;p0p100;2003;6965045760.0;999;i
BM;mflcin999i;p0p100;2004;6298461184.0;999;i
BM;mflcin999i;p0p100;2005;6989437952.0;999;i
BM;mflcin999i;p0p100;2006;7336866304.0;999;i
BM;mflcin999i;p0p100;2007;7916956160.0;999;i
BM;mflcin999i;p0p100;2008;6013439488.0;999;i
BM;mflcin999i;p0p100;2009;5684565504.0;999;i
BM;mflcin999i;p0p100;2010;5401662464.0;999;i
BM;mflcin999i;p0p100;2011;2571774464.0;999;i
BM;mflcin999i;p0p100;2012;3544255488.0;999;i
BM;mflcin999i;p0p100;2013;3887728384.0;999;i
BM;mflcin999i;p0p100;2014;4549750272.0;999;i
BM;mflcin999i;p0p100;2015;4542125568.0;999;i
