country;variable;percentile;year;value;age;pop
BY;lcfghg999i;p56p57;1990;4.72599983215332;999;i
BY;lcfghg999i;p56p57;1991;5.06199979782104;999;i
BY;lcfghg999i;p56p57;1992;3.15699982643127;999;i
BY;lcfghg999i;p56p57;1993;2.95900011062622;999;i
BY;lcfghg999i;p56p57;1994;2.20700001716614;999;i
BY;lcfghg999i;p56p57;1995;2.61199998855591;999;i
BY;lcfghg999i;p56p57;1996;3.75899982452393;999;i
BY;lcfghg999i;p56p57;1997;3.46099996566773;999;i
BY;lcfghg999i;p56p57;1998;5.38299989700317;999;i
BY;lcfghg999i;p56p57;1999;5.08199977874756;999;i
BY;lcfghg999i;p56p57;2000;5.11700010299683;999;i
BY;lcfghg999i;p56p57;2001;4.68900012969971;999;i
BY;lcfghg999i;p56p57;2002;4.87599992752075;999;i
BY;lcfghg999i;p56p57;2003;4.71500015258789;999;i
BY;lcfghg999i;p56p57;2004;4.89700031280518;999;i
BY;lcfghg999i;p56p57;2005;4.6560001373291;999;i
BY;lcfghg999i;p56p57;2006;5.3270001411438;999;i
BY;lcfghg999i;p56p57;2007;5.51099967956543;999;i
BY;lcfghg999i;p56p57;2008;6.00999975204468;999;i
BY;lcfghg999i;p56p57;2009;4.45900011062622;999;i
BY;lcfghg999i;p56p57;2010;4.96199989318848;999;i
BY;lcfghg999i;p56p57;2011;3.94299983978271;999;i
BY;lcfghg999i;p56p57;2012;5.73900032043457;999;i
BY;lcfghg999i;p56p57;2013;6.26000022888184;999;i
BY;lcfghg999i;p56p57;2014;5.94799995422363;999;i
BY;lcfghg999i;p56p57;2015;5.48099994659424;999;i
BY;lcfghg999i;p56p57;2016;5.29300022125244;999;i
BY;lcfghg999i;p56p57;2017;5.28800010681152;999;i
BY;lcfghg999i;p56p57;2018;5.55700016021729;999;i
BY;lcfghg999i;p56p57;2019;5.63700008392334;999;i
BY;lcfghg999i;p56p57;2020;5.24499988555908;999;i
BY;lifghg999i;p99.5p99.6;1990;11.3660001754761;999;i
BY;lifghg999i;p99.5p99.6;1991;11.1619997024536;999;i
BY;lifghg999i;p99.5p99.6;1992;11.2119998931885;999;i
BY;lifghg999i;p99.5p99.6;1993;6.91400003433228;999;i
BY;lifghg999i;p99.5p99.6;1994;7.54699993133545;999;i
BY;lifghg999i;p99.5p99.6;1995;9.41199970245361;999;i
BY;lifghg999i;p99.5p99.6;1996;11.8059997558594;999;i
BY;lifghg999i;p99.5p99.6;1997;12.5489997863769;999;i
BY;lifghg999i;p99.5p99.6;1998;21.7980003356934;999;i
BY;lifghg999i;p99.5p99.6;1999;21.1919994354248;999;i
BY;lifghg999i;p99.5p99.6;2000;19.4139995574951;999;i
BY;lifghg999i;p99.5p99.6;2001;20.3920001983643;999;i
BY;lifghg999i;p99.5p99.6;2002;22.3649997711182;999;i
BY;lifghg999i;p99.5p99.6;2003;22.0459995269775;999;i
BY;lifghg999i;p99.5p99.6;2004;23.6690006256104;999;i
BY;lifghg999i;p99.5p99.6;2005;22.3330001831055;999;i
BY;lifghg999i;p99.5p99.6;2006;24.2220001220703;999;i
BY;lifghg999i;p99.5p99.6;2007;25.57200050354;999;i
BY;lifghg999i;p99.5p99.6;2008;28.3939990997314;999;i
BY;lifghg999i;p99.5p99.6;2009;17.5860004425049;999;i
BY;lifghg999i;p99.5p99.6;2010;20.0060005187988;999;i
BY;lifghg999i;p99.5p99.6;2011;19.0860004425049;999;i
BY;lifghg999i;p99.5p99.6;2012;13.8929996490478;999;i
BY;lifghg999i;p99.5p99.6;2013;11.8719997406006;999;i
BY;lifghg999i;p99.5p99.6;2014;16.5480003356934;999;i
BY;lifghg999i;p99.5p99.6;2015;17.3929996490479;999;i
BY;lifghg999i;p99.5p99.6;2016;16.8139991760254;999;i
BY;lifghg999i;p99.5p99.6;2017;16.8080005645752;999;i
BY;lifghg999i;p99.5p99.6;2018;17.8400001525879;999;i
BY;lifghg999i;p99.5p99.6;2019;18.0090007781982;999;i
BY;lifghg999i;p99.5p99.6;2020;16.753999710083;999;i
BY;lpfghg999i;p84p85;1990;7.42000007629395;999;i
BY;lpfghg999i;p84p85;1991;7.80900001525879;999;i
BY;lpfghg999i;p84p85;1992;5.4670000076294;999;i
BY;lpfghg999i;p84p85;1993;4.63500022888184;999;i
BY;lpfghg999i;p84p85;1994;3.65000009536743;999;i
BY;lpfghg999i;p84p85;1995;4.54099988937378;999;i
BY;lpfghg999i;p84p85;1996;6.38199996948242;999;i
BY;lpfghg999i;p84p85;1997;6.16599988937378;999;i
BY;lpfghg999i;p84p85;1998;9.8459997177124;999;i
BY;lpfghg999i;p84p85;1999;9.38799953460693;999;i
BY;lpfghg999i;p84p85;2000;9.18099975585938;999;i
BY;lpfghg999i;p84p85;2001;8.61699962615967;999;i
BY;lpfghg999i;p84p85;2002;9.02299976348877;999;i
BY;lpfghg999i;p84p85;2003;8.79599952697754;999;i
BY;lpfghg999i;p84p85;2004;9.14700031280518;999;i
BY;lpfghg999i;p84p85;2005;8.64400005340576;999;i
BY;lpfghg999i;p84p85;2006;9.69699954986572;999;i
BY;lpfghg999i;p84p85;2007;10.2469997406006;999;i
BY;lpfghg999i;p84p85;2008;11.1300001144409;999;i
BY;lpfghg999i;p84p85;2009;7.83799982070923;999;i
BY;lpfghg999i;p84p85;2010;8.80099964141846;999;i
BY;lpfghg999i;p84p85;2011;7.41400003433228;999;i
BY;lpfghg999i;p84p85;2012;9.11900043487549;999;i
BY;lpfghg999i;p84p85;2013;9.30000019073486;999;i
BY;lpfghg999i;p84p85;2014;9.4680004119873;999;i
BY;lpfghg999i;p84p85;2015;8.97200012207031;999;i
BY;lpfghg999i;p84p85;2016;8.69400024414062;999;i
BY;lpfghg999i;p84p85;2017;8.71199989318848;999;i
BY;lpfghg999i;p84p85;2018;9.15299987792969;999;i
BY;lpfghg999i;p84p85;2019;9.23200035095215;999;i
BY;lpfghg999i;p84p85;2020;8.58899974822998;999;i
BY;lpfghg999i;p99.97p99.98;1990;92.125;999;i
BY;lpfghg999i;p99.97p99.98;1991;92.818000793457;999;i
BY;lpfghg999i;p99.97p99.98;1992;82.7360000610352;999;i
BY;lpfghg999i;p99.97p99.98;1993;56.8339996337891;999;i
BY;lpfghg999i;p99.97p99.98;1994;66.5439987182617;999;i
BY;lpfghg999i;p99.97p99.98;1995;62.0880012512207;999;i
BY;lpfghg999i;p99.97p99.98;1996;81.7239990234375;999;i
BY;lpfghg999i;p99.97p99.98;1997;84.5630035400391;999;i
BY;lpfghg999i;p99.97p99.98;1998;140.442993164062;999;i
BY;lpfghg999i;p99.97p99.98;1999;133.154998779297;999;i
