country;variable;percentile;year;value;age;pop
CK;agninc999i;p0p100;1970;8614.7;999;i
CK;agninc999i;p0p100;1971;7714.6;999;i
CK;agninc999i;p0p100;1972;6830.6;999;i
CK;agninc999i;p0p100;1973;7188.8;999;i
CK;agninc999i;p0p100;1974;7390.1;999;i
CK;agninc999i;p0p100;1975;7454.4;999;i
CK;agninc999i;p0p100;1976;7104.6;999;i
CK;agninc999i;p0p100;1977;8747.4;999;i
CK;agninc999i;p0p100;1978;9844.9;999;i
CK;agninc999i;p0p100;1979;10547.1;999;i
CK;agninc999i;p0p100;1980;10958.0;999;i
CK;agninc999i;p0p100;1981;10613.3;999;i
CK;agninc999i;p0p100;1982;10936.4;999;i
CK;agninc999i;p0p100;1983;10954.8;999;i
CK;agninc999i;p0p100;1984;12534.3;999;i
CK;agninc999i;p0p100;1985;13533.4;999;i
CK;agninc999i;p0p100;1986;14555.9;999;i
CK;agninc999i;p0p100;1987;14259.8;999;i
CK;agninc999i;p0p100;1988;14435.7;999;i
CK;agninc999i;p0p100;1989;14979.1;999;i
CK;agninc999i;p0p100;1990;16022.7;999;i
CK;agninc999i;p0p100;1991;16951.9;999;i
CK;agninc999i;p0p100;1992;17712.6;999;i
CK;agninc999i;p0p100;1993;18165.0;999;i
CK;agninc999i;p0p100;1994;18727.2;999;i
CK;agninc999i;p0p100;1995;17889.0;999;i
CK;agninc999i;p0p100;1996;17982.4;999;i
CK;agninc999i;p0p100;1997;17831.1;999;i
CK;agninc999i;p0p100;1998;18026.8;999;i
CK;agninc999i;p0p100;1999;18789.2;999;i
CK;agninc999i;p0p100;2000;21528.6;999;i
CK;agninc999i;p0p100;2001;22290.2;999;i
CK;agninc999i;p0p100;2002;22693.9;999;i
CK;agninc999i;p0p100;2003;23251.3;999;i
CK;agninc999i;p0p100;2004;23391.0;999;i
CK;agninc999i;p0p100;2005;22918.2;999;i
CK;agninc999i;p0p100;2006;24042.4;999;i
CK;agninc999i;p0p100;2007;24595.9;999;i
CK;agninc999i;p0p100;2008;24527.3;999;i
CK;agninc999i;p0p100;2009;24762.1;999;i
CK;agninc999i;p0p100;2010;23810.3;999;i
CK;agninc999i;p0p100;2011;24265.9;999;i
CK;agninc999i;p0p100;2012;24688.0;999;i
CK;agninc999i;p0p100;2013;25041.0;999;i
CK;agninc999i;p0p100;2014;26604.8;999;i
CK;agninc999i;p0p100;2015;28302.5;999;i
CK;agninc999i;p0p100;2016;29796.0;999;i
CK;agninc999i;p0p100;2017;32664.5;999;i
CK;agninc999i;p0p100;2018;34492.8;999;i
CK;agninc999i;p0p100;2019;36078.4;999;i
CK;agninc999i;p0p100;2020;26901.6;999;i
CK;agninc999i;p0p100;2021;20076.2;999;i
CK;aptfrn999i;p0p100;1970;0.0;999;i
CK;aptfrn999i;p0p100;1971;0.0;999;i
CK;aptfrn999i;p0p100;1972;-0.1;999;i
CK;aptfrn999i;p0p100;1973;-0.1;999;i
CK;aptfrn999i;p0p100;1974;-0.1;999;i
CK;aptfrn999i;p0p100;1975;-0.1;999;i
CK;aptfrn999i;p0p100;1976;-0.1;999;i
CK;aptfrn999i;p0p100;1977;-0.1;999;i
CK;aptfrn999i;p0p100;1978;-0.2;999;i
CK;aptfrn999i;p0p100;1979;-0.3;999;i
CK;aptfrn999i;p0p100;1980;-0.4;999;i
CK;aptfrn999i;p0p100;1981;-0.4;999;i
CK;aptfrn999i;p0p100;1982;-0.4;999;i
CK;aptfrn999i;p0p100;1983;-0.5;999;i
CK;aptfrn999i;p0p100;1984;-0.7;999;i
CK;aptfrn999i;p0p100;1985;-0.8;999;i
CK;aptfrn999i;p0p100;1986;-0.7;999;i
CK;aptfrn999i;p0p100;1987;-0.6;999;i
CK;aptfrn999i;p0p100;1988;-1.4;999;i
CK;aptfrn999i;p0p100;1989;-1.5;999;i
CK;aptfrn999i;p0p100;1990;-1.3;999;i
CK;aptfrn999i;p0p100;1991;-0.3;999;i
CK;aptfrn999i;p0p100;1992;-1.4;999;i
CK;aptfrn999i;p0p100;1993;-2.5;999;i
CK;aptfrn999i;p0p100;1994;-2.4;999;i
CK;aptfrn999i;p0p100;1995;-3.8;999;i
CK;aptfrn999i;p0p100;1996;-2.7;999;i
CK;aptfrn999i;p0p100;1997;-3.1;999;i
CK;aptfrn999i;p0p100;1998;-2.8;999;i
CK;aptfrn999i;p0p100;1999;-1.8;999;i
CK;aptfrn999i;p0p100;2000;-4.8;999;i
CK;aptfrn999i;p0p100;2001;-6.0;999;i
CK;aptfrn999i;p0p100;2002;-7.0;999;i
CK;aptfrn999i;p0p100;2003;-6.2;999;i
CK;aptfrn999i;p0p100;2004;-4.7;999;i
CK;aptfrn999i;p0p100;2005;-2.4;999;i
CK;aptfrn999i;p0p100;2006;0.1;999;i
CK;aptfrn999i;p0p100;2007;-1.1;999;i
CK;aptfrn999i;p0p100;2008;-3.9;999;i
CK;aptfrn999i;p0p100;2009;-5.8;999;i
CK;aptfrn999i;p0p100;2010;-9.5;999;i
CK;aptfrn999i;p0p100;2011;-17.6;999;i
CK;aptfrn999i;p0p100;2012;-17.5;999;i
CK;aptfrn999i;p0p100;2013;-25.6;999;i
CK;aptfrn999i;p0p100;2014;-21.9;999;i
CK;aptfrn999i;p0p100;2015;-25.5;999;i
CK;aptfrn999i;p0p100;2016;-27.7;999;i
CK;aptfrn999i;p0p100;2017;-30.7;999;i
CK;aptfrn999i;p0p100;2018;-33.2;999;i
CK;aptfrn999i;p0p100;2019;-48.9;999;i
CK;agdpro999i;p0p100;1970;8614.7;999;i
CK;agdpro999i;p0p100;1971;7714.6;999;i
CK;agdpro999i;p0p100;1972;6830.6;999;i
CK;agdpro999i;p0p100;1973;7188.8;999;i
CK;agdpro999i;p0p100;1974;7390.1;999;i
CK;agdpro999i;p0p100;1975;7454.4;999;i
CK;agdpro999i;p0p100;1976;7104.6;999;i
CK;agdpro999i;p0p100;1977;8747.4;999;i
CK;agdpro999i;p0p100;1978;9844.9;999;i
CK;agdpro999i;p0p100;1979;10547.1;999;i
CK;agdpro999i;p0p100;1980;10958.0;999;i
CK;agdpro999i;p0p100;1981;10613.3;999;i
CK;agdpro999i;p0p100;1982;10936.4;999;i
CK;agdpro999i;p0p100;1983;10954.8;999;i
CK;agdpro999i;p0p100;1984;12534.3;999;i
CK;agdpro999i;p0p100;1985;13533.4;999;i
CK;agdpro999i;p0p100;1986;14555.9;999;i
CK;agdpro999i;p0p100;1987;14259.8;999;i
CK;agdpro999i;p0p100;1988;14435.7;999;i
CK;agdpro999i;p0p100;1989;14979.1;999;i
CK;agdpro999i;p0p100;1990;16022.7;999;i
CK;agdpro999i;p0p100;1991;16951.9;999;i
CK;agdpro999i;p0p100;1992;17712.6;999;i
CK;agdpro999i;p0p100;1993;18165.0;999;i
CK;agdpro999i;p0p100;1994;18727.2;999;i
CK;agdpro999i;p0p100;1995;17889.0;999;i
CK;agdpro999i;p0p100;1996;17982.4;999;i
CK;agdpro999i;p0p100;1997;17831.1;999;i
CK;agdpro999i;p0p100;1998;18026.8;999;i
CK;agdpro999i;p0p100;1999;18789.2;999;i
CK;agdpro999i;p0p100;2000;21528.6;999;i
CK;agdpro999i;p0p100;2001;22290.2;999;i
CK;agdpro999i;p0p100;2002;22693.9;999;i
CK;agdpro999i;p0p100;2003;23251.3;999;i
CK;agdpro999i;p0p100;2004;23391.0;999;i
CK;agdpro999i;p0p100;2005;22918.2;999;i
CK;agdpro999i;p0p100;2006;24042.4;999;i
CK;agdpro999i;p0p100;2007;24595.9;999;i
CK;agdpro999i;p0p100;2008;24527.3;999;i
CK;agdpro999i;p0p100;2009;24762.1;999;i
CK;agdpro999i;p0p100;2010;23810.3;999;i
CK;agdpro999i;p0p100;2011;24265.9;999;i
CK;agdpro999i;p0p100;2012;24688.0;999;i
CK;agdpro999i;p0p100;2013;25041.0;999;i
CK;agdpro999i;p0p100;2014;26604.8;999;i
CK;agdpro999i;p0p100;2015;28302.5;999;i
CK;agdpro999i;p0p100;2016;29796.0;999;i
CK;agdpro999i;p0p100;2017;32664.5;999;i
CK;agdpro999i;p0p100;2018;34492.8;999;i
CK;agdpro999i;p0p100;2019;36078.4;999;i
CK;agdpro999i;p0p100;2020;26901.6;999;i
CK;agdpro999i;p0p100;2021;20076.2;999;i
CK;aedugo999i;p0p100;1992;994.0;999;i
CK;aedugo999i;p0p100;1993;1035.0;999;i
CK;aedugo999i;p0p100;1994;1253.9;999;i
CK;aedugo999i;p0p100;1995;1006.7;999;i
CK;aedugo999i;p0p100;1996;831.0;999;i
CK;aedugo999i;p0p100;1997;668.5;999;i
CK;aedugo999i;p0p100;1998;736.8;999;i
CK;aedugo999i;p0p100;1999;983.4;999;i
CK;aedugo999i;p0p100;2000;789.7;999;i
CK;aedugo999i;p0p100;2001;1011.6;999;i
CK;aedugo999i;p0p100;2002;1094.3;999;i
CK;aedugo999i;p0p100;2003;1102.8;999;i
CK;aedugo999i;p0p100;2004;1107.5;999;i
CK;aedugo999i;p0p100;2005;1197.1;999;i
CK;aedugo999i;p0p100;2006;1277.8;999;i
CK;aedugo999i;p0p100;2007;1269.0;999;i
CK;aedugo999i;p0p100;2008;1247.3;999;i
CK;anninc999i;p0p100;1970;7818.2;999;i
CK;anninc999i;p0p100;1971;6975.0;999;i
CK;anninc999i;p0p100;1972;6128.7;999;i
CK;anninc999i;p0p100;1973;6500.9;999;i
CK;anninc999i;p0p100;1974;6695.6;999;i
CK;anninc999i;p0p100;1975;6734.5;999;i
CK;anninc999i;p0p100;1976;6336.4;999;i
CK;anninc999i;p0p100;1977;7902.9;999;i
CK;anninc999i;p0p100;1978;8910.4;999;i
CK;anninc999i;p0p100;1979;9528.3;999;i
CK;anninc999i;p0p100;1980;9872.0;999;i
CK;anninc999i;p0p100;1981;9477.7;999;i
CK;anninc999i;p0p100;1982;9754.0;999;i
CK;anninc999i;p0p100;1983;9715.8;999;i
CK;anninc999i;p0p100;1984;11218.8;999;i
CK;anninc999i;p0p100;1985;12131.8;999;i
CK;anninc999i;p0p100;1986;13069.6;999;i
CK;anninc999i;p0p100;1987;12698.5;999;i
CK;anninc999i;p0p100;1988;12800.5;999;i
CK;anninc999i;p0p100;1989;13262.5;999;i
