country;variable;percentile;year;value;age;pop
CN-RU;afiinc992j;p79p100;1978;11264.6;992;j
CN-RU;afiinc992j;p79p100;1979;11741.2;992;j
CN-RU;afiinc992j;p79p100;1980;11977.3;992;j
CN-RU;afiinc992j;p79p100;1981;12657.6;992;j
CN-RU;afiinc992j;p79p100;1982;13439.3;992;j
CN-RU;afiinc992j;p79p100;1983;14406.0;992;j
CN-RU;afiinc992j;p79p100;1984;15518.7;992;j
CN-RU;afiinc992j;p79p100;1985;16340.4;992;j
CN-RU;afiinc992j;p79p100;1986;16062.7;992;j
CN-RU;afiinc992j;p79p100;1987;16588.2;992;j
CN-RU;afiinc992j;p79p100;1988;17052.1;992;j
CN-RU;afiinc992j;p79p100;1989;16500.2;992;j
CN-RU;afiinc992j;p79p100;1990;16301.0;992;j
CN-RU;afiinc992j;p79p100;1991;16486.4;992;j
CN-RU;afiinc992j;p79p100;1992;17166.9;992;j
CN-RU;afiinc992j;p79p100;1993;16867.0;992;j
CN-RU;afiinc992j;p79p100;1994;18306.9;992;j
CN-RU;afiinc992j;p79p100;1995;20999.3;992;j
CN-RU;afiinc992j;p79p100;1996;21759.6;992;j
CN-RU;afiinc992j;p79p100;1997;23315.1;992;j
CN-RU;afiinc992j;p79p100;1998;21997.8;992;j
CN-RU;afiinc992j;p79p100;1999;22039.4;992;j
CN-RU;afiinc992j;p79p100;2000;22988.4;992;j
CN-RU;afiinc992j;p79p100;2001;23185.5;992;j
CN-RU;afiinc992j;p79p100;2002;23684.6;992;j
CN-RU;afiinc992j;p79p100;2003;23966.2;992;j
CN-RU;afiinc992j;p79p100;2004;23889.2;992;j
CN-RU;afiinc992j;p79p100;2005;25694.5;992;j
CN-RU;afiinc992j;p79p100;2006;26863.1;992;j
CN-RU;afiinc992j;p79p100;2007;28497.1;992;j
CN-RU;afiinc992j;p79p100;2008;28700.1;992;j
CN-RU;afiinc992j;p79p100;2009;30088.9;992;j
CN-RU;afiinc992j;p79p100;2010;32705.7;992;j
CN-RU;afiinc992j;p79p100;2011;35186.7;992;j
CN-RU;afiinc992j;p79p100;2012;38052.6;992;j
CN-RU;afiinc992j;p79p100;2013;40262.9;992;j
CN-RU;afiinc992j;p79p100;2014;43330.2;992;j
CN-RU;afiinc992j;p79p100;2015;44975.7;992;j
CN-RU;aptinc992j;p40p41;1978;6340.6;992;j
CN-RU;aptinc992j;p40p41;1979;6598.2;992;j
CN-RU;aptinc992j;p40p41;1980;6720.0;992;j
CN-RU;aptinc992j;p40p41;1981;6883.3;992;j
CN-RU;aptinc992j;p40p41;1982;7145.6;992;j
CN-RU;aptinc992j;p40p41;1983;7529.6;992;j
CN-RU;aptinc992j;p40p41;1984;8002.1;992;j
CN-RU;aptinc992j;p40p41;1985;8333.2;992;j
CN-RU;aptinc992j;p40p41;1986;7954.9;992;j
CN-RU;aptinc992j;p40p41;1987;8033.9;992;j
CN-RU;aptinc992j;p40p41;1988;8114.2;992;j
CN-RU;aptinc992j;p40p41;1989;7740.0;992;j
CN-RU;aptinc992j;p40p41;1990;7556.1;992;j
CN-RU;aptinc992j;p40p41;1991;7290.1;992;j
CN-RU;aptinc992j;p40p41;1992;7366.8;992;j
CN-RU;aptinc992j;p40p41;1993;7443.1;992;j
CN-RU;aptinc992j;p40p41;1994;7649.4;992;j
CN-RU;aptinc992j;p40p41;1995;8471.2;992;j
CN-RU;aptinc992j;p40p41;1996;8718.5;992;j
CN-RU;aptinc992j;p40p41;1997;9040.7;992;j
CN-RU;aptinc992j;p40p41;1998;8703.6;992;j
CN-RU;aptinc992j;p40p41;1999;8582.0;992;j
CN-RU;aptinc992j;p40p41;2000;8275.2;992;j
CN-RU;aptinc992j;p40p41;2001;8160.7;992;j
