country;variable;percentile;year;value;age;pop
CN-UR;afiinc992j;p61p62;1978;10689.2;992;j
CN-UR;afiinc992j;p61p62;1979;11093.9;992;j
CN-UR;afiinc992j;p61p62;1980;11413.9;992;j
CN-UR;afiinc992j;p61p62;1981;11645.0;992;j
CN-UR;afiinc992j;p61p62;1982;12763.6;992;j
CN-UR;afiinc992j;p61p62;1983;12639.4;992;j
CN-UR;afiinc992j;p61p62;1984;13401.6;992;j
CN-UR;afiinc992j;p61p62;1985;14026.0;992;j
CN-UR;afiinc992j;p61p62;1986;15564.8;992;j
CN-UR;afiinc992j;p61p62;1987;16264.2;992;j
CN-UR;afiinc992j;p61p62;1988;16546.9;992;j
CN-UR;afiinc992j;p61p62;1989;16693.6;992;j
CN-UR;afiinc992j;p61p62;1990;15860.4;992;j
CN-UR;afiinc992j;p61p62;1991;17022.2;992;j
CN-UR;afiinc992j;p61p62;1992;18527.2;992;j
CN-UR;afiinc992j;p61p62;1993;19354.3;992;j
CN-UR;afiinc992j;p61p62;1994;21369.5;992;j
CN-UR;afiinc992j;p61p62;1995;23080.0;992;j
CN-UR;afiinc992j;p61p62;1996;22222.3;992;j
CN-UR;afiinc992j;p61p62;1997;23412.3;992;j
CN-UR;afiinc992j;p61p62;1998;22636.4;992;j
CN-UR;afiinc992j;p61p62;1999;23657.4;992;j
CN-UR;afiinc992j;p61p62;2000;24823.5;992;j
CN-UR;afiinc992j;p61p62;2001;25446.7;992;j
CN-UR;afiinc992j;p61p62;2002;27066.8;992;j
CN-UR;afiinc992j;p61p62;2003;28224.5;992;j
CN-UR;afiinc992j;p61p62;2004;28997.6;992;j
CN-UR;afiinc992j;p61p62;2005;30750.5;992;j
CN-UR;afiinc992j;p61p62;2006;33050.8;992;j
CN-UR;afiinc992j;p61p62;2007;35245.1;992;j
CN-UR;afiinc992j;p61p62;2008;35989.4;992;j
CN-UR;afiinc992j;p61p62;2009;38888.8;992;j
CN-UR;afiinc992j;p61p62;2010;40790.0;992;j
CN-UR;afiinc992j;p61p62;2011;41904.2;992;j
CN-UR;afiinc992j;p61p62;2012;45644.3;992;j
CN-UR;afiinc992j;p61p62;2013;49205.1;992;j
CN-UR;afiinc992j;p61p62;2014;52978.3;992;j
CN-UR;afiinc992j;p61p62;2015;54997.1;992;j
CN-UR;afiinc992j;p68p69;1978;11374.5;992;j
CN-UR;afiinc992j;p68p69;1979;11805.2;992;j
CN-UR;afiinc992j;p68p69;1980;12145.7;992;j
CN-UR;afiinc992j;p68p69;1981;12391.6;992;j
CN-UR;afiinc992j;p68p69;1982;13502.4;992;j
CN-UR;afiinc992j;p68p69;1983;13376.2;992;j
CN-UR;afiinc992j;p68p69;1984;14202.5;992;j
CN-UR;afiinc992j;p68p69;1985;15010.3;992;j
CN-UR;afiinc992j;p68p69;1986;16503.3;992;j
CN-UR;afiinc992j;p68p69;1987;17117.9;992;j
CN-UR;afiinc992j;p68p69;1988;17515.3;992;j
CN-UR;afiinc992j;p68p69;1989;17652.3;992;j
CN-UR;afiinc992j;p68p69;1990;16794.0;992;j
CN-UR;afiinc992j;p68p69;1991;17949.0;992;j
CN-UR;afiinc992j;p68p69;1992;19701.4;992;j
CN-UR;afiinc992j;p68p69;1993;20699.8;992;j
CN-UR;afiinc992j;p68p69;1994;22835.9;992;j
CN-UR;afiinc992j;p68p69;1995;24651.1;992;j
CN-UR;afiinc992j;p68p69;1996;23779.0;992;j
CN-UR;afiinc992j;p68p69;1997;25109.3;992;j
