country;variable;percentile;year;value;age;pop
CW;aprgfc992i;p0p100;2000;7744.0;992;i
CW;aprgfc992i;p0p100;2001;8074.1;992;i
CW;aprgfc992i;p0p100;2002;9104.2;992;i
CW;aprgfc992i;p0p100;2003;11174.1;992;i
CW;aprgfc992i;p0p100;2004;10374.8;992;i
CW;aprgfc992i;p0p100;2005;9235.4;992;i
CW;aprgfc992i;p0p100;2006;6730.4;992;i
CW;aprgfc992i;p0p100;2007;6383.5;992;i
CW;aprgfc992i;p0p100;2008;8786.9;992;i
CW;aprgfc992i;p0p100;2009;3601.7;992;i
CW;aprgfc992i;p0p100;2010;4862.0;992;i
CW;aprgfc992i;p0p100;2011;1426.2;992;i
CW;aprgfc992i;p0p100;2012;-719.9;992;i
CW;aprgfc992i;p0p100;2013;2010.3;992;i
CW;aprgfc992i;p0p100;2014;-495.2;992;i
CW;aprgfc992i;p0p100;2015;2694.2;992;i
CW;aprgfc992i;p0p100;2016;1158.6;992;i
CW;mnsrgo999i;p0p100;2000;-36693.0;999;i
CW;mnsrgo999i;p0p100;2001;-608565.0;999;i
CW;mnsrgo999i;p0p100;2002;-5447038.0;999;i
CW;mnsrgo999i;p0p100;2003;-153504.0;999;i
CW;mnsrgo999i;p0p100;2004;-287963.0;999;i
CW;mnsrgo999i;p0p100;2005;-186233.0;999;i
CW;mnsrgo999i;p0p100;2006;-227093.0;999;i
CW;mnsrgo999i;p0p100;2007;-221344.0;999;i
CW;mnsrgo999i;p0p100;2008;-236067.0;999;i
CW;mnsrgo999i;p0p100;2009;-325900.0;999;i
CW;mnsrgo999i;p0p100;2010;-461374.0;999;i
CW;mnsrgo999i;p0p100;2011;0.0;999;i
CW;mnsrgo999i;p0p100;2012;0.0;999;i
CW;mnsrgo999i;p0p100;2013;0.0;999;i
CW;mnsrgo999i;p0p100;2014;0.0;999;i
CW;mnsrgo999i;p0p100;2015;0.0;999;i
CW;mnsrgo999i;p0p100;2016;0.0;999;i
CW;npopul111f;p0p100;1950;2.0;111;f
CW;npopul111f;p0p100;1951;2.0;111;f
CW;npopul111f;p0p100;1952;2.0;111;f
CW;npopul111f;p0p100;1953;2.0;111;f
CW;npopul111f;p0p100;1954;2.0;111;f
CW;npopul111f;p0p100;1955;2.0;111;f
CW;npopul111f;p0p100;1956;2.0;111;f
CW;npopul111f;p0p100;1957;2.0;111;f
CW;npopul111f;p0p100;1958;2.0;111;f
CW;npopul111f;p0p100;1959;2.0;111;f
CW;npopul111f;p0p100;1960;2.0;111;f
CW;npopul111f;p0p100;1961;2.0;111;f
CW;npopul111f;p0p100;1962;2.0;111;f
CW;npopul111f;p0p100;1963;2.0;111;f
CW;npopul111f;p0p100;1964;2.0;111;f
CW;npopul111f;p0p100;1965;2.0;111;f
CW;npopul111f;p0p100;1966;2.0;111;f
CW;npopul111f;p0p100;1967;2.0;111;f
CW;npopul111f;p0p100;1968;3.0;111;f
CW;npopul111f;p0p100;1969;3.0;111;f
CW;npopul111f;p0p100;1970;3.0;111;f
CW;npopul111f;p0p100;1971;3.0;111;f
CW;npopul111f;p0p100;1972;3.0;111;f
CW;npopul111f;p0p100;1973;4.0;111;f
CW;npopul111f;p0p100;1974;4.0;111;f
CW;npopul111f;p0p100;1975;4.0;111;f
CW;npopul111f;p0p100;1976;4.0;111;f
CW;npopul111f;p0p100;1977;4.0;111;f
CW;npopul111f;p0p100;1978;4.0;111;f
CW;npopul111f;p0p100;1979;4.0;111;f
CW;npopul111f;p0p100;1980;4.0;111;f
CW;npopul111f;p0p100;1981;4.0;111;f
CW;npopul111f;p0p100;1982;4.0;111;f
CW;npopul111f;p0p100;1983;4.0;111;f
CW;npopul111f;p0p100;1984;4.0;111;f
CW;npopul111f;p0p100;1985;4.0;111;f
CW;npopul111f;p0p100;1986;4.0;111;f
CW;npopul111f;p0p100;1987;4.0;111;f
CW;npopul111f;p0p100;1988;4.0;111;f
CW;npopul111f;p0p100;1989;5.0;111;f
CW;npopul111f;p0p100;1990;5.0;111;f
CW;npopul111f;p0p100;1991;6.0;111;f
CW;npopul111f;p0p100;1992;6.0;111;f
CW;npopul111f;p0p100;1993;7.0;111;f
CW;npopul111f;p0p100;1994;8.0;111;f
CW;npopul111f;p0p100;1995;8.0;111;f
CW;npopul111f;p0p100;1996;8.0;111;f
CW;npopul111f;p0p100;1997;8.0;111;f
CW;npopul111f;p0p100;1998;8.0;111;f
CW;npopul111f;p0p100;1999;9.0;111;f
CW;npopul111f;p0p100;2000;9.0;111;f
CW;npopul111f;p0p100;2001;9.0;111;f
CW;npopul111f;p0p100;2002;10.0;111;f
CW;npopul111f;p0p100;2003;11.0;111;f
CW;npopul111f;p0p100;2004;12.0;111;f
CW;npopul111f;p0p100;2005;13.0;111;f
CW;npopul111f;p0p100;2006;14.0;111;f
CW;npopul111f;p0p100;2007;14.0;111;f
CW;npopul111f;p0p100;2008;15.0;111;f
CW;npopul111f;p0p100;2009;16.0;111;f
CW;npopul111f;p0p100;2010;17.0;111;f
CW;npopul111f;p0p100;2011;18.0;111;f
CW;npopul111f;p0p100;2012;20.0;111;f
CW;npopul111f;p0p100;2013;21.0;111;f
CW;npopul111f;p0p100;2014;22.0;111;f
CW;npopul111f;p0p100;2015;24.0;111;f
CW;npopul111f;p0p100;2016;26.0;111;f
CW;npopul111f;p0p100;2017;28.0;111;f
CW;npopul111f;p0p100;2018;30.0;111;f
CW;npopul111f;p0p100;2019;33.0;111;f
CW;npopul111f;p0p100;2020;35.0;111;f
CW;npopul111f;p0p100;2021;37.0;111;f
CW;npopul951f;p0p100;1950;13.0;951;f
CW;npopul951f;p0p100;1951;13.0;951;f
CW;npopul951f;p0p100;1952;15.0;951;f
CW;npopul951f;p0p100;1953;15.0;951;f
CW;npopul951f;p0p100;1954;15.0;951;f
CW;npopul951f;p0p100;1955;12.0;951;f
CW;npopul951f;p0p100;1956;14.0;951;f
CW;npopul951f;p0p100;1957;16.0;951;f
CW;npopul951f;p0p100;1958;17.0;951;f
CW;npopul951f;p0p100;1959;17.0;951;f
CW;npopul951f;p0p100;1960;14.0;951;f
CW;npopul951f;p0p100;1961;14.0;951;f
CW;npopul951f;p0p100;1962;15.0;951;f
CW;npopul951f;p0p100;1963;16.0;951;f
CW;npopul951f;p0p100;1964;16.0;951;f
CW;npopul951f;p0p100;1965;15.0;951;f
CW;npopul951f;p0p100;1966;17.0;951;f
CW;npopul951f;p0p100;1967;24.0;951;f
CW;npopul951f;p0p100;1968;29.0;951;f
CW;npopul951f;p0p100;1969;29.0;951;f
CW;npopul951f;p0p100;1970;26.0;951;f
CW;npopul951f;p0p100;1971;29.0;951;f
CW;npopul951f;p0p100;1972;32.0;951;f
CW;npopul951f;p0p100;1973;34.0;951;f
CW;npopul951f;p0p100;1974;33.0;951;f
CW;npopul951f;p0p100;1975;27.0;951;f
CW;npopul951f;p0p100;1976;25.0;951;f
CW;npopul951f;p0p100;1977;25.0;951;f
CW;npopul951f;p0p100;1978;24.0;951;f
CW;npopul951f;p0p100;1979;22.0;951;f
CW;npopul951f;p0p100;1980;20.0;951;f
CW;npopul951f;p0p100;1981;21.0;951;f
CW;npopul951f;p0p100;1982;25.0;951;f
CW;npopul951f;p0p100;1983;29.0;951;f
CW;npopul951f;p0p100;1984;30.0;951;f
CW;npopul951f;p0p100;1985;28.0;951;f
CW;npopul951f;p0p100;1986;36.0;951;f
CW;npopul951f;p0p100;1987;43.0;951;f
CW;npopul951f;p0p100;1988;50.0;951;f
CW;npopul951f;p0p100;1989;50.0;951;f
CW;npopul951f;p0p100;1990;46.0;951;f
CW;npopul951f;p0p100;1991;47.0;951;f
CW;npopul951f;p0p100;1992;47.0;951;f
CW;npopul951f;p0p100;1993;50.0;951;f
CW;npopul951f;p0p100;1994;49.0;951;f
CW;npopul951f;p0p100;1995;43.0;951;f
CW;npopul951f;p0p100;1996;48.0;951;f
CW;npopul951f;p0p100;1997;56.0;951;f
CW;npopul951f;p0p100;1998;64.0;951;f
CW;npopul951f;p0p100;1999;64.0;951;f
