country;variable;percentile;year;value;age;pop
DD;acainc992j;p24p100;1980;22326.0;992;j
DD;acainc992j;p24p100;1981;23074.2;992;j
DD;acainc992j;p24p100;1982;22729.5;992;j
DD;acainc992j;p24p100;1983;22594.9;992;j
DD;acainc992j;p24p100;1984;22647.5;992;j
DD;acainc992j;p24p100;1985;22875.9;992;j
DD;acainc992j;p24p100;1986;22881.7;992;j
DD;acainc992j;p24p100;1987;22990.2;992;j
DD;acainc992j;p24p100;1988;23252.1;992;j
DD;acainc992j;p24p100;1989;24365.9;992;j
DD;acainc992j;p24p100;1990;21387.6;992;j
DD;acainc992j;p50p90;1980;23311.7;992;j
DD;acainc992j;p50p90;1981;24000.8;992;j
DD;acainc992j;p50p90;1982;23550.6;992;j
DD;acainc992j;p50p90;1983;23319.3;992;j
DD;acainc992j;p50p90;1984;23297.7;992;j
DD;acainc992j;p50p90;1985;23456.4;992;j
DD;acainc992j;p50p90;1986;23427.4;992;j
DD;acainc992j;p50p90;1987;23504.0;992;j
DD;acainc992j;p50p90;1988;23735.8;992;j
DD;acainc992j;p50p90;1989;24872.8;992;j
DD;acainc992j;p50p90;1990;21832.4;992;j
DD;acainc992j;p99.97p99.98;1980;58195.2;992;j
DD;acainc992j;p99.97p99.98;1981;73273.4;992;j
DD;acainc992j;p99.97p99.98;1982;87201.7;992;j
DD;acainc992j;p99.97p99.98;1983;103432.3;992;j
DD;acainc992j;p99.97p99.98;1984;117172.0;992;j
DD;acainc992j;p99.97p99.98;1985;132494.5;992;j
DD;acainc992j;p99.97p99.98;1986;140117.5;992;j
DD;acainc992j;p99.97p99.98;1987;148996.1;992;j
DD;acainc992j;p99.97p99.98;1988;158588.1;992;j
DD;acainc992j;p99.97p99.98;1989;166184.7;992;j
DD;acainc992j;p99.97p99.98;1990;145871.0;992;j
DD;adiinc992j;p3p100;1980;25616.4;992;j
DD;adiinc992j;p3p100;1981;26580.7;992;j
DD;adiinc992j;p3p100;1982;26288.1;992;j
DD;adiinc992j;p3p100;1983;26236.5;992;j
DD;adiinc992j;p3p100;1984;26297.2;992;j
DD;adiinc992j;p3p100;1985;26561.8;992;j
DD;adiinc992j;p3p100;1986;26610.2;992;j
DD;adiinc992j;p3p100;1987;26778.4;992;j
DD;adiinc992j;p3p100;1988;27126.2;992;j
DD;adiinc992j;p3p100;1989;28425.6;992;j
DD;adiinc992j;p3p100;1990;24951.2;992;j
DD;adiinc992j;p55p56;1980;26985.4;992;j
DD;adiinc992j;p55p56;1981;27740.8;992;j
DD;adiinc992j;p55p56;1982;27178.5;992;j
DD;adiinc992j;p55p56;1983;26867.0;992;j
DD;adiinc992j;p55p56;1984;26802.5;992;j
DD;adiinc992j;p55p56;1985;26943.5;992;j
DD;adiinc992j;p55p56;1986;26946.0;992;j
DD;adiinc992j;p55p56;1987;27070.2;992;j
DD;adiinc992j;p55p56;1988;27372.9;992;j
DD;adiinc992j;p55p56;1989;28684.1;992;j
DD;adiinc992j;p55p56;1990;25178.2;992;j
DD;aptinc992j;p63p100;1980;37340.5;992;j
DD;aptinc992j;p63p100;1981;38848.4;992;j
DD;aptinc992j;p63p100;1982;38519.5;992;j
DD;aptinc992j;p63p100;1983;38538.1;992;j
DD;aptinc992j;p63p100;1984;38823.1;992;j
DD;aptinc992j;p63p100;1985;39412.5;992;j
DD;aptinc992j;p63p100;1986;39566.1;992;j
DD;aptinc992j;p63p100;1987;39899.0;992;j
DD;aptinc992j;p63p100;1988;40501.8;992;j
DD;aptinc992j;p63p100;1989;42441.9;992;j
DD;aptinc992j;p63p100;1990;37254.4;992;j
DD;aptinc992j;p99.93p99.94;1980;76902.2;992;j
DD;aptinc992j;p99.93p99.94;1981;92093.6;992;j
DD;aptinc992j;p99.93p99.94;1982;104279.3;992;j
DD;aptinc992j;p99.93p99.94;1983;117895.3;992;j
DD;aptinc992j;p99.93p99.94;1984;129511.4;992;j
DD;aptinc992j;p99.93p99.94;1985;142407.1;992;j
DD;aptinc992j;p99.93p99.94;1986;149094.9;992;j
DD;aptinc992j;p99.93p99.94;1987;156428.0;992;j
DD;aptinc992j;p99.93p99.94;1988;165076.8;992;j
DD;aptinc992j;p99.93p99.94;1989;172984.3;992;j
DD;aptinc992j;p99.93p99.94;1990;151841.1;992;j
DD;aptinc992j;p99.995p100;1980;101882.1;992;j
DD;aptinc992j;p99.995p100;1981;149559.8;992;j
DD;aptinc992j;p99.995p100;1982;210502.3;992;j
DD;aptinc992j;p99.995p100;1983;293474.7;992;j
DD;aptinc992j;p99.995p100;1984;366248.9;992;j
DD;aptinc992j;p99.995p100;1985;451785.9;992;j
DD;aptinc992j;p99.995p100;1986;492627.8;992;j
DD;aptinc992j;p99.995p100;1987;534891.6;992;j
DD;aptinc992j;p99.995p100;1988;584168.7;992;j
DD;aptinc992j;p99.995p100;1989;612151.4;992;j
DD;aptinc992j;p99.995p100;1990;537330.6;992;j
DD;bptinc992j;p49p100;1980;1.37041568756103;992;j
DD;bptinc992j;p49p100;1981;1.38429129123688;992;j
DD;bptinc992j;p49p100;1982;1.39869248867035;992;j
DD;bptinc992j;p49p100;1983;1.41226375102997;992;j
DD;bptinc992j;p49p100;1984;1.42394018173218;992;j
DD;bptinc992j;p49p100;1985;1.43539476394653;992;j
DD;bptinc992j;p49p100;1986;1.44018232822418;992;j
DD;bptinc992j;p49p100;1987;1.44470775127411;992;j
DD;bptinc992j;p49p100;1988;1.44955134391785;992;j
DD;bptinc992j;p49p100;1989;1.44955146312714;992;j
DD;bptinc992j;p49p100;1990;1.44955146312714;992;j
DD;scainc992j;p3p100;1980;0.9977;992;j
DD;scainc992j;p3p100;1981;0.9976;992;j
DD;scainc992j;p3p100;1982;0.9974;992;j
DD;scainc992j;p3p100;1983;0.9973;992;j
DD;scainc992j;p3p100;1984;0.9972;992;j
DD;scainc992j;p3p100;1985;0.9972;992;j
DD;scainc992j;p3p100;1986;0.9969;992;j
DD;scainc992j;p3p100;1987;0.9967;992;j
DD;scainc992j;p3p100;1988;0.9964;992;j
DD;scainc992j;p3p100;1989;0.9964;992;j
DD;scainc992j;p3p100;1990;0.9964;992;j
DD;scainc992j;p57p100;1980;0.6074;992;j
DD;scainc992j;p57p100;1981;0.6061;992;j
DD;scainc992j;p57p100;1982;0.6049;992;j
DD;scainc992j;p57p100;1983;0.6037;992;j
DD;scainc992j;p57p100;1984;0.6055;992;j
DD;scainc992j;p57p100;1985;0.6074;992;j
DD;scainc992j;p57p100;1986;0.607;992;j
DD;scainc992j;p57p100;1987;0.6066;992;j
DD;scainc992j;p57p100;1988;0.6063;992;j
DD;scainc992j;p57p100;1989;0.6063;992;j
DD;scainc992j;p57p100;1990;0.6063;992;j
DD;npopul702i;p0p100;1950;917788.0;702;i
DD;npopul702i;p0p100;1951;925279.0;702;i
DD;npopul702i;p0p100;1952;926163.0;702;i
DD;npopul702i;p0p100;1953;923477.0;702;i
DD;npopul702i;p0p100;1954;923729.0;702;i
DD;npopul702i;p0p100;1955;930844.0;702;i
DD;npopul702i;p0p100;1956;945391.0;702;i
DD;npopul702i;p0p100;1957;964656.0;702;i
DD;npopul702i;p0p100;1958;966671.0;702;i
DD;npopul702i;p0p100;1959;972988.0;702;i
DD;npopul702i;p0p100;1960;974834.0;702;i
DD;npopul702i;p0p100;1961;983419.0;702;i
DD;npopul702i;p0p100;1962;988099.0;702;i
DD;npopul702i;p0p100;1963;991579.0;702;i
DD;npopul702i;p0p100;1964;996410.0;702;i
DD;npopul702i;p0p100;1965;1003710.0;702;i
DD;npopul702i;p0p100;1966;1002455.0;702;i
DD;npopul702i;p0p100;1967;1020313.0;702;i
DD;npopul702i;p0p100;1968;1041518.0;702;i
DD;npopul702i;p0p100;1969;1049591.0;702;i
DD;npopul702i;p0p100;1970;1084902.0;702;i
DD;npopul702i;p0p100;1971;1094423.0;702;i
DD;npopul702i;p0p100;1972;1091163.0;702;i
DD;npopul702i;p0p100;1973;1096747.0;702;i
DD;npopul702i;p0p100;1974;1115909.0;702;i
DD;npopul702i;p0p100;1975;1156526.0;702;i
DD;npopul702i;p0p100;1976;1206640.0;702;i
DD;npopul702i;p0p100;1977;1236497.0;702;i
DD;npopul702i;p0p100;1978;1255967.0;702;i
DD;npopul702i;p0p100;1979;1271972.0;702;i
DD;npopul702i;p0p100;1980;1285612.0;702;i
DD;npopul702i;p0p100;1981;1267065.0;702;i
DD;npopul702i;p0p100;1982;1275709.0;702;i
DD;npopul702i;p0p100;1983;1301206.0;702;i
DD;npopul702i;p0p100;1984;1322068.0;702;i
DD;npopul702i;p0p100;1985;1319140.0;702;i
DD;npopul702i;p0p100;1986;1274381.0;702;i
DD;npopul702i;p0p100;1987;1214593.0;702;i
DD;npopul702i;p0p100;1988;1140408.0;702;i
DD;npopul702i;p0p100;1989;1050297.0;702;i
DD;npopul702i;p0p100;1990;963242.0;702;i
DD;sdiinc992j;p0p99;1980;0.9764;992;j
DD;sdiinc992j;p0p99;1981;0.9746;992;j
DD;sdiinc992j;p0p99;1982;0.9728;992;j
DD;sdiinc992j;p0p99;1983;0.9709;992;j
DD;sdiinc992j;p0p99;1984;0.9692;992;j
DD;sdiinc992j;p0p99;1985;0.9675;992;j
DD;sdiinc992j;p0p99;1986;0.9666;992;j
DD;sdiinc992j;p0p99;1987;0.9656;992;j
DD;sdiinc992j;p0p99;1988;0.9647;992;j
DD;sdiinc992j;p0p99;1989;0.9647;992;j
DD;sdiinc992j;p0p99;1990;0.9647;992;j
DD;sdiinc992j;p6p7;1980;0.0028;992;j
DD;sdiinc992j;p6p7;1981;0.003;992;j
DD;sdiinc992j;p6p7;1982;0.0032;992;j
DD;sdiinc992j;p6p7;1983;0.0033;992;j
DD;sdiinc992j;p6p7;1984;0.0034;992;j
DD;sdiinc992j;p6p7;1985;0.0035;992;j
DD;sdiinc992j;p6p7;1986;0.0038;992;j
DD;sdiinc992j;p6p7;1987;0.0041;992;j
DD;sdiinc992j;p6p7;1988;0.0044;992;j
DD;sdiinc992j;p6p7;1989;0.0044;992;j
DD;sdiinc992j;p6p7;1990;0.0044;992;j
DD;aptinc992j;p94p95;1980;44312.7;992;j
DD;aptinc992j;p94p95;1981;45947.0;992;j
DD;aptinc992j;p94p95;1982;45416.6;992;j
DD;aptinc992j;p94p95;1983;45307.5;992;j
DD;aptinc992j;p94p95;1984;45690.7;992;j
DD;aptinc992j;p94p95;1985;46432.8;992;j
DD;aptinc992j;p94p95;1986;46561.5;992;j
DD;aptinc992j;p94p95;1987;46905.3;992;j
DD;aptinc992j;p94p95;1988;47563.0;992;j
DD;aptinc992j;p94p95;1989;49841.3;992;j
DD;aptinc992j;p94p95;1990;43749.4;992;j
DD;sptinc992j;p0p16;1980;0.021;992;j
DD;sptinc992j;p0p16;1981;0.0211;992;j
DD;sptinc992j;p0p16;1982;0.0212;992;j
DD;sptinc992j;p0p16;1983;0.0214;992;j
DD;sptinc992j;p0p16;1984;0.0212;992;j
DD;sptinc992j;p0p16;1985;0.021;992;j
DD;sptinc992j;p0p16;1986;0.0209;992;j
DD;sptinc992j;p0p16;1987;0.0207;992;j
DD;sptinc992j;p0p16;1988;0.0206;992;j
DD;sptinc992j;p0p16;1989;0.0206;992;j
DD;sptinc992j;p0p16;1990;0.0206;992;j
DD;sptinc992j;p46p100;1980;0.7394;992;j
DD;sptinc992j;p46p100;1981;0.7397;992;j
DD;sptinc992j;p46p100;1982;0.74;992;j
DD;sptinc992j;p46p100;1983;0.7402;992;j
DD;sptinc992j;p46p100;1984;0.7422;992;j
DD;sptinc992j;p46p100;1985;0.7442;992;j
DD;sptinc992j;p46p100;1986;0.7453;992;j
DD;sptinc992j;p46p100;1987;0.7464;992;j
DD;sptinc992j;p46p100;1988;0.7476;992;j
DD;sptinc992j;p46p100;1989;0.7476;992;j
DD;sptinc992j;p46p100;1990;0.7476;992;j
DD;sptinc992j;p66p100;1980;0.518;992;j
DD;sptinc992j;p66p100;1981;0.5196;992;j
DD;sptinc992j;p66p100;1982;0.5211;992;j
DD;sptinc992j;p66p100;1983;0.5225;992;j
DD;sptinc992j;p66p100;1984;0.5255;992;j
DD;sptinc992j;p66p100;1985;0.5284;992;j
DD;sptinc992j;p66p100;1986;0.5295;992;j
DD;sptinc992j;p66p100;1987;0.5305;992;j
DD;sptinc992j;p66p100;1988;0.5315;992;j
DD;sptinc992j;p66p100;1989;0.5315;992;j
DD;sptinc992j;p66p100;1990;0.5315;992;j
DD;tdiinc992j;p50p100;1980;25655.4;992;j
DD;tdiinc992j;p50p100;1981;26357.3;992;j
DD;tdiinc992j;p50p100;1982;25831.7;992;j
DD;tdiinc992j;p50p100;1983;25545.7;992;j
DD;tdiinc992j;p50p100;1984;25502.8;992;j
DD;tdiinc992j;p50p100;1985;25666.8;992;j
DD;tdiinc992j;p50p100;1986;25672.8;992;j
DD;tdiinc992j;p50p100;1987;25799.7;992;j
DD;tdiinc992j;p50p100;1988;26101.5;992;j
DD;tdiinc992j;p50p100;1989;27351.8;992;j
DD;tdiinc992j;p50p100;1990;24008.7;992;j
DD;tdiinc992j;p77p78;1980;32273.6;992;j
DD;tdiinc992j;p77p78;1981;33261.9;992;j
DD;tdiinc992j;p77p78;1982;32670.0;992;j
DD;tdiinc992j;p77p78;1983;32381.6;992;j
DD;tdiinc992j;p77p78;1984;32352.6;992;j
DD;tdiinc992j;p77p78;1985;32578.7;992;j
DD;tdiinc992j;p77p78;1986;32545.9;992;j
DD;tdiinc992j;p77p78;1987;32665.9;992;j
DD;tdiinc992j;p77p78;1988;32999.3;992;j
DD;tdiinc992j;p77p78;1989;34580.0;992;j
DD;tdiinc992j;p77p78;1990;30353.0;992;j
DD;tptinc992j;p71p100;1980;31004.9;992;j
DD;tptinc992j;p71p100;1981;31918.4;992;j
