country;variable;percentile;year;value;age;pop
DM;aptfrr999i;p0p100;1970;0.0;999;i
DM;aptfrr999i;p0p100;1971;0.0;999;i
DM;aptfrr999i;p0p100;1972;0.0;999;i
DM;aptfrr999i;p0p100;1973;0.0;999;i
DM;aptfrr999i;p0p100;1974;0.0;999;i
DM;aptfrr999i;p0p100;1975;0.0;999;i
DM;aptfrr999i;p0p100;1976;0.0;999;i
DM;aptfrr999i;p0p100;1977;0.0;999;i
DM;aptfrr999i;p0p100;1978;0.0;999;i
DM;aptfrr999i;p0p100;1979;0.0;999;i
DM;aptfrr999i;p0p100;1980;0.0;999;i
DM;aptfrr999i;p0p100;1981;0.0;999;i
DM;aptfrr999i;p0p100;1982;0.0;999;i
DM;aptfrr999i;p0p100;1983;0.0;999;i
DM;aptfrr999i;p0p100;1984;0.0;999;i
DM;aptfrr999i;p0p100;1985;0.0;999;i
DM;aptfrr999i;p0p100;1986;0.0;999;i
DM;aptfrr999i;p0p100;1987;0.0;999;i
DM;aptfrr999i;p0p100;1988;0.0;999;i
DM;aptfrr999i;p0p100;1989;0.0;999;i
DM;aptfrr999i;p0p100;1990;0.0;999;i
DM;aptfrr999i;p0p100;1991;0.0;999;i
DM;aptfrr999i;p0p100;1992;0.0;999;i
DM;aptfrr999i;p0p100;1993;0.0;999;i
DM;aptfrr999i;p0p100;1994;0.0;999;i
DM;aptfrr999i;p0p100;1995;0.0;999;i
DM;aptfrr999i;p0p100;1996;0.0;999;i
DM;aptfrr999i;p0p100;1997;0.0;999;i
DM;aptfrr999i;p0p100;1998;0.0;999;i
DM;aptfrr999i;p0p100;1999;0.0;999;i
DM;aptfrr999i;p0p100;2000;0.0;999;i
DM;aptfrr999i;p0p100;2001;0.0;999;i
DM;aptfrr999i;p0p100;2002;0.0;999;i
DM;aptfrr999i;p0p100;2003;0.0;999;i
DM;aptfrr999i;p0p100;2004;0.0;999;i
DM;aptfrr999i;p0p100;2005;0.0;999;i
DM;aptfrr999i;p0p100;2006;0.0;999;i
DM;aptfrr999i;p0p100;2007;0.0;999;i
DM;aptfrr999i;p0p100;2008;0.0;999;i
DM;aptfrr999i;p0p100;2009;0.0;999;i
DM;aptfrr999i;p0p100;2010;0.0;999;i
DM;aptfrr999i;p0p100;2011;0.0;999;i
DM;aptfrr999i;p0p100;2012;0.0;999;i
DM;aptfrr999i;p0p100;2013;0.0;999;i
DM;aptfrr999i;p0p100;2014;0.0;999;i
DM;aptfrr999i;p0p100;2015;0.0;999;i
DM;aptfrr999i;p0p100;2016;0.0;999;i
DM;aptfrr999i;p0p100;2017;0.0;999;i
DM;aptfrr999i;p0p100;2018;0.0;999;i
DM;aptfrr999i;p0p100;2019;0.0;999;i
DM;aptfrr999i;p0p100;2020;0.0;999;i
DM;aptfrr999i;p0p100;2021;0.0;999;i
DM;mconfc999i;p0p100;1970;17223926.0;999;i
DM;mconfc999i;p0p100;1971;18938190.0;999;i
DM;mconfc999i;p0p100;1972;17809292.0;999;i
DM;mconfc999i;p0p100;1973;16546123.0;999;i
DM;mconfc999i;p0p100;1974;18196506.0;999;i
DM;mconfc999i;p0p100;1975;19714342.0;999;i
DM;mconfc999i;p0p100;1976;21050392.0;999;i
DM;mconfc999i;p0p100;1977;22131938.0;999;i
DM;mconfc999i;p0p100;1978;22976928.0;999;i
DM;mconfc999i;p0p100;1979;23682438.0;999;i
DM;mconfc999i;p0p100;1980;24788374.0;999;i
DM;mconfc999i;p0p100;1981;26279828.0;999;i
DM;mconfc999i;p0p100;1982;27953536.0;999;i
DM;mconfc999i;p0p100;1983;29708970.0;999;i
DM;mconfc999i;p0p100;1984;31562200.0;999;i
DM;mconfc999i;p0p100;1985;33568228.0;999;i
DM;mconfc999i;p0p100;1986;35822020.0;999;i
DM;mconfc999i;p0p100;1987;38231252.0;999;i
DM;mconfc999i;p0p100;1988;40594200.0;999;i
DM;mconfc999i;p0p100;1989;42679672.0;999;i
DM;mconfc999i;p0p100;1990;44498176.0;999;i
DM;mconfc999i;p0p100;1991;45999616.0;999;i
DM;mconfc999i;p0p100;1992;47268416.0;999;i
DM;mconfc999i;p0p100;1993;48417948.0;999;i
DM;mconfc999i;p0p100;1994;49580156.0;999;i
DM;mconfc999i;p0p100;1995;50899444.0;999;i
DM;mconfc999i;p0p100;1996;52362292.0;999;i
DM;mconfc999i;p0p100;1997;53856560.0;999;i
DM;mconfc999i;p0p100;1998;55250824.0;999;i
DM;mconfc999i;p0p100;1999;56392456.0;999;i
DM;mconfc999i;p0p100;2000;57312052.0;999;i
DM;mconfc999i;p0p100;2001;58111936.0;999;i
DM;mconfc999i;p0p100;2002;59087020.0;999;i
DM;mconfc999i;p0p100;2003;60606608.0;999;i
DM;mconfc999i;p0p100;2004;62626832.0;999;i
DM;mconfc999i;p0p100;2005;65130552.0;999;i
DM;mconfc999i;p0p100;2006;68133576.0;999;i
DM;mconfc999i;p0p100;2007;71342264.0;999;i
DM;mconfc999i;p0p100;2008;74192480.0;999;i
DM;mconfc999i;p0p100;2009;76133248.0;999;i
DM;mconfc999i;p0p100;2010;77213992.0;999;i
DM;mconfc999i;p0p100;2011;77657760.0;999;i
DM;mconfc999i;p0p100;2012;77777400.0;999;i
DM;mconfc999i;p0p100;2013;77856872.0;999;i
DM;mconfc999i;p0p100;2014;77964184.0;999;i
DM;mconfc999i;p0p100;2015;77796336.0;999;i
DM;mconfc999i;p0p100;2016;77302432.0;999;i
DM;mconfc999i;p0p100;2017;76313304.0;999;i
DM;mconfc999i;p0p100;2018;74987080.0;999;i
DM;mconfc999i;p0p100;2019;72957232.0;999;i
DM;mconfc999i;p0p100;2020;69901688.0;999;i
DM;mconfc999i;p0p100;2021;66775488.0;999;i
DM;xlcusx999i;p0p100;1960;1.71429002285004;999;i
DM;xlcusx999i;p0p100;1961;1.71429002285004;999;i
DM;xlcusx999i;p0p100;1962;1.71429002285004;999;i
DM;xlcusx999i;p0p100;1963;1.71429002285004;999;i
DM;xlcusx999i;p0p100;1964;1.71429002285004;999;i
DM;xlcusx999i;p0p100;1965;1.71429002285004;999;i
DM;xlcusx999i;p0p100;1966;1.71429002285004;999;i
DM;xlcusx999i;p0p100;1967;1.76190829277039;999;i
DM;xlcusx999i;p0p100;1968;2.0;999;i
DM;xlcusx999i;p0p100;1969;2.0;999;i
DM;xlcusx999i;p0p100;1970;2.0;999;i
DM;xlcusx999i;p0p100;1971;1.97487270832062;999;i
