country;variable;percentile;year;value;age;pop
FM;ansrco992i;p0p100;1995;960.8;992;i
FM;ansrco992i;p0p100;1996;663.9;992;i
FM;ansrco992i;p0p100;1997;402.4;992;i
FM;ansrco992i;p0p100;1998;804.1;992;i
FM;ansrco992i;p0p100;1999;605.2;992;i
FM;ansrco992i;p0p100;2000;895.6;992;i
FM;ansrco992i;p0p100;2001;961.0;992;i
FM;ansrco992i;p0p100;2002;788.0;992;i
FM;ansrco992i;p0p100;2003;816.6;992;i
FM;ansrco992i;p0p100;2004;670.8;992;i
FM;ansrco992i;p0p100;2005;790.8;992;i
FM;ansrco992i;p0p100;2006;695.1;992;i
FM;ansrco992i;p0p100;2007;732.0;992;i
FM;ansrco992i;p0p100;2008;938.3;992;i
FM;ansrco992i;p0p100;2009;1056.5;992;i
FM;ansrco992i;p0p100;2010;987.7;992;i
FM;ansrco992i;p0p100;2011;1162.3;992;i
FM;ansrco992i;p0p100;2012;1429.2;992;i
FM;ansrco992i;p0p100;2013;1189.9;992;i
FM;ansrco992i;p0p100;2014;1219.0;992;i
FM;ansrco992i;p0p100;2015;858.3;992;i
FM;ansrco992i;p0p100;2016;1003.9;992;i
FM;ansrco992i;p0p100;2017;1256.2;992;i
FM;ansrco992i;p0p100;2018;1648.6;992;i
FM;aptxgo999i;p0p100;1995;180.9;999;i
FM;aptxgo999i;p0p100;1996;142.2;999;i
FM;aptxgo999i;p0p100;1997;161.7;999;i
FM;aptxgo999i;p0p100;1998;185.0;999;i
FM;aptxgo999i;p0p100;1999;218.1;999;i
FM;aptxgo999i;p0p100;2000;231.3;999;i
FM;aptxgo999i;p0p100;2001;210.8;999;i
FM;aptxgo999i;p0p100;2002;223.2;999;i
FM;aptxgo999i;p0p100;2003;260.1;999;i
FM;aptxgo999i;p0p100;2004;285.2;999;i
FM;aptxgo999i;p0p100;2005;328.2;999;i
FM;aptxgo999i;p0p100;2006;327.0;999;i
FM;aptxgo999i;p0p100;2007;308.0;999;i
FM;aptxgo999i;p0p100;2008;276.1;999;i
FM;aptxgo999i;p0p100;2009;309.6;999;i
FM;aptxgo999i;p0p100;2010;345.2;999;i
FM;aptxgo999i;p0p100;2011;320.4;999;i
FM;aptxgo999i;p0p100;2012;299.3;999;i
FM;aptxgo999i;p0p100;2013;290.0;999;i
FM;aptxgo999i;p0p100;2014;233.8;999;i
FM;aptxgo999i;p0p100;2015;271.8;999;i
FM;aptxgo999i;p0p100;2016;276.0;999;i
FM;aptxgo999i;p0p100;2017;287.9;999;i
FM;aptxgo999i;p0p100;2018;276.3;999;i
FM;mnsmho999i;p0p100;1995;108492552.0;999;i
FM;mnsmho999i;p0p100;1996;107608912.0;999;i
FM;mnsmho999i;p0p100;1997;112094352.0;999;i
FM;mnsmho999i;p0p100;1998;113529984.0;999;i
FM;mnsmho999i;p0p100;1999;116689440.0;999;i
FM;mnsmho999i;p0p100;2000;119469664.0;999;i
FM;mnsmho999i;p0p100;2001;121099368.0;999;i
FM;mnsmho999i;p0p100;2002;119607376.0;999;i
FM;mnsmho999i;p0p100;2003;117929088.0;999;i
FM;mnsmho999i;p0p100;2004;112700848.0;999;i
FM;mnsmho999i;p0p100;2005;113064016.0;999;i
FM;mnsmho999i;p0p100;2006;113934024.0;999;i
FM;mnsmho999i;p0p100;2007;115410336.0;999;i
FM;mnsmho999i;p0p100;2008;115662056.0;999;i
FM;mnsmho999i;p0p100;2009;118293416.0;999;i
FM;mnsmho999i;p0p100;2010;117383672.0;999;i
FM;mnsmho999i;p0p100;2011;117793896.0;999;i
FM;mnsmho999i;p0p100;2012;111329616.0;999;i
FM;mnsmho999i;p0p100;2013;113978624.0;999;i
FM;mnsmho999i;p0p100;2014;116388784.0;999;i
FM;mnsmho999i;p0p100;2015;120145440.0;999;i
FM;mnsmho999i;p0p100;2016;117813864.0;999;i
FM;mnsmho999i;p0p100;2017;114994016.0;999;i
FM;mnsmho999i;p0p100;2018;102598416.0;999;i
FM;acfcnp992i;p0p100;1995;2.4;992;i
FM;acfcnp992i;p0p100;1996;3.2;992;i
FM;acfcnp992i;p0p100;1997;3.6;992;i
FM;acfcnp992i;p0p100;1998;2.2;992;i
FM;acfcnp992i;p0p100;1999;3.2;992;i
FM;acfcnp992i;p0p100;2000;2.5;992;i
FM;acfcnp992i;p0p100;2001;2.5;992;i
FM;acfcnp992i;p0p100;2002;3.0;992;i
FM;acfcnp992i;p0p100;2003;2.6;992;i
FM;acfcnp992i;p0p100;2004;3.0;992;i
FM;acfcnp992i;p0p100;2005;3.0;992;i
FM;acfcnp992i;p0p100;2006;3.1;992;i
FM;acfcnp992i;p0p100;2007;3.1;992;i
FM;acfcnp992i;p0p100;2008;2.4;992;i
FM;acfcnp992i;p0p100;2009;1.6;992;i
FM;acfcnp992i;p0p100;2010;2.1;992;i
FM;acfcnp992i;p0p100;2011;2.0;992;i
FM;acfcnp992i;p0p100;2012;1.1;992;i
FM;acfcnp992i;p0p100;2013;0.9;992;i
FM;acfcnp992i;p0p100;2014;0.9;992;i
FM;acfcnp992i;p0p100;2015;2.1;992;i
FM;acfcnp992i;p0p100;2016;2.1;992;i
FM;acfcnp992i;p0p100;2017;2.1;992;i
FM;acfcnp992i;p0p100;2018;2.0;992;i
FM;acomnx992i;p0p100;2009;-44.2;992;i
FM;acomnx992i;p0p100;2010;-51.4;992;i
FM;acomnx992i;p0p100;2011;-44.9;992;i
FM;acomnx992i;p0p100;2012;-45.5;992;i
FM;acomnx992i;p0p100;2013;-20.4;992;i
FM;acomnx992i;p0p100;2014;-33.4;992;i
FM;npopul802m;p0p100;1950;79.0;802;m
FM;npopul802m;p0p100;1951;76.0;802;m
FM;npopul802m;p0p100;1952;75.0;802;m
FM;npopul802m;p0p100;1953;72.0;802;m
FM;npopul802m;p0p100;1954;69.0;802;m
FM;npopul802m;p0p100;1955;60.0;802;m
FM;npopul802m;p0p100;1956;60.0;802;m
FM;npopul802m;p0p100;1957;65.0;802;m
FM;npopul802m;p0p100;1958;65.0;802;m
FM;npopul802m;p0p100;1959;66.0;802;m
FM;npopul802m;p0p100;1960;65.0;802;m
FM;npopul802m;p0p100;1961;65.0;802;m
FM;npopul802m;p0p100;1962;71.0;802;m
FM;npopul802m;p0p100;1963;74.0;802;m
FM;npopul802m;p0p100;1964;76.0;802;m
FM;npopul802m;p0p100;1965;72.0;802;m
FM;npopul802m;p0p100;1966;73.0;802;m
FM;npopul802m;p0p100;1967;81.0;802;m
FM;npopul802m;p0p100;1968;84.0;802;m
FM;npopul802m;p0p100;1969;85.0;802;m
FM;npopul802m;p0p100;1970;87.0;802;m
FM;npopul802m;p0p100;1971;87.0;802;m
FM;npopul802m;p0p100;1972;93.0;802;m
FM;npopul802m;p0p100;1973;100.0;802;m
FM;npopul802m;p0p100;1974;110.0;802;m
FM;npopul802m;p0p100;1975;125.0;802;m
FM;npopul802m;p0p100;1976;138.0;802;m
FM;npopul802m;p0p100;1977;152.0;802;m
FM;npopul802m;p0p100;1978;160.0;802;m
FM;npopul802m;p0p100;1979;160.0;802;m
FM;npopul802m;p0p100;1980;150.0;802;m
FM;npopul802m;p0p100;1981;155.0;802;m
FM;npopul802m;p0p100;1982;157.0;802;m
FM;npopul802m;p0p100;1983;150.0;802;m
FM;npopul802m;p0p100;1984;144.0;802;m
FM;npopul802m;p0p100;1985;135.0;802;m
FM;npopul802m;p0p100;1986;143.0;802;m
FM;npopul802m;p0p100;1987;146.0;802;m
FM;npopul802m;p0p100;1988;149.0;802;m
FM;npopul802m;p0p100;1989;148.0;802;m
FM;npopul802m;p0p100;1990;151.0;802;m
FM;npopul802m;p0p100;1991;166.0;802;m
FM;npopul802m;p0p100;1992;172.0;802;m
FM;npopul802m;p0p100;1993;170.0;802;m
FM;npopul802m;p0p100;1994;161.0;802;m
FM;npopul802m;p0p100;1995;147.0;802;m
FM;npopul802m;p0p100;1996;169.0;802;m
FM;npopul802m;p0p100;1997;191.0;802;m
FM;npopul802m;p0p100;1998;204.0;802;m
FM;npopul802m;p0p100;1999;217.0;802;m
FM;npopul802m;p0p100;2000;232.0;802;m
FM;npopul802m;p0p100;2001;258.0;802;m
FM;npopul802m;p0p100;2002;288.0;802;m
FM;npopul802m;p0p100;2003;313.0;802;m
FM;npopul802m;p0p100;2004;329.0;802;m
FM;npopul802m;p0p100;2005;330.0;802;m
FM;npopul802m;p0p100;2006;323.0;802;m
FM;npopul802m;p0p100;2007;299.0;802;m
FM;npopul802m;p0p100;2008;267.0;802;m
FM;npopul802m;p0p100;2009;231.0;802;m
FM;npopul802m;p0p100;2010;194.0;802;m
FM;npopul802m;p0p100;2011;190.0;802;m
FM;npopul802m;p0p100;2012;185.0;802;m
FM;npopul802m;p0p100;2013;172.0;802;m
FM;npopul802m;p0p100;2014;153.0;802;m
FM;npopul802m;p0p100;2015;129.0;802;m
FM;npopul802m;p0p100;2016;133.0;802;m
FM;npopul802m;p0p100;2017;135.0;802;m
FM;npopul802m;p0p100;2018;132.0;802;m
FM;npopul802m;p0p100;2019;120.0;802;m
FM;npopul802m;p0p100;2020;102.0;802;m
FM;npopul802m;p0p100;2021;102.0;802;m
FM;atpigo992i;p0p100;1995;520.9;992;i
FM;atpigo992i;p0p100;1996;521.1;992;i
FM;atpigo992i;p0p100;1997;501.0;992;i
FM;atpigo992i;p0p100;1998;558.9;992;i
FM;atpigo992i;p0p100;1999;632.5;992;i
FM;atpigo992i;p0p100;2000;683.7;992;i
FM;atpigo992i;p0p100;2001;633.5;992;i
FM;atpigo992i;p0p100;2002;575.4;992;i
FM;atpigo992i;p0p100;2003;620.6;992;i
FM;atpigo992i;p0p100;2004;626.2;992;i
FM;atpigo992i;p0p100;2005;713.2;992;i
FM;atpigo992i;p0p100;2006;689.8;992;i
FM;atpigo992i;p0p100;2007;638.4;992;i
FM;atpigo992i;p0p100;2008;619.2;992;i
FM;atpigo992i;p0p100;2009;656.1;992;i
FM;atpigo992i;p0p100;2010;683.8;992;i
FM;atpigo992i;p0p100;2011;644.3;992;i
FM;atpigo992i;p0p100;2012;581.7;992;i
FM;atpigo992i;p0p100;2013;555.4;992;i
FM;atpigo992i;p0p100;2014;471.6;992;i
FM;atpigo992i;p0p100;2015;534.4;992;i
FM;atpigo992i;p0p100;2016;526.8;992;i
FM;atpigo992i;p0p100;2017;536.5;992;i
FM;atpigo992i;p0p100;2018;511.9;992;i
FM;mgsrho999i;p0p100;1995;1069299.0;999;i
FM;mgsrho999i;p0p100;1996;1073619.0;999;i
FM;mgsrho999i;p0p100;1997;1122550.0;999;i
FM;mgsrho999i;p0p100;1998;1102483.0;999;i
FM;mgsrho999i;p0p100;1999;1145927.0;999;i
FM;mgsrho999i;p0p100;2000;1119537.0;999;i
FM;mgsrho999i;p0p100;2001;888441.0;999;i
FM;mgsrho999i;p0p100;2002;659857.0;999;i
FM;mgsrho999i;p0p100;2003;437196.0;999;i
FM;mgsrho999i;p0p100;2004;0.0;999;i
FM;mgsrho999i;p0p100;2005;0.0;999;i
FM;mgsrho999i;p0p100;2006;0.0;999;i
FM;mgsrho999i;p0p100;2007;0.0;999;i
FM;mgsrho999i;p0p100;2008;0.0;999;i
FM;mgsrho999i;p0p100;2009;0.0;999;i
FM;mgsrho999i;p0p100;2010;0.0;999;i
FM;mgsrho999i;p0p100;2011;0.0;999;i
FM;mgsrho999i;p0p100;2012;0.0;999;i
FM;mgsrho999i;p0p100;2013;0.0;999;i
FM;mgsrho999i;p0p100;2014;0.0;999;i
FM;mgsrho999i;p0p100;2015;0.0;999;i
FM;mgsrho999i;p0p100;2016;0.0;999;i
FM;mgsrho999i;p0p100;2017;0.0;999;i
FM;mgsrho999i;p0p100;2018;0.0;999;i
FM;mnsmhn999i;p0p100;1995;108375480.0;999;i
FM;mnsmhn999i;p0p100;1996;107453200.0;999;i
FM;mnsmhn999i;p0p100;1997;111913712.0;999;i
FM;mnsmhn999i;p0p100;1998;113419864.0;999;i
FM;mnsmhn999i;p0p100;1999;116526776.0;999;i
FM;mnsmhn999i;p0p100;2000;119344520.0;999;i
FM;mnsmhn999i;p0p100;2001;120973744.0;999;i
FM;mnsmhn999i;p0p100;2002;119452064.0;999;i
FM;mnsmhn999i;p0p100;2003;117795152.0;999;i
FM;mnsmhn999i;p0p100;2004;112545352.0;999;i
FM;mnsmhn999i;p0p100;2005;112908664.0;999;i
FM;mnsmhn999i;p0p100;2006;113769560.0;999;i
FM;mnsmhn999i;p0p100;2007;115244736.0;999;i
FM;mnsmhn999i;p0p100;2008;115533040.0;999;i
FM;mnsmhn999i;p0p100;2009;118209696.0;999;i
FM;mnsmhn999i;p0p100;2010;117271000.0;999;i
FM;mnsmhn999i;p0p100;2011;117685104.0;999;i
FM;mnsmhn999i;p0p100;2012;111268608.0;999;i
