country;variable;percentile;year;value;age;pop
GD;aptfrx992i;p0p100;1977;111.4;992;i
GD;aptfrx992i;p0p100;1978;94.5;992;i
GD;aptfrx992i;p0p100;1979;228.3;992;i
GD;aptfrx992i;p0p100;1980;285.3;992;i
GD;aptfrx992i;p0p100;1981;308.6;992;i
GD;aptfrx992i;p0p100;1982;322.2;992;i
GD;aptfrx992i;p0p100;1983;343.3;992;i
GD;aptfrx992i;p0p100;1984;259.7;992;i
GD;aptfrx992i;p0p100;1985;235.4;992;i
GD;aptfrx992i;p0p100;1986;271.2;992;i
GD;aptfrx992i;p0p100;1987;231.2;992;i
GD;aptfrx992i;p0p100;1988;348.2;992;i
GD;aptfrx992i;p0p100;1989;309.7;992;i
GD;aptfrx992i;p0p100;1990;299.7;992;i
GD;aptfrx992i;p0p100;1991;336.7;992;i
GD;aptfrx992i;p0p100;1992;393.2;992;i
GD;aptfrx992i;p0p100;1993;276.0;992;i
GD;aptfrx992i;p0p100;1994;375.0;992;i
GD;aptfrx992i;p0p100;1995;491.0;992;i
GD;aptfrx992i;p0p100;1996;450.2;992;i
GD;aptfrx992i;p0p100;1997;435.6;992;i
GD;aptfrx992i;p0p100;1998;382.4;992;i
GD;aptfrx992i;p0p100;1999;379.3;992;i
GD;aptfrx992i;p0p100;2000;344.4;992;i
GD;aptfrx992i;p0p100;2001;233.5;992;i
GD;aptfrx992i;p0p100;2002;260.0;992;i
GD;aptfrx992i;p0p100;2003;237.0;992;i
GD;aptfrx992i;p0p100;2004;348.9;992;i
GD;aptfrx992i;p0p100;2005;672.2;992;i
GD;aptfrx992i;p0p100;2006;683.8;992;i
GD;aptfrx992i;p0p100;2007;706.9;992;i
GD;aptfrx992i;p0p100;2008;369.3;992;i
GD;aptfrx992i;p0p100;2009;362.8;992;i
GD;aptfrx992i;p0p100;2010;319.3;992;i
GD;aptfrx992i;p0p100;2011;254.3;992;i
GD;aptfrx992i;p0p100;2012;282.7;992;i
GD;aptfrx992i;p0p100;2013;270.6;992;i
GD;aptfrx992i;p0p100;2014;475.8;992;i
GD;aptfrx992i;p0p100;2015;437.7;992;i
GD;aptfrx992i;p0p100;2016;397.4;992;i
GD;aptfrx992i;p0p100;2017;350.5;992;i
GD;aptfrx992i;p0p100;2018;370.8;992;i
GD;apinrx992i;p0p100;1977;111.4;992;i
GD;apinrx992i;p0p100;1978;94.5;992;i
GD;apinrx992i;p0p100;1979;228.3;992;i
GD;apinrx992i;p0p100;1980;285.3;992;i
GD;apinrx992i;p0p100;1981;308.6;992;i
GD;apinrx992i;p0p100;1982;322.2;992;i
GD;apinrx992i;p0p100;1983;343.3;992;i
GD;apinrx992i;p0p100;1984;259.7;992;i
GD;apinrx992i;p0p100;1985;235.4;992;i
GD;apinrx992i;p0p100;1986;271.2;992;i
GD;apinrx992i;p0p100;1987;231.2;992;i
GD;apinrx992i;p0p100;1988;348.2;992;i
GD;apinrx992i;p0p100;1989;309.7;992;i
GD;apinrx992i;p0p100;1990;314.1;992;i
GD;apinrx992i;p0p100;1991;348.2;992;i
GD;apinrx992i;p0p100;1992;393.2;992;i
GD;apinrx992i;p0p100;1993;294.9;992;i
GD;apinrx992i;p0p100;1994;380.2;992;i
GD;apinrx992i;p0p100;1995;496.0;992;i
GD;apinrx992i;p0p100;1996;459.7;992;i
GD;apinrx992i;p0p100;1997;441.6;992;i
GD;apinrx992i;p0p100;1998;389.8;992;i
GD;apinrx992i;p0p100;1999;401.8;992;i
GD;apinrx992i;p0p100;2000;357.7;992;i
GD;apinrx992i;p0p100;2001;251.0;992;i
GD;apinrx992i;p0p100;2002;268.0;992;i
GD;apinrx992i;p0p100;2003;238.2;992;i
GD;apinrx992i;p0p100;2004;349.1;992;i
GD;apinrx992i;p0p100;2005;672.5;992;i
GD;apinrx992i;p0p100;2006;686.3;992;i
GD;apinrx992i;p0p100;2007;708.5;992;i
GD;apinrx992i;p0p100;2008;379.3;992;i
GD;apinrx992i;p0p100;2009;374.9;992;i
GD;apinrx992i;p0p100;2010;321.1;992;i
GD;apinrx992i;p0p100;2011;254.6;992;i
GD;apinrx992i;p0p100;2012;294.6;992;i
GD;apinrx992i;p0p100;2013;282.0;992;i
GD;apinrx992i;p0p100;2014;480.4;992;i
GD;apinrx992i;p0p100;2015;444.1;992;i
GD;apinrx992i;p0p100;2016;400.1;992;i
GD;apinrx992i;p0p100;2017;370.3;992;i
GD;apinrx992i;p0p100;2018;391.8;992;i
GD;aptfrx999i;p0p100;1977;50.6;999;i
GD;aptfrx999i;p0p100;1978;43.7;999;i
GD;aptfrx999i;p0p100;1979;106.8;999;i
GD;aptfrx999i;p0p100;1980;134.0;999;i
GD;aptfrx999i;p0p100;1981;147.3;999;i
GD;aptfrx999i;p0p100;1982;155.9;999;i
GD;aptfrx999i;p0p100;1983;168.1;999;i
GD;aptfrx999i;p0p100;1984;128.6;999;i
GD;aptfrx999i;p0p100;1985;118.0;999;i
GD;aptfrx999i;p0p100;1986;137.4;999;i
GD;aptfrx999i;p0p100;1987;117.8;999;i
GD;aptfrx999i;p0p100;1988;177.8;999;i
GD;aptfrx999i;p0p100;1989;157.7;999;i
GD;aptfrx999i;p0p100;1990;151.8;999;i
GD;aptfrx999i;p0p100;1991;172.5;999;i
GD;aptfrx999i;p0p100;1992;204.1;999;i
GD;aptfrx999i;p0p100;1993;145.0;999;i
GD;aptfrx999i;p0p100;1994;198.9;999;i
