country;variable;percentile;year;value;age;pop
GI;xlcusx999i;p0p100;1960;0.357142984867096;999;i
GI;xlcusx999i;p0p100;1961;0.357142984867096;999;i
GI;xlcusx999i;p0p100;1962;0.357142984867096;999;i
GI;xlcusx999i;p0p100;1963;0.357142984867096;999;i
GI;xlcusx999i;p0p100;1964;0.357142984867096;999;i
GI;xlcusx999i;p0p100;1965;0.357142984867096;999;i
GI;xlcusx999i;p0p100;1966;0.357142984867096;999;i
GI;xlcusx999i;p0p100;1967;0.362103343009949;999;i
GI;xlcusx999i;p0p100;1968;0.416666984558106;999;i
GI;xlcusx999i;p0p100;1969;0.416666984558106;999;i
GI;xlcusx999i;p0p100;1970;0.416666984558106;999;i
GI;xlcusx999i;p0p100;1971;0.410920232534409;999;i
GI;xlcusx999i;p0p100;1972;0.400390475988388;999;i
GI;xlcusx999i;p0p100;1973;0.408170938491821;999;i
GI;xlcusx999i;p0p100;1974;0.427756428718567;999;i
GI;xlcusx999i;p0p100;1975;0.452041178941727;999;i
GI;xlcusx999i;p0p100;1976;0.556509852409363;999;i
GI;xlcusx999i;p0p100;1977;0.573271989822388;999;i
GI;xlcusx999i;p0p100;1978;0.521504580974579;999;i
GI;xlcusx999i;p0p100;1979;0.472181171178818;999;i
GI;xlcusx999i;p0p100;1980;0.430294990539551;999;i
GI;xlcusx999i;p0p100;1981;0.497641324996948;999;i
GI;xlcusx999i;p0p100;1982;0.572446823120117;999;i
GI;xlcusx999i;p0p100;1983;0.659724593162537;999;i
GI;xlcusx999i;p0p100;1984;0.751806676387787;999;i
GI;xlcusx999i;p0p100;1985;0.779245972633362;999;i
GI;xlcusx999i;p0p100;1986;0.682197332382202;999;i
GI;xlcusx999i;p0p100;1987;0.6119264960289;999;i
GI;xlcusx999i;p0p100;1988;0.562170147895813;999;i
GI;xlcusx999i;p0p100;1989;0.611172735691071;999;i
GI;xlcusx999i;p0p100;1990;0.563177168369293;999;i
GI;xlcusx999i;p0p100;1991;0.56701534986496;999;i
GI;xlcusx999i;p0p100;1992;0.569774150848389;999;i
GI;xlcusx999i;p0p100;1993;0.666756570339203;999;i
GI;xlcusx999i;p0p100;1994;0.653426587581635;999;i
GI;xlcusx999i;p0p100;1995;0.633668124675751;999;i
GI;xlcusx999i;p0p100;1996;0.640958249568939;999;i
GI;xlcusx999i;p0p100;1997;0.610836088657379;999;i
GI;xlcusx999i;p0p100;1998;0.603823602199554;999;i
GI;xlcusx999i;p0p100;1999;0.618056833744049;999;i
GI;xlcusx999i;p0p100;2000;0.660930812358856;999;i
GI;xlcusx999i;p0p100;2001;0.694655001163483;999;i
GI;xlcusx999i;p0p100;2002;0.667223334312439;999;i
GI;xlcusx999i;p0p100;2003;0.612472474575043;999;i
GI;xlcusx999i;p0p100;2004;0.546180009841919;999;i
GI;xlcusx999i;p0p100;2005;0.549998342990875;999;i
GI;xlcusx999i;p0p100;2006;0.543486654758453;999;i
GI;xlcusx999i;p0p100;2007;0.499771654605865;999;i
GI;xlcusx999i;p0p100;2008;0.543966233730316;999;i
GI;xlcusx999i;p0p100;2009;0.641919255256653;999;i
GI;xlcusx999i;p0p100;2010;0.647179365158081;999;i
GI;xlcusx999i;p0p100;2011;0.624140858650208;999;i
GI;xlcusx999i;p0p100;2012;0.633046984672546;999;i
GI;xlcusx999i;p0p100;2013;0.639660596847534;999;i
GI;xlcusx999i;p0p100;2014;0.607729613780975;999;i
GI;xlcusx999i;p0p100;2015;0.654545485973358;999;i
GI;xlcusx999i;p0p100;2016;0.740634441375732;999;i
GI;xlcusx999i;p0p100;2017;0.776976704597473;999;i
GI;xlcusx999i;p0p100;2018;0.74953156709671;999;i
GI;xlcusx999i;p0p100;2019;0.783445119857788;999;i
GI;xlcusx999i;p0p100;2020;0.779999554157257;999;i
GI;xlcyux999i;p0p100;1960;0.145073397849514;999;i
GI;xlcyux999i;p0p100;1961;0.145073397849514;999;i
GI;xlcyux999i;p0p100;1962;0.145073397849514;999;i
GI;xlcyux999i;p0p100;1963;0.145073397849514;999;i
GI;xlcyux999i;p0p100;1964;0.145073397849514;999;i
GI;xlcyux999i;p0p100;1965;0.145073397849514;999;i
GI;xlcyux999i;p0p100;1966;0.145073397849514;999;i
GI;xlcyux999i;p0p100;1967;0.147088321957857;999;i
GI;xlcyux999i;p0p100;1968;0.169252366090993;999;i
GI;xlcyux999i;p0p100;1969;0.169252366090993;999;i
GI;xlcyux999i;p0p100;1970;0.169252366090993;999;i
GI;xlcyux999i;p0p100;1971;0.166918004566332;999;i
GI;xlcyux999i;p0p100;1972;0.17834237562591;999;i
GI;xlcyux999i;p0p100;1973;0.205171284267834;999;i
GI;xlcyux999i;p0p100;1974;0.218119867662426;999;i
GI;xlcyux999i;p0p100;1975;0.243055976192797;999;i
GI;xlcyux999i;p0p100;1976;0.286651624497752;999;i
GI;xlcyux999i;p0p100;1977;0.308571847301097;999;i
GI;xlcyux999i;p0p100;1978;0.309757570856899;999;i
GI;xlcyux999i;p0p100;1979;0.303665415673824;999;i
GI;xlcyux999i;p0p100;1980;0.287172319573936;999;i
GI;xlcyux999i;p0p100;1981;0.29195022327854;999;i
GI;xlcyux999i;p0p100;1982;0.302475152417612;999;i
GI;xlcyux999i;p0p100;1983;0.333923645112282;999;i
GI;xlcyux999i;p0p100;1984;0.32404878347049;999;i
GI;xlcyux999i;p0p100;1985;0.265351250012381;999;i
GI;xlcyux999i;p0p100;1986;0.197578479522731;999;i
GI;xlcyux999i;p0p100;1987;0.164403560578823;999;i
GI;xlcyux999i;p0p100;1988;0.151035744595099;999;i
GI;xlcyux999i;p0p100;1989;0.162325404576454;999;i
GI;xlcyux999i;p0p100;1990;0.117740463049222;999;i
GI;xlcyux999i;p0p100;1991;0.106513931300907;999;i
GI;xlcyux999i;p0p100;1992;0.103321185407236;999;i
GI;xlcyux999i;p0p100;1993;0.115717010813408;999;i
GI;xlcyux999i;p0p100;1994;0.0758146045098998;999;i
GI;xlcyux999i;p0p100;1995;0.0758755257879468;999;i
GI;xlcyux999i;p0p100;1996;0.077092228199353;999;i
GI;xlcyux999i;p0p100;1997;0.0736851126194607;999;i
GI;xlcyux999i;p0p100;1998;0.0729347314982623;999;i
GI;xlcyux999i;p0p100;1999;0.0746603271356741;999;i
GI;xlcyux999i;p0p100;2000;0.0798369829486094;999;i
GI;xlcyux999i;p0p100;2001;0.0839252485990827;999;i
GI;xlcyux999i;p0p100;2002;0.0806121492532739;999;i
GI;xlcyux999i;p0p100;2003;0.0739965882991121;999;i
GI;xlcyux999i;p0p100;2004;0.0659892635606886;999;i
GI;xlcyux999i;p0p100;2005;0.0671194868490208;999;i
GI;xlcyux999i;p0p100;2006;0.0681621449663164;999;i
GI;xlcyux999i;p0p100;2007;0.0656943173789494;999;i
GI;xlcyux999i;p0p100;2008;0.0782836712532869;999;i
GI;xlcyux999i;p0p100;2009;0.093965766838809;999;i
GI;xlcyux999i;p0p100;2010;0.0955913824227901;999;i
GI;xlcyux999i;p0p100;2011;0.0965943779741617;999;i
GI;xlcyux999i;p0p100;2012;0.100287329860935;999;i
GI;xlcyux999i;p0p100;2013;0.103241695602406;999;i
GI;xlcyux999i;p0p100;2014;0.0989234374557338;999;i
GI;xlcyux999i;p0p100;2015;0.105105851918723;999;i
GI;xlcyux999i;p0p100;2016;0.111466161636459;999;i
GI;xlcyux999i;p0p100;2017;0.114958550915657;999;i
GI;xlcyux999i;p0p100;2018;0.113291476596053;999;i
GI;xlcyux999i;p0p100;2019;0.113404962598875;999;i
GI;xlcyux999i;p0p100;2020;0.113030843856788;999;i
GI;xlceux999i;p0p100;1999;0.658710407426658;999;i
GI;xlceux999i;p0p100;2000;0.610443959182986;999;i
GI;xlceux999i;p0p100;2001;0.62215355538525;999;i
GI;xlceux999i;p0p100;2002;0.630908843742307;999;i
GI;xlceux999i;p0p100;2003;0.692804605867786;999;i
GI;xlceux999i;p0p100;2004;0.679394586139961;999;i
GI;xlceux999i;p0p100;2005;0.684247610902027;999;i
GI;xlceux999i;p0p100;2006;0.682401202102332;999;i
GI;xlceux999i;p0p100;2007;0.68492610320759;999;i
GI;xlceux999i;p0p100;2008;0.800041289675565;999;i
GI;xlceux999i;p0p100;2009;0.895337710584331;999;i
GI;xlceux999i;p0p100;2010;0.857976461068786;999;i
GI;xlceux999i;p0p100;2011;0.868776157939299;999;i
GI;xlceux999i;p0p100;2012;0.813331580176266;999;i
GI;xlceux999i;p0p100;2013;0.849544774939653;999;i
GI;xlceux999i;p0p100;2014;0.807369239740261;999;i
GI;xlceux999i;p0p100;2015;0.726226643374934;999;i
GI;xlceux999i;p0p100;2016;0.819810545654562;999;i
GI;xlceux999i;p0p100;2017;0.877735958722492;999;i
GI;xlceux999i;p0p100;2018;0.885162680600582;999;i
GI;xlceux999i;p0p100;2019;0.877054959280155;999;i
GI;xlceux999i;p0p100;2020;0.890639352009901;999;i
GI;npopul999i;p0p100;1950;22039.0;999;i
GI;npopul999i;p0p100;1951;22285.0;999;i
GI;npopul999i;p0p100;1952;22485.0;999;i
GI;npopul999i;p0p100;1953;22625.0;999;i
GI;npopul999i;p0p100;1954;22721.0;999;i
GI;npopul999i;p0p100;1955;22788.0;999;i
GI;npopul999i;p0p100;1956;22830.0;999;i
GI;npopul999i;p0p100;1957;22880.0;999;i
GI;npopul999i;p0p100;1958;22974.0;999;i
GI;npopul999i;p0p100;1959;23151.0;999;i
GI;npopul999i;p0p100;1960;23420.0;999;i
GI;npopul999i;p0p100;1961;23813.0;999;i
GI;npopul999i;p0p100;1962;24313.0;999;i
GI;npopul999i;p0p100;1963;24889.0;999;i
GI;npopul999i;p0p100;1964;25479.0;999;i
GI;npopul999i;p0p100;1965;26073.0;999;i
GI;npopul999i;p0p100;1966;26633.0;999;i
GI;npopul999i;p0p100;1967;27173.0;999;i
GI;npopul999i;p0p100;1968;27685.0;999;i
GI;npopul999i;p0p100;1969;28166.0;999;i
GI;npopul999i;p0p100;1970;28606.0;999;i
GI;npopul999i;p0p100;1971;29006.0;999;i
GI;npopul999i;p0p100;1972;29358.0;999;i
GI;npopul999i;p0p100;1973;29650.0;999;i
GI;npopul999i;p0p100;1974;29886.0;999;i
GI;npopul999i;p0p100;1975;30067.0;999;i
GI;npopul999i;p0p100;1976;30180.0;999;i
GI;npopul999i;p0p100;1977;30234.0;999;i
GI;npopul999i;p0p100;1978;30232.0;999;i
GI;npopul999i;p0p100;1979;30169.0;999;i
GI;npopul999i;p0p100;1980;30065.0;999;i
GI;npopul999i;p0p100;1981;29902.0;999;i
GI;npopul999i;p0p100;1982;29691.0;999;i
GI;npopul999i;p0p100;1983;29482.0;999;i
GI;npopul999i;p0p100;1984;29283.0;999;i
GI;npopul999i;p0p100;1985;29154.0;999;i
GI;npopul999i;p0p100;1986;29094.0;999;i
GI;npopul999i;p0p100;1987;29115.0;999;i
GI;npopul999i;p0p100;1988;29159.0;999;i
GI;npopul999i;p0p100;1989;29187.0;999;i
GI;npopul999i;p0p100;1990;29147.0;999;i
GI;npopul999i;p0p100;1991;29022.0;999;i
GI;npopul999i;p0p100;1992;28840.0;999;i
GI;npopul999i;p0p100;1993;28675.0;999;i
GI;npopul999i;p0p100;1994;28602.0;999;i
GI;npopul999i;p0p100;1995;28692.0;999;i
GI;npopul999i;p0p100;1996;28971.0;999;i
GI;npopul999i;p0p100;1997;29408.0;999;i
GI;npopul999i;p0p100;1998;29947.0;999;i
GI;npopul999i;p0p100;1999;30529.0;999;i
GI;npopul999i;p0p100;2000;31077.0;999;i
GI;npopul999i;p0p100;2001;31602.0;999;i
GI;npopul999i;p0p100;2002;32102.0;999;i
GI;npopul999i;p0p100;2003;32555.0;999;i
GI;npopul999i;p0p100;2004;32928.0;999;i
GI;npopul999i;p0p100;2005;33219.0;999;i
GI;npopul999i;p0p100;2006;33417.0;999;i
GI;npopul999i;p0p100;2007;33517.0;999;i
GI;npopul999i;p0p100;2008;33559.0;999;i
GI;npopul999i;p0p100;2009;33565.0;999;i
GI;npopul999i;p0p100;2010;33585.0;999;i
GI;npopul999i;p0p100;2011;33612.0;999;i
GI;npopul999i;p0p100;2012;33646.0;999;i
GI;npopul999i;p0p100;2013;33692.0;999;i
GI;npopul999i;p0p100;2014;33725.0;999;i
GI;npopul999i;p0p100;2015;33736.0;999;i
GI;npopul999i;p0p100;2016;33737.0;999;i
GI;npopul999i;p0p100;2017;33728.0;999;i
GI;npopul999i;p0p100;2018;33718.0;999;i
GI;npopul999i;p0p100;2019;33701.0;999;i
GI;npopul999i;p0p100;2020;33691.0;999;i
GI;npopul999i;p0p100;2021;33698.0;999;i
