country;variable;percentile;year;value;age;pop
GL;npopul999i;p0p100;1950;22996.0;999;i
GL;npopul999i;p0p100;1951;23473.0;999;i
GL;npopul999i;p0p100;1952;23938.0;999;i
GL;npopul999i;p0p100;1953;24469.0;999;i
GL;npopul999i;p0p100;1954;25093.0;999;i
GL;npopul999i;p0p100;1955;25846.0;999;i
GL;npopul999i;p0p100;1956;26718.0;999;i
GL;npopul999i;p0p100;1957;27731.0;999;i
GL;npopul999i;p0p100;1958;28850.0;999;i
GL;npopul999i;p0p100;1959;30017.0;999;i
GL;npopul999i;p0p100;1960;31239.0;999;i
GL;npopul999i;p0p100;1961;32471.0;999;i
GL;npopul999i;p0p100;1962;33730.0;999;i
GL;npopul999i;p0p100;1963;35043.0;999;i
GL;npopul999i;p0p100;1964;36445.0;999;i
GL;npopul999i;p0p100;1965;37964.0;999;i
GL;npopul999i;p0p100;1966;39610.0;999;i
GL;npopul999i;p0p100;1967;41361.0;999;i
GL;npopul999i;p0p100;1968;43097.0;999;i
GL;npopul999i;p0p100;1969;44699.0;999;i
GL;npopul999i;p0p100;1970;46074.0;999;i
GL;npopul999i;p0p100;1971;47186.0;999;i
GL;npopul999i;p0p100;1972;48077.0;999;i
GL;npopul999i;p0p100;1973;48738.0;999;i
GL;npopul999i;p0p100;1974;49234.0;999;i
GL;npopul999i;p0p100;1975;49586.0;999;i
GL;npopul999i;p0p100;1976;49780.0;999;i
GL;npopul999i;p0p100;1977;49844.0;999;i
GL;npopul999i;p0p100;1978;49860.0;999;i
GL;npopul999i;p0p100;1979;49946.0;999;i
GL;npopul999i;p0p100;1980;50179.0;999;i
GL;npopul999i;p0p100;1981;50584.0;999;i
GL;npopul999i;p0p100;1982;51157.0;999;i
GL;npopul999i;p0p100;1983;51829.0;999;i
GL;npopul999i;p0p100;1984;52534.0;999;i
GL;npopul999i;p0p100;1985;53190.0;999;i
GL;npopul999i;p0p100;1986;53797.0;999;i
GL;npopul999i;p0p100;1987;54373.0;999;i
GL;npopul999i;p0p100;1988;54878.0;999;i
GL;npopul999i;p0p100;1989;55295.0;999;i
GL;npopul999i;p0p100;1990;55604.0;999;i
GL;npopul999i;p0p100;1991;55789.0;999;i
GL;npopul999i;p0p100;1992;55861.0;999;i
GL;npopul999i;p0p100;1993;55848.0;999;i
GL;npopul999i;p0p100;1994;55815.0;999;i
GL;npopul999i;p0p100;1995;55811.0;999;i
GL;npopul999i;p0p100;1996;55837.0;999;i
GL;npopul999i;p0p100;1997;55881.0;999;i
GL;npopul999i;p0p100;1998;55948.0;999;i
