country;variable;percentile;year;value;age;pop
GQ;aptinc992j;p0p7;1980;52.2;992;j
GQ;aptinc992j;p0p7;1981;52.8;992;j
GQ;aptinc992j;p0p7;1982;50.6;992;j
GQ;aptinc992j;p0p7;1983;49.6;992;j
GQ;aptinc992j;p0p7;1984;46.9;992;j
GQ;aptinc992j;p0p7;1985;50.2;992;j
GQ;aptinc992j;p0p7;1986;47.2;992;j
GQ;aptinc992j;p0p7;1987;45.5;992;j
GQ;aptinc992j;p0p7;1988;45.1;992;j
GQ;aptinc992j;p0p7;1989;43.0;992;j
GQ;aptinc992j;p0p7;1990;41.1;992;j
GQ;aptinc992j;p0p7;1991;39.6;992;j
GQ;aptinc992j;p0p7;1992;54.3;992;j
GQ;aptinc992j;p0p7;1993;56.6;992;j
GQ;aptinc992j;p0p7;1994;63.4;992;j
GQ;aptinc992j;p0p7;1995;65.9;992;j
GQ;aptinc992j;p0p7;1996;102.9;992;j
GQ;aptinc992j;p0p7;1997;250.6;992;j
GQ;aptinc992j;p0p7;1998;290.0;992;j
GQ;aptinc992j;p0p7;1999;339.9;992;j
GQ;aptinc992j;p0p7;2000;373.9;992;j
GQ;aptinc992j;p0p7;2001;599.3;992;j
GQ;aptinc992j;p0p7;2002;684.5;992;j
GQ;aptinc992j;p0p7;2003;751.9;992;j
GQ;aptinc992j;p0p7;2004;993.2;992;j
GQ;aptinc992j;p0p7;2005;986.6;992;j
GQ;aptinc992j;p0p7;2006;1027.5;992;j
GQ;aptinc992j;p0p7;2007;1133.0;992;j
GQ;aptinc992j;p0p7;2008;1285.7;992;j
GQ;aptinc992j;p0p7;2009;1185.7;992;j
GQ;aptinc992j;p0p7;2010;1020.5;992;j
GQ;aptinc992j;p0p7;2011;1054.6;992;j
GQ;aptinc992j;p0p7;2012;1093.8;992;j
GQ;aptinc992j;p0p7;2013;973.2;992;j
GQ;aptinc992j;p0p7;2014;912.9;992;j
GQ;aptinc992j;p0p7;2015;742.4;992;j
GQ;aptinc992j;p0p7;2016;630.5;992;j
GQ;aptinc992j;p0p7;2017;579.1;992;j
GQ;aptinc992j;p0p7;2018;525.1;992;j
GQ;aptinc992j;p0p7;2019;460.7;992;j
GQ;aptinc992j;p0p7;2020;427.3;992;j
GQ;aptinc992j;p0p7;2021;445.3;992;j
GQ;aptinc992j;p0p99.9;1980;307917536.0;992;j
GQ;aptinc992j;p0p99.9;1981;311559808.0;992;j
GQ;aptinc992j;p0p99.9;1982;298598816.0;992;j
GQ;aptinc992j;p0p99.9;1983;292605440.0;992;j
GQ;aptinc992j;p0p99.9;1984;276444096.0;992;j
GQ;aptinc992j;p0p99.9;1985;296077856.0;992;j
GQ;aptinc992j;p0p99.9;1986;277978688.0;992;j
GQ;aptinc992j;p0p99.9;1987;267779152.0;992;j
GQ;aptinc992j;p0p99.9;1988;265650816.0;992;j
GQ;aptinc992j;p0p99.9;1989;252927744.0;992;j
GQ;aptinc992j;p0p99.9;1990;241858624.0;992;j
GQ;aptinc992j;p0p99.9;1991;233231040.0;992;j
GQ;aptinc992j;p0p99.9;1992;319674624.0;992;j
GQ;aptinc992j;p0p99.9;1993;332811808.0;992;j
GQ;aptinc992j;p0p99.9;1994;371610048.0;992;j
GQ;aptinc992j;p0p99.9;1995;386043744.0;992;j
GQ;aptinc992j;p0p99.9;1996;608618496.0;992;j
GQ;aptinc992j;p0p99.9;1997;1492870016.0;992;j
GQ;aptinc992j;p0p99.9;1998;1743540480.0;992;j
GQ;aptinc992j;p0p99.9;1999;2063291008.0;992;j
GQ;aptinc992j;p0p99.9;2000;2288992768.0;992;j
GQ;aptinc992j;p0p99.9;2001;3632159232.0;992;j
GQ;aptinc992j;p0p99.9;2002;4126588928.0;992;j
GQ;aptinc992j;p0p99.9;2003;4458061824.0;992;j
GQ;aptinc992j;p0p99.9;2004;5893280768.0;992;j
GQ;aptinc992j;p0p99.9;2005;6431872512.0;992;j
GQ;aptinc992j;p0p99.9;2006;6612876800.0;992;j
GQ;aptinc992j;p0p99.9;2007;7212743168.0;992;j
GQ;aptinc992j;p0p99.9;2008;8090784256.0;992;j
GQ;aptinc992j;p0p99.9;2009;7428752384.0;992;j
GQ;aptinc992j;p0p99.9;2010;6371390976.0;992;j
GQ;aptinc992j;p0p99.9;2011;6550544384.0;992;j
GQ;aptinc992j;p0p99.9;2012;6749131264.0;992;j
GQ;aptinc992j;p0p99.9;2013;6052446208.0;992;j
GQ;aptinc992j;p0p99.9;2014;5722311680.0;992;j
GQ;aptinc992j;p0p99.9;2015;4670609920.0;992;j
GQ;aptinc992j;p0p99.9;2016;3980918272.0;992;j
GQ;aptinc992j;p0p99.9;2017;3673406464.0;992;j
GQ;aptinc992j;p0p99.9;2018;3345428224.0;992;j
GQ;aptinc992j;p0p99.9;2019;2935337472.0;992;j
GQ;aptinc992j;p0p99.9;2020;2722464256.0;992;j
GQ;aptinc992j;p0p99.9;2021;2837531904.0;992;j
GQ;aptinc992j;p0p99.99;1980;3235106304.0;992;j
GQ;aptinc992j;p0p99.99;1981;3273417216.0;992;j
GQ;aptinc992j;p0p99.99;1982;3137305088.0;992;j
GQ;aptinc992j;p0p99.99;1983;3074399488.0;992;j
GQ;aptinc992j;p0p99.99;1984;2904636672.0;992;j
GQ;aptinc992j;p0p99.99;1985;3110946560.0;992;j
GQ;aptinc992j;p0p99.99;1986;2920758016.0;992;j
GQ;aptinc992j;p0p99.99;1987;2813549312.0;992;j
GQ;aptinc992j;p0p99.99;1988;2791125504.0;992;j
GQ;aptinc992j;p0p99.99;1989;2657374720.0;992;j
GQ;aptinc992j;p0p99.99;1990;2540998400.0;992;j
GQ;aptinc992j;p0p99.99;1991;2450269440.0;992;j
GQ;aptinc992j;p0p99.99;1992;3358296832.0;992;j
GQ;aptinc992j;p0p99.99;1993;3495479808.0;992;j
GQ;aptinc992j;p0p99.99;1994;3902085120.0;992;j
GQ;aptinc992j;p0p99.99;1995;4052771840.0;992;j
GQ;aptinc992j;p0p99.99;1996;6393210880.0;992;j
GQ;aptinc992j;p0p99.99;1997;15694328832.0;992;j
GQ;aptinc992j;p0p99.99;1998;18344499200.0;992;j
GQ;aptinc992j;p0p99.99;1999;21726552064.0;992;j
GQ;aptinc992j;p0p99.99;2000;24123025408.0;992;j
