country;variable;percentile;year;value;age;pop
GW;aptinc992j;p0p41;1980;51768.0;992;j
GW;aptinc992j;p0p41;1981;61439.5;992;j
GW;aptinc992j;p0p41;1982;62054.9;992;j
GW;aptinc992j;p0p41;1983;59089.7;992;j
GW;aptinc992j;p0p41;1984;63683.8;992;j
GW;aptinc992j;p0p41;1985;64968.8;992;j
GW;aptinc992j;p0p41;1986;61946.6;992;j
GW;aptinc992j;p0p41;1987;62801.8;992;j
GW;aptinc992j;p0p41;1988;64207.6;992;j
GW;aptinc992j;p0p41;1989;66512.2;992;j
GW;aptinc992j;p0p41;1990;70341.3;992;j
GW;aptinc992j;p0p41;1991;71452.7;992;j
GW;aptinc992j;p0p41;1992;95528.8;992;j
GW;aptinc992j;p0p41;1993;119716.6;992;j
GW;aptinc992j;p0p41;1994;126400.0;992;j
GW;aptinc992j;p0p41;1995;135180.5;992;j
GW;aptinc992j;p0p41;1996;153774.3;992;j
GW;aptinc992j;p0p41;1997;168323.4;992;j
GW;aptinc992j;p0p41;1998;120110.9;992;j
GW;aptinc992j;p0p41;1999;123268.3;992;j
GW;aptinc992j;p0p41;2000;131895.9;992;j
GW;aptinc992j;p0p41;2001;136283.1;992;j
GW;aptinc992j;p0p41;2002;136550.3;992;j
GW;aptinc992j;p0p41;2003;126810.0;992;j
GW;aptinc992j;p0p41;2004;120024.8;992;j
GW;aptinc992j;p0p41;2005;115349.8;992;j
GW;aptinc992j;p0p41;2006;108110.7;992;j
GW;aptinc992j;p0p41;2007;101802.4;992;j
GW;aptinc992j;p0p41;2008;94833.4;992;j
GW;aptinc992j;p0p41;2009;88588.8;992;j
GW;aptinc992j;p0p41;2010;84139.0;992;j
GW;aptinc992j;p0p41;2011;87001.7;992;j
GW;aptinc992j;p0p41;2012;81067.6;992;j
GW;aptinc992j;p0p41;2013;83623.4;992;j
GW;aptinc992j;p0p41;2014;85577.1;992;j
GW;aptinc992j;p0p41;2015;87172.8;992;j
GW;aptinc992j;p0p41;2016;88939.2;992;j
GW;aptinc992j;p0p41;2017;91150.6;992;j
GW;aptinc992j;p0p41;2018;85134.5;992;j
GW;aptinc992j;p0p41;2019;86041.2;992;j
GW;aptinc992j;p0p41;2020;81439.9;992;j
GW;aptinc992j;p0p41;2021;81657.6;992;j
GW;aptinc992j;p0p99.2;1980;60258444.0;992;j
GW;aptinc992j;p0p99.2;1981;71516144.0;992;j
GW;aptinc992j;p0p99.2;1982;72232496.0;992;j
GW;aptinc992j;p0p99.2;1983;68780848.0;992;j
GW;aptinc992j;p0p99.2;1984;74128448.0;992;j
GW;aptinc992j;p0p99.2;1985;75624200.0;992;j
GW;aptinc992j;p0p99.2;1986;72106320.0;992;j
GW;aptinc992j;p0p99.2;1987;73101824.0;992;j
GW;aptinc992j;p0p99.2;1988;74738168.0;992;j
GW;aptinc992j;p0p99.2;1989;77420808.0;992;j
GW;aptinc992j;p0p99.2;1990;81877920.0;992;j
GW;aptinc992j;p0p99.2;1991;83171592.0;992;j
GW;aptinc992j;p0p99.2;1992;85178752.0;992;j
GW;aptinc992j;p0p99.2;1993;87140888.0;992;j
GW;aptinc992j;p0p99.2;1994;89297840.0;992;j
GW;aptinc992j;p0p99.2;1995;92805736.0;992;j
GW;aptinc992j;p0p99.2;1996;102710120.0;992;j
GW;aptinc992j;p0p99.2;1997;109499320.0;992;j
GW;aptinc992j;p0p99.2;1998;76177072.0;992;j
GW;aptinc992j;p0p99.2;1999;76291776.0;992;j
GW;aptinc992j;p0p99.2;2000;79730744.0;992;j
GW;aptinc992j;p0p99.2;2001;80531560.0;992;j
GW;aptinc992j;p0p99.2;2002;78937928.0;992;j
GW;aptinc992j;p0p99.2;2003;76881488.0;992;j
GW;aptinc992j;p0p99.2;2004;76510528.0;992;j
GW;aptinc992j;p0p99.2;2005;77532024.0;992;j
GW;aptinc992j;p0p99.2;2006;76864480.0;992;j
GW;aptinc992j;p0p99.2;2007;76835208.0;992;j
GW;aptinc992j;p0p99.2;2008;76290264.0;992;j
GW;aptinc992j;p0p99.2;2009;76313696.0;992;j
GW;aptinc992j;p0p99.2;2010;78029024.0;992;j
GW;aptinc992j;p0p99.2;2011;80683840.0;992;j
GW;aptinc992j;p0p99.2;2012;75180656.0;992;j
GW;aptinc992j;p0p99.2;2013;77550872.0;992;j
GW;aptinc992j;p0p99.2;2014;79362760.0;992;j
GW;aptinc992j;p0p99.2;2015;80842456.0;992;j
GW;aptinc992j;p0p99.2;2016;82480600.0;992;j
GW;aptinc992j;p0p99.2;2017;84531440.0;992;j
GW;aptinc992j;p0p99.2;2018;78952160.0;992;j
GW;aptinc992j;p0p99.2;2019;79793096.0;992;j
GW;aptinc992j;p0p99.2;2020;75525952.0;992;j
GW;aptinc992j;p0p99.2;2021;75727896.0;992;j
GW;aptinc992j;p0p85;1980;1360586.6;992;j
GW;aptinc992j;p0p85;1981;1614776.3;992;j
GW;aptinc992j;p0p85;1982;1630950.9;992;j
GW;aptinc992j;p0p85;1983;1553015.5;992;j
GW;aptinc992j;p0p85;1984;1673759.9;992;j
GW;aptinc992j;p0p85;1985;1707532.8;992;j
GW;aptinc992j;p0p85;1986;1628102.0;992;j
GW;aptinc992j;p0p85;1987;1650579.8;992;j
GW;aptinc992j;p0p85;1988;1687527.0;992;j
GW;aptinc992j;p0p85;1989;1748098.9;992;j
GW;aptinc992j;p0p85;1990;1848736.9;992;j
GW;aptinc992j;p0p85;1991;1877946.9;992;j
GW;aptinc992j;p0p85;1992;2096779.3;992;j
GW;aptinc992j;p0p85;1993;2315766.5;992;j
GW;aptinc992j;p0p85;1994;2404726.3;992;j
GW;aptinc992j;p0p85;1995;2531638.3;992;j
GW;aptinc992j;p0p85;1996;2837259.0;992;j
GW;aptinc992j;p0p85;1997;3062093.5;992;j
GW;aptinc992j;p0p85;1998;2155861.0;992;j
GW;aptinc992j;p0p85;1999;2184423.8;992;j
GW;aptinc992j;p0p85;2000;2309010.3;992;j
GW;aptinc992j;p0p85;2001;2358250.3;992;j
GW;aptinc992j;p0p85;2002;2336795.0;992;j
GW;aptinc992j;p0p85;2003;2193971.8;992;j
GW;aptinc992j;p0p85;2004;2101585.3;992;j
GW;aptinc992j;p0p85;2005;2046479.3;992;j
GW;aptinc992j;p0p85;2006;1946125.4;992;j
GW;aptinc992j;p0p85;2007;1862381.6;992;j
GW;aptinc992j;p0p85;2008;1766449.5;992;j
GW;aptinc992j;p0p85;2009;1683922.5;992;j
GW;aptinc992j;p0p85;2010;1636497.0;992;j
GW;aptinc992j;p0p85;2011;1692176.3;992;j
GW;aptinc992j;p0p85;2012;1576758.5;992;j
GW;aptinc992j;p0p85;2013;1626468.8;992;j
GW;aptinc992j;p0p85;2014;1664469.4;992;j
GW;aptinc992j;p0p85;2015;1695503.0;992;j
GW;aptinc992j;p0p85;2016;1729859.5;992;j
GW;aptinc992j;p0p85;2017;1772871.8;992;j
GW;aptinc992j;p0p85;2018;1655857.8;992;j
GW;aptinc992j;p0p85;2019;1673494.8;992;j
GW;aptinc992j;p0p85;2020;1584000.3;992;j
GW;aptinc992j;p0p85;2021;1588235.5;992;j
GW;aptinc992j;p0p19;1980;5269.9;992;j
GW;aptinc992j;p0p19;1981;6254.4;992;j
GW;aptinc992j;p0p19;1982;6317.1;992;j
GW;aptinc992j;p0p19;1983;6015.3;992;j
GW;aptinc992j;p0p19;1984;6482.9;992;j
GW;aptinc992j;p0p19;1985;6613.7;992;j
GW;aptinc992j;p0p19;1986;6306.0;992;j
GW;aptinc992j;p0p19;1987;6393.1;992;j
GW;aptinc992j;p0p19;1988;6536.2;992;j
GW;aptinc992j;p0p19;1989;6770.8;992;j
GW;aptinc992j;p0p19;1990;7160.6;992;j
GW;aptinc992j;p0p19;1991;7273.8;992;j
GW;aptinc992j;p0p19;1992;10845.3;992;j
GW;aptinc992j;p0p19;1993;14435.9;992;j
GW;aptinc992j;p0p19;1994;15276.0;992;j
GW;aptinc992j;p0p19;1995;16371.2;992;j
GW;aptinc992j;p0p19;1996;18659.2;992;j
GW;aptinc992j;p0p19;1997;20461.5;992;j
GW;aptinc992j;p0p19;1998;14625.6;992;j
GW;aptinc992j;p0p19;1999;15033.9;992;j
GW;aptinc992j;p0p19;2000;16110.1;992;j
GW;aptinc992j;p0p19;2001;16669.4;992;j
GW;aptinc992j;p0p19;2002;16724.2;992;j
GW;aptinc992j;p0p19;2003;15503.3;992;j
GW;aptinc992j;p0p19;2004;14644.4;992;j
GW;aptinc992j;p0p19;2005;14042.7;992;j
GW;aptinc992j;p0p19;2006;13128.5;992;j
GW;aptinc992j;p0p19;2007;12327.4;992;j
GW;aptinc992j;p0p19;2008;11446.5;992;j
GW;aptinc992j;p0p19;2009;10653.2;992;j
GW;aptinc992j;p0p19;2010;10074.6;992;j
GW;aptinc992j;p0p19;2011;10417.3;992;j
GW;aptinc992j;p0p19;2012;9706.8;992;j
GW;aptinc992j;p0p19;2013;10012.8;992;j
GW;aptinc992j;p0p19;2014;10246.8;992;j
GW;aptinc992j;p0p19;2015;10437.8;992;j
GW;aptinc992j;p0p19;2016;10649.3;992;j
GW;aptinc992j;p0p19;2017;10914.1;992;j
GW;aptinc992j;p0p19;2018;10193.7;992;j
GW;aptinc992j;p0p19;2019;10302.3;992;j
GW;aptinc992j;p0p19;2020;9751.3;992;j
GW;aptinc992j;p0p19;2021;9777.4;992;j
GW;aptinc992j;p0p51;1980;105738.2;992;j
GW;aptinc992j;p0p51;1981;125492.6;992;j
GW;aptinc992j;p0p51;1982;126749.7;992;j
GW;aptinc992j;p0p51;1983;120693.0;992;j
GW;aptinc992j;p0p51;1984;130076.6;992;j
GW;aptinc992j;p0p51;1985;132701.3;992;j
GW;aptinc992j;p0p51;1986;126528.3;992;j
GW;aptinc992j;p0p51;1987;128275.1;992;j
GW;aptinc992j;p0p51;1988;131146.5;992;j
GW;aptinc992j;p0p51;1989;135853.8;992;j
GW;aptinc992j;p0p51;1990;143675.0;992;j
GW;aptinc992j;p0p51;1991;145945.0;992;j
GW;aptinc992j;p0p51;1992;186103.3;992;j
GW;aptinc992j;p0p51;1993;226429.3;992;j
GW;aptinc992j;p0p51;1994;238102.8;992;j
GW;aptinc992j;p0p51;1995;253680.0;992;j
GW;aptinc992j;p0p51;1996;287550.8;992;j
GW;aptinc992j;p0p51;1997;313710.8;992;j
GW;aptinc992j;p0p51;1998;223155.6;992;j
GW;aptinc992j;p0p51;1999;228347.4;992;j
GW;aptinc992j;p0p51;2000;243650.4;992;j
GW;aptinc992j;p0p51;2001;251093.6;992;j
GW;aptinc992j;p0p51;2002;250960.2;992;j
GW;aptinc992j;p0p51;2003;233638.7;992;j
GW;aptinc992j;p0p51;2004;221745.1;992;j
GW;aptinc992j;p0p51;2005;213758.3;992;j
GW;aptinc992j;p0p51;2006;201025.5;992;j
GW;aptinc992j;p0p51;2007;190019.9;992;j
GW;aptinc992j;p0p51;2008;177778.9;992;j
GW;aptinc992j;p0p51;2009;166893.6;992;j
GW;aptinc992j;p0p51;2010;159413.4;992;j
GW;aptinc992j;p0p51;2011;164837.2;992;j
GW;aptinc992j;p0p51;2012;153594.2;992;j
GW;aptinc992j;p0p51;2013;158436.6;992;j
GW;aptinc992j;p0p51;2014;162138.3;992;j
GW;aptinc992j;p0p51;2015;165161.3;992;j
GW;aptinc992j;p0p51;2016;168508.0;992;j
GW;aptinc992j;p0p51;2017;172697.9;992;j
GW;aptinc992j;p0p51;2018;161299.4;992;j
GW;aptinc992j;p0p51;2019;163017.4;992;j
GW;aptinc992j;p0p51;2020;154299.7;992;j
GW;aptinc992j;p0p51;2021;154712.2;992;j
GW;aptinc992j;p0p6;1980;0.0;992;j
GW;aptinc992j;p0p6;1981;0.0;992;j
GW;aptinc992j;p0p6;1982;0.0;992;j
GW;aptinc992j;p0p6;1983;0.1;992;j
GW;aptinc992j;p0p6;1984;0.0;992;j
GW;aptinc992j;p0p6;1985;0.0;992;j
GW;aptinc992j;p0p6;1986;0.0;992;j
GW;aptinc992j;p0p6;1987;0.0;992;j
GW;aptinc992j;p0p6;1988;0.0;992;j
GW;aptinc992j;p0p6;1989;0.0;992;j
GW;aptinc992j;p0p6;1990;0.0;992;j
GW;aptinc992j;p0p6;1991;0.0;992;j
GW;aptinc992j;p0p6;1992;0.0;992;j
GW;aptinc992j;p0p6;1993;0.0;992;j
GW;aptinc992j;p0p6;1994;0.1;992;j
GW;aptinc992j;p0p6;1995;0.0;992;j
GW;aptinc992j;p0p6;1996;0.0;992;j
GW;aptinc992j;p0p6;1997;0.0;992;j
GW;aptinc992j;p0p6;1998;0.0;992;j
GW;aptinc992j;p0p6;1999;0.0;992;j
GW;aptinc992j;p0p6;2000;0.0;992;j
GW;aptinc992j;p0p6;2001;0.0;992;j
GW;aptinc992j;p0p6;2002;0.0;992;j
GW;aptinc992j;p0p6;2003;0.0;992;j
GW;aptinc992j;p0p6;2004;0.0;992;j
GW;aptinc992j;p0p6;2005;0.0;992;j
GW;aptinc992j;p0p6;2006;0.1;992;j
GW;aptinc992j;p0p6;2007;0.0;992;j
GW;aptinc992j;p0p6;2008;0.0;992;j
GW;aptinc992j;p0p6;2009;0.1;992;j
