country;variable;percentile;year;value;age;pop
IM;mnweal999i;p0p100;1995;1044586245.0;999;i
IM;mnweal999i;p0p100;1996;1144354626.0;999;i
IM;mnweal999i;p0p100;1997;1263709770.0;999;i
IM;mnweal999i;p0p100;1998;1468916919.0;999;i
IM;mnweal999i;p0p100;1999;1714603382.0;999;i
IM;mnweal999i;p0p100;2000;1840556168.0;999;i
IM;mnweal999i;p0p100;2001;1989615955.0;999;i
IM;mnweal999i;p0p100;2002;2185028735.0;999;i
IM;mnweal999i;p0p100;2003;2412741602.0;999;i
IM;mnweal999i;p0p100;2004;2660412495.0;999;i
IM;mnweal999i;p0p100;2005;2971113844.0;999;i
IM;mnweal999i;p0p100;2006;3385785805.0;999;i
IM;mnweal999i;p0p100;2007;3834290272.0;999;i
IM;mnweal999i;p0p100;2008;4189965860.0;999;i
IM;mnweal999i;p0p100;2009;4399776697.0;999;i
IM;mnweal999i;p0p100;2010;4650682659.0;999;i
IM;mnweal999i;p0p100;2011;4811989102.0;999;i
IM;mnweal999i;p0p100;2012;5273543716.0;999;i
IM;mnweal999i;p0p100;2013;5586642429.0;999;i
IM;mnweal999i;p0p100;2014;6005699027.0;999;i
IM;mnweal999i;p0p100;2015;6084801039.0;999;i
IM;mnweal999i;p0p100;2016;6743517409.0;999;i
IM;mnweal999i;p0p100;2017;7331953613.0;999;i
IM;mnweal999i;p0p100;2018;8341465380.0;999;i
IM;mnweal999i;p0p100;2019;8610511138.0;999;i
IM;mnweal999i;p0p100;2020;8928177324.0;999;i
IM;mnweal999i;p0p100;2021;9268481199.0;999;i
IM;anweal999i;p0p100;1995;14481.8;999;i
IM;anweal999i;p0p100;1996;15702.3;999;i
IM;anweal999i;p0p100;1997;17111.8;999;i
IM;anweal999i;p0p100;1998;19600.5;999;i
IM;anweal999i;p0p100;1999;22560.3;999;i
IM;anweal999i;p0p100;2000;23921.7;999;i
IM;anweal999i;p0p100;2001;25605.4;999;i
IM;anweal999i;p0p100;2002;27899.4;999;i
IM;anweal999i;p0p100;2003;30585.9;999;i
IM;anweal999i;p0p100;2004;33455.9;999;i
IM;anweal999i;p0p100;2005;36997.9;999;i
IM;anweal999i;p0p100;2006;41653.3;999;i
IM;anweal999i;p0p100;2007;46528.1;999;i
IM;anweal999i;p0p100;2008;50174.4;999;i
IM;anweal999i;p0p100;2009;52144.9;999;i
IM;anweal999i;p0p100;2010;54806.1;999;i
IM;anweal999i;p0p100;2011;56687.7;999;i
IM;anweal999i;p0p100;2012;62384.4;999;i
IM;anweal999i;p0p100;2013;66526.7;999;i
IM;anweal999i;p0p100;2014;71934.9;999;i
IM;anweal999i;p0p100;2015;73104.8;999;i
IM;anweal999i;p0p100;2016;80967.2;999;i
IM;anweal999i;p0p100;2017;87704.9;999;i
IM;anweal999i;p0p100;2018;99212.2;999;i
IM;anweal999i;p0p100;2019;101798.3;999;i
IM;anweal999i;p0p100;2020;104996.6;999;i
IM;anweal999i;p0p100;2021;108517.5;999;i
IM;aptfrr999i;p0p100;1984;0.0;999;i
IM;aptfrr999i;p0p100;1985;0.0;999;i
IM;aptfrr999i;p0p100;1986;0.0;999;i
IM;aptfrr999i;p0p100;1987;0.0;999;i
IM;aptfrr999i;p0p100;1988;0.0;999;i
IM;aptfrr999i;p0p100;1989;0.0;999;i
IM;aptfrr999i;p0p100;1990;0.0;999;i
IM;aptfrr999i;p0p100;1991;0.0;999;i
IM;aptfrr999i;p0p100;1992;0.0;999;i
IM;aptfrr999i;p0p100;1993;0.0;999;i
IM;aptfrr999i;p0p100;1994;0.0;999;i
IM;aptfrr999i;p0p100;1995;0.0;999;i
IM;aptfrr999i;p0p100;1996;0.0;999;i
IM;aptfrr999i;p0p100;1997;0.0;999;i
IM;aptfrr999i;p0p100;1998;0.0;999;i
IM;aptfrr999i;p0p100;1999;0.0;999;i
IM;aptfrr999i;p0p100;2000;0.0;999;i
IM;aptfrr999i;p0p100;2001;0.0;999;i
IM;aptfrr999i;p0p100;2002;0.0;999;i
IM;aptfrr999i;p0p100;2003;0.0;999;i
IM;aptfrr999i;p0p100;2004;0.0;999;i
IM;aptfrr999i;p0p100;2005;0.0;999;i
IM;aptfrr999i;p0p100;2006;0.0;999;i
IM;aptfrr999i;p0p100;2007;0.0;999;i
IM;aptfrr999i;p0p100;2008;0.0;999;i
IM;aptfrr999i;p0p100;2009;0.0;999;i
IM;aptfrr999i;p0p100;2010;0.0;999;i
IM;aptfrr999i;p0p100;2011;0.0;999;i
IM;aptfrr999i;p0p100;2012;0.0;999;i
IM;aptfrr999i;p0p100;2013;0.0;999;i
