country;variable;percentile;year;value;age;pop
KI;agninc999i;p0p100;1970;3276.3;999;i
KI;agninc999i;p0p100;1971;3150.2;999;i
KI;agninc999i;p0p100;1972;1905.5;999;i
KI;agninc999i;p0p100;1973;2297.6;999;i
KI;agninc999i;p0p100;1974;3119.5;999;i
KI;agninc999i;p0p100;1975;3239.7;999;i
KI;agninc999i;p0p100;1976;2337.9;999;i
KI;agninc999i;p0p100;1977;2196.9;999;i
KI;agninc999i;p0p100;1978;2187.2;999;i
KI;agninc999i;p0p100;1979;4040.2;999;i
KI;agninc999i;p0p100;1980;3807.7;999;i
KI;agninc999i;p0p100;1981;3455.4;999;i
KI;agninc999i;p0p100;1982;3735.8;999;i
KI;agninc999i;p0p100;1983;3518.3;999;i
KI;agninc999i;p0p100;1984;3737.7;999;i
KI;agninc999i;p0p100;1985;3662.9;999;i
KI;agninc999i;p0p100;1986;3668.2;999;i
KI;agninc999i;p0p100;1987;3292.0;999;i
KI;agninc999i;p0p100;1988;3388.1;999;i
KI;agninc999i;p0p100;1989;3276.5;999;i
KI;agninc999i;p0p100;1990;3267.2;999;i
KI;agninc999i;p0p100;1991;3170.8;999;i
KI;agninc999i;p0p100;1992;3093.5;999;i
KI;agninc999i;p0p100;1993;2938.6;999;i
KI;agninc999i;p0p100;1994;2857.4;999;i
KI;agninc999i;p0p100;1995;3280.5;999;i
KI;agninc999i;p0p100;1996;2471.0;999;i
KI;agninc999i;p0p100;1997;3330.8;999;i
KI;agninc999i;p0p100;1998;3647.9;999;i
KI;agninc999i;p0p100;1999;3153.2;999;i
KI;agninc999i;p0p100;2000;3465.8;999;i
KI;agninc999i;p0p100;2001;3851.9;999;i
KI;agninc999i;p0p100;2002;3616.2;999;i
KI;agninc999i;p0p100;2003;3202.7;999;i
KI;agninc999i;p0p100;2004;3098.0;999;i
KI;agninc999i;p0p100;2005;3237.2;999;i
KI;agninc999i;p0p100;2006;3262.3;999;i
KI;agninc999i;p0p100;2007;3276.2;999;i
KI;agninc999i;p0p100;2008;3171.4;999;i
KI;agninc999i;p0p100;2009;2964.6;999;i
KI;agninc999i;p0p100;2010;3044.3;999;i
KI;agninc999i;p0p100;2011;2858.2;999;i
KI;agninc999i;p0p100;2012;3240.8;999;i
KI;agninc999i;p0p100;2013;3587.7;999;i
KI;agninc999i;p0p100;2014;4040.4;999;i
KI;agninc999i;p0p100;2015;4833.2;999;i
KI;agninc999i;p0p100;2016;4301.0;999;i
KI;agninc999i;p0p100;2017;4643.0;999;i
KI;agninc999i;p0p100;2018;4671.6;999;i
KI;agninc999i;p0p100;2019;4889.6;999;i
KI;agninc999i;p0p100;2020;4726.3;999;i
KI;agninc999i;p0p100;2021;4723.9;999;i
KI;aothgo999i;p0p100;1972;347.9;999;i
