country;variable;percentile;year;value;age;pop
KM;aptinc992j;p0p61;1980;542754.8;992;j
KM;aptinc992j;p0p61;1981;545704.1;992;j
KM;aptinc992j;p0p61;1982;566400.8;992;j
KM;aptinc992j;p0p61;1983;575786.1;992;j
KM;aptinc992j;p0p61;1984;583793.3;992;j
KM;aptinc992j;p0p61;1985;578792.3;992;j
KM;aptinc992j;p0p61;1986;575244.1;992;j
KM;aptinc992j;p0p61;1987;570426.8;992;j
KM;aptinc992j;p0p61;1988;569058.2;992;j
KM;aptinc992j;p0p61;1989;538383.6;992;j
KM;aptinc992j;p0p61;1990;549054.9;992;j
KM;aptinc992j;p0p61;1991;501773.3;992;j
KM;aptinc992j;p0p61;1992;537768.8;992;j
KM;aptinc992j;p0p61;1993;536756.8;992;j
KM;aptinc992j;p0p61;1994;488692.9;992;j
KM;aptinc992j;p0p61;1995;493789.7;992;j
KM;aptinc992j;p0p61;1996;455272.5;992;j
KM;aptinc992j;p0p61;1997;443669.9;992;j
KM;aptinc992j;p0p61;1998;418797.4;992;j
KM;aptinc992j;p0p61;1999;396907.8;992;j
KM;aptinc992j;p0p61;2000;411074.3;992;j
KM;aptinc992j;p0p61;2001;389878.4;992;j
KM;aptinc992j;p0p61;2002;368976.1;992;j
KM;aptinc992j;p0p61;2003;345219.5;992;j
KM;aptinc992j;p0p61;2004;323572.3;992;j
KM;aptinc992j;p0p61;2005;338360.0;992;j
KM;aptinc992j;p0p61;2006;353094.5;992;j
KM;aptinc992j;p0p61;2007;360986.4;992;j
KM;aptinc992j;p0p61;2008;378166.3;992;j
KM;aptinc992j;p0p61;2009;393473.9;992;j
KM;aptinc992j;p0p61;2010;411278.8;992;j
KM;aptinc992j;p0p61;2011;431769.0;992;j
KM;aptinc992j;p0p61;2012;447349.7;992;j
KM;aptinc992j;p0p61;2013;470241.3;992;j
KM;aptinc992j;p0p61;2014;484597.8;992;j
KM;aptinc992j;p0p61;2015;475856.8;992;j
KM;aptinc992j;p0p61;2016;478738.3;992;j
KM;aptinc992j;p0p61;2017;483443.8;992;j
KM;aptinc992j;p0p61;2018;488296.4;992;j
KM;aptinc992j;p0p61;2019;483349.3;992;j
KM;aptinc992j;p0p61;2020;471017.6;992;j
KM;aptinc992j;p0p61;2021;458125.3;992;j
KM;aptinc992j;p0p94;1980;10441154.0;992;j
KM;aptinc992j;p0p94;1981;10497886.0;992;j
KM;aptinc992j;p0p94;1982;10896035.0;992;j
KM;aptinc992j;p0p94;1983;11076588.0;992;j
KM;aptinc992j;p0p94;1984;11230626.0;992;j
KM;aptinc992j;p0p94;1985;11134418.0;992;j
KM;aptinc992j;p0p94;1986;11066162.0;992;j
KM;aptinc992j;p0p94;1987;10973485.0;992;j
KM;aptinc992j;p0p94;1988;10947157.0;992;j
KM;aptinc992j;p0p94;1989;10357063.0;992;j
KM;aptinc992j;p0p94;1990;10562347.0;992;j
KM;aptinc992j;p0p94;1991;9652780.0;992;j
KM;aptinc992j;p0p94;1992;10345237.0;992;j
KM;aptinc992j;p0p94;1993;10325764.0;992;j
KM;aptinc992j;p0p94;1994;9401147.0;992;j
KM;aptinc992j;p0p94;1995;9499196.0;992;j
KM;aptinc992j;p0p94;1996;8756709.0;992;j
KM;aptinc992j;p0p94;1997;8531951.0;992;j
KM;aptinc992j;p0p94;1998;8052017.5;992;j
KM;aptinc992j;p0p94;1999;7629492.5;992;j
KM;aptinc992j;p0p94;2000;7899930.0;992;j
KM;aptinc992j;p0p94;2001;7490654.0;992;j
KM;aptinc992j;p0p94;2002;7087052.5;992;j
KM;aptinc992j;p0p94;2003;6628687.5;992;j
KM;aptinc992j;p0p94;2004;6210898.5;992;j
KM;aptinc992j;p0p94;2005;6494967.5;992;j
KM;aptinc992j;p0p94;2006;6778011.0;992;j
KM;aptinc992j;p0p94;2007;6929705.5;992;j
KM;aptinc992j;p0p94;2008;7259691.5;992;j
KM;aptinc992j;p0p94;2009;7553736.5;992;j
KM;aptinc992j;p0p94;2010;7895725.0;992;j
KM;aptinc992j;p0p94;2011;8289273.0;992;j
KM;aptinc992j;p0p94;2012;8588558.0;992;j
KM;aptinc992j;p0p94;2013;9028214.0;992;j
KM;aptinc992j;p0p94;2014;9304005.0;992;j
KM;aptinc992j;p0p94;2015;9136183.0;992;j
KM;aptinc992j;p0p94;2016;9191505.0;992;j
KM;aptinc992j;p0p94;2017;9281849.0;992;j
KM;aptinc992j;p0p94;2018;9375016.0;992;j
KM;aptinc992j;p0p94;2019;9280033.0;992;j
KM;aptinc992j;p0p94;2020;9043269.0;992;j
KM;aptinc992j;p0p94;2021;8795744.0;992;j
KM;aptinc992j;p0p12;1980;3109.6;992;j
KM;aptinc992j;p0p12;1981;3126.5;992;j
KM;aptinc992j;p0p12;1982;3245.1;992;j
KM;aptinc992j;p0p12;1983;3298.8;992;j
KM;aptinc992j;p0p12;1984;3344.7;992;j
KM;aptinc992j;p0p12;1985;3316.0;992;j
KM;aptinc992j;p0p12;1986;3295.7;992;j
KM;aptinc992j;p0p12;1987;3268.1;992;j
KM;aptinc992j;p0p12;1988;3260.3;992;j
KM;aptinc992j;p0p12;1989;3084.5;992;j
KM;aptinc992j;p0p12;1990;3145.8;992;j
KM;aptinc992j;p0p12;1991;2874.8;992;j
KM;aptinc992j;p0p12;1992;3080.9;992;j
KM;aptinc992j;p0p12;1993;3075.3;992;j
KM;aptinc992j;p0p12;1994;2799.9;992;j
KM;aptinc992j;p0p12;1995;2829.0;992;j
KM;aptinc992j;p0p12;1996;2641.7;992;j
KM;aptinc992j;p0p12;1997;2609.4;992;j
KM;aptinc992j;p0p12;1998;2498.9;992;j
KM;aptinc992j;p0p12;1999;2404.8;992;j
KM;aptinc992j;p0p12;2000;2531.9;992;j
KM;aptinc992j;p0p12;2001;2444.0;992;j
KM;aptinc992j;p0p12;2002;2357.0;992;j
KM;aptinc992j;p0p12;2003;2250.6;992;j
KM;aptinc992j;p0p12;2004;2156.4;992;j
KM;aptinc992j;p0p12;2005;2241.0;992;j
KM;aptinc992j;p0p12;2006;2325.4;992;j
KM;aptinc992j;p0p12;2007;2364.9;992;j
KM;aptinc992j;p0p12;2008;2465.4;992;j
KM;aptinc992j;p0p12;2009;2553.8;992;j
KM;aptinc992j;p0p12;2010;2658.3;992;j
KM;aptinc992j;p0p12;2011;2779.9;992;j
KM;aptinc992j;p0p12;2012;2869.8;992;j
KM;aptinc992j;p0p12;2013;3006.4;992;j
KM;aptinc992j;p0p12;2014;3088.4;992;j
KM;aptinc992j;p0p12;2015;3032.7;992;j
KM;aptinc992j;p0p12;2016;3051.0;992;j
KM;aptinc992j;p0p12;2017;3081.0;992;j
KM;aptinc992j;p0p12;2018;3111.9;992;j
KM;aptinc992j;p0p12;2019;3080.4;992;j
KM;aptinc992j;p0p12;2020;3001.9;992;j
KM;aptinc992j;p0p12;2021;2919.7;992;j
KM;aptinc992j;p0p20;1980;18602.0;992;j
KM;aptinc992j;p0p20;1981;18703.1;992;j
KM;aptinc992j;p0p20;1982;19412.4;992;j
KM;aptinc992j;p0p20;1983;19734.1;992;j
KM;aptinc992j;p0p20;1984;20008.6;992;j
KM;aptinc992j;p0p20;1985;19837.1;992;j
KM;aptinc992j;p0p20;1986;19715.5;992;j
KM;aptinc992j;p0p20;1987;19550.4;992;j
KM;aptinc992j;p0p20;1988;19503.5;992;j
KM;aptinc992j;p0p20;1989;18452.2;992;j
KM;aptinc992j;p0p20;1990;18817.9;992;j
KM;aptinc992j;p0p20;1991;17197.5;992;j
KM;aptinc992j;p0p20;1992;18431.0;992;j
KM;aptinc992j;p0p20;1993;18396.5;992;j
KM;aptinc992j;p0p20;1994;16749.1;992;j
KM;aptinc992j;p0p20;1995;16923.7;992;j
KM;aptinc992j;p0p20;1996;15803.4;992;j
KM;aptinc992j;p0p20;1997;15610.2;992;j
