country;variable;percentile;year;value;age;pop
KN;annfin999i;p0p100;1980;-283.9;999;i
KN;annfin999i;p0p100;1981;-206.9;999;i
KN;annfin999i;p0p100;1982;108.4;999;i
KN;annfin999i;p0p100;1983;202.6;999;i
KN;annfin999i;p0p100;1984;14.1;999;i
KN;annfin999i;p0p100;1985;-233.1;999;i
KN;annfin999i;p0p100;1986;-287.6;999;i
KN;annfin999i;p0p100;1987;-286.8;999;i
KN;annfin999i;p0p100;1988;-626.2;999;i
KN;annfin999i;p0p100;1989;-1319.5;999;i
KN;annfin999i;p0p100;1990;-603.4;999;i
KN;annfin999i;p0p100;1991;-909.5;999;i
KN;annfin999i;p0p100;1992;-1303.9;999;i
KN;annfin999i;p0p100;1993;-1408.5;999;i
KN;annfin999i;p0p100;1994;-1432.8;999;i
KN;annfin999i;p0p100;1995;-1188.0;999;i
KN;annfin999i;p0p100;1996;-1659.1;999;i
KN;annfin999i;p0p100;1997;-1971.6;999;i
KN;annfin999i;p0p100;1998;-2459.3;999;i
KN;annfin999i;p0p100;1999;-2659.2;999;i
KN;annfin999i;p0p100;2000;-2954.3;999;i
KN;annfin999i;p0p100;2001;-3245.6;999;i
KN;annfin999i;p0p100;2002;-3409.1;999;i
KN;annfin999i;p0p100;2003;-3805.7;999;i
KN;annfin999i;p0p100;2004;-3223.9;999;i
KN;annfin999i;p0p100;2005;-2994.3;999;i
KN;annfin999i;p0p100;2006;-2361.2;999;i
KN;annfin999i;p0p100;2007;-2199.9;999;i
KN;annfin999i;p0p100;2008;-2200.0;999;i
KN;annfin999i;p0p100;2009;-2095.4;999;i
KN;annfin999i;p0p100;2010;-1750.9;999;i
KN;annfin999i;p0p100;2011;-1669.3;999;i
KN;annfin999i;p0p100;2012;-1331.2;999;i
KN;annfin999i;p0p100;2013;-827.3;999;i
KN;annfin999i;p0p100;2014;-3625.3;999;i
KN;annfin999i;p0p100;2015;-3468.1;999;i
KN;annfin999i;p0p100;2016;-3381.3;999;i
KN;annfin999i;p0p100;2017;-2816.3;999;i
KN;annfin999i;p0p100;2018;-3173.8;999;i
KN;annfin999i;p0p100;2019;-3302.0;999;i
KN;annfin999i;p0p100;2020;-2745.5;999;i
KN;annfin999i;p0p100;2021;-2673.3;999;i
KN;aptfon999i;p0p100;1980;103.0;999;i
KN;aptfon999i;p0p100;1981;186.8;999;i
KN;aptfon999i;p0p100;1982;167.2;999;i
KN;aptfon999i;p0p100;1983;262.1;999;i
KN;aptfon999i;p0p100;1984;72.3;999;i
KN;aptfon999i;p0p100;1985;-105.4;999;i
KN;aptfon999i;p0p100;1986;104.5;999;i
KN;aptfon999i;p0p100;1987;212.7;999;i
KN;aptfon999i;p0p100;1988;412.5;999;i
KN;aptfon999i;p0p100;1989;231.5;999;i
KN;aptfon999i;p0p100;1990;53.8;999;i
KN;aptfon999i;p0p100;1991;-9.5;999;i
KN;aptfon999i;p0p100;1992;-17.5;999;i
KN;aptfon999i;p0p100;1993;3.9;999;i
KN;aptfon999i;p0p100;1994;38.4;999;i
KN;aptfon999i;p0p100;1995;451.6;999;i
KN;aptfon999i;p0p100;1996;-27.3;999;i
KN;aptfon999i;p0p100;1997;-47.2;999;i
KN;aptfon999i;p0p100;1998;-362.3;999;i
KN;aptfon999i;p0p100;1999;-577.2;999;i
KN;aptfon999i;p0p100;2000;-657.5;999;i
KN;aptfon999i;p0p100;2001;-786.7;999;i
KN;aptfon999i;p0p100;2002;-1145.2;999;i
