country;variable;percentile;year;value;age;pop
KS;aptinc992j;p0p99.96;1980;8600387.0;992;j
KS;aptinc992j;p0p99.96;1981;8598260.0;992;j
KS;aptinc992j;p0p99.96;1982;8595630.0;992;j
KS;aptinc992j;p0p99.96;1983;8591862.0;992;j
KS;aptinc992j;p0p99.96;1984;8586584.0;992;j
KS;aptinc992j;p0p99.96;1985;8580501.0;992;j
KS;aptinc992j;p0p99.96;1986;8576157.0;992;j
KS;aptinc992j;p0p99.96;1987;8578588.0;992;j
KS;aptinc992j;p0p99.96;1988;8597410.0;992;j
KS;aptinc992j;p0p99.96;1989;8643957.0;992;j
KS;aptinc992j;p0p99.96;1990;8724470.0;992;j
KS;aptinc992j;p0p99.96;1991;7690074.0;992;j
KS;aptinc992j;p0p99.96;1992;5600813.5;992;j
KS;aptinc992j;p0p99.96;1993;4096175.3;992;j
KS;aptinc992j;p0p99.96;1994;4089600.0;992;j
KS;aptinc992j;p0p99.96;1995;4437904.0;992;j
KS;aptinc992j;p0p99.96;1996;4836782.5;992;j
KS;aptinc992j;p0p99.96;1997;5238565.0;992;j
KS;aptinc992j;p0p99.96;1998;4782290.0;992;j
KS;aptinc992j;p0p99.96;1999;3694117.0;992;j
KS;aptinc992j;p0p99.96;2000;4039039.3;992;j
KS;aptinc992j;p0p99.96;2001;5320578.5;992;j
KS;aptinc992j;p0p99.96;2002;5526414.5;992;j
KS;aptinc992j;p0p99.96;2003;5241631.0;992;j
KS;aptinc992j;p0p99.96;2004;5554896.5;992;j
KS;aptinc992j;p0p99.96;2005;5676061.0;992;j
KS;aptinc992j;p0p99.96;2006;5788633.0;992;j
KS;aptinc992j;p0p99.96;2007;6168174.0;992;j
KS;aptinc992j;p0p99.96;2008;6336269.5;992;j
KS;aptinc992j;p0p99.96;2009;6475497.5;992;j
KS;aptinc992j;p0p99.96;2010;6760433.0;992;j
KS;aptinc992j;p0p99.96;2011;7110553.5;992;j
KS;aptinc992j;p0p99.96;2012;7158987.5;992;j
KS;aptinc992j;p0p99.96;2013;7393216.5;992;j
KS;aptinc992j;p0p99.96;2014;7498182.5;992;j
KS;aptinc992j;p0p99.96;2015;7799227.0;992;j
KS;aptinc992j;p0p99.96;2016;8118600.0;992;j
KS;aptinc992j;p0p99.96;2017;8585767.0;992;j
KS;aptinc992j;p0p99.96;2018;8853985.0;992;j
KS;aptinc992j;p0p99.96;2019;9292622.0;992;j
KS;aptinc992j;p0p99.96;2020;8742358.0;992;j
KS;aptinc992j;p0p99.96;2021;9185317.0;992;j
KS;aptinc992j;p0p21;1980;128.2;992;j
KS;aptinc992j;p0p21;1981;128.2;992;j
KS;aptinc992j;p0p21;1982;128.2;992;j
KS;aptinc992j;p0p21;1983;128.1;992;j
KS;aptinc992j;p0p21;1984;128.0;992;j
KS;aptinc992j;p0p21;1985;127.9;992;j
KS;aptinc992j;p0p21;1986;127.9;992;j
KS;aptinc992j;p0p21;1987;127.9;992;j
KS;aptinc992j;p0p21;1988;128.2;992;j
KS;aptinc992j;p0p21;1989;128.9;992;j
KS;aptinc992j;p0p21;1990;130.1;992;j
KS;aptinc992j;p0p21;1991;114.7;992;j
KS;aptinc992j;p0p21;1992;83.5;992;j
KS;aptinc992j;p0p21;1993;61.1;992;j
KS;aptinc992j;p0p21;1994;61.0;992;j
KS;aptinc992j;p0p21;1995;66.2;992;j
KS;aptinc992j;p0p21;1996;72.1;992;j
KS;aptinc992j;p0p21;1997;78.1;992;j
KS;aptinc992j;p0p21;1998;71.3;992;j
KS;aptinc992j;p0p21;1999;55.1;992;j
KS;aptinc992j;p0p21;2000;60.2;992;j
KS;aptinc992j;p0p21;2001;79.3;992;j
KS;aptinc992j;p0p21;2002;82.4;992;j
KS;aptinc992j;p0p21;2003;78.1;992;j
KS;aptinc992j;p0p21;2004;78.6;992;j
KS;aptinc992j;p0p21;2005;77.2;992;j
KS;aptinc992j;p0p21;2006;81.8;992;j
KS;aptinc992j;p0p21;2007;86.7;992;j
KS;aptinc992j;p0p21;2008;81.7;992;j
KS;aptinc992j;p0p21;2009;83.5;992;j
KS;aptinc992j;p0p21;2010;85.6;992;j
KS;aptinc992j;p0p21;2011;113.8;992;j
KS;aptinc992j;p0p21;2012;97.1;992;j
KS;aptinc992j;p0p21;2013;120.6;992;j
KS;aptinc992j;p0p21;2014;112.1;992;j
KS;aptinc992j;p0p21;2015;125.0;992;j
KS;aptinc992j;p0p21;2016;130.9;992;j
KS;aptinc992j;p0p21;2017;126.0;992;j
KS;aptinc992j;p0p21;2018;129.5;992;j
KS;aptinc992j;p0p21;2019;135.8;992;j
KS;aptinc992j;p0p21;2020;128.3;992;j
KS;aptinc992j;p0p21;2021;134.8;992;j
KS;aptinc992j;p0p80;1980;10058.9;992;j
KS;aptinc992j;p0p80;1981;10056.4;992;j
KS;aptinc992j;p0p80;1982;10053.3;992;j
KS;aptinc992j;p0p80;1983;10048.9;992;j
KS;aptinc992j;p0p80;1984;10042.7;992;j
KS;aptinc992j;p0p80;1985;10035.6;992;j
KS;aptinc992j;p0p80;1986;10030.5;992;j
KS;aptinc992j;p0p80;1987;10033.4;992;j
KS;aptinc992j;p0p80;1988;10055.4;992;j
KS;aptinc992j;p0p80;1989;10109.8;992;j
KS;aptinc992j;p0p80;1990;10204.0;992;j
KS;aptinc992j;p0p80;1991;8994.2;992;j
KS;aptinc992j;p0p80;1992;6550.6;992;j
KS;aptinc992j;p0p80;1993;4790.8;992;j
KS;aptinc992j;p0p80;1994;4783.1;992;j
KS;aptinc992j;p0p80;1995;5190.5;992;j
KS;aptinc992j;p0p80;1996;5657.0;992;j
KS;aptinc992j;p0p80;1997;6126.9;992;j
KS;aptinc992j;p0p80;1998;5593.3;992;j
KS;aptinc992j;p0p80;1999;4320.6;992;j
KS;aptinc992j;p0p80;2000;4724.0;992;j
KS;aptinc992j;p0p80;2001;6222.9;992;j
KS;aptinc992j;p0p80;2002;6463.6;992;j
KS;aptinc992j;p0p80;2003;6130.5;992;j
KS;aptinc992j;p0p80;2004;6470.0;992;j
KS;aptinc992j;p0p80;2005;6557.5;992;j
KS;aptinc992j;p0p80;2006;6764.7;992;j
KS;aptinc992j;p0p80;2007;7203.7;992;j
KS;aptinc992j;p0p80;2008;7290.5;992;j
KS;aptinc992j;p0p80;2009;7475.9;992;j
KS;aptinc992j;p0p80;2010;7664.0;992;j
KS;aptinc992j;p0p80;2011;8446.7;992;j
KS;aptinc992j;p0p80;2012;8486.6;992;j
KS;aptinc992j;p0p80;2013;8896.2;992;j
KS;aptinc992j;p0p80;2014;8909.0;992;j
KS;aptinc992j;p0p80;2015;9309.0;992;j
KS;aptinc992j;p0p80;2016;9669.9;992;j
KS;aptinc992j;p0p80;2017;10100.6;992;j
KS;aptinc992j;p0p80;2018;10423.6;992;j
KS;aptinc992j;p0p80;2019;10956.6;992;j
KS;aptinc992j;p0p80;2020;10325.3;992;j
KS;aptinc992j;p0p80;2021;10848.4;992;j
KS;aptinc992j;p0p75;1980;7017.4;992;j
KS;aptinc992j;p0p75;1981;7015.7;992;j
KS;aptinc992j;p0p75;1982;7013.5;992;j
KS;aptinc992j;p0p75;1983;7010.5;992;j
KS;aptinc992j;p0p75;1984;7006.1;992;j
KS;aptinc992j;p0p75;1985;7001.2;992;j
KS;aptinc992j;p0p75;1986;6997.6;992;j
KS;aptinc992j;p0p75;1987;6999.6;992;j
KS;aptinc992j;p0p75;1988;7015.0;992;j
KS;aptinc992j;p0p75;1989;7053.0;992;j
KS;aptinc992j;p0p75;1990;7118.7;992;j
KS;aptinc992j;p0p75;1991;6274.6;992;j
KS;aptinc992j;p0p75;1992;4569.9;992;j
KS;aptinc992j;p0p75;1993;3342.2;992;j
KS;aptinc992j;p0p75;1994;3336.9;992;j
KS;aptinc992j;p0p75;1995;3621.1;992;j
KS;aptinc992j;p0p75;1996;3946.5;992;j
KS;aptinc992j;p0p75;1997;4274.4;992;j
KS;aptinc992j;p0p75;1998;3902.1;992;j
KS;aptinc992j;p0p75;1999;3014.2;992;j
KS;aptinc992j;p0p75;2000;3295.6;992;j
KS;aptinc992j;p0p75;2001;4341.3;992;j
KS;aptinc992j;p0p75;2002;4509.2;992;j
KS;aptinc992j;p0p75;2003;4276.9;992;j
KS;aptinc992j;p0p75;2004;4503.4;992;j
KS;aptinc992j;p0p75;2005;4555.8;992;j
KS;aptinc992j;p0p75;2006;4710.2;992;j
KS;aptinc992j;p0p75;2007;5013.4;992;j
KS;aptinc992j;p0p75;2008;5067.1;992;j
KS;aptinc992j;p0p75;2009;5198.0;992;j
KS;aptinc992j;p0p75;2010;5307.4;992;j
KS;aptinc992j;p0p75;2011;5905.7;992;j
KS;aptinc992j;p0p75;2012;5922.0;992;j
KS;aptinc992j;p0p75;2013;6228.1;992;j
KS;aptinc992j;p0p75;2014;6230.9;992;j
KS;aptinc992j;p0p75;2015;6516.8;992;j
KS;aptinc992j;p0p75;2016;6769.8;992;j
KS;aptinc992j;p0p75;2017;7051.2;992;j
KS;aptinc992j;p0p75;2018;7276.2;992;j
KS;aptinc992j;p0p75;2019;7648.5;992;j
KS;aptinc992j;p0p75;2020;7208.7;992;j
KS;aptinc992j;p0p75;2021;7573.9;992;j
KS;aptinc992j;p0p92;1980;33265.2;992;j
KS;aptinc992j;p0p92;1981;33257.0;992;j
KS;aptinc992j;p0p92;1982;33246.8;992;j
KS;aptinc992j;p0p92;1983;33232.2;992;j
KS;aptinc992j;p0p92;1984;33211.8;992;j
KS;aptinc992j;p0p92;1985;33188.3;992;j
KS;aptinc992j;p0p92;1986;33171.5;992;j
KS;aptinc992j;p0p92;1987;33180.9;992;j
KS;aptinc992j;p0p92;1988;33253.7;992;j
KS;aptinc992j;p0p92;1989;33433.7;992;j
KS;aptinc992j;p0p92;1990;33745.1;992;j
KS;aptinc992j;p0p92;1991;29744.2;992;j
KS;aptinc992j;p0p92;1992;21663.2;992;j
KS;aptinc992j;p0p92;1993;15843.5;992;j
KS;aptinc992j;p0p92;1994;15818.1;992;j
KS;aptinc992j;p0p92;1995;17165.3;992;j
KS;aptinc992j;p0p92;1996;18708.1;992;j
KS;aptinc992j;p0p92;1997;20262.1;992;j
KS;aptinc992j;p0p92;1998;18497.3;992;j
KS;aptinc992j;p0p92;1999;14288.4;992;j
KS;aptinc992j;p0p92;2000;15622.5;992;j
KS;aptinc992j;p0p92;2001;20579.3;992;j
KS;aptinc992j;p0p92;2002;21375.5;992;j
KS;aptinc992j;p0p92;2003;20274.0;992;j
KS;aptinc992j;p0p92;2004;21512.7;992;j
KS;aptinc992j;p0p92;2005;21936.0;992;j
KS;aptinc992j;p0p92;2006;22484.6;992;j
KS;aptinc992j;p0p92;2007;23954.5;992;j
KS;aptinc992j;p0p92;2008;24358.7;992;j
KS;aptinc992j;p0p92;2009;24960.5;992;j
KS;aptinc992j;p0p92;2010;25848.8;992;j
KS;aptinc992j;p0p92;2011;27781.6;992;j
KS;aptinc992j;p0p92;2012;28006.1;992;j
KS;aptinc992j;p0p92;2013;29158.6;992;j
KS;aptinc992j;p0p92;2014;29263.9;992;j
KS;aptinc992j;p0p92;2015;30537.3;992;j
KS;aptinc992j;p0p92;2016;31701.4;992;j
KS;aptinc992j;p0p92;2017;33314.2;992;j
KS;aptinc992j;p0p92;2018;34379.8;992;j
KS;aptinc992j;p0p92;2019;36131.8;992;j
KS;aptinc992j;p0p92;2020;34037.8;992;j
KS;aptinc992j;p0p92;2021;35762.4;992;j
KS;aptinc992j;p0p62;1980;3081.2;992;j
KS;aptinc992j;p0p62;1981;3080.5;992;j
KS;aptinc992j;p0p62;1982;3079.5;992;j
KS;aptinc992j;p0p62;1983;3078.2;992;j
KS;aptinc992j;p0p62;1984;3076.3;992;j
KS;aptinc992j;p0p62;1985;3074.1;992;j
KS;aptinc992j;p0p62;1986;3072.6;992;j
KS;aptinc992j;p0p62;1987;3073.4;992;j
KS;aptinc992j;p0p62;1988;3080.2;992;j
KS;aptinc992j;p0p62;1989;3096.8;992;j
KS;aptinc992j;p0p62;1990;3125.7;992;j
KS;aptinc992j;p0p62;1991;2755.1;992;j
KS;aptinc992j;p0p62;1992;2006.6;992;j
KS;aptinc992j;p0p62;1993;1467.5;992;j
KS;aptinc992j;p0p62;1994;1465.2;992;j
KS;aptinc992j;p0p62;1995;1590.0;992;j
KS;aptinc992j;p0p62;1996;1732.9;992;j
KS;aptinc992j;p0p62;1997;1876.8;992;j
KS;aptinc992j;p0p62;1998;1713.3;992;j
KS;aptinc992j;p0p62;1999;1323.5;992;j
KS;aptinc992j;p0p62;2000;1447.1;992;j
KS;aptinc992j;p0p62;2001;1906.2;992;j
KS;aptinc992j;p0p62;2002;1979.9;992;j
KS;aptinc992j;p0p62;2003;1877.9;992;j
KS;aptinc992j;p0p62;2004;1969.8;992;j
KS;aptinc992j;p0p62;2005;1992.0;992;j
KS;aptinc992j;p0p62;2006;2068.4;992;j
KS;aptinc992j;p0p62;2007;2201.5;992;j
KS;aptinc992j;p0p62;2008;2220.1;992;j
KS;aptinc992j;p0p62;2009;2275.8;992;j
KS;aptinc992j;p0p62;2010;2301.7;992;j
KS;aptinc992j;p0p62;2011;2610.5;992;j
KS;aptinc992j;p0p62;2012;2592.2;992;j
KS;aptinc992j;p0p62;2013;2760.5;992;j
KS;aptinc992j;p0p62;2014;2745.9;992;j
KS;aptinc992j;p0p62;2015;2880.0;992;j
KS;aptinc992j;p0p62;2016;2996.1;992;j
KS;aptinc992j;p0p62;2017;3108.4;992;j
KS;aptinc992j;p0p62;2018;3206.9;992;j
KS;aptinc992j;p0p62;2019;3370.9;992;j
KS;aptinc992j;p0p62;2020;3177.9;992;j
KS;aptinc992j;p0p62;2021;3338.9;992;j
KS;aptinc992j;p0p20;1980;110.3;992;j
KS;aptinc992j;p0p20;1981;110.3;992;j
KS;aptinc992j;p0p20;1982;110.3;992;j
KS;aptinc992j;p0p20;1983;110.2;992;j
KS;aptinc992j;p0p20;1984;110.1;992;j
KS;aptinc992j;p0p20;1985;110.1;992;j
KS;aptinc992j;p0p20;1986;110.0;992;j
KS;aptinc992j;p0p20;1987;110.0;992;j
KS;aptinc992j;p0p20;1988;110.3;992;j
KS;aptinc992j;p0p20;1989;110.9;992;j
KS;aptinc992j;p0p20;1990;111.9;992;j
KS;aptinc992j;p0p20;1991;98.6;992;j
KS;aptinc992j;p0p20;1992;71.8;992;j
KS;aptinc992j;p0p20;1993;52.5;992;j
KS;aptinc992j;p0p20;1994;52.5;992;j
KS;aptinc992j;p0p20;1995;56.9;992;j
KS;aptinc992j;p0p20;1996;62.0;992;j
KS;aptinc992j;p0p20;1997;67.2;992;j
KS;aptinc992j;p0p20;1998;61.3;992;j
KS;aptinc992j;p0p20;1999;47.4;992;j
KS;aptinc992j;p0p20;2000;51.8;992;j
KS;aptinc992j;p0p20;2001;68.2;992;j
KS;aptinc992j;p0p20;2002;70.9;992;j
KS;aptinc992j;p0p20;2003;67.2;992;j
KS;aptinc992j;p0p20;2004;67.6;992;j
KS;aptinc992j;p0p20;2005;66.4;992;j
KS;aptinc992j;p0p20;2006;70.4;992;j
KS;aptinc992j;p0p20;2007;74.6;992;j
KS;aptinc992j;p0p20;2008;70.3;992;j
KS;aptinc992j;p0p20;2009;71.8;992;j
KS;aptinc992j;p0p20;2010;73.6;992;j
KS;aptinc992j;p0p20;2011;97.9;992;j
KS;aptinc992j;p0p20;2012;82.9;992;j
KS;aptinc992j;p0p20;2013;103.8;992;j
KS;aptinc992j;p0p20;2014;95.9;992;j
KS;aptinc992j;p0p20;2015;107.5;992;j
KS;aptinc992j;p0p20;2016;112.6;992;j
KS;aptinc992j;p0p20;2017;108.0;992;j
KS;aptinc992j;p0p20;2018;110.9;992;j
KS;aptinc992j;p0p20;2019;116.3;992;j
KS;aptinc992j;p0p20;2020;109.9;992;j
KS;aptinc992j;p0p20;2021;115.5;992;j
KS;aptinc992j;p0p99.3;1980;505610.7;992;j
KS;aptinc992j;p0p99.3;1981;505485.6;992;j
KS;aptinc992j;p0p99.3;1982;505331.0;992;j
KS;aptinc992j;p0p99.3;1983;505109.5;992;j
KS;aptinc992j;p0p99.3;1984;504799.2;992;j
KS;aptinc992j;p0p99.3;1985;504441.6;992;j
KS;aptinc992j;p0p99.3;1986;504186.2;992;j
KS;aptinc992j;p0p99.3;1987;504329.1;992;j
KS;aptinc992j;p0p99.3;1988;505435.7;992;j
KS;aptinc992j;p0p99.3;1989;508172.1;992;j
KS;aptinc992j;p0p99.3;1990;512905.4;992;j
KS;aptinc992j;p0p99.3;1991;452094.0;992;j
KS;aptinc992j;p0p99.3;1992;329267.8;992;j
KS;aptinc992j;p0p99.3;1993;240811.2;992;j
KS;aptinc992j;p0p99.3;1994;240424.7;992;j
KS;aptinc992j;p0p99.3;1995;260901.2;992;j
KS;aptinc992j;p0p99.3;1996;284351.0;992;j
KS;aptinc992j;p0p99.3;1997;307971.5;992;j
KS;aptinc992j;p0p99.3;1998;281147.4;992;j
KS;aptinc992j;p0p99.3;1999;217174.5;992;j
KS;aptinc992j;p0p99.3;2000;237452.3;992;j
KS;aptinc992j;p0p99.3;2001;312793.0;992;j
KS;aptinc992j;p0p99.3;2002;324894.0;992;j
KS;aptinc992j;p0p99.3;2003;308151.8;992;j
KS;aptinc992j;p0p99.3;2004;327329.8;992;j
KS;aptinc992j;p0p99.3;2005;334204.5;992;j
KS;aptinc992j;p0p99.3;2006;341174.3;992;j
KS;aptinc992j;p0p99.3;2007;363597.7;992;j
KS;aptinc992j;p0p99.3;2008;371394.8;992;j
KS;aptinc992j;p0p99.3;2009;381354.2;992;j
KS;aptinc992j;p0p99.3;2010;396962.7;992;j
KS;aptinc992j;p0p99.3;2011;418655.1;992;j
KS;aptinc992j;p0p99.3;2012;421024.4;992;j
KS;aptinc992j;p0p99.3;2013;435492.3;992;j
KS;aptinc992j;p0p99.3;2014;439961.3;992;j
KS;aptinc992j;p0p99.3;2015;457713.3;992;j
KS;aptinc992j;p0p99.3;2016;476247.3;992;j
KS;aptinc992j;p0p99.3;2017;502947.5;992;j
KS;aptinc992j;p0p99.3;2018;518848.2;992;j
KS;aptinc992j;p0p99.3;2019;544902.6;992;j
KS;aptinc992j;p0p99.3;2020;512923.8;992;j
KS;aptinc992j;p0p99.3;2021;538912.6;992;j
KS;aptinc992j;p0p76;1980;7518.2;992;j
KS;aptinc992j;p0p76;1981;7516.4;992;j
KS;aptinc992j;p0p76;1982;7514.1;992;j
KS;aptinc992j;p0p76;1983;7510.8;992;j
KS;aptinc992j;p0p76;1984;7506.2;992;j
KS;aptinc992j;p0p76;1985;7500.8;992;j
KS;aptinc992j;p0p76;1986;7497.0;992;j
KS;aptinc992j;p0p76;1987;7499.2;992;j
KS;aptinc992j;p0p76;1988;7515.6;992;j
KS;aptinc992j;p0p76;1989;7556.3;992;j
KS;aptinc992j;p0p76;1990;7626.7;992;j
KS;aptinc992j;p0p76;1991;6722.5;992;j
KS;aptinc992j;p0p76;1992;4896.1;992;j
KS;aptinc992j;p0p76;1993;3580.8;992;j
KS;aptinc992j;p0p76;1994;3575.0;992;j
KS;aptinc992j;p0p76;1995;3879.5;992;j
KS;aptinc992j;p0p76;1996;4228.2;992;j
KS;aptinc992j;p0p76;1997;4579.4;992;j
KS;aptinc992j;p0p76;1998;4180.6;992;j
KS;aptinc992j;p0p76;1999;3229.3;992;j
KS;aptinc992j;p0p76;2000;3530.8;992;j
KS;aptinc992j;p0p76;2001;4651.1;992;j
KS;aptinc992j;p0p76;2002;4831.0;992;j
KS;aptinc992j;p0p76;2003;4582.1;992;j
KS;aptinc992j;p0p76;2004;4827.0;992;j
KS;aptinc992j;p0p76;2005;4884.7;992;j
KS;aptinc992j;p0p76;2006;5047.9;992;j
KS;aptinc992j;p0p76;2007;5373.4;992;j
KS;aptinc992j;p0p76;2008;5432.5;992;j
