country;variable;percentile;year;value;age;pop
KY;aftaxx999i;p0p100;1972;0.0;999;i
KY;aftaxx999i;p0p100;1983;0.0;999;i
KY;aftaxx999i;p0p100;1984;0.0;999;i
KY;aftaxx999i;p0p100;1985;0.0;999;i
KY;aftaxx999i;p0p100;1986;0.0;999;i
KY;aftaxx999i;p0p100;1987;0.0;999;i
KY;aftaxx999i;p0p100;1988;0.0;999;i
KY;aftaxx999i;p0p100;1989;0.0;999;i
KY;aftaxx999i;p0p100;1990;0.0;999;i
KY;aftaxx999i;p0p100;1991;0.0;999;i
KY;aftaxx999i;p0p100;2015;0.0;999;i
KY;aftaxx999i;p0p100;2016;0.0;999;i
KY;aftaxx999i;p0p100;2017;0.0;999;i
KY;aftaxx999i;p0p100;2018;0.0;999;i
KY;aftaxx999i;p0p100;2019;0.0;999;i
KY;mspigo999i;p0p100;2006;22954284.0;999;i
KY;mspigo999i;p0p100;2007;22912220.0;999;i
KY;mspigo999i;p0p100;2008;23845926.0;999;i
KY;mspigo999i;p0p100;2009;22209782.0;999;i
KY;mspigo999i;p0p100;2010;19071002.0;999;i
KY;mspigo999i;p0p100;2011;20335372.0;999;i
KY;mspigo999i;p0p100;2012;22419844.0;999;i
KY;mspigo999i;p0p100;2013;22575236.0;999;i
KY;mspigo999i;p0p100;2014;24477264.0;999;i
KY;mspigo999i;p0p100;2015;26773668.0;999;i
KY;mspigo999i;p0p100;2016;26899962.0;999;i
KY;mspigo999i;p0p100;2017;26507548.0;999;i
KY;mspigo999i;p0p100;2018;29881444.0;999;i
KY;mspigo999i;p0p100;2019;28172292.0;999;i
KY;aheago999i;p0p100;1972;1505.6;999;i
KY;aheago999i;p0p100;1983;1695.2;999;i
KY;aheago999i;p0p100;1984;1828.6;999;i
KY;aheago999i;p0p100;1985;1677.0;999;i
KY;aheago999i;p0p100;1986;1568.2;999;i
KY;aheago999i;p0p100;1987;1589.3;999;i
KY;aheago999i;p0p100;1988;1582.5;999;i
KY;aheago999i;p0p100;1989;1582.6;999;i
KY;aheago999i;p0p100;1990;2050.3;999;i
KY;aheago999i;p0p100;1991;1897.8;999;i
KY;aheago999i;p0p100;2015;515.3;999;i
KY;aheago999i;p0p100;2016;552.1;999;i
KY;aheago999i;p0p100;2017;583.2;999;i
KY;aheago999i;p0p100;2018;579.8;999;i
KY;aheago999i;p0p100;2019;660.4;999;i
KY;mflcir999i;p0p100;1972;62989480.0;999;i
KY;mflcir999i;p0p100;1983;54190956.0;999;i
KY;mflcir999i;p0p100;1984;63113292.0;999;i
KY;mflcir999i;p0p100;1985;71117752.0;999;i
KY;mflcir999i;p0p100;1986;79360792.0;999;i
KY;mflcir999i;p0p100;1987;79121160.0;999;i
KY;mflcir999i;p0p100;1988;89005248.0;999;i
KY;mflcir999i;p0p100;1989;100379240.0;999;i
KY;mflcir999i;p0p100;1990;108396408.0;999;i
