country;variable;percentile;year;value;age;pop
LC;npopul301f;p0p100;1950;2665.0;301;f
LC;npopul301f;p0p100;1951;2716.0;301;f
LC;npopul301f;p0p100;1952;2759.0;301;f
LC;npopul301f;p0p100;1953;2751.0;301;f
LC;npopul301f;p0p100;1954;2691.0;301;f
LC;npopul301f;p0p100;1955;2604.0;301;f
LC;npopul301f;p0p100;1956;2686.0;301;f
LC;npopul301f;p0p100;1957;2742.0;301;f
LC;npopul301f;p0p100;1958;2741.0;301;f
LC;npopul301f;p0p100;1959;2681.0;301;f
LC;npopul301f;p0p100;1960;2583.0;301;f
LC;npopul301f;p0p100;1961;2594.0;301;f
LC;npopul301f;p0p100;1962;2599.0;301;f
LC;npopul301f;p0p100;1963;2569.0;301;f
LC;npopul301f;p0p100;1964;2504.0;301;f
LC;npopul301f;p0p100;1965;2419.0;301;f
LC;npopul301f;p0p100;1966;2449.0;301;f
LC;npopul301f;p0p100;1967;2466.0;301;f
LC;npopul301f;p0p100;1968;2445.0;301;f
LC;npopul301f;p0p100;1969;2377.0;301;f
LC;npopul301f;p0p100;1970;2274.0;301;f
LC;npopul301f;p0p100;1971;2342.0;301;f
LC;npopul301f;p0p100;1972;2421.0;301;f
LC;npopul301f;p0p100;1973;2498.0;301;f
LC;npopul301f;p0p100;1974;2570.0;301;f
LC;npopul301f;p0p100;1975;2638.0;301;f
LC;npopul301f;p0p100;1976;2690.0;301;f
LC;npopul301f;p0p100;1977;2780.0;301;f
LC;npopul301f;p0p100;1978;2905.0;301;f
LC;npopul301f;p0p100;1979;3040.0;301;f
LC;npopul301f;p0p100;1980;3153.0;301;f
LC;npopul301f;p0p100;1981;3259.0;301;f
LC;npopul301f;p0p100;1982;3368.0;301;f
LC;npopul301f;p0p100;1983;3502.0;301;f
LC;npopul301f;p0p100;1984;3666.0;301;f
LC;npopul301f;p0p100;1985;3837.0;301;f
LC;npopul301f;p0p100;1986;3915.0;301;f
LC;npopul301f;p0p100;1987;4013.0;301;f
LC;npopul301f;p0p100;1988;4156.0;301;f
LC;npopul301f;p0p100;1989;4351.0;301;f
LC;npopul301f;p0p100;1990;4583.0;301;f
LC;npopul301f;p0p100;1991;4863.0;301;f
LC;npopul301f;p0p100;1992;5142.0;301;f
LC;npopul301f;p0p100;1993;5409.0;301;f
