country;variable;percentile;year;value;age;pop
LI;enncar999i;p0p100;1990;0.161661574122252;999;i
LI;enncar999i;p0p100;1991;0.15326487507836;999;i
LI;enncar999i;p0p100;1992;0.150868176034469;999;i
LI;enncar999i;p0p100;1993;0.141471476990577;999;i
LI;enncar999i;p0p100;1994;0.153074777946686;999;i
LI;enncar999i;p0p100;1995;0.147678078902794;999;i
LI;enncar999i;p0p100;1996;0.144281379858902;999;i
LI;enncar999i;p0p100;1997;0.129884680815011;999;i
LI;enncar999i;p0p100;1998;0.116487981771119;999;i
LI;enncar999i;p0p100;1999;0.117091282727227;999;i
LI;enncar999i;p0p100;2000;0.123694583683336;999;i
LI;enncar999i;p0p100;2001;0.123297884639444;999;i
LI;enncar999i;p0p100;2002;0.115901185595553;999;i
LI;enncar999i;p0p100;2003;0.104504486551661;999;i
LI;enncar999i;p0p100;2004;0.101107787507769;999;i
LI;enncar999i;p0p100;2005;0.0987110884638777;999;i
LI;enncar999i;p0p100;2006;0.0943143894199862;999;i
LI;enncar999i;p0p100;2007;0.121917690376095;999;i
LI;enncar999i;p0p100;2008;0.101520991332203;999;i
LI;enncar999i;p0p100;2009;0.114124292288311;999;i
LI;enncar999i;p0p100;2010;0.12472759324442;999;i
LI;enncar999i;p0p100;2011;0.137330894200528;999;i
LI;enncar999i;p0p100;2012;0.126934195156636;999;i
LI;enncar999i;p0p100;2013;0.117537496112745;999;i
LI;enncar999i;p0p100;2014;0.147140797068853;999;i
LI;enncar999i;p0p100;2015;0.145744098024962;999;i
LI;enncar999i;p0p100;2016;0.15134739898107;999;i
LI;enncar999i;p0p100;2017;0.141950699937178;999;i
LI;enncar999i;p0p100;2018;0.152554000893287;999;i
LI;enncar999i;p0p100;2019;0.154357447092678;999;i
LI;enncar999i;p0p100;2020;0.13892170238341;999;i
LI;kntona999i;p0p100;1980;1.19788241386414;999;i
LI;kntona999i;p0p100;1981;1.10526716709137;999;i
LI;kntona999i;p0p100;1982;1.09285497665405;999;i
LI;kntona999i;p0p100;1983;1.11986267566681;999;i
LI;kntona999i;p0p100;1984;1.14661931991577;999;i
LI;kntona999i;p0p100;1985;1.17267668247223;999;i
LI;kntona999i;p0p100;1986;1.16114521026611;999;i
LI;kntona999i;p0p100;1987;1.14954912662506;999;i
LI;kntona999i;p0p100;1988;1.06651496887207;999;i
LI;kntona999i;p0p100;1989;1.0896692276001;999;i
