country;variable;percentile;year;value;age;pop
MH;agsrnf999i;p0p100;1997;518.2;999;i
MH;agsrnf999i;p0p100;1998;664.2;999;i
MH;agsrnf999i;p0p100;1999;623.5;999;i
MH;agsrnf999i;p0p100;2000;671.4;999;i
MH;agsrnf999i;p0p100;2001;598.5;999;i
MH;agsrnf999i;p0p100;2002;792.3;999;i
MH;agsrnf999i;p0p100;2003;640.7;999;i
MH;agsrnf999i;p0p100;2004;566.1;999;i
MH;agsrnf999i;p0p100;2005;492.1;999;i
MH;agsrnf999i;p0p100;2006;561.9;999;i
MH;agsrnf999i;p0p100;2007;641.2;999;i
MH;agsrnf999i;p0p100;2008;612.0;999;i
MH;agsrnf999i;p0p100;2009;597.5;999;i
MH;agsrnf999i;p0p100;2010;699.4;999;i
MH;agsrnf999i;p0p100;2011;828.7;999;i
MH;agsrnf999i;p0p100;2012;922.3;999;i
MH;agsrnf999i;p0p100;2013;886.7;999;i
MH;agsrnf999i;p0p100;2014;794.1;999;i
MH;agsrnf999i;p0p100;2015;867.3;999;i
MH;agsrnf999i;p0p100;2016;1029.7;999;i
MH;agsrnf999i;p0p100;2017;1081.5;999;i
MH;agsrnf999i;p0p100;2018;1035.5;999;i
MH;agsrnf999i;p0p100;2019;1202.9;999;i
MH;agsrnf999i;p0p100;2020;1226.1;999;i
MH;afdinx999i;p0p100;2007;-161.2;999;i
MH;afdinx999i;p0p100;2008;-134.7;999;i
MH;afdinx999i;p0p100;2009;-118.6;999;i
MH;afdinx999i;p0p100;2010;-165.9;999;i
MH;afdinx999i;p0p100;2011;-268.8;999;i
MH;afdinx999i;p0p100;2012;-891.1;999;i
MH;afdinx999i;p0p100;2013;-817.3;999;i
MH;afdinx999i;p0p100;2014;-396.1;999;i
MH;afdinx999i;p0p100;2015;-336.5;999;i
MH;afdinx999i;p0p100;2016;-297.3;999;i
MH;afdinx999i;p0p100;2017;-313.4;999;i
MH;afdinx999i;p0p100;2018;-357.0;999;i
MH;npopul999i;p0p100;1950;13001.0;999;i
MH;npopul999i;p0p100;1951;13222.0;999;i
MH;npopul999i;p0p100;1952;13438.0;999;i
