country;variable;percentile;year;value;age;pop
MP;apweal999i;p0p100;2002;31292.3;999;i
MP;apweal999i;p0p100;2003;33690.5;999;i
MP;apweal999i;p0p100;2004;35062.1;999;i
MP;apweal999i;p0p100;2005;32460.8;999;i
MP;apweal999i;p0p100;2006;32371.5;999;i
MP;apweal999i;p0p100;2007;32289.3;999;i
MP;apweal999i;p0p100;2008;30318.3;999;i
MP;apweal999i;p0p100;2009;25845.8;999;i
MP;apweal999i;p0p100;2010;27593.9;999;i
MP;apweal999i;p0p100;2011;26213.7;999;i
MP;apweal999i;p0p100;2012;27118.2;999;i
MP;apweal999i;p0p100;2013;28397.3;999;i
MP;apweal999i;p0p100;2014;30078.5;999;i
MP;apweal999i;p0p100;2015;31520.5;999;i
MP;apweal999i;p0p100;2016;42783.5;999;i
MP;apweal999i;p0p100;2017;55161.0;999;i
MP;apweal999i;p0p100;2018;44631.2;999;i
MP;apweal999i;p0p100;2019;40534.2;999;i
MP;apweal999i;p0p100;2020;36991.7;999;i
MP;apweal999i;p0p100;2021;33779.4;999;i
MP;xlceux999i;p0p100;1999;1.06577643262407;999;i
MP;xlceux999i;p0p100;2000;0.923612498870066;999;i
MP;xlceux999i;p0p100;2001;0.895629563370594;999;i
MP;xlceux999i;p0p100;2002;0.945573710176738;999;i
MP;xlceux999i;p0p100;2003;1.1311603943483;999;i
MP;xlceux999i;p0p100;2004;1.24390232871503;999;i
MP;xlceux999i;p0p100;2005;1.24409031340187;999;i
MP;xlceux999i;p0p100;2006;1.25559881945145;999;i
MP;xlceux999i;p0p100;2007;1.37047809113493;999;i
MP;xlceux999i;p0p100;2008;1.47075542573513;999;i
MP;xlceux999i;p0p100;2009;1.39478244849713;999;i
MP;xlceux999i;p0p100;2010;1.32571665176502;999;i
MP;xlceux999i;p0p100;2011;1.39195527083125;999;i
MP;xlceux999i;p0p100;2012;1.28478864897678;999;i
MP;xlceux999i;p0p100;2013;1.32811803498058;999;i
MP;xlceux999i;p0p100;2014;1.32850073689388;999;i
MP;xlceux999i;p0p100;2015;1.10951287410527;999;i
MP;xlceux999i;p0p100;2016;1.10690308181153;999;i
MP;xlceux999i;p0p100;2017;1.1296811777352;999;i
MP;xlceux999i;p0p100;2018;1.18095450473051;999;i
MP;xlceux999i;p0p100;2019;1.11948487143472;999;i
MP;xlceux999i;p0p100;2020;1.14184597576108;999;i
MP;xlceux999i;p0p100;2021;1.18584999547634;999;i
MP;mconfc999i;p0p100;2002;270700704.0;999;i
MP;mconfc999i;p0p100;2003;253161488.0;999;i
MP;mconfc999i;p0p100;2004;234805328.0;999;i
MP;mconfc999i;p0p100;2005;214573664.0;999;i
MP;mconfc999i;p0p100;2006;193825696.0;999;i
MP;mconfc999i;p0p100;2007;173550880.0;999;i
MP;mconfc999i;p0p100;2008;154860496.0;999;i
MP;mconfc999i;p0p100;2009;139569568.0;999;i
MP;mconfc999i;p0p100;2010;129450800.0;999;i
MP;mconfc999i;p0p100;2011;124175376.0;999;i
MP;mconfc999i;p0p100;2012;123929928.0;999;i
MP;mconfc999i;p0p100;2013;128615264.0;999;i
MP;mconfc999i;p0p100;2014;138033744.0;999;i
MP;mconfc999i;p0p100;2015;151381328.0;999;i
MP;mconfc999i;p0p100;2016;165912448.0;999;i
MP;mconfc999i;p0p100;2017;174385936.0;999;i
MP;mconfc999i;p0p100;2018;170991696.0;999;i
MP;mconfc999i;p0p100;2019;158847888.0;999;i
MP;mconfc999i;p0p100;2020;142995952.0;999;i
MP;mconfc999i;p0p100;2021;127201160.0;999;i
MP;xlcusx999i;p0p100;1960;1.0;999;i
MP;xlcusx999i;p0p100;1961;1.0;999;i
MP;xlcusx999i;p0p100;1962;1.0;999;i
MP;xlcusx999i;p0p100;1963;1.0;999;i
MP;xlcusx999i;p0p100;1964;1.0;999;i
MP;xlcusx999i;p0p100;1965;1.0;999;i
MP;xlcusx999i;p0p100;1966;1.0;999;i
MP;xlcusx999i;p0p100;1967;1.0;999;i
MP;xlcusx999i;p0p100;1968;1.0;999;i
MP;xlcusx999i;p0p100;1969;1.0;999;i
MP;xlcusx999i;p0p100;1970;1.0;999;i
MP;xlcusx999i;p0p100;1971;1.0;999;i
MP;xlcusx999i;p0p100;1972;1.0;999;i
MP;xlcusx999i;p0p100;1973;1.0;999;i
MP;xlcusx999i;p0p100;1974;1.0;999;i
MP;xlcusx999i;p0p100;1975;1.0;999;i
MP;xlcusx999i;p0p100;1976;1.0;999;i
MP;xlcusx999i;p0p100;1977;1.0;999;i
MP;xlcusx999i;p0p100;1978;1.0;999;i
MP;xlcusx999i;p0p100;1979;1.0;999;i
MP;xlcusx999i;p0p100;1980;1.0;999;i
MP;xlcusx999i;p0p100;1981;1.0;999;i
MP;xlcusx999i;p0p100;1982;1.0;999;i
MP;xlcusx999i;p0p100;1983;1.0;999;i
MP;xlcusx999i;p0p100;1984;1.0;999;i
MP;xlcusx999i;p0p100;1985;1.0;999;i
MP;xlcusx999i;p0p100;1986;1.0;999;i
MP;xlcusx999i;p0p100;1987;1.0;999;i
MP;xlcusx999i;p0p100;1988;1.0;999;i
MP;xlcusx999i;p0p100;1989;1.0;999;i
MP;xlcusx999i;p0p100;1990;1.0;999;i
MP;xlcusx999i;p0p100;1991;1.0;999;i
MP;xlcusx999i;p0p100;1992;1.0;999;i
MP;xlcusx999i;p0p100;1993;1.0;999;i
MP;xlcusx999i;p0p100;1994;1.0;999;i
MP;xlcusx999i;p0p100;1995;1.0;999;i
MP;xlcusx999i;p0p100;1996;1.0;999;i
MP;xlcusx999i;p0p100;1997;1.0;999;i
MP;xlcusx999i;p0p100;1998;1.0;999;i
MP;xlcusx999i;p0p100;1999;1.0;999;i
MP;xlcusx999i;p0p100;2000;1.0;999;i
MP;xlcusx999i;p0p100;2001;1.0;999;i
MP;xlcusx999i;p0p100;2002;1.0;999;i
MP;xlcusx999i;p0p100;2003;1.0;999;i
MP;xlcusx999i;p0p100;2004;1.0;999;i
MP;xlcusx999i;p0p100;2005;1.0;999;i
MP;xlcusx999i;p0p100;2006;1.0;999;i
MP;xlcusx999i;p0p100;2007;1.0;999;i
MP;xlcusx999i;p0p100;2008;1.0;999;i
MP;xlcusx999i;p0p100;2009;1.0;999;i
MP;xlcusx999i;p0p100;2010;1.0;999;i
MP;xlcusx999i;p0p100;2011;1.0;999;i
MP;xlcusx999i;p0p100;2012;1.0;999;i
MP;xlcusx999i;p0p100;2013;1.0;999;i
MP;xlcusx999i;p0p100;2014;1.0;999;i
MP;xlcusx999i;p0p100;2015;1.0;999;i
MP;xlcusx999i;p0p100;2016;1.0;999;i
MP;xlcusx999i;p0p100;2017;1.0;999;i
MP;xlcusx999i;p0p100;2018;1.0;999;i
MP;xlcusx999i;p0p100;2019;1.0;999;i
MP;xlcusx999i;p0p100;2020;1.0;999;i
MP;xlcusx999i;p0p100;2021;1.0;999;i
MP;wwealn999i;p0p100;2002;1.38633811473846;999;i
MP;wwealn999i;p0p100;2003;1.4794784784317;999;i
