country;variable;percentile;year;value;age;pop
MS;mpinrx999i;p0p100;1986;2350436.0;999;i
MS;mpinrx999i;p0p100;1987;2481127.0;999;i
MS;mpinrx999i;p0p100;1988;4675587.0;999;i
MS;mpinrx999i;p0p100;1989;9195766.0;999;i
MS;mpinrx999i;p0p100;1990;8646150.0;999;i
MS;mpinrx999i;p0p100;1991;3901738.0;999;i
MS;mpinrx999i;p0p100;1992;2643041.0;999;i
MS;mpinrx999i;p0p100;1993;2115483.0;999;i
MS;mpinrx999i;p0p100;1994;-436856.0;999;i
MS;mpinrx999i;p0p100;1995;2784956.0;999;i
MS;mpinrx999i;p0p100;1996;2380474.0;999;i
MS;mpinrx999i;p0p100;1997;4136687.0;999;i
MS;mpinrx999i;p0p100;1998;3048485.0;999;i
MS;mpinrx999i;p0p100;1999;4619808.0;999;i
MS;mpinrx999i;p0p100;2000;5766754.0;999;i
MS;mpinrx999i;p0p100;2001;3393649.0;999;i
MS;mpinrx999i;p0p100;2002;2801109.0;999;i
MS;mpinrx999i;p0p100;2003;2932800.0;999;i
MS;mpinrx999i;p0p100;2004;4247276.0;999;i
MS;mpinrx999i;p0p100;2005;6725299.0;999;i
MS;mpinrx999i;p0p100;2006;7483702.0;999;i
MS;mpinrx999i;p0p100;2007;6110746.0;999;i
MS;mpinrx999i;p0p100;2008;3259763.0;999;i
MS;mpinrx999i;p0p100;2009;2924099.0;999;i
MS;mpinrx999i;p0p100;2010;1462022.0;999;i
MS;mpinrx999i;p0p100;2011;989617.0;999;i
MS;mpinrx999i;p0p100;2012;1150731.0;999;i
MS;mpinrx999i;p0p100;2013;1273823.0;999;i
MS;mpinrx999i;p0p100;2014;355860.0;999;i
MS;mpinrx999i;p0p100;2015;2229439.0;999;i
MS;mpinrx999i;p0p100;2016;3009435.0;999;i
MS;mpinrx999i;p0p100;2017;4121089.0;999;i
MS;mpinrx999i;p0p100;2018;4293259.0;999;i
MS;mflcir999i;p0p100;1986;2350436.0;999;i
MS;mflcir999i;p0p100;1987;2481127.0;999;i
MS;mflcir999i;p0p100;1988;4675587.0;999;i
MS;mflcir999i;p0p100;1989;9216110.0;999;i
MS;mflcir999i;p0p100;1990;8664507.0;999;i
MS;mflcir999i;p0p100;1991;3901738.0;999;i
MS;mflcir999i;p0p100;1992;2719651.0;999;i
MS;mflcir999i;p0p100;1993;2115483.0;999;i
MS;mflcir999i;p0p100;1994;-72809.0;999;i
MS;mflcir999i;p0p100;1995;3137481.0;999;i
MS;mflcir999i;p0p100;1996;2380474.0;999;i
MS;mflcir999i;p0p100;1997;4136687.0;999;i
MS;mflcir999i;p0p100;1998;3048485.0;999;i
MS;mflcir999i;p0p100;1999;4619808.0;999;i
MS;mflcir999i;p0p100;2000;5766754.0;999;i
MS;mflcir999i;p0p100;2001;3393649.0;999;i
MS;mflcir999i;p0p100;2002;2801109.0;999;i
MS;mflcir999i;p0p100;2003;2932800.0;999;i
MS;mflcir999i;p0p100;2004;4247276.0;999;i
MS;mflcir999i;p0p100;2005;6725299.0;999;i
MS;mflcir999i;p0p100;2006;7483702.0;999;i
MS;mflcir999i;p0p100;2007;6110746.0;999;i
MS;mflcir999i;p0p100;2008;3259763.0;999;i
MS;mflcir999i;p0p100;2009;2924099.0;999;i
MS;mflcir999i;p0p100;2010;1462022.0;999;i
MS;mflcir999i;p0p100;2011;989617.0;999;i
MS;mflcir999i;p0p100;2012;1150731.0;999;i
MS;mflcir999i;p0p100;2013;1273823.0;999;i
MS;mflcir999i;p0p100;2014;715654.0;999;i
MS;mflcir999i;p0p100;2015;2617267.0;999;i
MS;mflcir999i;p0p100;2016;3663367.0;999;i
MS;mflcir999i;p0p100;2017;4533020.0;999;i
MS;mflcir999i;p0p100;2018;4722400.0;999;i
MS;afinpx999i;p0p100;1986;836.2;999;i
MS;afinpx999i;p0p100;1987;867.8;999;i
MS;afinpx999i;p0p100;1988;604.9;999;i
MS;afinpx999i;p0p100;1989;1276.7;999;i
MS;afinpx999i;p0p100;1990;1389.5;999;i
MS;afinpx999i;p0p100;1991;1211.6;999;i
MS;afinpx999i;p0p100;1992;798.4;999;i
MS;afinpx999i;p0p100;1993;1869.8;999;i
MS;afinpx999i;p0p100;1994;2117.9;999;i
MS;afinpx999i;p0p100;1995;1427.4;999;i
MS;afinpx999i;p0p100;1996;987.4;999;i
MS;afinpx999i;p0p100;1997;1794.4;999;i
MS;afinpx999i;p0p100;1998;1519.7;999;i
MS;afinpx999i;p0p100;1999;4899.4;999;i
MS;afinpx999i;p0p100;2000;3346.5;999;i
MS;afinpx999i;p0p100;2001;1352.2;999;i
MS;afinpx999i;p0p100;2002;3220.1;999;i
MS;afinpx999i;p0p100;2003;1615.6;999;i
MS;afinpx999i;p0p100;2004;3384.6;999;i
MS;afinpx999i;p0p100;2005;3262.4;999;i
MS;afinpx999i;p0p100;2006;2721.5;999;i
MS;afinpx999i;p0p100;2007;3493.4;999;i
MS;afinpx999i;p0p100;2008;3312.6;999;i
MS;afinpx999i;p0p100;2009;2690.3;999;i
MS;afinpx999i;p0p100;2010;2594.8;999;i
MS;afinpx999i;p0p100;2011;2189.2;999;i
MS;afinpx999i;p0p100;2012;1977.9;999;i
MS;afinpx999i;p0p100;2013;2200.4;999;i
MS;afinpx999i;p0p100;2014;207.5;999;i
MS;afinpx999i;p0p100;2015;399.0;999;i
MS;afinpx999i;p0p100;2016;500.0;999;i
MS;afinpx999i;p0p100;2017;740.3;999;i
MS;afinpx999i;p0p100;2018;772.6;999;i
MS;afdirx999i;p0p100;1986;0.0;999;i
MS;afdirx999i;p0p100;1987;0.0;999;i
MS;afdirx999i;p0p100;1988;0.0;999;i
MS;afdirx999i;p0p100;1989;0.0;999;i
MS;afdirx999i;p0p100;1990;0.0;999;i
MS;afdirx999i;p0p100;1991;0.0;999;i
MS;afdirx999i;p0p100;1992;0.0;999;i
MS;afdirx999i;p0p100;1993;0.0;999;i
MS;afdirx999i;p0p100;1994;0.0;999;i
MS;afdirx999i;p0p100;1995;0.0;999;i
MS;afdirx999i;p0p100;1996;0.0;999;i
MS;afdirx999i;p0p100;1997;0.0;999;i
MS;afdirx999i;p0p100;1998;0.0;999;i
MS;afdirx999i;p0p100;1999;0.0;999;i
MS;afdirx999i;p0p100;2000;0.0;999;i
MS;afdirx999i;p0p100;2001;0.0;999;i
MS;afdirx999i;p0p100;2002;0.2;999;i
MS;afdirx999i;p0p100;2003;0.1;999;i
MS;afdirx999i;p0p100;2004;0.0;999;i
MS;afdirx999i;p0p100;2005;0.0;999;i
MS;afdirx999i;p0p100;2006;0.2;999;i
MS;afdirx999i;p0p100;2007;0.2;999;i
MS;afdirx999i;p0p100;2008;0.0;999;i
MS;afdirx999i;p0p100;2009;0.0;999;i
MS;afdirx999i;p0p100;2010;0.0;999;i
MS;afdirx999i;p0p100;2011;0.0;999;i
MS;afdirx999i;p0p100;2012;0.0;999;i
MS;afdirx999i;p0p100;2013;0.0;999;i
MS;afdirx999i;p0p100;2014;0.0;999;i
MS;afdirx999i;p0p100;2015;0.0;999;i
MS;afdirx999i;p0p100;2016;0.0;999;i
MS;afdirx999i;p0p100;2017;0.0;999;i
MS;afdirx999i;p0p100;2018;0.0;999;i
MS;aedugo999i;p0p100;1975;960.9;999;i
MS;aedugo999i;p0p100;1976;877.7;999;i
MS;aedugo999i;p0p100;1977;789.3;999;i
MS;aedugo999i;p0p100;1978;753.9;999;i
MS;aedugo999i;p0p100;1979;939.9;999;i
MS;aedugo999i;p0p100;1980;758.6;999;i
