country;variable;percentile;year;value;age;pop
NC;npopul201f;p0p100;1950;2512.0;201;f
NC;npopul201f;p0p100;1951;2500.0;201;f
NC;npopul201f;p0p100;1952;2537.0;201;f
NC;npopul201f;p0p100;1953;2605.0;201;f
NC;npopul201f;p0p100;1954;2682.0;201;f
NC;npopul201f;p0p100;1955;2749.0;201;f
NC;npopul201f;p0p100;1956;2796.0;201;f
NC;npopul201f;p0p100;1957;2825.0;201;f
NC;npopul201f;p0p100;1958;2849.0;201;f
NC;npopul201f;p0p100;1959;2886.0;201;f
NC;npopul201f;p0p100;1960;2947.0;201;f
NC;npopul201f;p0p100;1961;3058.0;201;f
NC;npopul201f;p0p100;1962;3178.0;201;f
NC;npopul201f;p0p100;1963;3302.0;201;f
NC;npopul201f;p0p100;1964;3418.0;201;f
NC;npopul201f;p0p100;1965;3519.0;201;f
NC;npopul201f;p0p100;1966;3646.0;201;f
NC;npopul201f;p0p100;1967;3750.0;201;f
NC;npopul201f;p0p100;1968;3840.0;201;f
NC;npopul201f;p0p100;1969;3941.0;201;f
NC;npopul201f;p0p100;1970;4078.0;201;f
NC;npopul201f;p0p100;1971;4306.0;201;f
NC;npopul201f;p0p100;1972;4556.0;201;f
NC;npopul201f;p0p100;1973;4808.0;201;f
NC;npopul201f;p0p100;1974;5038.0;201;f
NC;npopul201f;p0p100;1975;5248.0;201;f
NC;npopul201f;p0p100;1976;5415.0;201;f
NC;npopul201f;p0p100;1977;5569.0;201;f
NC;npopul201f;p0p100;1978;5696.0;201;f
NC;npopul201f;p0p100;1979;5802.0;201;f
NC;npopul201f;p0p100;1980;5908.0;201;f
NC;npopul201f;p0p100;1981;6096.0;201;f
NC;npopul201f;p0p100;1982;6268.0;201;f
NC;npopul201f;p0p100;1983;6421.0;201;f
NC;npopul201f;p0p100;1984;6563.0;201;f
NC;npopul201f;p0p100;1985;6721.0;201;f
NC;npopul201f;p0p100;1986;6895.0;201;f
NC;npopul201f;p0p100;1987;7066.0;201;f
NC;npopul201f;p0p100;1988;7258.0;201;f
NC;npopul201f;p0p100;1989;7504.0;201;f
NC;npopul201f;p0p100;1990;7836.0;201;f
NC;npopul201f;p0p100;1991;8292.0;201;f
NC;npopul201f;p0p100;1992;8708.0;201;f
NC;npopul201f;p0p100;1993;8992.0;201;f
NC;npopul201f;p0p100;1994;9083.0;201;f
NC;npopul201f;p0p100;1995;9006.0;201;f
NC;npopul201f;p0p100;1996;9157.0;201;f
NC;npopul201f;p0p100;1997;9175.0;201;f
NC;npopul201f;p0p100;1998;9059.0;201;f
NC;npopul201f;p0p100;1999;8860.0;201;f
NC;npopul201f;p0p100;2000;8636.0;201;f
NC;npopul201f;p0p100;2001;8583.0;201;f
NC;npopul201f;p0p100;2002;8584.0;201;f
NC;npopul201f;p0p100;2003;8651.0;201;f
NC;npopul201f;p0p100;2004;8792.0;201;f
NC;npopul201f;p0p100;2005;9008.0;201;f
NC;npopul201f;p0p100;2006;9416.0;201;f
NC;npopul201f;p0p100;2007;9780.0;201;f
NC;npopul201f;p0p100;2008;10017.0;201;f
NC;npopul201f;p0p100;2009;10060.0;201;f
NC;npopul201f;p0p100;2010;9890.0;201;f
NC;npopul201f;p0p100;2011;9720.0;201;f
NC;npopul201f;p0p100;2012;9480.0;201;f
NC;npopul201f;p0p100;2013;9246.0;201;f
NC;npopul201f;p0p100;2014;9140.0;201;f
NC;npopul201f;p0p100;2015;9230.0;201;f
NC;npopul201f;p0p100;2016;9522.0;201;f
NC;npopul201f;p0p100;2017;10028.0;201;f
NC;npopul201f;p0p100;2018;10626.0;201;f
NC;npopul201f;p0p100;2019;11124.0;201;f
NC;npopul201f;p0p100;2020;11401.0;201;f
NC;npopul201f;p0p100;2021;11491.0;201;f
NC;mptfop999i;p0p100;2002;10474602496.0;999;i
NC;mptfop999i;p0p100;2003;17026538496.0;999;i
NC;mptfop999i;p0p100;2004;12232984576.0;999;i
NC;mptfop999i;p0p100;2005;6655799296.0;999;i
NC;mptfop999i;p0p100;2006;7025534976.0;999;i
NC;mptfop999i;p0p100;2007;9000601600.0;999;i
NC;mptfop999i;p0p100;2008;8985928704.0;999;i
NC;mptfop999i;p0p100;2009;8573615104.0;999;i
NC;mptfop999i;p0p100;2010;8098225664.0;999;i
NC;mptfop999i;p0p100;2011;11713276928.0;999;i
NC;mptfop999i;p0p100;2012;9423465472.0;999;i
NC;mptfop999i;p0p100;2013;12614495232.0;999;i
NC;mptfop999i;p0p100;2014;17928167424.0;999;i
NC;mptfop999i;p0p100;2015;11021565952.0;999;i
NC;mptfop999i;p0p100;2016;11056089088.0;999;i
NC;acompx992i;p0p100;2002;16344.4;992;i
NC;acompx992i;p0p100;2003;15106.9;992;i
NC;acompx992i;p0p100;2004;12414.9;992;i
NC;acompx992i;p0p100;2005;14190.1;992;i
NC;acompx992i;p0p100;2006;23809.1;992;i
NC;acompx992i;p0p100;2007;22397.0;992;i
NC;acompx992i;p0p100;2008;28600.4;992;i
NC;acompx992i;p0p100;2009;46650.2;992;i
NC;acompx992i;p0p100;2010;42219.5;992;i
NC;acompx992i;p0p100;2011;41696.9;992;i
NC;acompx992i;p0p100;2012;34181.3;992;i
NC;acompx992i;p0p100;2013;29658.7;992;i
NC;acompx992i;p0p100;2014;18672.1;992;i
NC;acompx992i;p0p100;2015;12752.1;992;i
NC;acompx992i;p0p100;2016;25309.0;992;i
NC;aptfnx999i;p0p100;2002;-24393.2;999;i
NC;aptfnx999i;p0p100;2003;-52771.3;999;i
NC;aptfnx999i;p0p100;2004;-29354.7;999;i
NC;aptfnx999i;p0p100;2005;16297.0;999;i
NC;aptfnx999i;p0p100;2006;-336.0;999;i
NC;aptfnx999i;p0p100;2007;-6515.3;999;i
NC;aptfnx999i;p0p100;2008;2095.6;999;i
NC;aptfnx999i;p0p100;2009;738.4;999;i
NC;aptfnx999i;p0p100;2010;2858.6;999;i
NC;aptfnx999i;p0p100;2011;-9548.4;999;i
NC;aptfnx999i;p0p100;2012;3886.5;999;i
NC;aptfnx999i;p0p100;2013;-13512.0;999;i
NC;aptfnx999i;p0p100;2014;-42708.2;999;i
