country;variable;percentile;year;value;age;pop
NR;mfinpx999i;p0p100;2008;8532416.0;999;i
NR;mfinpx999i;p0p100;2009;5669000.0;999;i
NR;mfinpx999i;p0p100;2010;5452036.0;999;i
NR;mfinpx999i;p0p100;2011;4506745.0;999;i
NR;mfinpx999i;p0p100;2012;3771848.0;999;i
NR;mfinpx999i;p0p100;2013;4114973.0;999;i
NR;mfinpx999i;p0p100;2014;3513679.0;999;i
NR;mfinpx999i;p0p100;2015;3499416.0;999;i
NR;mfinpx999i;p0p100;2016;2979734.0;999;i
NR;mfinpx999i;p0p100;2017;2823002.0;999;i
NR;mfinpx999i;p0p100;2018;2655172.0;999;i
NR;mgweal999i;p0p100;1995;9057340.0;999;i
NR;mgweal999i;p0p100;1996;10471883.0;999;i
NR;mgweal999i;p0p100;1997;11525406.0;999;i
NR;mgweal999i;p0p100;1998;12441347.0;999;i
NR;mgweal999i;p0p100;1999;13623075.0;999;i
NR;mgweal999i;p0p100;2000;14724589.0;999;i
NR;mgweal999i;p0p100;2001;15509273.0;999;i
NR;mgweal999i;p0p100;2002;16905825.0;999;i
NR;mgweal999i;p0p100;2003;18924440.0;999;i
NR;mgweal999i;p0p100;2004;19565028.0;999;i
NR;mgweal999i;p0p100;2005;22605424.0;999;i
NR;mgweal999i;p0p100;2006;23050681.0;999;i
NR;mgweal999i;p0p100;2007;24159321.0;999;i
NR;mgweal999i;p0p100;2008;31721859.0;999;i
NR;mgweal999i;p0p100;2009;38927727.0;999;i
NR;mgweal999i;p0p100;2010;43618682.0;999;i
NR;mgweal999i;p0p100;2011;46275829.0;999;i
NR;mgweal999i;p0p100;2012;58797026.0;999;i
NR;mgweal999i;p0p100;2013;77199925.0;999;i
NR;mgweal999i;p0p100;2014;87470189.0;999;i
NR;mgweal999i;p0p100;2015;93453052.0;999;i
NR;mgweal999i;p0p100;2016;90650406.0;999;i
NR;mgweal999i;p0p100;2017;89259186.0;999;i
NR;mgweal999i;p0p100;2018;87539626.0;999;i
NR;mgweal999i;p0p100;2019;84232854.0;999;i
NR;mgweal999i;p0p100;2020;81634683.0;999;i
NR;mgweal999i;p0p100;2021;79155727.0;999;i
NR;npopul999i;p0p100;1950;3424.0;999;i
NR;npopul999i;p0p100;1951;3470.0;999;i
NR;npopul999i;p0p100;1952;3551.0;999;i
NR;npopul999i;p0p100;1953;3652.0;999;i
NR;npopul999i;p0p100;1954;3741.0;999;i
