country;variable;percentile;year;value;age;pop
OA-MER;ahweal992j;p79p100;1995;6499.4;992;j
OA-MER;ahweal992j;p79p100;1996;6317.8;992;j
OA-MER;ahweal992j;p79p100;1997;6461.7;992;j
OA-MER;ahweal992j;p79p100;1998;6481.6;992;j
OA-MER;ahweal992j;p79p100;1999;6596.2;992;j
OA-MER;ahweal992j;p79p100;2000;7023.3;992;j
OA-MER;ahweal992j;p79p100;2001;8140.5;992;j
OA-MER;ahweal992j;p79p100;2002;9094.4;992;j
OA-MER;ahweal992j;p79p100;2003;10109.1;992;j
OA-MER;ahweal992j;p79p100;2004;11508.8;992;j
OA-MER;ahweal992j;p79p100;2005;12770.5;992;j
OA-MER;ahweal992j;p79p100;2006;14173.9;992;j
OA-MER;ahweal992j;p79p100;2007;16085.8;992;j
OA-MER;ahweal992j;p79p100;2008;17147.1;992;j
OA-MER;ahweal992j;p79p100;2009;16426.3;992;j
OA-MER;ahweal992j;p79p100;2010;17386.3;992;j
OA-MER;ahweal992j;p79p100;2011;19083.3;992;j
OA-MER;ahweal992j;p79p100;2012;20079.7;992;j
OA-MER;ahweal992j;p79p100;2013;21380.0;992;j
OA-MER;ahweal992j;p79p100;2014;21841.0;992;j
OA-MER;ahweal992j;p79p100;2015;23724.6;992;j
OA-MER;ahweal992j;p79p100;2016;24233.7;992;j
OA-MER;ahweal992j;p79p100;2017;26219.2;992;j
OA-MER;ahweal992j;p79p100;2018;27909.7;992;j
OA-MER;ahweal992j;p79p100;2019;29971.6;992;j
OA-MER;ahweal992j;p79p100;2020;29492.5;992;j
OA-MER;ahweal992j;p79p100;2021;31746.7;992;j
OA-MER;aptinc992j;p90p100;1980;19000.7;992;j
OA-MER;aptinc992j;p90p100;1981;18803.0;992;j
OA-MER;aptinc992j;p90p100;1982;18585.4;992;j
OA-MER;aptinc992j;p90p100;1983;18467.2;992;j
OA-MER;aptinc992j;p90p100;1984;18303.3;992;j
OA-MER;aptinc992j;p90p100;1985;17988.8;992;j
OA-MER;aptinc992j;p90p100;1986;17662.4;992;j
OA-MER;aptinc992j;p90p100;1987;17397.3;992;j
OA-MER;aptinc992j;p90p100;1988;17922.1;992;j
OA-MER;aptinc992j;p90p100;1989;18339.5;992;j
OA-MER;aptinc992j;p90p100;1990;18117.4;992;j
OA-MER;aptinc992j;p90p100;1991;16265.1;992;j
OA-MER;aptinc992j;p90p100;1992;14408.5;992;j
OA-MER;aptinc992j;p90p100;1993;12150.1;992;j
OA-MER;aptinc992j;p90p100;1994;10235.7;992;j
OA-MER;aptinc992j;p90p100;1995;9691.1;992;j
OA-MER;aptinc992j;p90p100;1996;8983.2;992;j
OA-MER;aptinc992j;p90p100;1997;8868.7;992;j
OA-MER;aptinc992j;p90p100;1998;8626.4;992;j
OA-MER;aptinc992j;p90p100;1999;8571.0;992;j
OA-MER;aptinc992j;p90p100;2000;9019.6;992;j
OA-MER;aptinc992j;p90p100;2001;10227.3;992;j
OA-MER;aptinc992j;p90p100;2002;10860.3;992;j
OA-MER;aptinc992j;p90p100;2003;11885.2;992;j
OA-MER;aptinc992j;p90p100;2004;12685.9;992;j
OA-MER;aptinc992j;p90p100;2005;13366.8;992;j
OA-MER;aptinc992j;p90p100;2006;14857.5;992;j
OA-MER;aptinc992j;p90p100;2007;15950.6;992;j
OA-MER;aptinc992j;p90p100;2008;16202.2;992;j
OA-MER;aptinc992j;p90p100;2009;15214.4;992;j
OA-MER;aptinc992j;p90p100;2010;15699.7;992;j
OA-MER;aptinc992j;p90p100;2011;16373.9;992;j
OA-MER;aptinc992j;p90p100;2012;16873.5;992;j
OA-MER;aptinc992j;p90p100;2013;17766.9;992;j
OA-MER;aptinc992j;p90p100;2014;17828.7;992;j
