country;variable;percentile;year;value;age;pop
OA;kntgho999i;p0p100;1980;4.14562559127808;999;i
OA;kntgho999i;p0p100;1981;4.0716757774353;999;i
OA;kntgho999i;p0p100;1982;4.07317161560059;999;i
OA;kntgho999i;p0p100;1983;4.29211521148682;999;i
OA;kntgho999i;p0p100;1984;4.31812620162964;999;i
OA;kntgho999i;p0p100;1985;4.29665517807007;999;i
OA;kntgho999i;p0p100;1986;4.30875301361084;999;i
OA;kntgho999i;p0p100;1987;4.31622076034546;999;i
OA;kntgho999i;p0p100;1988;4.60463857650757;999;i
OA;kntgho999i;p0p100;1989;4.47467517852783;999;i
OA;kntgho999i;p0p100;1990;4.4360728263855;999;i
OA;kntgho999i;p0p100;1991;4.28041362762451;999;i
OA;kntgho999i;p0p100;1992;3.97839760780335;999;i
OA;kntgho999i;p0p100;1993;4.02509593963623;999;i
OA;kntgho999i;p0p100;1994;3.53960061073303;999;i
OA;kntgho999i;p0p100;1995;3.32786250114441;999;i
OA;kntgho999i;p0p100;1996;3.24474740028381;999;i
OA;kntgho999i;p0p100;1997;3.07920837402344;999;i
OA;kntgho999i;p0p100;1998;3.04441523551941;999;i
OA;kntgho999i;p0p100;1999;3.10858368873596;999;i
OA;kntgho999i;p0p100;2000;3.30792188644409;999;i
OA;kntgho999i;p0p100;2001;3.0764787197113;999;i
OA;kntgho999i;p0p100;2002;3.07589745521545;999;i
OA;kntgho999i;p0p100;2003;3.14422154426575;999;i
OA;kntgho999i;p0p100;2004;3.16879296302795;999;i
OA;kntgho999i;p0p100;2005;3.16405963897705;999;i
OA;kntgho999i;p0p100;2006;3.30999827384949;999;i
OA;kntgho999i;p0p100;2007;3.33271026611328;999;i
OA;kntgho999i;p0p100;2008;3.43324017524719;999;i
OA;kntgho999i;p0p100;2009;3.09143042564392;999;i
OA;kntgho999i;p0p100;2010;3.09013223648071;999;i
OA;kntgho999i;p0p100;2011;3.20401620864868;999;i
OA;kntgho999i;p0p100;2012;3.18972992897034;999;i
OA;kntgho999i;p0p100;2013;3.12908172607422;999;i
OA;kntgho999i;p0p100;2014;3.06835007667542;999;i
OA;kntgho999i;p0p100;2015;2.97166228294373;999;i
OA;kntgho999i;p0p100;2016;3.09415221214294;999;i
OA;kntgho999i;p0p100;2017;3.06120777130127;999;i
OA;kntgho999i;p0p100;2018;3.12411880493164;999;i
OA;kntgho999i;p0p100;2019;3.09420847892761;999;i
OA;kntgho999i;p0p100;2020;2.85864543914795;999;i
OA;kntcar999i;p0p100;1980;11.7753868103027;999;i
OA;kntcar999i;p0p100;1981;11.322546005249;999;i
OA;kntcar999i;p0p100;1982;11.1003713607788;999;i
OA;kntcar999i;p0p100;1983;11.0189542770386;999;i
OA;kntcar999i;p0p100;1984;11.1319274902344;999;i
OA;kntcar999i;p0p100;1985;11.7890605926514;999;i
OA;kntcar999i;p0p100;1986;11.6784524917603;999;i
OA;kntcar999i;p0p100;1987;11.9401769638062;999;i
OA;kntcar999i;p0p100;1988;12.0565481185913;999;i
OA;kntcar999i;p0p100;1989;11.6669330596924;999;i
OA;kntcar999i;p0p100;1990;10.6468019485474;999;i
OA;kntcar999i;p0p100;1991;9.81136035919189;999;i
OA;kntcar999i;p0p100;1992;8.89603424072266;999;i
OA;kntcar999i;p0p100;1993;7.78252744674683;999;i
OA;kntcar999i;p0p100;1994;6.5512375831604;999;i
OA;kntcar999i;p0p100;1995;6.11387348175049;999;i
OA;kntcar999i;p0p100;1996;5.73382949829102;999;i
OA;kntcar999i;p0p100;1997;5.5810399055481;999;i
OA;kntcar999i;p0p100;1998;5.46082067489624;999;i
OA;kntcar999i;p0p100;1999;5.04860353469849;999;i
OA;kntcar999i;p0p100;2000;5.19049406051636;999;i
OA;kntcar999i;p0p100;2001;5.26663112640381;999;i
OA;kntcar999i;p0p100;2002;5.38632583618164;999;i
OA;kntcar999i;p0p100;2003;5.61941432952881;999;i
OA;kntcar999i;p0p100;2004;5.73399782180786;999;i
OA;kntcar999i;p0p100;2005;5.868239402771;999;i
OA;kntcar999i;p0p100;2006;6.25491285324097;999;i
OA;kntcar999i;p0p100;2007;6.2622652053833;999;i
OA;kntcar999i;p0p100;2008;6.30530834197998;999;i
OA;kntcar999i;p0p100;2009;5.71357774734497;999;i
OA;kntcar999i;p0p100;2010;6.00238370895386;999;i
OA;kntcar999i;p0p100;2011;6.06952428817749;999;i
OA;kntcar999i;p0p100;2012;6.10734415054321;999;i
OA;kntcar999i;p0p100;2013;5.98885488510132;999;i
OA;kntcar999i;p0p100;2014;5.86567974090576;999;i
OA;kntcar999i;p0p100;2015;5.64163398742676;999;i
OA;kntcar999i;p0p100;2016;5.63912296295166;999;i
OA;kntcar999i;p0p100;2017;5.64678859710693;999;i
OA;kntcar999i;p0p100;2018;5.83759069442749;999;i
OA;kntcar999i;p0p100;2019;5.73504877090454;999;i
OA;kntcar999i;p0p100;2020;5.29843759536743;999;i
OA;khfghg999i;p0p100;1980;7.59157037734985;999;i
OA;khfghg999i;p0p100;1981;7.42644548416138;999;i
OA;khfghg999i;p0p100;1982;7.48066854476929;999;i
OA;khfghg999i;p0p100;1983;7.61030244827271;999;i
OA;khfghg999i;p0p100;1984;7.64292049407959;999;i
OA;khfghg999i;p0p100;1985;8.06932544708252;999;i
OA;khfghg999i;p0p100;1986;8.16024875640869;999;i
OA;khfghg999i;p0p100;1987;8.38507270812988;999;i
OA;khfghg999i;p0p100;1988;8.64412307739258;999;i
OA;khfghg999i;p0p100;1989;8.21575927734375;999;i
OA;khfghg999i;p0p100;1990;7.59635353088379;999;i
OA;khfghg999i;p0p100;1991;6.88194561004639;999;i
OA;khfghg999i;p0p100;1992;5.24373722076416;999;i
OA;khfghg999i;p0p100;1993;5.3943943977356;999;i
OA;khfghg999i;p0p100;1994;4.48854541778565;999;i
OA;khfghg999i;p0p100;1995;4.0607705116272;999;i
OA;khfghg999i;p0p100;1996;4.39865875244141;999;i
OA;khfghg999i;p0p100;1997;4.20027017593384;999;i
OA;khfghg999i;p0p100;1998;4.21775197982788;999;i
OA;khfghg999i;p0p100;1999;4.1213526725769;999;i
OA;khfghg999i;p0p100;2000;4.02547311782837;999;i
OA;khfghg999i;p0p100;2001;4.13741254806519;999;i
