country;variable;percentile;year;value;age;pop
OB-MER;ahweal992j;p7p8;1995;-110.6;992;j
OB-MER;ahweal992j;p7p8;1996;-94.6;992;j
OB-MER;ahweal992j;p7p8;1997;-92.7;992;j
OB-MER;ahweal992j;p7p8;1998;-113.0;992;j
OB-MER;ahweal992j;p7p8;1999;-107.0;992;j
OB-MER;ahweal992j;p7p8;2000;-98.9;992;j
OB-MER;ahweal992j;p7p8;2001;-88.1;992;j
OB-MER;ahweal992j;p7p8;2002;-86.0;992;j
OB-MER;ahweal992j;p7p8;2003;-83.6;992;j
OB-MER;ahweal992j;p7p8;2004;-83.7;992;j
OB-MER;ahweal992j;p7p8;2005;-111.8;992;j
OB-MER;ahweal992j;p7p8;2006;-41.6;992;j
OB-MER;ahweal992j;p7p8;2007;-34.0;992;j
OB-MER;ahweal992j;p7p8;2008;-36.6;992;j
OB-MER;ahweal992j;p7p8;2009;-36.3;992;j
OB-MER;ahweal992j;p7p8;2010;-36.2;992;j
OB-MER;ahweal992j;p7p8;2011;-37.6;992;j
OB-MER;ahweal992j;p7p8;2012;-32.7;992;j
OB-MER;ahweal992j;p7p8;2013;-41.9;992;j
OB-MER;ahweal992j;p7p8;2014;-43.2;992;j
OB-MER;ahweal992j;p7p8;2015;-42.5;992;j
OB-MER;ahweal992j;p7p8;2016;-44.6;992;j
OB-MER;ahweal992j;p7p8;2017;-43.3;992;j
OB-MER;ahweal992j;p7p8;2018;-45.2;992;j
OB-MER;ahweal992j;p7p8;2019;-47.2;992;j
OB-MER;ahweal992j;p7p8;2020;-48.4;992;j
OB-MER;ahweal992j;p7p8;2021;-46.7;992;j
OB-MER;ahweal992j;p94p95;1995;140433.1;992;j
OB-MER;ahweal992j;p94p95;1996;155878.0;992;j
OB-MER;ahweal992j;p94p95;1997;158444.4;992;j
OB-MER;ahweal992j;p94p95;1998;160133.9;992;j
OB-MER;ahweal992j;p94p95;1999;168789.3;992;j
OB-MER;ahweal992j;p94p95;2000;176601.4;992;j
OB-MER;ahweal992j;p94p95;2001;174676.6;992;j
OB-MER;ahweal992j;p94p95;2002;184506.5;992;j
OB-MER;ahweal992j;p94p95;2003;197839.0;992;j
OB-MER;ahweal992j;p94p95;2004;211924.2;992;j
OB-MER;ahweal992j;p94p95;2005;231287.4;992;j
OB-MER;ahweal992j;p94p95;2006;253478.0;992;j
OB-MER;ahweal992j;p94p95;2007;279977.6;992;j
OB-MER;ahweal992j;p94p95;2008;286983.2;992;j
OB-MER;ahweal992j;p94p95;2009;284588.4;992;j
OB-MER;ahweal992j;p94p95;2010;301687.6;992;j
OB-MER;ahweal992j;p94p95;2011;313317.2;992;j
OB-MER;ahweal992j;p94p95;2012;322455.3;992;j
OB-MER;ahweal992j;p94p95;2013;346161.3;992;j
OB-MER;ahweal992j;p94p95;2014;361483.5;992;j
