country;variable;percentile;year;value;age;pop
OC-MER;ahweal992j;p40p100;1995;182267.4;992;j
OC-MER;ahweal992j;p40p100;1996;190952.5;992;j
OC-MER;ahweal992j;p40p100;1997;201079.1;992;j
OC-MER;ahweal992j;p40p100;1998;214797.4;992;j
OC-MER;ahweal992j;p40p100;1999;231174.3;992;j
OC-MER;ahweal992j;p40p100;2000;243570.0;992;j
OC-MER;ahweal992j;p40p100;2001;247144.8;992;j
OC-MER;ahweal992j;p40p100;2002;247200.4;992;j
OC-MER;ahweal992j;p40p100;2003;250349.7;992;j
OC-MER;ahweal992j;p40p100;2004;260983.3;992;j
OC-MER;ahweal992j;p40p100;2005;275422.1;992;j
OC-MER;ahweal992j;p40p100;2006;292181.2;992;j
OC-MER;ahweal992j;p40p100;2007;302092.1;992;j
OC-MER;ahweal992j;p40p100;2008;302819.4;992;j
OC-MER;ahweal992j;p40p100;2009;301858.7;992;j
OC-MER;ahweal992j;p40p100;2010;299750.7;992;j
OC-MER;ahweal992j;p40p100;2011;303387.8;992;j
OC-MER;ahweal992j;p40p100;2012;305269.1;992;j
OC-MER;ahweal992j;p40p100;2013;310855.2;992;j
OC-MER;ahweal992j;p40p100;2014;324312.8;992;j
OC-MER;ahweal992j;p40p100;2015;338262.4;992;j
OC-MER;ahweal992j;p40p100;2016;350314.9;992;j
OC-MER;ahweal992j;p40p100;2017;363903.9;992;j
OC-MER;ahweal992j;p40p100;2018;371318.2;992;j
OC-MER;ahweal992j;p40p100;2019;381309.9;992;j
OC-MER;ahweal992j;p40p100;2020;397457.2;992;j
OC-MER;ahweal992j;p40p100;2021;414625.1;992;j
OC-MER;ahweal992j;p6p7;1995;-2924.5;992;j
OC-MER;ahweal992j;p6p7;1996;-3382.0;992;j
OC-MER;ahweal992j;p6p7;1997;-3089.2;992;j
OC-MER;ahweal992j;p6p7;1998;-4313.4;992;j
OC-MER;ahweal992j;p6p7;1999;-4646.0;992;j
OC-MER;ahweal992j;p6p7;2000;-4943.6;992;j
OC-MER;ahweal992j;p6p7;2001;-4117.4;992;j
OC-MER;ahweal992j;p6p7;2002;-3015.5;992;j
OC-MER;ahweal992j;p6p7;2003;-3838.4;992;j
OC-MER;ahweal992j;p6p7;2004;-4400.7;992;j
OC-MER;ahweal992j;p6p7;2005;-4961.3;992;j
OC-MER;ahweal992j;p6p7;2006;-5477.6;992;j
OC-MER;ahweal992j;p6p7;2007;-5299.5;992;j
OC-MER;ahweal992j;p6p7;2008;-4684.5;992;j
OC-MER;ahweal992j;p6p7;2009;-5643.8;992;j
OC-MER;ahweal992j;p6p7;2010;-8253.9;992;j
OC-MER;ahweal992j;p6p7;2011;-9986.8;992;j
OC-MER;ahweal992j;p6p7;2012;-10522.3;992;j
OC-MER;ahweal992j;p6p7;2013;-11745.9;992;j
OC-MER;ahweal992j;p6p7;2014;-11386.5;992;j
OC-MER;ahweal992j;p6p7;2015;-8856.5;992;j
OC-MER;ahweal992j;p6p7;2016;-6654.1;992;j
OC-MER;ahweal992j;p6p7;2017;-4493.9;992;j
OC-MER;ahweal992j;p6p7;2018;-4661.9;992;j
OC-MER;ahweal992j;p6p7;2019;-4513.3;992;j
OC-MER;ahweal992j;p6p7;2020;-4724.5;992;j
OC-MER;ahweal992j;p6p7;2021;-4915.2;992;j
OC-MER;aptinc992j;p91p100;1980;93436.8;992;j
OC-MER;aptinc992j;p91p100;1981;92578.5;992;j
OC-MER;aptinc992j;p91p100;1982;91761.4;992;j
OC-MER;aptinc992j;p91p100;1983;91376.1;992;j
OC-MER;aptinc992j;p91p100;1984;94231.4;992;j
OC-MER;aptinc992j;p91p100;1985;96617.4;992;j
OC-MER;aptinc992j;p91p100;1986;97072.1;992;j
OC-MER;aptinc992j;p91p100;1987;98509.7;992;j
OC-MER;aptinc992j;p91p100;1988;100868.1;992;j
OC-MER;aptinc992j;p91p100;1989;102468.3;992;j
OC-MER;aptinc992j;p91p100;1990;102786.4;992;j
OC-MER;aptinc992j;p91p100;1991;110029.2;992;j
OC-MER;aptinc992j;p91p100;1992;108958.6;992;j
OC-MER;aptinc992j;p91p100;1993;110247.6;992;j
OC-MER;aptinc992j;p91p100;1994;114729.7;992;j
OC-MER;aptinc992j;p91p100;1995;118234.4;992;j
