country;variable;percentile;year;value;age;pop
OC;ehfgho999i;p0p100;1990;136.481854218863;999;i
OC;ehfgho999i;p0p100;1991;136.1316765915;999;i
OC;ehfgho999i;p0p100;1992;138.183814976983;999;i
OC;ehfgho999i;p0p100;1993;136.271452668276;999;i
OC;ehfgho999i;p0p100;1994;142.430515306694;999;i
OC;ehfgho999i;p0p100;1995;146.57847601489;999;i
OC;ehfgho999i;p0p100;1996;147.87806036634;999;i
OC;ehfgho999i;p0p100;1997;141.923569500648;999;i
OC;ehfgho999i;p0p100;1998;149.534969846145;999;i
OC;ehfgho999i;p0p100;1999;147.268571244993;999;i
OC;ehfgho999i;p0p100;2000;148.021606877563;999;i
OC;ehfgho999i;p0p100;2001;142.771585164658;999;i
OC;ehfgho999i;p0p100;2002;141.116443447706;999;i
OC;ehfgho999i;p0p100;2003;144.836621047641;999;i
OC;ehfgho999i;p0p100;2004;147.970250392254;999;i
OC;ehfgho999i;p0p100;2005;146.459211078236;999;i
OC;ehfgho999i;p0p100;2006;144.384196124743;999;i
OC;ehfgho999i;p0p100;2007;145.345080824034;999;i
OC;ehfgho999i;p0p100;2008;145.087131770194;999;i
OC;ehfgho999i;p0p100;2009;136.949371592595;999;i
OC;ehfgho999i;p0p100;2010;134.188098252223;999;i
OC;ehfgho999i;p0p100;2011;131.536432616157;999;i
OC;ehfgho999i;p0p100;2012;126.774564420261;999;i
OC;ehfgho999i;p0p100;2013;127.05005455034;999;i
OC;ehfgho999i;p0p100;2014;126.499923276663;999;i
OC;ehfgho999i;p0p100;2015;126.359980460128;999;i
OC;ehfgho999i;p0p100;2016;124.928349552043;999;i
OC;ehfgho999i;p0p100;2017;126.060092490553;999;i
OC;ehfgho999i;p0p100;2018;125.754643014261;999;i
OC;ehfgho999i;p0p100;2019;122.028861889875;999;i
OC;ehfgho999i;p0p100;2020;109.825975700888;999;i
OC;bptinc992j;p2p100;1982;-3991.54077148438;992;j
OC;bptinc992j;p2p100;1987;-83734376.0;992;j
OC;bptinc992j;p2p100;1989;-7775.44775390625;992;j
OC;bptinc992j;p2p100;1992;-4998.0712890625;992;j
OC;bptinc992j;p2p100;1993;-3558.2841796875;992;j
OC;bptinc992j;p2p100;1996;-1070076.25;992;j
