country;variable;percentile;year;value;age;pop
OD-MER;ahweal992j;p72p73;1995;4794.2;992;j
OD-MER;ahweal992j;p72p73;1996;5027.9;992;j
OD-MER;ahweal992j;p72p73;1997;5437.0;992;j
OD-MER;ahweal992j;p72p73;1998;5651.1;992;j
OD-MER;ahweal992j;p72p73;1999;5656.0;992;j
OD-MER;ahweal992j;p72p73;2000;5898.7;992;j
OD-MER;ahweal992j;p72p73;2001;6141.5;992;j
OD-MER;ahweal992j;p72p73;2002;6217.5;992;j
OD-MER;ahweal992j;p72p73;2003;6450.2;992;j
OD-MER;ahweal992j;p72p73;2004;7240.9;992;j
OD-MER;ahweal992j;p72p73;2005;8462.2;992;j
OD-MER;ahweal992j;p72p73;2006;7699.7;992;j
OD-MER;ahweal992j;p72p73;2007;8900.8;992;j
OD-MER;ahweal992j;p72p73;2008;10269.9;992;j
OD-MER;ahweal992j;p72p73;2009;9369.9;992;j
OD-MER;ahweal992j;p72p73;2010;11356.4;992;j
OD-MER;ahweal992j;p72p73;2011;11085.1;992;j
OD-MER;ahweal992j;p72p73;2012;12680.3;992;j
OD-MER;ahweal992j;p72p73;2013;12742.9;992;j
OD-MER;ahweal992j;p72p73;2014;13456.5;992;j
OD-MER;ahweal992j;p72p73;2015;13593.4;992;j
OD-MER;ahweal992j;p72p73;2016;13314.7;992;j
OD-MER;ahweal992j;p72p73;2017;13902.8;992;j
OD-MER;ahweal992j;p72p73;2018;13737.7;992;j
OD-MER;ahweal992j;p72p73;2019;13341.1;992;j
OD-MER;ahweal992j;p72p73;2020;11913.4;992;j
OD-MER;ahweal992j;p72p73;2021;11940.4;992;j
OD-MER;aptinc992j;p25p100;1980;12064.3;992;j
OD-MER;aptinc992j;p25p100;1981;11957.7;992;j
OD-MER;aptinc992j;p25p100;1982;11487.3;992;j
OD-MER;aptinc992j;p25p100;1983;11074.7;992;j
OD-MER;aptinc992j;p25p100;1984;11059.2;992;j
OD-MER;aptinc992j;p25p100;1985;10730.5;992;j
OD-MER;aptinc992j;p25p100;1986;11034.5;992;j
OD-MER;aptinc992j;p25p100;1987;11139.7;992;j
OD-MER;aptinc992j;p25p100;1988;11017.6;992;j
OD-MER;aptinc992j;p25p100;1989;10166.2;992;j
OD-MER;aptinc992j;p25p100;1990;10385.0;992;j
OD-MER;aptinc992j;p25p100;1991;10572.1;992;j
OD-MER;aptinc992j;p25p100;1992;10616.3;992;j
OD-MER;aptinc992j;p25p100;1993;10545.1;992;j
OD-MER;aptinc992j;p25p100;1994;10628.0;992;j
OD-MER;aptinc992j;p25p100;1995;10571.9;992;j
OD-MER;aptinc992j;p25p100;1996;10673.2;992;j
OD-MER;aptinc992j;p25p100;1997;11294.0;992;j
OD-MER;aptinc992j;p25p100;1998;11054.2;992;j
