country;variable;percentile;year;value;age;pop
OD;khfgho999i;p0p100;1990;1.11345505714417;999;i
OD;khfgho999i;p0p100;1991;1.08379530906677;999;i
OD;khfgho999i;p0p100;1992;1.08867573738098;999;i
OD;khfgho999i;p0p100;1993;1.10284888744354;999;i
OD;khfgho999i;p0p100;1994;1.09149241447449;999;i
OD;khfgho999i;p0p100;1995;1.1137512922287;999;i
OD;khfgho999i;p0p100;1996;1.14083802700043;999;i
OD;khfgho999i;p0p100;1997;1.18636107444763;999;i
OD;khfgho999i;p0p100;1998;1.20240724086761;999;i
OD;khfgho999i;p0p100;1999;1.15420806407928;999;i
OD;khfgho999i;p0p100;2000;1.12069487571716;999;i
OD;khfgho999i;p0p100;2001;1.1079386472702;999;i
OD;khfgho999i;p0p100;2002;1.0845935344696;999;i
OD;khfgho999i;p0p100;2003;1.07173311710358;999;i
OD;khfgho999i;p0p100;2004;1.09988629817963;999;i
OD;khfgho999i;p0p100;2005;1.13782966136932;999;i
OD;khfgho999i;p0p100;2006;1.14494669437408;999;i
OD;khfgho999i;p0p100;2007;1.16998958587647;999;i
OD;khfgho999i;p0p100;2008;1.18106544017792;999;i
OD;khfgho999i;p0p100;2009;1.20513677597046;999;i
OD;khfgho999i;p0p100;2010;1.19686532020569;999;i
OD;khfgho999i;p0p100;2011;1.21761929988861;999;i
OD;khfgho999i;p0p100;2012;1.225701212883;999;i
OD;khfgho999i;p0p100;2013;1.22429823875427;999;i
OD;khfgho999i;p0p100;2014;1.21526527404785;999;i
OD;khfgho999i;p0p100;2015;1.21740937232971;999;i
OD;khfgho999i;p0p100;2016;1.20227384567261;999;i
OD;khfgho999i;p0p100;2017;1.19559872150421;999;i
OD;khfgho999i;p0p100;2018;1.20706784725189;999;i
OD;khfgho999i;p0p100;2019;1.20243442058563;999;i
OD;khfgho999i;p0p100;2020;1.13038563728332;999;i
OD;ehfghd999i;p0p100;1990;34.0721036426535;999;i
OD;ehfghd999i;p0p100;1991;33.6515800476042;999;i
OD;ehfghd999i;p0p100;1992;34.6780249986599;999;i
OD;ehfghd999i;p0p100;1993;38.5761190473502;999;i
OD;ehfghd999i;p0p100;1994;38.853242757578;999;i
OD;ehfghd999i;p0p100;1995;42.3269069980286;999;i
OD;ehfghd999i;p0p100;1996;41.4724823089413;999;i
OD;ehfghd999i;p0p100;1997;43.8527159255873;999;i
OD;ehfghd999i;p0p100;1998;50.4767569761864;999;i
OD;ehfghd999i;p0p100;1999;51.6608569328733;999;i
OD;ehfghd999i;p0p100;2000;49.0002755345273;999;i
OD;ehfghd999i;p0p100;2001;52.0532398966577;999;i
OD;ehfghd999i;p0p100;2002;55.9896091679882;999;i
OD;ehfghd999i;p0p100;2003;56.7150757112597;999;i
OD;ehfghd999i;p0p100;2004;51.9775759142;999;i
OD;ehfghd999i;p0p100;2005;53.1646678994842;999;i
OD;ehfghd999i;p0p100;2006;54.4155937865368;999;i
OD;ehfghd999i;p0p100;2007;55.7345763284;999;i
OD;ehfghd999i;p0p100;2008;57.2674860587294;999;i
OD;ehfghd999i;p0p100;2009;59.0863954680464;999;i
OD;ehfghd999i;p0p100;2010;61.2237617640953;999;i
OD;ehfghd999i;p0p100;2011;63.7197001181;999;i
OD;ehfghd999i;p0p100;2012;64.7993358107065;999;i
OD;ehfghd999i;p0p100;2013;66.1320871710894;999;i
OD;ehfghd999i;p0p100;2014;67.7063013278;999;i
OD;ehfghd999i;p0p100;2015;66.5145968519684;999;i
OD;ehfghd999i;p0p100;2016;66.5835283023489;999;i
