country;variable;percentile;year;value;age;pop
OE-MER;bptinc992j;p2p100;1982;-16575.93359375;992;j
OE-MER;bptinc992j;p2p100;1983;-468336992.0;992;j
OE-MER;bptinc992j;p2p100;1984;-17344.0703125;992;j
OE-MER;bptinc992j;p2p100;1985;-13848.8212890625;992;j
OE-MER;bptinc992j;p2p100;1986;-9233.9423828125;992;j
OE-MER;bptinc992j;p2p100;1989;-8312.3466796875;992;j
OE-MER;bptinc992j;p2p100;1991;-22259.49609375;992;j
OE-MER;bptinc992j;p2p100;1993;-16439.09765625;992;j
OE-MER;bptinc992j;p2p100;1995;-14545.2197265625;992;j
OE-MER;bptinc992j;p2p100;1996;-10009.2724609375;992;j
OE-MER;bptinc992j;p2p100;2002;-298828864.0;992;j
OE-MER;bptinc992j;p2p100;2005;-137960208.0;992;j
OE-MER;bptinc992j;p2p100;2006;-136486784.0;992;j
OE-MER;bptinc992j;p2p100;2008;-270171552.0;992;j
OE-MER;bptinc992j;p2p100;2009;-223608368.0;992;j
OE-MER;bptinc992j;p2p100;2010;-8177.33447265625;992;j
OE-MER;bptinc992j;p2p100;2012;-8035.21337890625;992;j
OE-MER;bptinc992j;p2p100;2014;-11961.8076171875;992;j
OE-MER;bptinc992j;p2p100;2016;-25546.533203125;992;j
OE-MER;bptinc992j;p2p100;2017;-37017.0546875;992;j
OE-MER;bptinc992j;p2p100;2019;-22031980.0;992;j
OE-MER;bptinc992j;p2p100;2020;-25244.025390625;992;j
OE-MER;bptinc992j;p2p100;2021;-30478.607421875;992;j
OE-MER;aptinc992j;p99.8p99.9;1980;557519.8;992;j
OE-MER;aptinc992j;p99.8p99.9;1981;549492.1;992;j
OE-MER;aptinc992j;p99.8p99.9;1982;524959.4;992;j
OE-MER;aptinc992j;p99.8p99.9;1983;549832.8;992;j
OE-MER;aptinc992j;p99.8p99.9;1984;514789.0;992;j
OE-MER;aptinc992j;p99.8p99.9;1985;492128.2;992;j
OE-MER;aptinc992j;p99.8p99.9;1986;453323.4;992;j
OE-MER;aptinc992j;p99.8p99.9;1987;437955.3;992;j
OE-MER;aptinc992j;p99.8p99.9;1988;395714.8;992;j
OE-MER;aptinc992j;p99.8p99.9;1989;412769.8;992;j
OE-MER;aptinc992j;p99.8p99.9;1990;439948.8;992;j
OE-MER;aptinc992j;p99.8p99.9;1991;422793.3;992;j
OE-MER;aptinc992j;p99.8p99.9;1992;437093.6;992;j
OE-MER;aptinc992j;p99.8p99.9;1993;447315.4;992;j
OE-MER;aptinc992j;p99.8p99.9;1994;458996.3;992;j
OE-MER;aptinc992j;p99.8p99.9;1995;453607.8;992;j
OE-MER;aptinc992j;p99.8p99.9;1996;459574.4;992;j
OE-MER;aptinc992j;p99.8p99.9;1997;456748.8;992;j
OE-MER;aptinc992j;p99.8p99.9;1998;458582.8;992;j
OE-MER;aptinc992j;p99.8p99.9;1999;448363.8;992;j
OE-MER;aptinc992j;p99.8p99.9;2000;462907.6;992;j
OE-MER;aptinc992j;p99.8p99.9;2001;457016.5;992;j
OE-MER;aptinc992j;p99.8p99.9;2002;439817.9;992;j
OE-MER;aptinc992j;p99.8p99.9;2003;440573.6;992;j
OE-MER;aptinc992j;p99.8p99.9;2004;467835.6;992;j
OE-MER;aptinc992j;p99.8p99.9;2005;446765.6;992;j
OE-MER;aptinc992j;p99.8p99.9;2006;453661.6;992;j
OE-MER;aptinc992j;p99.8p99.9;2007;481954.2;992;j
OE-MER;aptinc992j;p99.8p99.9;2008;468688.1;992;j
OE-MER;aptinc992j;p99.8p99.9;2009;432116.6;992;j
OE-MER;aptinc992j;p99.8p99.9;2010;448666.8;992;j
OE-MER;aptinc992j;p99.8p99.9;2011;436145.3;992;j
OE-MER;aptinc992j;p99.8p99.9;2012;417712.2;992;j
OE-MER;aptinc992j;p99.8p99.9;2013;410352.8;992;j
OE-MER;aptinc992j;p99.8p99.9;2014;430024.1;992;j
OE-MER;aptinc992j;p99.8p99.9;2015;434086.0;992;j
OE-MER;aptinc992j;p99.8p99.9;2016;442608.0;992;j
OE-MER;aptinc992j;p99.8p99.9;2017;445109.4;992;j
OE-MER;aptinc992j;p99.8p99.9;2018;435222.8;992;j
OE-MER;aptinc992j;p99.8p99.9;2019;417629.8;992;j
OE-MER;aptinc992j;p99.8p99.9;2020;392021.9;992;j
OE-MER;aptinc992j;p99.8p99.9;2021;386410.9;992;j
OE-MER;bptinc992j;p9p100;1980;48.2248992919922;992;j
OE-MER;bptinc992j;p9p100;1981;46.666862487793;992;j
OE-MER;bptinc992j;p9p100;1982;46.2206153869629;992;j
OE-MER;bptinc992j;p9p100;1983;48.9086875915527;992;j
OE-MER;bptinc992j;p9p100;1984;46.9493942260742;992;j
OE-MER;bptinc992j;p9p100;1985;46.9426383972168;992;j
OE-MER;bptinc992j;p9p100;1986;44.5971870422363;992;j
OE-MER;bptinc992j;p9p100;1987;44.7505683898926;992;j
OE-MER;bptinc992j;p9p100;1988;40.5027770996094;992;j
OE-MER;bptinc992j;p9p100;1989;42.4379348754883;992;j
OE-MER;bptinc992j;p9p100;1990;41.5974426269531;992;j
OE-MER;bptinc992j;p9p100;1991;46.6666145324707;992;j
OE-MER;bptinc992j;p9p100;1992;44.8181266784668;992;j
OE-MER;bptinc992j;p9p100;1993;43.7620162963867;992;j
OE-MER;bptinc992j;p9p100;1994;42.0749855041504;992;j
OE-MER;bptinc992j;p9p100;1995;43.2572593688965;992;j
OE-MER;bptinc992j;p9p100;1996;43.0595016479492;992;j
OE-MER;bptinc992j;p9p100;1997;42.4855880737305;992;j
OE-MER;bptinc992j;p9p100;1998;40.6732063293457;992;j
OE-MER;bptinc992j;p9p100;1999;41.0175819396973;992;j
OE-MER;bptinc992j;p9p100;2000;42.6550064086914;992;j
OE-MER;bptinc992j;p9p100;2001;41.6131134033203;992;j
OE-MER;bptinc992j;p9p100;2002;43.0122108459473;992;j
OE-MER;bptinc992j;p9p100;2003;43.6950035095215;992;j
OE-MER;bptinc992j;p9p100;2004;42.8529243469238;992;j
OE-MER;bptinc992j;p9p100;2005;42.7772483825684;992;j
OE-MER;bptinc992j;p9p100;2006;42.7180404663086;992;j
OE-MER;bptinc992j;p9p100;2007;44.2770118713379;992;j
OE-MER;bptinc992j;p9p100;2008;42.9070892333984;992;j
OE-MER;bptinc992j;p9p100;2009;40.2120513916016;992;j
OE-MER;bptinc992j;p9p100;2010;40.5561790466309;992;j
OE-MER;bptinc992j;p9p100;2011;40.8415107727051;992;j
OE-MER;bptinc992j;p9p100;2012;42.2320671081543;992;j
OE-MER;bptinc992j;p9p100;2013;46.9046058654785;992;j
OE-MER;bptinc992j;p9p100;2014;48.5570487976074;992;j
OE-MER;bptinc992j;p9p100;2015;49.9574508666992;992;j
OE-MER;bptinc992j;p9p100;2016;53.6801147460938;992;j
OE-MER;bptinc992j;p9p100;2017;54.6478385925293;992;j
OE-MER;bptinc992j;p9p100;2018;52.1570434570312;992;j
OE-MER;bptinc992j;p9p100;2019;50.7416496276855;992;j
OE-MER;bptinc992j;p9p100;2020;49.9702949523926;992;j
OE-MER;bptinc992j;p9p100;2021;50.7034034729004;992;j
OE-MER;shweal992j;p16p100;1995;1.0162;992;j
OE-MER;shweal992j;p16p100;1996;1.0165;992;j
OE-MER;shweal992j;p16p100;1997;1.0163;992;j
OE-MER;shweal992j;p16p100;1998;1.0156;992;j
OE-MER;shweal992j;p16p100;1999;1.0165;992;j
OE-MER;shweal992j;p16p100;2000;1.0163;992;j
OE-MER;shweal992j;p16p100;2001;1.0157;992;j
OE-MER;shweal992j;p16p100;2002;1.0155;992;j
OE-MER;shweal992j;p16p100;2003;1.0158;992;j
OE-MER;shweal992j;p16p100;2004;1.0157;992;j
OE-MER;shweal992j;p16p100;2005;1.0157;992;j
OE-MER;shweal992j;p16p100;2006;1.0165;992;j
OE-MER;shweal992j;p16p100;2007;1.0165;992;j
OE-MER;shweal992j;p16p100;2008;1.0168;992;j
OE-MER;shweal992j;p16p100;2009;1.0173;992;j
OE-MER;shweal992j;p16p100;2010;1.0169;992;j
OE-MER;shweal992j;p16p100;2011;1.0169;992;j
OE-MER;shweal992j;p16p100;2012;1.0167;992;j
OE-MER;shweal992j;p16p100;2013;1.0165;992;j
OE-MER;shweal992j;p16p100;2014;1.0163;992;j
OE-MER;shweal992j;p16p100;2015;1.0164;992;j
OE-MER;shweal992j;p16p100;2016;1.0166;992;j
OE-MER;shweal992j;p16p100;2017;1.0165;992;j
OE-MER;shweal992j;p16p100;2018;1.0166;992;j
OE-MER;shweal992j;p16p100;2019;1.0168;992;j
OE-MER;shweal992j;p16p100;2020;1.0168;992;j
OE-MER;shweal992j;p16p100;2021;1.0163;992;j
OE-MER;shweal992j;p38p100;1995;1.0107;992;j
OE-MER;shweal992j;p38p100;1996;1.0106;992;j
OE-MER;shweal992j;p38p100;1997;1.0104;992;j
OE-MER;shweal992j;p38p100;1998;1.0093;992;j
OE-MER;shweal992j;p38p100;1999;1.0096;992;j
OE-MER;shweal992j;p38p100;2000;1.0094;992;j
OE-MER;shweal992j;p38p100;2001;1.0085;992;j
OE-MER;shweal992j;p38p100;2002;1.0081;992;j
OE-MER;shweal992j;p38p100;2003;1.0086;992;j
OE-MER;shweal992j;p38p100;2004;1.0082;992;j
OE-MER;shweal992j;p38p100;2005;1.0082;992;j
OE-MER;shweal992j;p38p100;2006;1.0089;992;j
OE-MER;shweal992j;p38p100;2007;1.0089;992;j
