country;variable;percentile;year;value;age;pop
OE;enngho999i;p0p100;1990;-114.312753342408;999;i
OE;enngho999i;p0p100;1991;-97.5544422325642;999;i
OE;enngho999i;p0p100;1992;-109.5953369383;999;i
OE;enngho999i;p0p100;1993;-108.250808202182;999;i
OE;enngho999i;p0p100;1994;-127.106989750883;999;i
OE;enngho999i;p0p100;1995;-129.134788277672;999;i
OE;enngho999i;p0p100;1996;-130.985143787939;999;i
OE;enngho999i;p0p100;1997;-151.987444822294;999;i
OE;enngho999i;p0p100;1998;-131.430881819408;999;i
OE;enngho999i;p0p100;1999;-138.807308769654;999;i
OE;enngho999i;p0p100;2000;-145.016192534815;999;i
OE;enngho999i;p0p100;2001;-138.393453845427;999;i
OE;enngho999i;p0p100;2002;-134.438180977174;999;i
OE;enngho999i;p0p100;2003;-133.858207266393;999;i
OE;enngho999i;p0p100;2004;-131.682601390132;999;i
OE;enngho999i;p0p100;2005;-134.867460141701;999;i
OE;enngho999i;p0p100;2006;-129.82324011457;999;i
OE;enngho999i;p0p100;2007;-119.606258921241;999;i
OE;enngho999i;p0p100;2008;-111.090288589992;999;i
OE;enngho999i;p0p100;2009;-95.7604565715307;999;i
OE;enngho999i;p0p100;2010;-108.873106513432;999;i
OE;enngho999i;p0p100;2011;-96.1969744270359;999;i
OE;enngho999i;p0p100;2012;-98.3677139047021;999;i
OE;enngho999i;p0p100;2013;-92.9046683995186;999;i
OE;enngho999i;p0p100;2014;-94.4700397262527;999;i
OE;enngho999i;p0p100;2015;-96.2034047879997;999;i
OE;enngho999i;p0p100;2016;-138.698850551544;999;i
OE;enngho999i;p0p100;2017;-136.235161432639;999;i
OE;enngho999i;p0p100;2018;-137.152367970464;999;i
OE;enngho999i;p0p100;2019;-139.49520568971;999;i
OE;enngho999i;p0p100;2020;-135.304410830649;999;i
OE;ehfghn999i;p0p100;1990;318.738162399716;999;i
OE;ehfghn999i;p0p100;1991;333.048913941491;999;i
OE;ehfghn999i;p0p100;1992;356.878617424671;999;i
OE;ehfghn999i;p0p100;1993;361.529508680119;999;i
OE;ehfghn999i;p0p100;1994;380.479850468622;999;i
OE;ehfghn999i;p0p100;1995;359.423592247766;999;i
OE;ehfghn999i;p0p100;1996;367.680368356405;999;i
OE;ehfghn999i;p0p100;1997;373.306184207926;999;i
OE;ehfghn999i;p0p100;1998;394.754054462525;999;i
OE;ehfghn999i;p0p100;1999;358.32247021739;999;i
OE;ehfghn999i;p0p100;2000;359.141435909631;999;i
OE;ehfghn999i;p0p100;2001;384.365809006055;999;i
OE;ehfghn999i;p0p100;2002;398.575941693354;999;i
OE;ehfghn999i;p0p100;2003;474.92631993137;999;i
OE;ehfghn999i;p0p100;2004;500.337358631235;999;i
OE;ehfghn999i;p0p100;2005;509.971749917443;999;i
OE;ehfghn999i;p0p100;2006;557.852920424796;999;i
OE;ehfghn999i;p0p100;2007;561.499641093594;999;i
OE;ehfghn999i;p0p100;2008;596.152066576246;999;i
OE;ehfghn999i;p0p100;2009;613.105242822323;999;i
OE;ehfghn999i;p0p100;2010;653.179452143227;999;i
OE;ehfghn999i;p0p100;2011;649.694909429403;999;i
OE;ehfghn999i;p0p100;2012;680.3063126585;999;i
OE;ehfghn999i;p0p100;2013;676.746257824445;999;i
OE;ehfghn999i;p0p100;2014;714.171816224138;999;i
OE;ehfghn999i;p0p100;2015;749.852331020819;999;i
OE;ehfghn999i;p0p100;2016;717.038823985869;999;i
OE;ehfghn999i;p0p100;2017;742.418877548346;999;i
OE;ehfghn999i;p0p100;2018;757.083698194026;999;i
OE;ehfghn999i;p0p100;2019;778.791436371871;999;i
OE;ehfghn999i;p0p100;2020;746.95764789087;999;i
OE;entgna999i;p0p100;1990;812.963951762778;999;i
OE;entgna999i;p0p100;1991;885.394956218885;999;i
OE;entgna999i;p0p100;1992;934.539664110336;999;i
OE;entgna999i;p0p100;1993;979.851859257281;999;i
OE;entgna999i;p0p100;1994;1040.84125199187;999;i
OE;entgna999i;p0p100;1995;966.540756414072;999;i
OE;entgna999i;p0p100;1996;996.765762997083;999;i
OE;entgna999i;p0p100;1997;979.41744162558;999;i
OE;entgna999i;p0p100;1998;971.047343075338;999;i
OE;entgna999i;p0p100;1999;1039.12366252679;999;i
OE;entgna999i;p0p100;2000;1116.19896029389;999;i
OE;entgna999i;p0p100;2001;1145.01192385193;999;i
OE;entgna999i;p0p100;2002;1186.42520190538;999;i
OE;entgna999i;p0p100;2003;1246.51846360615;999;i
OE;entgna999i;p0p100;2004;1356.2183671195;999;i
OE;entgna999i;p0p100;2005;1404.27457859872;999;i
OE;entgna999i;p0p100;2006;1514.48517562192;999;i
OE;entgna999i;p0p100;2007;1494.86135455;999;i
OE;entgna999i;p0p100;2008;1579.72606984555;999;i
OE;entgna999i;p0p100;2009;1620.27591770226;999;i
OE;entgna999i;p0p100;2010;1730.33428565955;999;i
OE;entgna999i;p0p100;2011;1740.279909419;999;i
OE;entgna999i;p0p100;2012;1868.43075467438;999;i
OE;entgna999i;p0p100;2013;1843.93934609258;999;i
OE;entgna999i;p0p100;2014;1961.588017345;999;i
OE;entgna999i;p0p100;2015;2016.43108733317;999;i
OE;entgna999i;p0p100;2016;1973.37488860868;999;i
OE;entgna999i;p0p100;2017;2070.87492654103;999;i
OE;entgna999i;p0p100;2018;2111.59874998375;999;i
OE;entgna999i;p0p100;2019;2164.96604266254;999;i
OE;entgna999i;p0p100;2020;2074.5719103515;999;i
OE;kntgho999i;p0p100;1980;7.00970268249512;999;i
OE;kntgho999i;p0p100;1981;4.89284753799438;999;i
OE;kntgho999i;p0p100;1982;4.71446228027344;999;i
OE;kntgho999i;p0p100;1983;4.06661748886108;999;i
OE;kntgho999i;p0p100;1984;2.89635872840881;999;i
OE;kntgho999i;p0p100;1985;2.62153196334839;999;i
OE;kntgho999i;p0p100;1986;2.74607491493225;999;i
OE;kntgho999i;p0p100;1987;2.57563900947571;999;i
OE;kntgho999i;p0p100;1988;2.58469080924988;999;i
OE;kntgho999i;p0p100;1989;2.62740325927734;999;i
OE;kntgho999i;p0p100;1990;2.95651412010193;999;i
OE;kntgho999i;p0p100;1991;2.83157777786255;999;i
OE;kntgho999i;p0p100;1992;2.81296348571777;999;i
OE;kntgho999i;p0p100;1993;2.68479323387146;999;i
OE;kntgho999i;p0p100;1994;2.79464912414551;999;i
OE;kntgho999i;p0p100;1995;2.65449786186218;999;i
OE;kntgho999i;p0p100;1996;2.61925745010376;999;i
OE;kntgho999i;p0p100;1997;2.61782550811768;999;i
