country;variable;percentile;year;value;age;pop
OH-MER;wwealh999i;p0p100;1995;0.998662114143372;999;i
OH-MER;wwealh999i;p0p100;1996;1.03713142871857;999;i
OH-MER;wwealh999i;p0p100;1997;1.08375811576843;999;i
OH-MER;wwealh999i;p0p100;1998;1.08991050720215;999;i
OH-MER;wwealh999i;p0p100;1999;1.08206534385681;999;i
OH-MER;wwealh999i;p0p100;2000;1.13316798210144;999;i
OH-MER;wwealh999i;p0p100;2001;1.16813838481903;999;i
OH-MER;wwealh999i;p0p100;2002;1.18958902359009;999;i
OH-MER;wwealh999i;p0p100;2003;1.2549239397049;999;i
OH-MER;wwealh999i;p0p100;2004;1.28241014480591;999;i
OH-MER;wwealh999i;p0p100;2005;1.30709958076477;999;i
OH-MER;wwealh999i;p0p100;2006;1.34223985671997;999;i
OH-MER;wwealh999i;p0p100;2007;1.37465858459473;999;i
OH-MER;wwealh999i;p0p100;2008;1.38053631782532;999;i
OH-MER;wwealh999i;p0p100;2009;1.38935875892639;999;i
OH-MER;wwealh999i;p0p100;2010;1.41253530979156;999;i
OH-MER;wwealh999i;p0p100;2011;1.44232177734375;999;i
OH-MER;wwealh999i;p0p100;2012;1.46837306022644;999;i
OH-MER;wwealh999i;p0p100;2013;1.47975981235504;999;i
OH-MER;wwealh999i;p0p100;2014;1.50827181339264;999;i
OH-MER;wwealh999i;p0p100;2015;1.54143404960632;999;i
OH-MER;wwealh999i;p0p100;2016;1.58970952033997;999;i
OH-MER;wwealh999i;p0p100;2017;1.62508857250214;999;i
OH-MER;wwealh999i;p0p100;2018;1.65299415588379;999;i
OH-MER;wwealh999i;p0p100;2019;1.72063958644867;999;i
OH-MER;wwealh999i;p0p100;2020;1.78418946266174;999;i
OH-MER;wwealh999i;p0p100;2021;1.82749152183533;999;i
OH-MER;wwealn999i;p0p100;1995;1.58190035820007;999;i
OH-MER;wwealn999i;p0p100;1996;1.64057183265686;999;i
OH-MER;wwealn999i;p0p100;1997;1.69918632507324;999;i
OH-MER;wwealn999i;p0p100;1998;1.73438537120819;999;i
OH-MER;wwealn999i;p0p100;1999;1.75050914287567;999;i
OH-MER;wwealn999i;p0p100;2000;1.80001735687256;999;i
OH-MER;wwealn999i;p0p100;2001;1.82863211631775;999;i
OH-MER;wwealn999i;p0p100;2002;1.82859885692596;999;i
OH-MER;wwealn999i;p0p100;2003;1.90792369842529;999;i
OH-MER;wwealn999i;p0p100;2004;1.9461522102356;999;i
OH-MER;wwealn999i;p0p100;2005;1.99459457397461;999;i
OH-MER;wwealn999i;p0p100;2006;2.0407931804657;999;i
OH-MER;wwealn999i;p0p100;2007;2.08078837394714;999;i
OH-MER;wwealn999i;p0p100;2008;2.09158492088318;999;i
OH-MER;wwealn999i;p0p100;2009;2.0834264755249;999;i
OH-MER;wwealn999i;p0p100;2010;2.10959267616272;999;i
OH-MER;wwealn999i;p0p100;2011;2.14279556274414;999;i
OH-MER;wwealn999i;p0p100;2012;2.15648889541626;999;i
OH-MER;wwealn999i;p0p100;2013;2.16743445396423;999;i
