country;variable;percentile;year;value;age;pop
OH;knfcar999i;p0p100;1990;0.778407573699951;999;i
OH;knfcar999i;p0p100;1991;0.775415301322937;999;i
OH;knfcar999i;p0p100;1992;0.771941781044006;999;i
OH;knfcar999i;p0p100;1993;0.768248379230499;999;i
OH;knfcar999i;p0p100;1994;0.764715909957886;999;i
OH;knfcar999i;p0p100;1995;0.761591970920563;999;i
OH;knfcar999i;p0p100;1996;0.758869826793671;999;i
OH;knfcar999i;p0p100;1997;0.756509482860565;999;i
OH;knfcar999i;p0p100;1998;0.754567861557007;999;i
OH;knfcar999i;p0p100;1999;0.753145039081573;999;i
OH;knfcar999i;p0p100;2000;0.752283990383148;999;i
OH;knfcar999i;p0p100;2001;0.75199943780899;999;i
OH;knfcar999i;p0p100;2002;0.752242743968964;999;i
OH;knfcar999i;p0p100;2003;0.752818763256073;999;i
OH;knfcar999i;p0p100;2004;0.753483533859253;999;i
OH;knfcar999i;p0p100;2005;0.754066348075867;999;i
OH;knfcar999i;p0p100;2006;0.754477739334106;999;i
OH;knfcar999i;p0p100;2007;0.75474625825882;999;i
OH;knfcar999i;p0p100;2008;0.754915952682495;999;i
OH;knfcar999i;p0p100;2009;0.755030572414398;999;i
OH;knfcar999i;p0p100;2010;0.755145132541656;999;i
OH;knfcar999i;p0p100;2011;0.75526487827301;999;i
OH;knfcar999i;p0p100;2012;0.755313515663147;999;i
OH;knfcar999i;p0p100;2013;0.755194127559662;999;i
OH;knfcar999i;p0p100;2014;0.754734516143799;999;i
OH;knfcar999i;p0p100;2015;0.753833532333374;999;i
OH;knfcar999i;p0p100;2016;0.752483427524567;999;i
OH;knfcar999i;p0p100;2017;0.750720977783203;999;i
OH;knfcar999i;p0p100;2018;0.74865984916687;999;i
OH;knfcar999i;p0p100;2019;0.746425867080688;999;i
OH;knfcar999i;p0p100;2020;0.685417711734772;999;i
OH;entgho999i;p0p100;1980;1.3417;999;i
OH;entgho999i;p0p100;1981;1.3907;999;i
OH;entgho999i;p0p100;1982;1.4076;999;i
OH;entgho999i;p0p100;1983;1.4041;999;i
OH;entgho999i;p0p100;1984;1.4629;999;i
OH;entgho999i;p0p100;1985;1.5;999;i
OH;entgho999i;p0p100;1986;1.5874;999;i
OH;entgho999i;p0p100;1987;1.6163;999;i
OH;entgho999i;p0p100;1988;1.6269;999;i
OH;entgho999i;p0p100;1989;1.6675;999;i
OH;entgho999i;p0p100;1990;1.7477;999;i
OH;entgho999i;p0p100;1991;1.7678;999;i
OH;entgho999i;p0p100;1992;1.8044;999;i
OH;entgho999i;p0p100;1993;1.9203;999;i
OH;entgho999i;p0p100;1994;1.9583;999;i
OH;entgho999i;p0p100;1995;2.0216;999;i
OH;entgho999i;p0p100;1996;2.0252;999;i
OH;entgho999i;p0p100;1997;2.0121;999;i
OH;entgho999i;p0p100;1998;2.0017;999;i
OH;entgho999i;p0p100;1999;1.976;999;i
OH;entgho999i;p0p100;2000;1.9439;999;i
OH;entgho999i;p0p100;2001;1.9692;999;i
OH;entgho999i;p0p100;2002;1.9569;999;i
OH;entgho999i;p0p100;2003;1.9309;999;i
OH;entgho999i;p0p100;2004;2.0024;999;i
OH;entgho999i;p0p100;2005;2.0134;999;i
OH;entgho999i;p0p100;2006;2.0123;999;i
OH;entgho999i;p0p100;2007;2.081;999;i
OH;entgho999i;p0p100;2008;2.0925;999;i
OH;entgho999i;p0p100;2009;2.007;999;i
OH;entgho999i;p0p100;2010;2.028;999;i
OH;entgho999i;p0p100;2011;2.071;999;i
OH;entgho999i;p0p100;2012;2.093;999;i
OH;entgho999i;p0p100;2013;2.11;999;i
OH;entgho999i;p0p100;2014;2.116;999;i
OH;entgho999i;p0p100;2015;1.525;999;i
OH;entgho999i;p0p100;2016;1.493;999;i
OH;entgho999i;p0p100;2017;1.544;999;i
OH;entgho999i;p0p100;2018;1.549;999;i
OH;entgho999i;p0p100;2019;1.81751013732352;999;i
OH;entgho999i;p0p100;2020;1.69028442771087;999;i
OH;enncar999i;p0p100;1990;0.821783050572717;999;i
OH;enncar999i;p0p100;1991;0.982129134011176;999;i
OH;enncar999i;p0p100;1992;0.932975217449635;999;i
OH;enncar999i;p0p100;1993;0.953121300888087;999;i
OH;enncar999i;p0p100;1994;0.976367384326547;999;i
OH;enncar999i;p0p100;1995;0.976913467764999;999;i
OH;enncar999i;p0p100;1996;0.915759551203457;999;i
OH;enncar999i;p0p100;1997;0.962905634641917;999;i
OH;enncar999i;p0p100;1998;1.01675171808037;999;i
OH;enncar999i;p0p100;1999;1.01529780151883;999;i
OH;enncar999i;p0p100;2000;0.977443884957279;999;i
OH;enncar999i;p0p100;2001;0.776989968395739;999;i
OH;enncar999i;p0p100;2002;0.9719360518342;999;i
OH;enncar999i;p0p100;2003;0.832182135272651;999;i
OH;enncar999i;p0p100;2004;0.57492821871111;999;i
OH;enncar999i;p0p100;2005;0.848174302149561;999;i
OH;enncar999i;p0p100;2006;0.760320385588022;999;i
OH;enncar999i;p0p100;2007;0.785266469026481;999;i
OH;enncar999i;p0p100;2008;1.06301255246493;999;i
OH;enncar999i;p0p100;2009;1.16175863590339;999;i
OH;enncar999i;p0p100;2010;0.762004719341844;999;i
OH;enncar999i;p0p100;2011;0.900250802780302;999;i
OH;enncar999i;p0p100;2012;0.966496886218762;999;i
OH;enncar999i;p0p100;2013;0.908742969657213;999;i
OH;enncar999i;p0p100;2014;0.709989053095674;999;i
OH;enncar999i;p0p100;2015;0.629235136534125;999;i
OH;enncar999i;p0p100;2016;0.487481219972584;999;i
OH;enncar999i;p0p100;2017;0.459727303411044;999;i
OH;enncar999i;p0p100;2018;-0.305026613150504;999;i
OH;enncar999i;p0p100;2019;-0.758749035722875;999;i
OH;enncar999i;p0p100;2020;-0.705636603222274;999;i
OH;ennghg999i;p0p100;1980;0.803880981213844;999;i
