country;variable;percentile;year;value;age;pop
OI-MER;ahweal992j;p1p100;1995;3353.5;992;j
OI-MER;ahweal992j;p1p100;1996;3564.6;992;j
OI-MER;ahweal992j;p1p100;1997;3626.3;992;j
OI-MER;ahweal992j;p1p100;1998;3504.2;992;j
OI-MER;ahweal992j;p1p100;1999;3689.2;992;j
OI-MER;ahweal992j;p1p100;2000;3868.1;992;j
OI-MER;ahweal992j;p1p100;2001;3984.9;992;j
OI-MER;ahweal992j;p1p100;2002;4194.0;992;j
OI-MER;ahweal992j;p1p100;2003;4484.7;992;j
OI-MER;ahweal992j;p1p100;2004;4768.2;992;j
OI-MER;ahweal992j;p1p100;2005;5009.2;992;j
OI-MER;ahweal992j;p1p100;2006;5282.9;992;j
OI-MER;ahweal992j;p1p100;2007;5634.5;992;j
OI-MER;ahweal992j;p1p100;2008;6007.0;992;j
OI-MER;ahweal992j;p1p100;2009;6148.1;992;j
OI-MER;ahweal992j;p1p100;2010;6633.0;992;j
OI-MER;ahweal992j;p1p100;2011;7032.3;992;j
OI-MER;ahweal992j;p1p100;2012;7351.6;992;j
OI-MER;ahweal992j;p1p100;2013;7666.4;992;j
OI-MER;ahweal992j;p1p100;2014;7951.8;992;j
OI-MER;ahweal992j;p1p100;2015;8227.0;992;j
OI-MER;ahweal992j;p1p100;2016;8660.3;992;j
OI-MER;ahweal992j;p1p100;2017;9047.5;992;j
OI-MER;ahweal992j;p1p100;2018;9469.1;992;j
OI-MER;ahweal992j;p1p100;2019;9998.1;992;j
OI-MER;ahweal992j;p1p100;2020;9979.5;992;j
OI-MER;ahweal992j;p1p100;2021;10501.0;992;j
OI-MER;ahweal992j;p45p46;1995;350.8;992;j
OI-MER;ahweal992j;p45p46;1996;371.8;992;j
OI-MER;ahweal992j;p45p46;1997;380.7;992;j
OI-MER;ahweal992j;p45p46;1998;402.3;992;j
OI-MER;ahweal992j;p45p46;1999;424.9;992;j
OI-MER;ahweal992j;p45p46;2000;475.4;992;j
OI-MER;ahweal992j;p45p46;2001;523.3;992;j
OI-MER;ahweal992j;p45p46;2002;586.7;992;j
OI-MER;ahweal992j;p45p46;2003;635.9;992;j
OI-MER;ahweal992j;p45p46;2004;703.7;992;j
OI-MER;ahweal992j;p45p46;2005;751.3;992;j
OI-MER;ahweal992j;p45p46;2006;824.9;992;j
OI-MER;ahweal992j;p45p46;2007;899.6;992;j
OI-MER;ahweal992j;p45p46;2008;957.3;992;j
OI-MER;ahweal992j;p45p46;2009;1029.7;992;j
OI-MER;ahweal992j;p45p46;2010;1051.7;992;j
OI-MER;ahweal992j;p45p46;2011;1123.9;992;j
OI-MER;ahweal992j;p45p46;2012;1163.0;992;j
OI-MER;ahweal992j;p45p46;2013;1276.9;992;j
OI-MER;ahweal992j;p45p46;2014;1304.5;992;j
OI-MER;ahweal992j;p45p46;2015;1422.3;992;j
OI-MER;ahweal992j;p45p46;2016;1450.4;992;j
OI-MER;ahweal992j;p45p46;2017;1540.0;992;j
OI-MER;ahweal992j;p45p46;2018;1629.4;992;j
OI-MER;ahweal992j;p45p46;2019;1720.0;992;j
OI-MER;ahweal992j;p45p46;2020;1722.3;992;j
OI-MER;ahweal992j;p45p46;2021;1793.4;992;j
OI-MER;ahweal992j;p98p100;1995;111697.9;992;j
OI-MER;ahweal992j;p98p100;1996;118640.6;992;j
OI-MER;ahweal992j;p98p100;1997;119929.9;992;j
OI-MER;ahweal992j;p98p100;1998;111672.5;992;j
OI-MER;ahweal992j;p98p100;1999;117373.9;992;j
OI-MER;ahweal992j;p98p100;2000;120586.5;992;j
OI-MER;ahweal992j;p98p100;2001;121474.2;992;j
OI-MER;ahweal992j;p98p100;2002;124381.7;992;j
OI-MER;ahweal992j;p98p100;2003;131751.8;992;j
OI-MER;ahweal992j;p98p100;2004;136887.4;992;j
OI-MER;ahweal992j;p98p100;2005;142766.5;992;j
OI-MER;ahweal992j;p98p100;2006;148110.5;992;j
OI-MER;ahweal992j;p98p100;2007;156695.2;992;j
OI-MER;ahweal992j;p98p100;2008;166625.0;992;j
OI-MER;ahweal992j;p98p100;2009;167721.8;992;j
OI-MER;ahweal992j;p98p100;2010;185710.6;992;j
OI-MER;ahweal992j;p98p100;2011;197360.4;992;j
OI-MER;ahweal992j;p98p100;2012;206404.2;992;j
OI-MER;ahweal992j;p98p100;2013;212961.2;992;j
OI-MER;ahweal992j;p98p100;2014;219083.0;992;j
OI-MER;ahweal992j;p98p100;2015;221497.4;992;j
OI-MER;ahweal992j;p98p100;2016;232729.2;992;j
OI-MER;ahweal992j;p98p100;2017;239610.0;992;j
OI-MER;ahweal992j;p98p100;2018;247957.6;992;j
OI-MER;ahweal992j;p98p100;2019;261567.0;992;j
OI-MER;ahweal992j;p98p100;2020;260711.9;992;j
OI-MER;ahweal992j;p98p100;2021;275238.6;992;j
OI-MER;aptinc992j;p69p100;1980;4889.9;992;j
OI-MER;aptinc992j;p69p100;1981;4905.6;992;j
OI-MER;aptinc992j;p69p100;1982;4963.0;992;j
OI-MER;aptinc992j;p69p100;1983;5036.6;992;j
OI-MER;aptinc992j;p69p100;1984;4982.3;992;j
OI-MER;aptinc992j;p69p100;1985;4844.4;992;j
OI-MER;aptinc992j;p69p100;1986;4751.0;992;j
OI-MER;aptinc992j;p69p100;1987;4987.8;992;j
OI-MER;aptinc992j;p69p100;1988;5364.2;992;j
OI-MER;aptinc992j;p69p100;1989;5659.6;992;j
OI-MER;aptinc992j;p69p100;1990;5918.2;992;j
OI-MER;aptinc992j;p69p100;1991;6069.3;992;j
OI-MER;aptinc992j;p69p100;1992;6284.5;992;j
OI-MER;aptinc992j;p69p100;1993;6356.1;992;j
OI-MER;aptinc992j;p69p100;1994;6692.8;992;j
OI-MER;aptinc992j;p69p100;1995;6969.6;992;j
OI-MER;aptinc992j;p69p100;1996;7164.6;992;j
OI-MER;aptinc992j;p69p100;1997;7201.4;992;j
OI-MER;aptinc992j;p69p100;1998;6721.4;992;j
OI-MER;aptinc992j;p69p100;1999;6730.3;992;j
OI-MER;aptinc992j;p69p100;2000;7061.4;992;j
OI-MER;aptinc992j;p69p100;2001;6965.9;992;j
OI-MER;aptinc992j;p69p100;2002;7147.0;992;j
OI-MER;aptinc992j;p69p100;2003;7424.7;992;j
OI-MER;aptinc992j;p69p100;2004;7743.6;992;j
OI-MER;aptinc992j;p69p100;2005;8076.0;992;j
OI-MER;aptinc992j;p69p100;2006;8463.6;992;j
OI-MER;aptinc992j;p69p100;2007;8851.3;992;j
OI-MER;aptinc992j;p69p100;2008;9028.0;992;j
OI-MER;aptinc992j;p69p100;2009;8632.6;992;j
OI-MER;aptinc992j;p69p100;2010;9333.5;992;j
OI-MER;aptinc992j;p69p100;2011;9574.3;992;j
OI-MER;aptinc992j;p69p100;2012;9755.4;992;j
OI-MER;aptinc992j;p69p100;2013;9836.7;992;j
OI-MER;aptinc992j;p69p100;2014;10142.8;992;j
OI-MER;aptinc992j;p69p100;2015;10237.3;992;j
OI-MER;aptinc992j;p69p100;2016;10460.1;992;j
OI-MER;aptinc992j;p69p100;2017;10744.8;992;j
OI-MER;aptinc992j;p69p100;2018;10912.0;992;j
OI-MER;aptinc992j;p69p100;2019;11094.6;992;j
OI-MER;aptinc992j;p69p100;2020;10440.0;992;j
OI-MER;aptinc992j;p69p100;2021;10792.6;992;j
OI-MER;shweal992j;p59p100;1995;0.9776;992;j
OI-MER;shweal992j;p59p100;1996;0.9777;992;j
OI-MER;shweal992j;p59p100;1997;0.9774;992;j
OI-MER;shweal992j;p59p100;1998;0.9743;992;j
OI-MER;shweal992j;p59p100;1999;0.9738;992;j
OI-MER;shweal992j;p59p100;2000;0.9714;992;j
OI-MER;shweal992j;p59p100;2001;0.9687;992;j
OI-MER;shweal992j;p59p100;2002;0.9659;992;j
OI-MER;shweal992j;p59p100;2003;0.9655;992;j
OI-MER;shweal992j;p59p100;2004;0.9636;992;j
OI-MER;shweal992j;p59p100;2005;0.9627;992;j
OI-MER;shweal992j;p59p100;2006;0.9608;992;j
OI-MER;shweal992j;p59p100;2007;0.9595;992;j
OI-MER;shweal992j;p59p100;2008;0.9599;992;j
OI-MER;shweal992j;p59p100;2009;0.9572;992;j
OI-MER;shweal992j;p59p100;2010;0.9602;992;j
OI-MER;shweal992j;p59p100;2011;0.9593;992;j
OI-MER;shweal992j;p59p100;2012;0.9597;992;j
OI-MER;shweal992j;p59p100;2013;0.9567;992;j
OI-MER;shweal992j;p59p100;2014;0.9572;992;j
OI-MER;shweal992j;p59p100;2015;0.9542;992;j
OI-MER;shweal992j;p59p100;2016;0.9562;992;j
OI-MER;shweal992j;p59p100;2017;0.9552;992;j
OI-MER;shweal992j;p59p100;2018;0.9545;992;j
OI-MER;shweal992j;p59p100;2019;0.9548;992;j
OI-MER;shweal992j;p59p100;2020;0.9547;992;j
OI-MER;shweal992j;p59p100;2021;0.9554;992;j
OI-MER;shweal992j;p83p84;1995;0.0066;992;j
OI-MER;shweal992j;p83p84;1996;0.0067;992;j
OI-MER;shweal992j;p83p84;1997;0.0067;992;j
OI-MER;shweal992j;p83p84;1998;0.0072;992;j
OI-MER;shweal992j;p83p84;1999;0.0072;992;j
