country;variable;percentile;year;value;age;pop
OI;enfcar999i;p0p100;1990;463.153834593058;999;i
OI;enfcar999i;p0p100;1991;474.610380285464;999;i
OI;enfcar999i;p0p100;1992;549.424619891265;999;i
OI;enfcar999i;p0p100;1993;556.483959398801;999;i
OI;enfcar999i;p0p100;1994;585.847745376425;999;i
OI;enfcar999i;p0p100;1995;624.417480855933;999;i
OI;enfcar999i;p0p100;1996;664.606806997799;999;i
OI;enfcar999i;p0p100;1997;691.079604292643;999;i
OI;enfcar999i;p0p100;1998;593.427029201168;999;i
OI;enfcar999i;p0p100;1999;650.89712893612;999;i
OI;enfcar999i;p0p100;2000;714.134498917243;999;i
OI;enfcar999i;p0p100;2001;715.586000720712;999;i
OI;enfcar999i;p0p100;2002;742.111630685485;999;i
OI;enfcar999i;p0p100;2003;815.291565913414;999;i
OI;enfcar999i;p0p100;2004;878.641586224341;999;i
OI;enfcar999i;p0p100;2005;949.208545000457;999;i
OI;enfcar999i;p0p100;2006;988.8922697318;999;i
OI;enfcar999i;p0p100;2007;966.266020615747;999;i
OI;enfcar999i;p0p100;2008;1036.17796658617;999;i
OI;enfcar999i;p0p100;2009;1031.91632518055;999;i
OI;enfcar999i;p0p100;2010;1121.47990242978;999;i
OI;enfcar999i;p0p100;2011;1156.47797692358;999;i
OI;enfcar999i;p0p100;2012;1210.96554855415;999;i
OI;enfcar999i;p0p100;2013;1287.28139735772;999;i
OI;enfcar999i;p0p100;2014;1320.27451145491;999;i
OI;enfcar999i;p0p100;2015;1346.55617031992;999;i
OI;enfcar999i;p0p100;2016;1382.97760650245;999;i
OI;enfcar999i;p0p100;2017;1439.45739392397;999;i
OI;enfcar999i;p0p100;2018;1533.83811802496;999;i
OI;enfcar999i;p0p100;2019;1610.52734009792;999;i
OI;enfcar999i;p0p100;2020;1497.79042629107;999;i
OI;knfcar999i;p0p100;1990;0.885059714317322;999;i
OI;knfcar999i;p0p100;1991;0.885886788368225;999;i
OI;knfcar999i;p0p100;1992;1.00194644927978;999;i
OI;knfcar999i;p0p100;1993;0.99187308549881;999;i
OI;knfcar999i;p0p100;1994;1.02108478546143;999;i
