country;variable;percentile;year;value;age;pop
OJ-MER;ahweal992j;p41p42;1995;289.7;992;j
OJ-MER;ahweal992j;p41p42;1996;309.4;992;j
OJ-MER;ahweal992j;p41p42;1997;343.7;992;j
OJ-MER;ahweal992j;p41p42;1998;355.5;992;j
OJ-MER;ahweal992j;p41p42;1999;356.7;992;j
OJ-MER;ahweal992j;p41p42;2000;344.3;992;j
OJ-MER;ahweal992j;p41p42;2001;351.6;992;j
OJ-MER;ahweal992j;p41p42;2002;363.9;992;j
OJ-MER;ahweal992j;p41p42;2003;381.2;992;j
OJ-MER;ahweal992j;p41p42;2004;403.4;992;j
OJ-MER;ahweal992j;p41p42;2005;424.9;992;j
OJ-MER;ahweal992j;p41p42;2006;451.0;992;j
OJ-MER;ahweal992j;p41p42;2007;478.1;992;j
OJ-MER;ahweal992j;p41p42;2008;498.8;992;j
OJ-MER;ahweal992j;p41p42;2009;515.6;992;j
OJ-MER;ahweal992j;p41p42;2010;535.5;992;j
OJ-MER;ahweal992j;p41p42;2011;562.0;992;j
OJ-MER;ahweal992j;p41p42;2012;585.0;992;j
OJ-MER;ahweal992j;p41p42;2013;598.3;992;j
OJ-MER;ahweal992j;p41p42;2014;629.2;992;j
OJ-MER;ahweal992j;p41p42;2015;647.2;992;j
OJ-MER;ahweal992j;p41p42;2016;650.6;992;j
OJ-MER;ahweal992j;p41p42;2017;666.9;992;j
OJ-MER;ahweal992j;p41p42;2018;675.8;992;j
OJ-MER;ahweal992j;p41p42;2019;699.7;992;j
OJ-MER;ahweal992j;p41p42;2020;704.0;992;j
OJ-MER;ahweal992j;p41p42;2021;732.5;992;j
OJ-MER;aptinc992j;p88p89;1980;4891.3;992;j
OJ-MER;aptinc992j;p88p89;1981;4504.3;992;j
OJ-MER;aptinc992j;p88p89;1982;4352.9;992;j
OJ-MER;aptinc992j;p88p89;1983;4073.5;992;j
OJ-MER;aptinc992j;p88p89;1984;4000.5;992;j
OJ-MER;aptinc992j;p88p89;1985;3958.7;992;j
OJ-MER;aptinc992j;p88p89;1986;3990.7;992;j
OJ-MER;aptinc992j;p88p89;1987;4016.3;992;j
OJ-MER;aptinc992j;p88p89;1988;4057.9;992;j
OJ-MER;aptinc992j;p88p89;1989;4074.9;992;j
OJ-MER;aptinc992j;p88p89;1990;4135.2;992;j
OJ-MER;aptinc992j;p88p89;1991;4040.9;992;j
OJ-MER;aptinc992j;p88p89;1992;4064.0;992;j
OJ-MER;aptinc992j;p88p89;1993;3817.2;992;j
OJ-MER;aptinc992j;p88p89;1994;3712.5;992;j
OJ-MER;aptinc992j;p88p89;1995;3752.5;992;j
OJ-MER;aptinc992j;p88p89;1996;3771.8;992;j
OJ-MER;aptinc992j;p88p89;1997;3838.7;992;j
OJ-MER;aptinc992j;p88p89;1998;3856.7;992;j
OJ-MER;aptinc992j;p88p89;1999;3732.7;992;j
OJ-MER;aptinc992j;p88p89;2000;3729.5;992;j
OJ-MER;aptinc992j;p88p89;2001;3810.4;992;j
OJ-MER;aptinc992j;p88p89;2002;3953.2;992;j
OJ-MER;aptinc992j;p88p89;2003;4059.1;992;j
OJ-MER;aptinc992j;p88p89;2004;4166.9;992;j
OJ-MER;aptinc992j;p88p89;2005;4347.9;992;j
OJ-MER;aptinc992j;p88p89;2006;4514.6;992;j
OJ-MER;aptinc992j;p88p89;2007;4638.7;992;j
OJ-MER;aptinc992j;p88p89;2008;4814.5;992;j
OJ-MER;aptinc992j;p88p89;2009;4900.7;992;j
OJ-MER;aptinc992j;p88p89;2010;5100.4;992;j
OJ-MER;aptinc992j;p88p89;2011;5133.5;992;j
OJ-MER;aptinc992j;p88p89;2012;5222.1;992;j
OJ-MER;aptinc992j;p88p89;2013;5392.6;992;j
OJ-MER;aptinc992j;p88p89;2014;5541.2;992;j
OJ-MER;aptinc992j;p88p89;2015;5575.1;992;j
OJ-MER;aptinc992j;p88p89;2016;5394.9;992;j
OJ-MER;aptinc992j;p88p89;2017;5346.5;992;j
OJ-MER;aptinc992j;p88p89;2018;5284.5;992;j
OJ-MER;aptinc992j;p88p89;2019;5306.7;992;j
OJ-MER;aptinc992j;p88p89;2020;5110.4;992;j
OJ-MER;aptinc992j;p88p89;2021;5146.5;992;j
OJ-MER;aptinc992j;p97p100;1980;133258.1;992;j
OJ-MER;aptinc992j;p97p100;1981;143535.3;992;j
OJ-MER;aptinc992j;p97p100;1982;142878.7;992;j
OJ-MER;aptinc992j;p97p100;1983;140053.7;992;j
OJ-MER;aptinc992j;p97p100;1984;134820.5;992;j
OJ-MER;aptinc992j;p97p100;1985;140648.1;992;j
OJ-MER;aptinc992j;p97p100;1986;139110.8;992;j
OJ-MER;aptinc992j;p97p100;1987;137190.5;992;j
OJ-MER;aptinc992j;p97p100;1988;141523.8;992;j
OJ-MER;aptinc992j;p97p100;1989;144140.0;992;j
OJ-MER;aptinc992j;p97p100;1990;147986.7;992;j
OJ-MER;aptinc992j;p97p100;1991;151446.3;992;j
OJ-MER;aptinc992j;p97p100;1992;131669.5;992;j
OJ-MER;aptinc992j;p97p100;1993;128696.0;992;j
OJ-MER;aptinc992j;p97p100;1994;131512.8;992;j
OJ-MER;aptinc992j;p97p100;1995;128744.4;992;j
OJ-MER;aptinc992j;p97p100;1996;140546.6;992;j
OJ-MER;aptinc992j;p97p100;1997;138999.9;992;j
OJ-MER;aptinc992j;p97p100;1998;137897.7;992;j
OJ-MER;aptinc992j;p97p100;1999;135057.2;992;j
OJ-MER;aptinc992j;p97p100;2000;126162.8;992;j
OJ-MER;aptinc992j;p97p100;2001;130499.4;992;j
OJ-MER;aptinc992j;p97p100;2002;119656.3;992;j
OJ-MER;aptinc992j;p97p100;2003;99455.3;992;j
OJ-MER;aptinc992j;p97p100;2004;94122.7;992;j
OJ-MER;aptinc992j;p97p100;2005;89030.4;992;j
OJ-MER;aptinc992j;p97p100;2006;86045.3;992;j
OJ-MER;aptinc992j;p97p100;2007;83600.1;992;j
OJ-MER;aptinc992j;p97p100;2008;70631.1;992;j
OJ-MER;aptinc992j;p97p100;2009;73713.7;992;j
OJ-MER;aptinc992j;p97p100;2010;81881.9;992;j
OJ-MER;aptinc992j;p97p100;2011;88664.9;992;j
OJ-MER;aptinc992j;p97p100;2012;98688.4;992;j
OJ-MER;aptinc992j;p97p100;2013;97282.2;992;j
OJ-MER;aptinc992j;p97p100;2014;97262.8;992;j
OJ-MER;aptinc992j;p97p100;2015;97507.2;992;j
OJ-MER;aptinc992j;p97p100;2016;95703.6;992;j
OJ-MER;aptinc992j;p97p100;2017;97007.3;992;j
OJ-MER;aptinc992j;p97p100;2018;100903.6;992;j
OJ-MER;aptinc992j;p97p100;2019;95016.8;992;j
OJ-MER;aptinc992j;p97p100;2020;88056.2;992;j
OJ-MER;aptinc992j;p97p100;2021;88918.1;992;j
OJ-MER;aptinc992j;p99p100;1980;300972.5;992;j
OJ-MER;aptinc992j;p99p100;1981;326773.8;992;j
OJ-MER;aptinc992j;p99p100;1982;324200.3;992;j
OJ-MER;aptinc992j;p99p100;1983;320141.5;992;j
OJ-MER;aptinc992j;p99p100;1984;305614.9;992;j
OJ-MER;aptinc992j;p99p100;1985;318414.5;992;j
OJ-MER;aptinc992j;p99p100;1986;313612.9;992;j
OJ-MER;aptinc992j;p99p100;1987;307007.5;992;j
OJ-MER;aptinc992j;p99p100;1988;318346.4;992;j
OJ-MER;aptinc992j;p99p100;1989;324938.9;992;j
OJ-MER;aptinc992j;p99p100;1990;335175.8;992;j
OJ-MER;aptinc992j;p99p100;1991;345048.7;992;j
OJ-MER;aptinc992j;p99p100;1992;298535.9;992;j
OJ-MER;aptinc992j;p99p100;1993;292912.7;992;j
OJ-MER;aptinc992j;p99p100;1994;305110.2;992;j
OJ-MER;aptinc992j;p99p100;1995;298062.8;992;j
OJ-MER;aptinc992j;p99p100;1996;328231.5;992;j
OJ-MER;aptinc992j;p99p100;1997;325145.5;992;j
OJ-MER;aptinc992j;p99p100;1998;323433.2;992;j
OJ-MER;aptinc992j;p99p100;1999;317399.5;992;j
OJ-MER;aptinc992j;p99p100;2000;294196.5;992;j
OJ-MER;aptinc992j;p99p100;2001;305114.1;992;j
OJ-MER;aptinc992j;p99p100;2002;276964.9;992;j
OJ-MER;aptinc992j;p99p100;2003;224924.6;992;j
OJ-MER;aptinc992j;p99p100;2004;211185.1;992;j
OJ-MER;aptinc992j;p99p100;2005;199123.9;992;j
OJ-MER;aptinc992j;p99p100;2006;191261.7;992;j
OJ-MER;aptinc992j;p99p100;2007;185286.8;992;j
OJ-MER;aptinc992j;p99p100;2008;151437.6;992;j
OJ-MER;aptinc992j;p99p100;2009;159635.5;992;j
OJ-MER;aptinc992j;p99p100;2010;180469.6;992;j
OJ-MER;aptinc992j;p99p100;2011;198498.4;992;j
OJ-MER;aptinc992j;p99p100;2012;225427.5;992;j
OJ-MER;aptinc992j;p99p100;2013;222153.3;992;j
OJ-MER;aptinc992j;p99p100;2014;220815.3;992;j
OJ-MER;aptinc992j;p99p100;2015;221034.4;992;j
OJ-MER;aptinc992j;p99p100;2016;216737.5;992;j
OJ-MER;aptinc992j;p99p100;2017;221159.2;992;j
OJ-MER;aptinc992j;p99p100;2018;233586.8;992;j
OJ-MER;aptinc992j;p99p100;2019;219274.7;992;j
OJ-MER;aptinc992j;p99p100;2020;201679.5;992;j
OJ-MER;aptinc992j;p99p100;2021;204098.0;992;j
OJ-MER;bhweal992j;p54p100;1995;25.7976379394531;992;j
OJ-MER;bhweal992j;p54p100;1996;27.3749961853027;992;j
OJ-MER;bhweal992j;p54p100;1997;25.9808559417725;992;j
OJ-MER;bhweal992j;p54p100;1998;25.881929397583;992;j
OJ-MER;bhweal992j;p54p100;1999;25.3275108337402;992;j
OJ-MER;bhweal992j;p54p100;2000;25.2426834106445;992;j
OJ-MER;bhweal992j;p54p100;2001;25.9752883911133;992;j
OJ-MER;bhweal992j;p54p100;2002;24.6018676757812;992;j
OJ-MER;bhweal992j;p54p100;2003;20.5409698486328;992;j
OJ-MER;bhweal992j;p54p100;2004;14.2268695831299;992;j
OJ-MER;bhweal992j;p54p100;2005;13.7018747329712;992;j
OJ-MER;bhweal992j;p54p100;2006;13.399356842041;992;j
OJ-MER;bhweal992j;p54p100;2007;13.1538486480713;992;j
OJ-MER;bhweal992j;p54p100;2008;12.6418590545654;992;j
OJ-MER;bhweal992j;p54p100;2009;12.9862899780273;992;j
OJ-MER;bhweal992j;p54p100;2010;13.0715961456299;992;j
OJ-MER;bhweal992j;p54p100;2011;13.0701150894165;992;j
OJ-MER;bhweal992j;p54p100;2012;13.0493364334106;992;j
OJ-MER;bhweal992j;p54p100;2013;13.1078996658325;992;j
OJ-MER;bhweal992j;p54p100;2014;12.9963731765747;992;j
OJ-MER;bhweal992j;p54p100;2015;13.0024309158325;992;j
OJ-MER;bhweal992j;p54p100;2016;13.1191549301147;992;j
OJ-MER;bhweal992j;p54p100;2017;13.071665763855;992;j
OJ-MER;bhweal992j;p54p100;2018;13.4396543502808;992;j
OJ-MER;bhweal992j;p54p100;2019;13.2041034698486;992;j
OJ-MER;bhweal992j;p54p100;2020;12.9740772247315;992;j
OJ-MER;bhweal992j;p54p100;2021;12.8223838806152;992;j
