country;variable;percentile;year;value;age;pop
PF;aptfpx992i;p0p100;2002;79145.2;992;i
PF;aptfpx992i;p0p100;2003;61465.4;992;i
PF;aptfpx992i;p0p100;2004;58372.1;992;i
PF;aptfpx992i;p0p100;2005;34505.7;992;i
PF;aptfpx992i;p0p100;2006;35641.4;992;i
PF;aptfpx992i;p0p100;2007;65074.2;992;i
PF;aptfpx992i;p0p100;2008;61421.4;992;i
PF;aptfpx992i;p0p100;2009;62148.7;992;i
PF;aptfpx992i;p0p100;2010;56374.1;992;i
PF;aptfpx992i;p0p100;2011;56693.3;992;i
PF;aptfpx992i;p0p100;2012;44510.3;992;i
PF;aptfpx992i;p0p100;2013;39631.4;992;i
PF;aptfpx992i;p0p100;2014;25084.5;992;i
PF;aptfpx992i;p0p100;2015;24982.5;992;i
PF;aptfpx992i;p0p100;2016;27791.1;992;i
PF;apweal992i;p0p100;1995;2100951.0;992;i
PF;apweal992i;p0p100;1996;2186884.0;992;i
PF;apweal992i;p0p100;1997;2296423.0;992;i
PF;apweal992i;p0p100;1998;2519308.8;992;i
PF;apweal992i;p0p100;1999;2705434.5;992;i
PF;apweal992i;p0p100;2000;2904337.8;992;i
PF;apweal992i;p0p100;2001;2992128.5;992;i
PF;apweal992i;p0p100;2002;3527306.8;992;i
PF;apweal992i;p0p100;2003;3706655.0;992;i
PF;apweal992i;p0p100;2004;3939014.3;992;i
PF;apweal992i;p0p100;2005;4081098.0;992;i
PF;apweal992i;p0p100;2006;4284119.0;992;i
PF;apweal992i;p0p100;2007;4427140.0;992;i
PF;apweal992i;p0p100;2008;4562267.5;992;i
PF;apweal992i;p0p100;2009;4439551.0;992;i
PF;apweal992i;p0p100;2010;4385038.0;992;i
PF;apweal992i;p0p100;2011;4359507.5;992;i
PF;apweal992i;p0p100;2012;4377654.0;992;i
PF;apweal992i;p0p100;2013;4513712.5;992;i
PF;apweal992i;p0p100;2014;4621411.5;992;i
PF;apweal992i;p0p100;2015;4802956.5;992;i
PF;apweal992i;p0p100;2016;5003197.0;992;i
PF;apweal992i;p0p100;2017;5362940.0;992;i
PF;apweal992i;p0p100;2018;5706277.0;992;i
PF;apweal992i;p0p100;2019;6077358.5;992;i
PF;apweal992i;p0p100;2020;5690501.5;992;i
PF;apweal992i;p0p100;2021;5339268.5;992;i
PF;mfinrx999i;p0p100;2002;76305629184.0;999;i
PF;mfinrx999i;p0p100;2003;68386791424.0;999;i
PF;mfinrx999i;p0p100;2004;71857709056.0;999;i
PF;mfinrx999i;p0p100;2005;63424991232.0;999;i
PF;mfinrx999i;p0p100;2006;70558416896.0;999;i
PF;mfinrx999i;p0p100;2007;69658877952.0;999;i
PF;mfinrx999i;p0p100;2008;72962801664.0;999;i
PF;mfinrx999i;p0p100;2009;71380049920.0;999;i
PF;mfinrx999i;p0p100;2010;67105992704.0;999;i
PF;mfinrx999i;p0p100;2011;70789103616.0;999;i
PF;mfinrx999i;p0p100;2012;67117903872.0;999;i
PF;mfinrx999i;p0p100;2013;69974245376.0;999;i
PF;mfinrx999i;p0p100;2014;65420718080.0;999;i
PF;mfinrx999i;p0p100;2015;65406431232.0;999;i
PF;mfinrx999i;p0p100;2016;69475950592.0;999;i
PF;npopul851f;p0p100;1950;12.0;851;f
PF;npopul851f;p0p100;1951;11.0;851;f
PF;npopul851f;p0p100;1952;11.0;851;f
PF;npopul851f;p0p100;1953;10.0;851;f
PF;npopul851f;p0p100;1954;9.0;851;f
PF;npopul851f;p0p100;1955;8.0;851;f
PF;npopul851f;p0p100;1956;9.0;851;f
PF;npopul851f;p0p100;1957;9.0;851;f
PF;npopul851f;p0p100;1958;9.0;851;f
PF;npopul851f;p0p100;1959;11.0;851;f
PF;npopul851f;p0p100;1960;11.0;851;f
PF;npopul851f;p0p100;1961;13.0;851;f
PF;npopul851f;p0p100;1962;16.0;851;f
PF;npopul851f;p0p100;1963;18.0;851;f
PF;npopul851f;p0p100;1964;20.0;851;f
PF;npopul851f;p0p100;1965;17.0;851;f
PF;npopul851f;p0p100;1966;19.0;851;f
PF;npopul851f;p0p100;1967;15.0;851;f
PF;npopul851f;p0p100;1968;16.0;851;f
PF;npopul851f;p0p100;1969;18.0;851;f
PF;npopul851f;p0p100;1970;23.0;851;f
PF;npopul851f;p0p100;1971;32.0;851;f
PF;npopul851f;p0p100;1972;38.0;851;f
PF;npopul851f;p0p100;1973;45.0;851;f
PF;npopul851f;p0p100;1974;48.0;851;f
PF;npopul851f;p0p100;1975;49.0;851;f
PF;npopul851f;p0p100;1976;51.0;851;f
