country;variable;percentile;year;value;age;pop
PR;npopul101f;p0p100;1950;133000.0;101;f
PR;npopul101f;p0p100;1951;132443.0;101;f
PR;npopul101f;p0p100;1952;133647.0;101;f
PR;npopul101f;p0p100;1953;136227.0;101;f
PR;npopul101f;p0p100;1954;139358.0;101;f
PR;npopul101f;p0p100;1955;141975.0;101;f
PR;npopul101f;p0p100;1956;141849.0;101;f
PR;npopul101f;p0p100;1957;142947.0;101;f
PR;npopul101f;p0p100;1958;145794.0;101;f
PR;npopul101f;p0p100;1959;150104.0;101;f
PR;npopul101f;p0p100;1960;154826.0;101;f
PR;npopul101f;p0p100;1961;150629.0;101;f
PR;npopul101f;p0p100;1962;147480.0;101;f
PR;npopul101f;p0p100;1963;146266.0;101;f
PR;npopul101f;p0p100;1964;146896.0;101;f
PR;npopul101f;p0p100;1965;148396.0;101;f
PR;npopul101f;p0p100;1966;149915.0;101;f
PR;npopul101f;p0p100;1967;151262.0;101;f
PR;npopul101f;p0p100;1968;153187.0;101;f
PR;npopul101f;p0p100;1969;155959.0;101;f
PR;npopul101f;p0p100;1970;159160.0;101;f
PR;npopul101f;p0p100;1971;160027.0;101;f
PR;npopul101f;p0p100;1972;160099.0;101;f
PR;npopul101f;p0p100;1973;159456.0;101;f
PR;npopul101f;p0p100;1974;158459.0;101;f
PR;npopul101f;p0p100;1975;157527.0;101;f
PR;npopul101f;p0p100;1976;158997.0;101;f
PR;npopul101f;p0p100;1977;160584.0;101;f
PR;npopul101f;p0p100;1978;161490.0;101;f
PR;npopul101f;p0p100;1979;161520.0;101;f
PR;npopul101f;p0p100;1980;160936.0;101;f
PR;npopul101f;p0p100;1981;161035.0;101;f
PR;npopul101f;p0p100;1982;161711.0;101;f
PR;npopul101f;p0p100;1983;162352.0;101;f
PR;npopul101f;p0p100;1984;162771.0;101;f
PR;npopul101f;p0p100;1985;163036.0;101;f
PR;npopul101f;p0p100;1986;160613.0;101;f
PR;npopul101f;p0p100;1987;159616.0;101;f
PR;npopul101f;p0p100;1988;159728.0;101;f
PR;npopul101f;p0p100;1989;160363.0;101;f
PR;npopul101f;p0p100;1990;160834.0;101;f
PR;npopul101f;p0p100;1991;159675.0;101;f
PR;npopul101f;p0p100;1992;157940.0;101;f
PR;npopul101f;p0p100;1993;155587.0;101;f
PR;npopul101f;p0p100;1994;153036.0;101;f
PR;npopul101f;p0p100;1995;150733.0;101;f
PR;npopul101f;p0p100;1996;148273.0;101;f
PR;npopul101f;p0p100;1997;146686.0;101;f
PR;npopul101f;p0p100;1998;145625.0;101;f
PR;npopul101f;p0p100;1999;144857.0;101;f
PR;npopul101f;p0p100;2000;144318.0;101;f
PR;npopul101f;p0p100;2001;144294.0;101;f
PR;npopul101f;p0p100;2002;144232.0;101;f
