country;variable;percentile;year;value;age;pop
PS;ahweal992j;p99.97p99.98;1995;294027.5;992;j
PS;ahweal992j;p99.97p99.98;1996;305047.2;992;j
PS;ahweal992j;p99.97p99.98;1997;357562.0;992;j
PS;ahweal992j;p99.97p99.98;1998;425801.1;992;j
PS;ahweal992j;p99.97p99.98;1999;475691.6;992;j
PS;ahweal992j;p99.97p99.98;2000;408779.5;992;j
PS;ahweal992j;p99.97p99.98;2001;368121.8;992;j
PS;ahweal992j;p99.97p99.98;2002;329239.5;992;j
PS;ahweal992j;p99.97p99.98;2003;395808.1;992;j
PS;ahweal992j;p99.97p99.98;2004;524946.1;992;j
PS;ahweal992j;p99.97p99.98;2005;636452.9;992;j
PS;ahweal992j;p99.97p99.98;2006;668063.6;992;j
PS;ahweal992j;p99.97p99.98;2007;877526.3;992;j
PS;ahweal992j;p99.97p99.98;2008;770699.4;992;j
PS;ahweal992j;p99.97p99.98;2009;888856.3;992;j
PS;ahweal992j;p99.97p99.98;2010;1010717.6;992;j
PS;ahweal992j;p99.97p99.98;2011;972307.9;992;j
PS;ahweal992j;p99.97p99.98;2012;1030776.5;992;j
PS;ahweal992j;p99.97p99.98;2013;1093781.6;992;j
PS;ahweal992j;p99.97p99.98;2014;1115212.4;992;j
PS;ahweal992j;p99.97p99.98;2015;1178915.0;992;j
PS;ahweal992j;p99.97p99.98;2016;1304138.8;992;j
PS;ahweal992j;p99.97p99.98;2017;1343876.3;992;j
PS;ahweal992j;p99.97p99.98;2018;1429003.3;992;j
PS;ahweal992j;p99.97p99.98;2019;1458749.3;992;j
PS;ahweal992j;p99.97p99.98;2020;1317446.6;992;j
PS;ahweal992j;p99.97p99.98;2021;1423160.8;992;j
PS;andpro992i;p0p100;1950;1145.6;992;i
PS;andpro992i;p0p100;1951;1214.8;992;i
PS;andpro992i;p0p100;1952;1262.5;992;i
PS;andpro992i;p0p100;1953;1302.9;992;i
PS;andpro992i;p0p100;1954;1344.4;992;i
PS;andpro992i;p0p100;1955;1380.7;992;i
PS;andpro992i;p0p100;1956;1421.1;992;i
PS;andpro992i;p0p100;1957;1471.9;992;i
PS;andpro992i;p0p100;1958;1519.2;992;i
PS;andpro992i;p0p100;1959;1588.2;992;i
PS;andpro992i;p0p100;1960;1638.4;992;i
PS;andpro992i;p0p100;1961;1660.9;992;i
PS;andpro992i;p0p100;1962;1722.9;992;i
PS;andpro992i;p0p100;1963;1790.9;992;i
PS;andpro992i;p0p100;1964;1875.9;992;i
PS;andpro992i;p0p100;1965;1985.9;992;i
PS;andpro992i;p0p100;1966;2133.2;992;i
PS;andpro992i;p0p100;1967;2083.4;992;i
PS;andpro992i;p0p100;1968;1924.4;992;i
PS;andpro992i;p0p100;1969;2034.0;992;i
PS;andpro992i;p0p100;1970;2170.0;992;i
PS;andpro992i;p0p100;1971;2445.0;992;i
PS;andpro992i;p0p100;1972;2794.2;992;i
PS;andpro992i;p0p100;1973;2577.4;992;i
PS;andpro992i;p0p100;1974;3061.6;992;i
PS;andpro992i;p0p100;1975;2991.4;992;i
PS;andpro992i;p0p100;1976;3375.5;992;i
PS;andpro992i;p0p100;1977;3253.3;992;i
PS;andpro992i;p0p100;1978;3609.0;992;i
PS;andpro992i;p0p100;1979;3456.3;992;i
PS;andpro992i;p0p100;1980;3878.9;992;i
PS;andpro992i;p0p100;1981;3510.0;992;i
PS;andpro992i;p0p100;1982;3699.0;992;i
PS;andpro992i;p0p100;1983;3417.4;992;i
PS;andpro992i;p0p100;1984;3463.8;992;i
PS;andpro992i;p0p100;1985;3308.9;992;i
PS;andpro992i;p0p100;1986;3833.2;992;i
PS;andpro992i;p0p100;1987;3580.2;992;i
PS;andpro992i;p0p100;1988;3385.9;992;i
PS;andpro992i;p0p100;1989;3318.1;992;i
PS;andpro992i;p0p100;1990;3811.4;992;i
PS;andpro992i;p0p100;1991;3466.7;992;i
PS;andpro992i;p0p100;1992;4139.1;992;i
PS;andpro992i;p0p100;1993;4370.0;992;i
PS;andpro992i;p0p100;1994;4848.6;992;i
PS;andpro992i;p0p100;1995;4937.8;992;i
PS;andpro992i;p0p100;1996;4736.2;992;i
PS;andpro992i;p0p100;1997;5186.7;992;i
PS;andpro992i;p0p100;1998;5675.8;992;i
PS;andpro992i;p0p100;1999;5898.1;992;i
PS;andpro992i;p0p100;2000;5158.6;992;i
PS;andpro992i;p0p100;2001;4500.8;992;i
PS;andpro992i;p0p100;2002;3791.1;992;i
PS;andpro992i;p0p100;2003;4243.6;992;i
PS;andpro992i;p0p100;2004;5082.3;992;i
PS;andpro992i;p0p100;2005;5500.7;992;i
PS;andpro992i;p0p100;2006;5234.9;992;i
PS;andpro992i;p0p100;2007;5231.1;992;i
PS;andpro992i;p0p100;2008;5417.5;992;i
PS;andpro992i;p0p100;2009;5672.0;992;i
PS;andpro992i;p0p100;2010;5773.2;992;i
PS;andpro992i;p0p100;2011;6118.7;992;i
PS;andpro992i;p0p100;2012;6263.8;992;i
PS;andpro992i;p0p100;2013;6325.2;992;i
PS;andpro992i;p0p100;2014;6072.0;992;i
PS;andpro992i;p0p100;2015;6076.1;992;i
PS;andpro992i;p0p100;2016;6410.9;992;i
PS;andpro992i;p0p100;2017;6268.4;992;i
PS;andpro992i;p0p100;2018;6126.7;992;i
PS;andpro992i;p0p100;2019;6013.0;992;i
PS;andpro992i;p0p100;2020;5115.1;992;i
PS;andpro992i;p0p100;2021;5268.9;992;i
PS;aptfpx999i;p0p100;1995;22.4;999;i
PS;aptfpx999i;p0p100;1996;19.6;999;i
PS;aptfpx999i;p0p100;1997;24.7;999;i
PS;aptfpx999i;p0p100;1998;24.3;999;i
PS;aptfpx999i;p0p100;1999;25.1;999;i
PS;aptfpx999i;p0p100;2000;23.6;999;i
PS;aptfpx999i;p0p100;2001;26.4;999;i
PS;aptfpx999i;p0p100;2002;21.7;999;i
PS;aptfpx999i;p0p100;2003;23.9;999;i
PS;aptfpx999i;p0p100;2004;28.6;999;i
PS;aptfpx999i;p0p100;2005;35.6;999;i
PS;aptfpx999i;p0p100;2006;30.5;999;i
PS;aptfpx999i;p0p100;2008;24.3;999;i
PS;aptfpx999i;p0p100;2009;29.2;999;i
PS;aptfpx999i;p0p100;2010;30.6;999;i
PS;aptfpx999i;p0p100;2011;35.5;999;i
PS;aptfpx999i;p0p100;2012;41.2;999;i
PS;aptfpx999i;p0p100;2013;28.2;999;i
PS;aptfpx999i;p0p100;2014;31.4;999;i
PS;aptfpx999i;p0p100;2015;31.8;999;i
PS;aptfpx999i;p0p100;2016;27.8;999;i
PS;aptfpx999i;p0p100;2017;31.8;999;i
PS;aptfpx999i;p0p100;2018;35.7;999;i
PS;aptinc992j;p42p100;1980;6116.6;992;j
PS;aptinc992j;p42p100;1981;5534.8;992;j
PS;aptinc992j;p42p100;1982;5832.8;992;j
PS;aptinc992j;p42p100;1983;5388.8;992;j
PS;aptinc992j;p42p100;1984;5461.9;992;j
PS;aptinc992j;p42p100;1985;5217.6;992;j
PS;aptinc992j;p42p100;1986;6044.4;992;j
PS;aptinc992j;p42p100;1987;5645.4;992;j
PS;aptinc992j;p42p100;1988;5339.1;992;j
PS;aptinc992j;p42p100;1989;5232.2;992;j
PS;aptinc992j;p42p100;1990;6010.1;992;j
PS;aptinc992j;p42p100;1991;5466.5;992;j
