country;variable;percentile;year;value;age;pop
PW;anweal999i;p0p100;1995;8003.2;999;i
PW;anweal999i;p0p100;1996;8942.9;999;i
PW;anweal999i;p0p100;1997;9655.9;999;i
PW;anweal999i;p0p100;1998;10277.7;999;i
PW;anweal999i;p0p100;1999;10489.3;999;i
PW;anweal999i;p0p100;2000;8426.6;999;i
PW;anweal999i;p0p100;2001;9441.4;999;i
PW;anweal999i;p0p100;2002;10132.3;999;i
PW;anweal999i;p0p100;2003;10948.5;999;i
PW;anweal999i;p0p100;2004;12566.9;999;i
PW;anweal999i;p0p100;2005;16626.0;999;i
PW;anweal999i;p0p100;2006;18559.5;999;i
PW;anweal999i;p0p100;2007;19955.3;999;i
PW;anweal999i;p0p100;2008;20748.7;999;i
PW;anweal999i;p0p100;2009;21880.3;999;i
PW;anweal999i;p0p100;2010;22925.2;999;i
PW;anweal999i;p0p100;2011;24211.5;999;i
PW;anweal999i;p0p100;2012;24197.4;999;i
PW;anweal999i;p0p100;2013;24925.1;999;i
PW;anweal999i;p0p100;2014;26525.4;999;i
PW;anweal999i;p0p100;2015;28592.2;999;i
PW;anweal999i;p0p100;2016;26899.9;999;i
PW;anweal999i;p0p100;2017;29682.4;999;i
PW;anweal999i;p0p100;2018;29505.7;999;i
PW;anweal999i;p0p100;2019;28630.4;999;i
PW;anweal999i;p0p100;2020;26378.5;999;i
PW;anweal999i;p0p100;2021;23953.4;999;i
PW;afkpin999i;p0p100;2005;2508.5;999;i
PW;afkpin999i;p0p100;2006;3130.3;999;i
PW;afkpin999i;p0p100;2007;3324.6;999;i
PW;afkpin999i;p0p100;2008;3571.4;999;i
PW;afkpin999i;p0p100;2009;3914.5;999;i
PW;afkpin999i;p0p100;2010;3525.3;999;i
PW;afkpin999i;p0p100;2011;3052.4;999;i
PW;afkpin999i;p0p100;2012;2776.3;999;i
PW;afkpin999i;p0p100;2013;3212.1;999;i
PW;afkpin999i;p0p100;2014;3031.6;999;i
PW;afkpin999i;p0p100;2015;3592.2;999;i
PW;afkpin999i;p0p100;2016;1939.9;999;i
PW;afkpin999i;p0p100;2017;2895.1;999;i
PW;agsrhn999i;p0p100;2000;571.5;999;i
PW;agsrhn999i;p0p100;2001;602.8;999;i
PW;agsrhn999i;p0p100;2002;523.5;999;i
PW;agsrhn999i;p0p100;2003;491.2;999;i
PW;agsrhn999i;p0p100;2004;806.8;999;i
PW;agsrhn999i;p0p100;2005;1291.6;999;i
PW;agsrhn999i;p0p100;2006;1407.3;999;i
PW;agsrhn999i;p0p100;2007;1307.3;999;i
PW;agsrhn999i;p0p100;2008;1169.2;999;i
PW;agsrhn999i;p0p100;2009;1163.5;999;i
PW;agsrhn999i;p0p100;2010;1110.5;999;i
PW;agsrhn999i;p0p100;2011;1121.2;999;i
