country;variable;percentile;year;value;age;pop
QB-MER;ahweal992j;p41p42;1995;322.6;992;j
QB-MER;ahweal992j;p41p42;1996;343.0;992;j
QB-MER;ahweal992j;p41p42;1997;370.7;992;j
QB-MER;ahweal992j;p41p42;1998;384.1;992;j
QB-MER;ahweal992j;p41p42;1999;386.8;992;j
QB-MER;ahweal992j;p41p42;2000;378.3;992;j
QB-MER;ahweal992j;p41p42;2001;393.4;992;j
QB-MER;ahweal992j;p41p42;2002;409.8;992;j
QB-MER;ahweal992j;p41p42;2003;432.9;992;j
QB-MER;ahweal992j;p41p42;2004;462.4;992;j
QB-MER;ahweal992j;p41p42;2005;489.8;992;j
QB-MER;ahweal992j;p41p42;2006;520.2;992;j
QB-MER;ahweal992j;p41p42;2007;548.6;992;j
QB-MER;ahweal992j;p41p42;2008;572.3;992;j
QB-MER;ahweal992j;p41p42;2009;593.1;992;j
QB-MER;ahweal992j;p41p42;2010;618.1;992;j
QB-MER;ahweal992j;p41p42;2011;640.4;992;j
QB-MER;ahweal992j;p41p42;2012;663.0;992;j
QB-MER;ahweal992j;p41p42;2013;681.3;992;j
QB-MER;ahweal992j;p41p42;2014;715.5;992;j
QB-MER;ahweal992j;p41p42;2015;736.7;992;j
QB-MER;ahweal992j;p41p42;2016;742.6;992;j
QB-MER;ahweal992j;p41p42;2017;765.4;992;j
QB-MER;ahweal992j;p41p42;2018;784.9;992;j
QB-MER;ahweal992j;p41p42;2019;810.5;992;j
QB-MER;ahweal992j;p41p42;2020;812.8;992;j
QB-MER;ahweal992j;p41p42;2021;854.8;992;j
QB-MER;ahweal992j;p99.93p99.94;1995;872178.7;992;j
QB-MER;ahweal992j;p99.93p99.94;1996;991294.4;992;j
QB-MER;ahweal992j;p99.93p99.94;1997;990223.5;992;j
QB-MER;ahweal992j;p99.93p99.94;1998;1021531.2;992;j
QB-MER;ahweal992j;p99.93p99.94;1999;998757.7;992;j
QB-MER;ahweal992j;p99.93p99.94;2000;957573.0;992;j
QB-MER;ahweal992j;p99.93p99.94;2001;1018508.2;992;j
QB-MER;ahweal992j;p99.93p99.94;2002;973072.5;992;j
QB-MER;ahweal992j;p99.93p99.94;2003;887575.6;992;j
QB-MER;ahweal992j;p99.93p99.94;2004;539048.8;992;j
QB-MER;ahweal992j;p99.93p99.94;2005;530004.0;992;j
QB-MER;ahweal992j;p99.93p99.94;2006;557118.8;992;j
QB-MER;ahweal992j;p99.93p99.94;2007;594013.9;992;j
QB-MER;ahweal992j;p99.93p99.94;2008;623911.7;992;j
QB-MER;ahweal992j;p99.93p99.94;2009;598559.8;992;j
QB-MER;ahweal992j;p99.93p99.94;2010;636765.6;992;j
QB-MER;ahweal992j;p99.93p99.94;2011;652880.4;992;j
QB-MER;ahweal992j;p99.93p99.94;2012;721150.2;992;j
QB-MER;ahweal992j;p99.93p99.94;2013;723221.4;992;j
QB-MER;ahweal992j;p99.93p99.94;2014;726096.8;992;j
QB-MER;ahweal992j;p99.93p99.94;2015;757504.4;992;j
QB-MER;ahweal992j;p99.93p99.94;2016;778224.1;992;j
QB-MER;ahweal992j;p99.93p99.94;2017;798515.8;992;j
QB-MER;ahweal992j;p99.93p99.94;2018;794081.0;992;j
QB-MER;ahweal992j;p99.93p99.94;2019;794529.2;992;j
QB-MER;ahweal992j;p99.93p99.94;2020;775188.7;992;j
QB-MER;ahweal992j;p99.93p99.94;2021;806422.7;992;j
QB-MER;aptinc992j;p10p100;1980;6081.9;992;j
QB-MER;aptinc992j;p10p100;1981;6274.5;992;j
QB-MER;aptinc992j;p10p100;1982;6219.9;992;j
QB-MER;aptinc992j;p10p100;1983;5979.8;992;j
QB-MER;aptinc992j;p10p100;1984;5871.2;992;j
QB-MER;aptinc992j;p10p100;1985;5993.4;992;j
QB-MER;aptinc992j;p10p100;1986;5920.6;992;j
QB-MER;aptinc992j;p10p100;1987;5876.4;992;j
QB-MER;aptinc992j;p10p100;1988;6062.2;992;j
QB-MER;aptinc992j;p10p100;1989;6093.8;992;j
QB-MER;aptinc992j;p10p100;1990;6179.4;992;j
QB-MER;aptinc992j;p10p100;1991;6191.6;992;j
QB-MER;aptinc992j;p10p100;1992;5649.5;992;j
QB-MER;aptinc992j;p10p100;1993;5580.7;992;j
QB-MER;aptinc992j;p10p100;1994;5627.7;992;j
QB-MER;aptinc992j;p10p100;1995;5571.3;992;j
QB-MER;aptinc992j;p10p100;1996;5910.6;992;j
QB-MER;aptinc992j;p10p100;1997;5898.0;992;j
QB-MER;aptinc992j;p10p100;1998;5885.2;992;j
QB-MER;aptinc992j;p10p100;1999;5738.5;992;j
QB-MER;aptinc992j;p10p100;2000;5594.9;992;j
QB-MER;aptinc992j;p10p100;2001;5783.8;992;j
QB-MER;aptinc992j;p10p100;2002;5552.7;992;j
QB-MER;aptinc992j;p10p100;2003;5103.8;992;j
QB-MER;aptinc992j;p10p100;2004;5018.1;992;j
QB-MER;aptinc992j;p10p100;2005;4990.6;992;j
QB-MER;aptinc992j;p10p100;2006;4994.9;992;j
QB-MER;aptinc992j;p10p100;2007;5017.2;992;j
QB-MER;aptinc992j;p10p100;2008;4748.1;992;j
QB-MER;aptinc992j;p10p100;2009;4823.8;992;j
QB-MER;aptinc992j;p10p100;2010;5124.4;992;j
QB-MER;aptinc992j;p10p100;2011;5294.8;992;j
QB-MER;aptinc992j;p10p100;2012;5585.6;992;j
QB-MER;aptinc992j;p10p100;2013;5570.4;992;j
QB-MER;aptinc992j;p10p100;2014;5598.0;992;j
QB-MER;aptinc992j;p10p100;2015;5637.0;992;j
QB-MER;aptinc992j;p10p100;2016;5560.2;992;j
QB-MER;aptinc992j;p10p100;2017;5574.8;992;j
QB-MER;aptinc992j;p10p100;2018;5729.7;992;j
QB-MER;aptinc992j;p10p100;2019;5557.2;992;j
QB-MER;aptinc992j;p10p100;2020;5275.4;992;j
QB-MER;aptinc992j;p10p100;2021;5325.3;992;j
QB-MER;bptinc992j;p53p100;1980;9.1146936416626;992;j
QB-MER;bptinc992j;p53p100;1981;9.73772144317627;992;j
QB-MER;bptinc992j;p53p100;1982;9.76827049255371;992;j
QB-MER;bptinc992j;p53p100;1983;9.70872688293457;992;j
QB-MER;bptinc992j;p53p100;1984;9.504714012146;992;j
QB-MER;bptinc992j;p53p100;1985;9.62676048278809;992;j
QB-MER;bptinc992j;p53p100;1986;9.42634201049805;992;j
QB-MER;bptinc992j;p53p100;1987;9.36421203613281;992;j
QB-MER;bptinc992j;p53p100;1988;9.48465824127197;992;j
QB-MER;bptinc992j;p53p100;1989;9.50582027435303;992;j
QB-MER;bptinc992j;p53p100;1990;9.70999622344971;992;j
QB-MER;bptinc992j;p53p100;1991;9.93781089782715;992;j
QB-MER;bptinc992j;p53p100;1992;9.24044799804688;992;j
