country;variable;percentile;year;value;age;pop
QB;entgho999i;p0p100;1980;1162.2112;999;i
QB;entgho999i;p0p100;1981;996.3512;999;i
QB;entgho999i;p0p100;1982;987.961;999;i
QB;entgho999i;p0p100;1983;978.0796;999;i
QB;entgho999i;p0p100;1984;972.5699;999;i
QB;entgho999i;p0p100;1985;1013.5267;999;i
QB;entgho999i;p0p100;1986;1028.5972;999;i
QB;entgho999i;p0p100;1987;1039.0621;999;i
QB;entgho999i;p0p100;1988;1018.5121;999;i
QB;entgho999i;p0p100;1989;1076.837;999;i
QB;entgho999i;p0p100;1990;1143.8462;999;i
QB;entgho999i;p0p100;1991;1162.6269;999;i
QB;entgho999i;p0p100;1992;1222.0267;999;i
QB;entgho999i;p0p100;1993;1240.5564;999;i
QB;entgho999i;p0p100;1994;1310.703;999;i
QB;entgho999i;p0p100;1995;1354.5126;999;i
QB;entgho999i;p0p100;1996;1400.0545;999;i
QB;entgho999i;p0p100;1997;1381.9085;999;i
QB;entgho999i;p0p100;1998;1383.9166;999;i
QB;entgho999i;p0p100;1999;1366.1406;999;i
QB;entgho999i;p0p100;2000;1368.7236;999;i
QB;entgho999i;p0p100;2001;1354.9369;999;i
QB;entgho999i;p0p100;2002;1353.5455;999;i
QB;entgho999i;p0p100;2003;1423.7261;999;i
QB;entgho999i;p0p100;2004;1439.9507;999;i
QB;entgho999i;p0p100;2005;1463.539;999;i
QB;entgho999i;p0p100;2006;1427.2584;999;i
QB;entgho999i;p0p100;2007;1454.1257;999;i
QB;entgho999i;p0p100;2008;1487.8474;999;i
QB;entgho999i;p0p100;2009;1469.5001;999;i
QB;entgho999i;p0p100;2010;1527.919;999;i
QB;entgho999i;p0p100;2011;1541.288;999;i
QB;entgho999i;p0p100;2012;1580.281;999;i
QB;entgho999i;p0p100;2013;1585.03;999;i
QB;entgho999i;p0p100;2014;1603.134;999;i
QB;entgho999i;p0p100;2015;1631.692;999;i
QB;entgho999i;p0p100;2016;1655.58;999;i
QB;entgho999i;p0p100;2017;1663.803;999;i
QB;entgho999i;p0p100;2018;1675.134;999;i
QB;entgho999i;p0p100;2019;1698.82333606099;999;i
QB;entgho999i;p0p100;2020;1656.35275265946;999;i
QB;kntcar999i;p0p100;1980;1.17300534248352;999;i
QB;kntcar999i;p0p100;1981;1.15698528289795;999;i
QB;kntcar999i;p0p100;1982;1.14595139026642;999;i
QB;kntcar999i;p0p100;1983;1.14062869548798;999;i
QB;kntcar999i;p0p100;1984;1.22391974925995;999;i
QB;kntcar999i;p0p100;1985;1.21983337402344;999;i
QB;kntcar999i;p0p100;1986;1.22788834571838;999;i
QB;kntcar999i;p0p100;1987;1.1927797794342;999;i
QB;kntcar999i;p0p100;1988;1.21540868282318;999;i
QB;kntcar999i;p0p100;1989;1.13770163059235;999;i
QB;kntcar999i;p0p100;1990;1.04811060428619;999;i
QB;kntcar999i;p0p100;1991;1.06414139270782;999;i
QB;kntcar999i;p0p100;1992;1.01042568683624;999;i
QB;kntcar999i;p0p100;1993;1.04445385932922;999;i
QB;kntcar999i;p0p100;1994;1.03979086875916;999;i
QB;kntcar999i;p0p100;1995;1.08676493167877;999;i
QB;kntcar999i;p0p100;1996;1.07414090633392;999;i
QB;kntcar999i;p0p100;1997;1.08979117870331;999;i
QB;kntcar999i;p0p100;1998;1.09706699848175;999;i
QB;kntcar999i;p0p100;1999;1.0608217716217;999;i
QB;kntcar999i;p0p100;2000;1.11063373088837;999;i
QB;kntcar999i;p0p100;2001;1.07152080535889;999;i
QB;kntcar999i;p0p100;2002;1.0505678653717;999;i
QB;kntcar999i;p0p100;2003;1.11074137687683;999;i
QB;kntcar999i;p0p100;2004;1.15975022315979;999;i
QB;kntcar999i;p0p100;2005;1.1503643989563;999;i
QB;kntcar999i;p0p100;2006;1.16270542144775;999;i
QB;kntcar999i;p0p100;2007;1.17900371551514;999;i
QB;kntcar999i;p0p100;2008;1.20189952850342;999;i
QB;kntcar999i;p0p100;2009;1.18231582641602;999;i
QB;kntcar999i;p0p100;2010;1.17371642589569;999;i
QB;kntcar999i;p0p100;2011;1.16794550418854;999;i
QB;kntcar999i;p0p100;2012;1.14801812171936;999;i
QB;kntcar999i;p0p100;2013;1.13366532325745;999;i
QB;kntcar999i;p0p100;2014;1.17671966552734;999;i
QB;kntcar999i;p0p100;2015;1.11664092540741;999;i
QB;kntcar999i;p0p100;2016;1.11662352085114;999;i
QB;kntcar999i;p0p100;2017;1.12658548355102;999;i
QB;kntcar999i;p0p100;2018;1.11626446247101;999;i
QB;kntcar999i;p0p100;2019;1.10140907764435;999;i
QB;kntcar999i;p0p100;2020;1.04779100418091;999;i
QB;knfgho999i;p0p100;1990;1.35335850715637;999;i
QB;knfgho999i;p0p100;1991;1.32792782783508;999;i
QB;knfgho999i;p0p100;1992;1.33897173404694;999;i
QB;knfgho999i;p0p100;1993;1.33002626895904;999;i
QB;knfgho999i;p0p100;1994;1.29188966751099;999;i
QB;knfgho999i;p0p100;1995;1.28225708007812;999;i
QB;knfgho999i;p0p100;1996;1.27397704124451;999;i
QB;knfgho999i;p0p100;1997;1.20712840557098;999;i
QB;knfgho999i;p0p100;1998;1.16221439838409;999;i
QB;knfgho999i;p0p100;1999;1.1032235622406;999;i
QB;knfgho999i;p0p100;2000;1.0396112203598;999;i
QB;knfgho999i;p0p100;2001;1.0656144618988;999;i
QB;knfgho999i;p0p100;2002;1.04046356678009;999;i
QB;knfgho999i;p0p100;2003;1.07264173030853;999;i
QB;knfgho999i;p0p100;2004;1.04735517501831;999;i
QB;knfgho999i;p0p100;2005;1.05931258201599;999;i
QB;knfgho999i;p0p100;2006;0.999469518661499;999;i
QB;knfgho999i;p0p100;2007;1.00550508499146;999;i
QB;knfgho999i;p0p100;2008;1.01849782466888;999;i
QB;knfgho999i;p0p100;2009;0.994965851306915;999;i
QB;knfgho999i;p0p100;2010;1.01504063606262;999;i
QB;knfgho999i;p0p100;2011;0.985663890838623;999;i
QB;knfgho999i;p0p100;2012;0.981384694576263;999;i
QB;knfgho999i;p0p100;2013;0.969132959842682;999;i
QB;knfgho999i;p0p100;2014;0.944524049758911;999;i
QB;knfgho999i;p0p100;2015;0.961907029151917;999;i
QB;knfgho999i;p0p100;2016;0.962493121623993;999;i
QB;knfgho999i;p0p100;2017;0.963467240333557;999;i
QB;knfgho999i;p0p100;2018;0.952470004558563;999;i
QB;knfgho999i;p0p100;2019;0.943333685398102;999;i
QB;knfgho999i;p0p100;2020;0.897411048412323;999;i
QB;khfghn999i;p0p100;1990;1.0266889333725;999;i
QB;khfghn999i;p0p100;1991;1.0318146944046;999;i
QB;khfghn999i;p0p100;1992;1.03295993804932;999;i
QB;khfghn999i;p0p100;1993;1.0259907245636;999;i
QB;khfghn999i;p0p100;1994;1.0132440328598;999;i
QB;khfghn999i;p0p100;1995;1.03559017181397;999;i
QB;khfghn999i;p0p100;1996;1.02866983413696;999;i
QB;khfghn999i;p0p100;1997;1.03953373432159;999;i
QB;khfghn999i;p0p100;1998;1.02176129817963;999;i
QB;khfghn999i;p0p100;1999;1.01638424396515;999;i
QB;khfghn999i;p0p100;2000;0.966787576675415;999;i
QB;khfghn999i;p0p100;2001;0.955420076847076;999;i
QB;khfghn999i;p0p100;2002;0.927628338336945;999;i
QB;khfghn999i;p0p100;2003;0.965693950653076;999;i
QB;khfghn999i;p0p100;2004;0.96205598115921;999;i
QB;khfghn999i;p0p100;2005;0.987034022808075;999;i
QB;khfghn999i;p0p100;2006;0.957665741443634;999;i
QB;khfghn999i;p0p100;2007;0.975700974464417;999;i
QB;khfghn999i;p0p100;2008;0.985501110553741;999;i
QB;khfghn999i;p0p100;2009;0.970308184623718;999;i
QB;khfghn999i;p0p100;2010;0.972252666950226;999;i
QB;khfghn999i;p0p100;2011;0.961151242256165;999;i
QB;khfghn999i;p0p100;2012;0.955444872379303;999;i
QB;khfghn999i;p0p100;2013;0.960551023483276;999;i
QB;khfghn999i;p0p100;2014;0.959623456001282;999;i
QB;khfghn999i;p0p100;2015;0.932880640029907;999;i
QB;khfghn999i;p0p100;2016;0.933241486549377;999;i
QB;khfghn999i;p0p100;2017;0.934097349643707;999;i
QB;khfghn999i;p0p100;2018;0.922113716602325;999;i
QB;khfghn999i;p0p100;2019;0.911259055137634;999;i
QB;khfghn999i;p0p100;2020;0.866897821426392;999;i
QB;entghg999i;p0p100;1980;1720.2367;999;i
QB;entghg999i;p0p100;1981;1562.3724;999;i
QB;entghg999i;p0p100;1982;1564.4908;999;i
QB;entghg999i;p0p100;1983;1568.217;999;i
QB;entghg999i;p0p100;1984;1623.7872;999;i
QB;entghg999i;p0p100;1985;1681.0217;999;i
QB;entghg999i;p0p100;1986;1719.6298;999;i
QB;entghg999i;p0p100;1987;1729.4041;999;i
QB;entghg999i;p0p100;1988;1741.7773;999;i
QB;entghg999i;p0p100;1989;1772.6813;999;i
QB;entghg999i;p0p100;1990;1801.668800816;999;i
QB;entghg999i;p0p100;1991;1849.122044528;999;i
QB;entghg999i;p0p100;1992;1891.005658128;999;i
QB;entghg999i;p0p100;1993;1949.985934416;999;i
QB;entghg999i;p0p100;1994;2035.084280368;999;i
QB;entghg999i;p0p100;1995;2130.910244944;999;i
QB;entghg999i;p0p100;1996;2186.880559744;999;i
QB;entghg999i;p0p100;1997;2200.320493216;999;i
QB;entghg999i;p0p100;1998;2228.482843312;999;i
QB;entghg999i;p0p100;1999;2203.253895968;999;i
QB;entghg999i;p0p100;2000;2267.032358464;999;i
QB;entghg999i;p0p100;2001;2243.205457776;999;i
QB;entghg999i;p0p100;2002;2246.194439232;999;i
QB;entghg999i;p0p100;2003;2391.064796064;999;i
QB;entghg999i;p0p100;2004;2475.223483856;999;i
QB;entghg999i;p0p100;2005;2516.262689328;999;i
QB;entghg999i;p0p100;2006;2518.189497536;999;i
QB;entghg999i;p0p100;2007;2588.467642656;999;i
QB;entghg999i;p0p100;2008;2673.753501584;999;i
QB;entghg999i;p0p100;2009;2666.023428928;999;i
QB;entghg999i;p0p100;2010;2746.359257536;999;i
QB;entghg999i;p0p100;2011;2785.13641712;999;i
QB;entghg999i;p0p100;2012;2834.682842032;999;i
QB;entghg999i;p0p100;2013;2856.045725792;999;i
QB;entghg999i;p0p100;2014;2956.840961952;999;i
QB;entghg999i;p0p100;2015;2949.758518256;999;i
QB;entghg999i;p0p100;2016;3007.766618368;999;i
QB;entghg999i;p0p100;2017;3063.152017744;999;i
QB;entghg999i;p0p100;2018;3097.017761584;999;i
QB;entghg999i;p0p100;2019;3137.15848357221;999;i
QB;entghg999i;p0p100;2020;3058.7295214829;999;i
QB;ehfghn999i;p0p100;1990;644.37780018171;999;i
QB;ehfghn999i;p0p100;1991;665.640602134711;999;i
QB;ehfghn999i;p0p100;1992;683.89837158729;999;i
QB;ehfghn999i;p0p100;1993;696.888718945769;999;i
QB;ehfghn999i;p0p100;1994;705.887133051407;999;i
QB;ehfghn999i;p0p100;1995;739.837793307899;999;i
QB;ehfghn999i;p0p100;1996;753.517776023999;999;i
QB;ehfghn999i;p0p100;1997;780.669689149718;999;i
QB;ehfghn999i;p0p100;1998;786.592909867797;999;i
QB;ehfghn999i;p0p100;1999;802.046902382298;999;i
QB;ehfghn999i;p0p100;2000;781.962352331161;999;i
QB;ehfghn999i;p0p100;2001;792.023470792352;999;i
QB;ehfghn999i;p0p100;2002;788.189460261812;999;i
QB;ehfghn999i;p0p100;2003;841.017683688094;999;i
QB;ehfghn999i;p0p100;2004;858.797244162691;999;i
QB;ehfghn999i;p0p100;2005;903.256453733468;999;i
QB;ehfghn999i;p0p100;2006;898.548648119395;999;i
