country;variable;percentile;year;value;age;pop
QC;ehfghd999i;p0p100;1990;1092.73358583654;999;i
QC;ehfghd999i;p0p100;1991;1086.77562184143;999;i
QC;ehfghd999i;p0p100;1992;1110.06611245853;999;i
QC;ehfghd999i;p0p100;1993;1133.57543093533;999;i
QC;ehfghd999i;p0p100;1994;1158.1452696401;999;i
QC;ehfghd999i;p0p100;1995;1173.51299835703;999;i
QC;ehfghd999i;p0p100;1996;1215.92921494449;999;i
QC;ehfghd999i;p0p100;1997;1242.60964175156;999;i
QC;ehfghd999i;p0p100;1998;1264.42355534882;999;i
QC;ehfghd999i;p0p100;1999;1283.19333016174;999;i
QC;ehfghd999i;p0p100;2000;1313.59413140268;999;i
QC;ehfghd999i;p0p100;2001;1300.34801487964;999;i
QC;ehfghd999i;p0p100;2002;1310.23101728694;999;i
QC;ehfghd999i;p0p100;2003;1326.55918542938;999;i
QC;ehfghd999i;p0p100;2004;1347.9125728542;999;i
QC;ehfghd999i;p0p100;2005;1350.0044778363;999;i
QC;ehfghd999i;p0p100;2006;1352.39104687345;999;i
QC;ehfghd999i;p0p100;2007;1355.0882434684;999;i
QC;ehfghd999i;p0p100;2008;1352.22263670699;999;i
QC;ehfghd999i;p0p100;2009;1350.2823681173;999;i
QC;ehfghd999i;p0p100;2010;1349.33200071653;999;i
QC;ehfghd999i;p0p100;2011;1349.4462417681;999;i
QC;ehfghd999i;p0p100;2012;1374.75010908098;999;i
QC;ehfghd999i;p0p100;2013;1401.08539311303;999;i
QC;ehfghd999i;p0p100;2014;1428.4527198878;999;i
QC;ehfghd999i;p0p100;2015;1395.70399493654;999;i
QC;ehfghd999i;p0p100;2016;1371.49764351438;999;i
QC;ehfghd999i;p0p100;2017;1359.27423224207;999;i
QC;ehfghd999i;p0p100;2018;1388.3242222715;999;i
QC;ehfghd999i;p0p100;2019;1357.38610937798;999;i
QC;ehfghd999i;p0p100;2020;1235.22645225509;999;i
QC;ehfghg999i;p0p100;1980;5159.28461144034;999;i
QC;ehfghg999i;p0p100;1981;5053.56832018009;999;i
QC;ehfghg999i;p0p100;1982;4910.16750100522;999;i
QC;ehfghg999i;p0p100;1983;4910.00711664634;999;i
QC;ehfghg999i;p0p100;1984;5085.44179735424;999;i
QC;ehfghg999i;p0p100;1985;5131.50603619261;999;i
QC;ehfghg999i;p0p100;1986;5033.19617097086;999;i
QC;ehfghg999i;p0p100;1987;5230.24686655006;999;i
QC;ehfghg999i;p0p100;1988;5432.32871841635;999;i
QC;ehfghg999i;p0p100;1989;5590.62901052795;999;i
QC;ehfghg999i;p0p100;1990;5434.40040382675;999;i
QC;ehfghg999i;p0p100;1991;5456.03926543069;999;i
QC;ehfghg999i;p0p100;1992;5611.4896096249;999;i
QC;ehfghg999i;p0p100;1993;5653.7472763252;999;i
QC;ehfghg999i;p0p100;1994;5748.54157780881;999;i
QC;ehfghg999i;p0p100;1995;5837.37110425171;999;i
QC;ehfghg999i;p0p100;1996;6031.33858282284;999;i
QC;ehfghg999i;p0p100;1997;6056.2730573147;999;i
QC;ehfghg999i;p0p100;1998;6275.87173187878;999;i
QC;ehfghg999i;p0p100;1999;6338.15318713155;999;i
QC;ehfghg999i;p0p100;2000;6579.66456263042;999;i
QC;ehfghg999i;p0p100;2001;6473.28358250354;999;i
QC;ehfghg999i;p0p100;2002;6526.03591888457;999;i
QC;ehfghg999i;p0p100;2003;6463.82022690365;999;i
QC;ehfghg999i;p0p100;2004;6529.29998985816;999;i
QC;ehfghg999i;p0p100;2005;6643.02695560096;999;i
QC;ehfghg999i;p0p100;2006;6605.88228416884;999;i
QC;ehfghg999i;p0p100;2007;6640.10864074452;999;i
QC;ehfghg999i;p0p100;2008;6545.53330153615;999;i
QC;ehfghg999i;p0p100;2009;6295.04258303348;999;i
QC;ehfghg999i;p0p100;2010;6489.52763184685;999;i
QC;ehfghg999i;p0p100;2011;6483.15584827784;999;i
QC;ehfghg999i;p0p100;2012;6409.2057597555;999;i
QC;ehfghg999i;p0p100;2013;6487.2239922154;999;i
QC;ehfghg999i;p0p100;2014;6572.07213749493;999;i
QC;ehfghg999i;p0p100;2015;6466.03926789662;999;i
QC;ehfghg999i;p0p100;2016;6342.26614239475;999;i
QC;ehfghg999i;p0p100;2017;6318.31117519113;999;i
QC;ehfghg999i;p0p100;2018;6422.02352460341;999;i
QC;ehfghg999i;p0p100;2019;6299.35715413763;999;i
QC;ehfghg999i;p0p100;2020;5764.72409932751;999;i
QC;knnghg999i;p0p100;1980;-0.483448565006256;999;i
QC;knnghg999i;p0p100;1981;-0.375794917345047;999;i
QC;knnghg999i;p0p100;1982;-0.366517692804336;999;i
QC;knnghg999i;p0p100;1983;-0.297499060630798;999;i
QC;knnghg999i;p0p100;1984;-0.143146887421608;999;i
QC;knnghg999i;p0p100;1985;-0.112367920577526;999;i
QC;knnghg999i;p0p100;1986;-0.40993943810463;999;i
QC;knnghg999i;p0p100;1987;-0.3600634932518;999;i
QC;knnghg999i;p0p100;1988;-0.330238610506058;999;i
QC;knnghg999i;p0p100;1989;-0.214210495352745;999;i
QC;knnghg999i;p0p100;1990;-0.306799173355102;999;i
QC;knnghg999i;p0p100;1991;-0.312103480100632;999;i
QC;knnghg999i;p0p100;1992;-0.181898832321167;999;i
QC;knnghg999i;p0p100;1993;-0.253524899482727;999;i
QC;knnghg999i;p0p100;1994;-0.196377471089363;999;i
QC;knnghg999i;p0p100;1995;-0.232926785945892;999;i
QC;knnghg999i;p0p100;1996;-0.238923564553261;999;i
QC;knnghg999i;p0p100;1997;-0.0737376362085342;999;i
QC;knnghg999i;p0p100;1998;0.181494399905205;999;i
QC;knnghg999i;p0p100;1999;0.191188216209412;999;i
QC;knnghg999i;p0p100;2000;0.408239394426346;999;i
QC;knnghg999i;p0p100;2001;0.331622868776321;999;i
QC;knnghg999i;p0p100;2002;0.335629880428314;999;i
QC;knnghg999i;p0p100;2003;0.319023638963699;999;i
QC;knnghg999i;p0p100;2004;0.465761125087738;999;i
QC;knnghg999i;p0p100;2005;0.563093900680542;999;i
QC;knnghg999i;p0p100;2006;0.669597506523132;999;i
QC;knnghg999i;p0p100;2007;0.614730060100555;999;i
QC;knnghg999i;p0p100;2008;0.541049718856812;999;i
QC;knnghg999i;p0p100;2009;0.372589498758316;999;i
QC;knnghg999i;p0p100;2010;0.446712732315063;999;i
QC;knnghg999i;p0p100;2011;0.513467490673065;999;i
QC;knnghg999i;p0p100;2012;0.546452581882477;999;i
QC;knnghg999i;p0p100;2013;0.447074234485626;999;i
QC;knnghg999i;p0p100;2014;0.404534429311752;999;i
QC;knnghg999i;p0p100;2015;0.403335452079773;999;i
QC;knnghg999i;p0p100;2016;0.326319366693497;999;i
QC;knnghg999i;p0p100;2017;0.333050340414047;999;i
QC;knnghg999i;p0p100;2018;0.347955584526062;999;i
QC;knnghg999i;p0p100;2019;0.341773122549057;999;i
QC;knnghg999i;p0p100;2020;0.299655735492706;999;i
QC;enfgho999i;p0p100;1990;2244.78495753313;999;i
QC;enfgho999i;p0p100;1991;2243.01751084777;999;i
QC;enfgho999i;p0p100;1992;2264.08890628937;999;i
QC;enfgho999i;p0p100;1993;2301.55609745461;999;i
QC;enfgho999i;p0p100;1994;2357.91233875051;999;i
QC;enfgho999i;p0p100;1995;2400.27364655063;999;i
QC;enfgho999i;p0p100;1996;2445.57222898361;999;i
QC;enfgho999i;p0p100;1997;2493.24601856021;999;i
QC;enfgho999i;p0p100;1998;2597.99628619109;999;i
QC;enfgho999i;p0p100;1999;2575.699055436;999;i
QC;enfgho999i;p0p100;2000;2643.90474391868;999;i
QC;enfgho999i;p0p100;2001;2608.1844323014;999;i
QC;enfgho999i;p0p100;2002;2599.40439707177;999;i
QC;enfgho999i;p0p100;2003;2617.56364882532;999;i
QC;enfgho999i;p0p100;2004;2704.69265952786;999;i
QC;enfgho999i;p0p100;2005;2740.89609120731;999;i
QC;enfgho999i;p0p100;2006;2773.64218064366;999;i
QC;enfgho999i;p0p100;2007;2776.18089568773;999;i
QC;enfgho999i;p0p100;2008;2752.93936137525;999;i
QC;enfgho999i;p0p100;2009;2680.72719398474;999;i
QC;enfgho999i;p0p100;2010;2709.78133578746;999;i
QC;enfgho999i;p0p100;2011;2727.86160253763;999;i
QC;enfgho999i;p0p100;2012;2705.88755866406;999;i
QC;enfgho999i;p0p100;2013;2731.43032923627;999;i
QC;enfgho999i;p0p100;2014;2740.34822515779;999;i
QC;enfgho999i;p0p100;2015;2762.81167555346;999;i
QC;enfgho999i;p0p100;2016;2710.3841698196;999;i
QC;enfgho999i;p0p100;2017;2706.29352449284;999;i
QC;enfgho999i;p0p100;2018;2729.31167675925;999;i
QC;enfgho999i;p0p100;2019;2690.93250892066;999;i
QC;enfgho999i;p0p100;2020;2482.15197401351;999;i
QC;kntcar999i;p0p100;1980;10.6455726623535;999;i
QC;kntcar999i;p0p100;1981;10.1357154846191;999;i
QC;kntcar999i;p0p100;1982;9.51197719573975;999;i
QC;kntcar999i;p0p100;1983;9.32262516021729;999;i
QC;kntcar999i;p0p100;1984;9.45071983337402;999;i
QC;kntcar999i;p0p100;1985;9.3176155090332;999;i
QC;kntcar999i;p0p100;1986;9.15012550354004;999;i
QC;kntcar999i;p0p100;1987;9.39538097381592;999;i
QC;kntcar999i;p0p100;1988;9.63251113891602;999;i
QC;kntcar999i;p0p100;1989;9.62715148925781;999;i
QC;kntcar999i;p0p100;1990;9.10260009765625;999;i
QC;kntcar999i;p0p100;1991;8.90270614624023;999;i
QC;kntcar999i;p0p100;1992;8.94692134857178;999;i
QC;kntcar999i;p0p100;1993;8.99319458007812;999;i
QC;kntcar999i;p0p100;1994;9.05066108703613;999;i
