country;variable;percentile;year;value;age;pop
QD;enncar999i;p0p100;1990;-347.582828981686;999;i
QD;enncar999i;p0p100;1991;-328.903355716332;999;i
QD;enncar999i;p0p100;1992;-948.629579021887;999;i
QD;enncar999i;p0p100;1993;-604.534490346334;999;i
QD;enncar999i;p0p100;1994;-509.406761541279;999;i
QD;enncar999i;p0p100;1995;-493.593971889536;999;i
QD;enncar999i;p0p100;1996;-363.711058460583;999;i
QD;enncar999i;p0p100;1997;-459.574347156084;999;i
QD;enncar999i;p0p100;1998;-723.451229339413;999;i
QD;enncar999i;p0p100;1999;-680.024916219854;999;i
QD;enncar999i;p0p100;2000;-767.922648572929;999;i
QD;enncar999i;p0p100;2001;-682.010474126071;999;i
QD;enncar999i;p0p100;2002;-763.676356094255;999;i
QD;enncar999i;p0p100;2003;-838.730051493864;999;i
QD;enncar999i;p0p100;2004;-1021.23957811395;999;i
QD;enncar999i;p0p100;2005;-1124.60307458445;999;i
QD;enncar999i;p0p100;2006;-1389.04639235589;999;i
QD;enncar999i;p0p100;2007;-1368.87073283986;999;i
QD;enncar999i;p0p100;2008;-1331.50935813212;999;i
QD;enncar999i;p0p100;2009;-1265.89031536656;999;i
QD;enncar999i;p0p100;2010;-1354.26003635532;999;i
QD;enncar999i;p0p100;2011;-1467.08567244553;999;i
QD;enncar999i;p0p100;2012;-1357.3930571;999;i
QD;enncar999i;p0p100;2013;-1274.70121295888;999;i
QD;enncar999i;p0p100;2014;-1284.24922279489;999;i
QD;enncar999i;p0p100;2015;-1217.33338610522;999;i
QD;enncar999i;p0p100;2016;-1097.41398595165;999;i
QD;enncar999i;p0p100;2017;-1137.02213420437;999;i
QD;enncar999i;p0p100;2018;-1213.01989029841;999;i
QD;enncar999i;p0p100;2019;-1238.94183495639;999;i
QD;enncar999i;p0p100;2020;-1226.46941435083;999;i
QD;khfghn999i;p0p100;1990;1.49661660194397;999;i
QD;khfghn999i;p0p100;1991;1.56956088542938;999;i
QD;khfghn999i;p0p100;1992;1.40952122211456;999;i
QD;khfghn999i;p0p100;1993;1.41117680072784;999;i
QD;khfghn999i;p0p100;1994;1.40652143955231;999;i
QD;khfghn999i;p0p100;1995;1.4390219449997;999;i
QD;khfghn999i;p0p100;1996;1.49169600009918;999;i
QD;khfghn999i;p0p100;1997;1.51964783668518;999;i
QD;khfghn999i;p0p100;1998;1.39788627624512;999;i
QD;khfghn999i;p0p100;1999;1.41729485988617;999;i
QD;khfghn999i;p0p100;2000;1.43307459354401;999;i
QD;khfghn999i;p0p100;2001;1.43127369880676;999;i
QD;khfghn999i;p0p100;2002;1.44952142238617;999;i
QD;khfghn999i;p0p100;2003;1.50572609901428;999;i
QD;khfghn999i;p0p100;2004;1.56204283237457;999;i
QD;khfghn999i;p0p100;2005;1.62702751159668;999;i
QD;khfghn999i;p0p100;2006;1.66904449462891;999;i
QD;khfghn999i;p0p100;2007;1.69910216331482;999;i
QD;khfghn999i;p0p100;2008;1.74696254730225;999;i
QD;khfghn999i;p0p100;2009;1.7608847618103;999;i
QD;khfghn999i;p0p100;2010;1.82434046268463;999;i
QD;khfghn999i;p0p100;2011;1.91255795955658;999;i
QD;khfghn999i;p0p100;2012;1.99588680267334;999;i
QD;khfghn999i;p0p100;2013;1.97115314006805;999;i
QD;khfghn999i;p0p100;2014;1.96695828437805;999;i
QD;khfghn999i;p0p100;2015;1.94168341159821;999;i
QD;khfghn999i;p0p100;2016;1.95814621448517;999;i
QD;khfghn999i;p0p100;2017;1.983442902565;999;i
QD;khfghn999i;p0p100;2018;2.01924657821655;999;i
QD;khfghn999i;p0p100;2019;2.03254175186157;999;i
QD;khfghn999i;p0p100;2020;1.93886852264404;999;i
QD;khfgho999i;p0p100;1990;0.553185880184174;999;i
QD;khfgho999i;p0p100;1991;0.579504132270813;999;i
QD;khfgho999i;p0p100;1992;0.561305582523346;999;i
QD;khfgho999i;p0p100;1993;0.54533463716507;999;i
QD;khfgho999i;p0p100;1994;0.530092179775238;999;i
QD;khfgho999i;p0p100;1995;0.53701514005661;999;i
QD;khfgho999i;p0p100;1996;0.544953525066376;999;i
QD;khfgho999i;p0p100;1997;0.492472350597382;999;i
QD;khfgho999i;p0p100;1998;0.507708728313446;999;i
QD;khfgho999i;p0p100;1999;0.515393912792206;999;i
QD;khfgho999i;p0p100;2000;0.515706896781921;999;i
QD;khfgho999i;p0p100;2001;0.508507966995239;999;i
QD;khfgho999i;p0p100;2002;0.506373882293701;999;i
QD;khfgho999i;p0p100;2003;0.519139587879181;999;i
QD;khfgho999i;p0p100;2004;0.524732232093811;999;i
QD;khfgho999i;p0p100;2005;0.532760918140411;999;i
QD;khfgho999i;p0p100;2006;0.538735091686249;999;i
QD;khfgho999i;p0p100;2007;0.536920666694641;999;i
QD;khfgho999i;p0p100;2008;0.543797373771667;999;i
QD;khfgho999i;p0p100;2009;0.547185361385345;999;i
QD;khfgho999i;p0p100;2010;0.549897372722626;999;i
QD;khfgho999i;p0p100;2011;0.564377903938293;999;i
QD;khfgho999i;p0p100;2012;0.575102090835571;999;i
QD;khfgho999i;p0p100;2013;0.57249253988266;999;i
QD;khfgho999i;p0p100;2014;0.568935930728912;999;i
QD;khfgho999i;p0p100;2015;0.568300068378448;999;i
QD;khfgho999i;p0p100;2016;0.57759028673172;999;i
QD;khfgho999i;p0p100;2017;0.586845755577087;999;i
QD;khfgho999i;p0p100;2018;0.601857662200928;999;i
