country;variable;percentile;year;value;age;pop
QE-MER;ahweal992j;p36p37;1995;11231.1;992;j
QE-MER;ahweal992j;p36p37;1996;11474.7;992;j
QE-MER;ahweal992j;p36p37;1997;11426.3;992;j
QE-MER;ahweal992j;p36p37;1998;12106.3;992;j
QE-MER;ahweal992j;p36p37;1999;12684.5;992;j
QE-MER;ahweal992j;p36p37;2000;13262.7;992;j
QE-MER;ahweal992j;p36p37;2001;13523.9;992;j
QE-MER;ahweal992j;p36p37;2002;13384.1;992;j
QE-MER;ahweal992j;p36p37;2003;14256.5;992;j
QE-MER;ahweal992j;p36p37;2004;15161.6;992;j
QE-MER;ahweal992j;p36p37;2005;15759.6;992;j
QE-MER;ahweal992j;p36p37;2006;15703.7;992;j
QE-MER;ahweal992j;p36p37;2007;15781.3;992;j
QE-MER;ahweal992j;p36p37;2008;15762.1;992;j
QE-MER;ahweal992j;p36p37;2009;14774.0;992;j
QE-MER;ahweal992j;p36p37;2010;14327.5;992;j
QE-MER;ahweal992j;p36p37;2011;14508.5;992;j
QE-MER;ahweal992j;p36p37;2012;14217.4;992;j
QE-MER;ahweal992j;p36p37;2013;14272.5;992;j
QE-MER;ahweal992j;p36p37;2014;14533.0;992;j
QE-MER;ahweal992j;p36p37;2015;15588.0;992;j
QE-MER;ahweal992j;p36p37;2016;16366.3;992;j
QE-MER;ahweal992j;p36p37;2017;17034.6;992;j
QE-MER;ahweal992j;p36p37;2018;17978.6;992;j
QE-MER;ahweal992j;p36p37;2019;18768.0;992;j
QE-MER;ahweal992j;p36p37;2020;18703.2;992;j
QE-MER;ahweal992j;p36p37;2021;19895.3;992;j
QE-MER;aptinc992j;p4p5;1980;0.0;992;j
QE-MER;aptinc992j;p4p5;1981;0.0;992;j
QE-MER;aptinc992j;p4p5;1982;0.0;992;j
QE-MER;aptinc992j;p4p5;1983;0.0;992;j
QE-MER;aptinc992j;p4p5;1984;0.0;992;j
QE-MER;aptinc992j;p4p5;1985;0.0;992;j
QE-MER;aptinc992j;p4p5;1986;0.0;992;j
QE-MER;aptinc992j;p4p5;1987;0.0;992;j
QE-MER;aptinc992j;p4p5;1988;0.0;992;j
QE-MER;aptinc992j;p4p5;1989;0.0;992;j
QE-MER;aptinc992j;p4p5;1990;0.0;992;j
QE-MER;aptinc992j;p4p5;1991;0.0;992;j
QE-MER;aptinc992j;p4p5;1992;0.2;992;j
QE-MER;aptinc992j;p4p5;1993;0.0;992;j
QE-MER;aptinc992j;p4p5;1994;0.0;992;j
QE-MER;aptinc992j;p4p5;1995;0.0;992;j
QE-MER;aptinc992j;p4p5;1996;0.0;992;j
QE-MER;aptinc992j;p4p5;1997;0.0;992;j
QE-MER;aptinc992j;p4p5;1998;0.0;992;j
QE-MER;aptinc992j;p4p5;1999;0.0;992;j
QE-MER;aptinc992j;p4p5;2000;0.0;992;j
QE-MER;aptinc992j;p4p5;2001;0.0;992;j
QE-MER;aptinc992j;p4p5;2002;0.0;992;j
QE-MER;aptinc992j;p4p5;2003;0.0;992;j
QE-MER;aptinc992j;p4p5;2004;0.0;992;j
QE-MER;aptinc992j;p4p5;2005;0.0;992;j
QE-MER;aptinc992j;p4p5;2006;0.0;992;j
QE-MER;aptinc992j;p4p5;2007;0.0;992;j
QE-MER;aptinc992j;p4p5;2008;0.0;992;j
QE-MER;aptinc992j;p4p5;2009;0.0;992;j
QE-MER;aptinc992j;p4p5;2010;0.0;992;j
QE-MER;aptinc992j;p4p5;2011;0.0;992;j
QE-MER;aptinc992j;p4p5;2012;0.0;992;j
QE-MER;aptinc992j;p4p5;2013;0.0;992;j
QE-MER;aptinc992j;p4p5;2014;0.0;992;j
QE-MER;aptinc992j;p4p5;2015;0.0;992;j
QE-MER;aptinc992j;p4p5;2016;0.1;992;j
QE-MER;aptinc992j;p4p5;2017;0.2;992;j
QE-MER;aptinc992j;p4p5;2018;0.0;992;j
QE-MER;aptinc992j;p4p5;2019;0.1;992;j
QE-MER;aptinc992j;p4p5;2020;0.1;992;j
QE-MER;aptinc992j;p4p5;2021;0.0;992;j
QE-MER;aptinc992j;p73p74;1980;27634.7;992;j
QE-MER;aptinc992j;p73p74;1981;27887.7;992;j
QE-MER;aptinc992j;p73p74;1982;27856.8;992;j
QE-MER;aptinc992j;p73p74;1983;27835.1;992;j
QE-MER;aptinc992j;p73p74;1984;28543.5;992;j
QE-MER;aptinc992j;p73p74;1985;28945.3;992;j
QE-MER;aptinc992j;p73p74;1986;29349.5;992;j
QE-MER;aptinc992j;p73p74;1987;29563.4;992;j
QE-MER;aptinc992j;p73p74;1988;30249.5;992;j
QE-MER;aptinc992j;p73p74;1989;31022.8;992;j
QE-MER;aptinc992j;p73p74;1990;31276.7;992;j
QE-MER;aptinc992j;p73p74;1991;31251.1;992;j
QE-MER;aptinc992j;p73p74;1992;31233.7;992;j
QE-MER;aptinc992j;p73p74;1993;30836.4;992;j
QE-MER;aptinc992j;p73p74;1994;31332.9;992;j
QE-MER;aptinc992j;p73p74;1995;32341.4;992;j
QE-MER;aptinc992j;p73p74;1996;32307.2;992;j
QE-MER;aptinc992j;p73p74;1997;32885.9;992;j
QE-MER;aptinc992j;p73p74;1998;33668.5;992;j
QE-MER;aptinc992j;p73p74;1999;34676.9;992;j
QE-MER;aptinc992j;p73p74;2000;35492.0;992;j
QE-MER;aptinc992j;p73p74;2001;35934.4;992;j
QE-MER;aptinc992j;p73p74;2002;35838.9;992;j
QE-MER;aptinc992j;p73p74;2003;36028.6;992;j
QE-MER;aptinc992j;p73p74;2004;36711.9;992;j
QE-MER;aptinc992j;p73p74;2005;36890.2;992;j
QE-MER;aptinc992j;p73p74;2006;37758.2;992;j
QE-MER;aptinc992j;p73p74;2007;37927.8;992;j
QE-MER;aptinc992j;p73p74;2008;38233.4;992;j
QE-MER;aptinc992j;p73p74;2009;36745.4;992;j
QE-MER;aptinc992j;p73p74;2010;37204.3;992;j
QE-MER;aptinc992j;p73p74;2011;37324.3;992;j
QE-MER;aptinc992j;p73p74;2012;36484.2;992;j
QE-MER;aptinc992j;p73p74;2013;36437.9;992;j
QE-MER;aptinc992j;p73p74;2014;36811.3;992;j
QE-MER;aptinc992j;p73p74;2015;37438.2;992;j
QE-MER;aptinc992j;p73p74;2016;37862.6;992;j
QE-MER;aptinc992j;p73p74;2017;38712.4;992;j
QE-MER;aptinc992j;p73p74;2018;39424.4;992;j
QE-MER;aptinc992j;p73p74;2019;39460.8;992;j
QE-MER;aptinc992j;p73p74;2020;36709.9;992;j
QE-MER;aptinc992j;p73p74;2021;38683.8;992;j
QE-MER;aptinc992j;p80p81;1980;32792.0;992;j
QE-MER;aptinc992j;p80p81;1981;32975.6;992;j
QE-MER;aptinc992j;p80p81;1982;32747.1;992;j
QE-MER;aptinc992j;p80p81;1983;32940.9;992;j
QE-MER;aptinc992j;p80p81;1984;33657.9;992;j
QE-MER;aptinc992j;p80p81;1985;34021.6;992;j
QE-MER;aptinc992j;p80p81;1986;34676.0;992;j
QE-MER;aptinc992j;p80p81;1987;34934.0;992;j
QE-MER;aptinc992j;p80p81;1988;35743.7;992;j
QE-MER;aptinc992j;p80p81;1989;36596.7;992;j
QE-MER;aptinc992j;p80p81;1990;37111.7;992;j
QE-MER;aptinc992j;p80p81;1991;37142.3;992;j
QE-MER;aptinc992j;p80p81;1992;37235.4;992;j
QE-MER;aptinc992j;p80p81;1993;36783.8;992;j
QE-MER;aptinc992j;p80p81;1994;37547.4;992;j
QE-MER;aptinc992j;p80p81;1995;38470.6;992;j
QE-MER;aptinc992j;p80p81;1996;38522.2;992;j
QE-MER;aptinc992j;p80p81;1997;39324.4;992;j
QE-MER;aptinc992j;p80p81;1998;40173.6;992;j
QE-MER;aptinc992j;p80p81;1999;41419.1;992;j
QE-MER;aptinc992j;p80p81;2000;42378.2;992;j
QE-MER;aptinc992j;p80p81;2001;43067.0;992;j
QE-MER;aptinc992j;p80p81;2002;42795.3;992;j
QE-MER;aptinc992j;p80p81;2003;43085.8;992;j
QE-MER;aptinc992j;p80p81;2004;43616.9;992;j
QE-MER;aptinc992j;p80p81;2005;44038.0;992;j
QE-MER;aptinc992j;p80p81;2006;45038.9;992;j
QE-MER;aptinc992j;p80p81;2007;45709.5;992;j
QE-MER;aptinc992j;p80p81;2008;46170.4;992;j
QE-MER;aptinc992j;p80p81;2009;44351.6;992;j
QE-MER;aptinc992j;p80p81;2010;44440.7;992;j
QE-MER;aptinc992j;p80p81;2011;44665.6;992;j
