country;variable;percentile;year;value;age;pop
QE;entcar999i;p0p100;1980;5050.682;999;i
QE;entcar999i;p0p100;1981;4816.426;999;i
QE;entcar999i;p0p100;1982;4677.036;999;i
QE;entcar999i;p0p100;1983;4641.18;999;i
QE;entcar999i;p0p100;1984;4674.275;999;i
QE;entcar999i;p0p100;1985;4757.8;999;i
QE;entcar999i;p0p100;1986;4761.039;999;i
QE;entcar999i;p0p100;1987;4798.252;999;i
QE;entcar999i;p0p100;1988;4797.52;999;i
QE;entcar999i;p0p100;1989;4858.375;999;i
QE;entcar999i;p0p100;1990;4691.597293408;999;i
QE;entcar999i;p0p100;1991;4609.90953304;999;i
QE;entcar999i;p0p100;1992;4450.047761392;999;i
QE;entcar999i;p0p100;1993;4346.950293824;999;i
QE;entcar999i;p0p100;1994;4324.398925904;999;i
QE;entcar999i;p0p100;1995;4367.877753584;999;i
QE;entcar999i;p0p100;1996;4485.95706992;999;i
QE;entcar999i;p0p100;1997;4401.337146784;999;i
QE;entcar999i;p0p100;1998;4405.820573504;999;i
QE;entcar999i;p0p100;1999;4324.982310592;999;i
QE;entcar999i;p0p100;2000;4346.826321696;999;i
QE;entcar999i;p0p100;2001;4418.72497224;999;i
QE;entcar999i;p0p100;2002;4407.442069712;999;i
QE;entcar999i;p0p100;2003;4508.027545456;999;i
QE;entcar999i;p0p100;2004;4527.327036256;999;i
QE;entcar999i;p0p100;2005;4503.38345296;999;i
QE;entcar999i;p0p100;2006;4512.230173984;999;i
QE;entcar999i;p0p100;2007;4464.534664112;999;i
QE;entcar999i;p0p100;2008;4369.213248864;999;i
QE;entcar999i;p0p100;2009;4018.060369536;999;i
QE;entcar999i;p0p100;2010;4144.092948384;999;i
QE;entcar999i;p0p100;2011;3997.586065328;999;i
QE;entcar999i;p0p100;2012;3932.443717008;999;i
QE;entcar999i;p0p100;2013;3840.63810216;999;i
QE;entcar999i;p0p100;2014;3658.313836736;999;i
QE;entcar999i;p0p100;2015;3704.308427888;999;i
QE;entcar999i;p0p100;2016;3688.497180832;999;i
QE;entcar999i;p0p100;2017;3703.811171008;999;i
QE;entcar999i;p0p100;2018;3622.29424816;999;i
QE;entcar999i;p0p100;2019;3479.9194869225;999;i
QE;entcar999i;p0p100;2020;3128.31387869569;999;i
QE;kntgho999i;p0p100;1980;2.80470705032349;999;i
QE;kntgho999i;p0p100;1981;2.75365114212036;999;i
QE;kntgho999i;p0p100;1982;2.74007153511047;999;i
QE;kntgho999i;p0p100;1983;2.71413660049439;999;i
QE;kntgho999i;p0p100;1984;2.68295931816101;999;i
QE;kntgho999i;p0p100;1985;2.69917488098144;999;i
QE;kntgho999i;p0p100;1986;2.6726016998291;999;i
QE;kntgho999i;p0p100;1987;2.61679792404175;999;i
QE;kntgho999i;p0p100;1988;2.59064745903015;999;i
QE;kntgho999i;p0p100;1989;2.57794237136841;999;i
QE;kntgho999i;p0p100;1990;2.50039792060852;999;i
QE;kntgho999i;p0p100;1991;2.39875841140747;999;i
QE;kntgho999i;p0p100;1992;2.29960203170776;999;i
QE;kntgho999i;p0p100;1993;2.26115083694458;999;i
QE;kntgho999i;p0p100;1994;2.22792911529541;999;i
QE;kntgho999i;p0p100;1995;2.24720120429993;999;i
QE;kntgho999i;p0p100;1996;2.26716542243958;999;i
