country;variable;percentile;year;value;age;pop
QF-MER;bptinc992j;p2p100;1981;-10803.8154296875;992;j
QF-MER;bptinc992j;p2p100;1985;-6388324.5;992;j
QF-MER;bptinc992j;p2p100;1986;-46658.35546875;992;j
QF-MER;bptinc992j;p2p100;1987;-39747.64453125;992;j
QF-MER;bptinc992j;p2p100;1988;-5053007.5;992;j
QF-MER;bptinc992j;p2p100;1990;-2123924.0;992;j
QF-MER;bptinc992j;p2p100;1994;-4249497.0;992;j
QF-MER;bptinc992j;p2p100;1999;-2249913.25;992;j
QF-MER;bptinc992j;p2p100;2000;-487805.71875;992;j
QF-MER;bptinc992j;p2p100;2001;-182954.875;992;j
QF-MER;bptinc992j;p2p100;2004;-48377.9921875;992;j
QF-MER;bptinc992j;p2p100;2006;-719581.1875;992;j
QF-MER;bptinc992j;p2p100;2007;-1680841.875;992;j
QF-MER;bptinc992j;p2p100;2008;-87690.21875;992;j
QF-MER;bptinc992j;p2p100;2009;-120382.3203125;992;j
QF-MER;bptinc992j;p2p100;2011;-141492.109375;992;j
QF-MER;bptinc992j;p2p100;2012;-3278807.75;992;j
QF-MER;bptinc992j;p2p100;2014;-49549.6328125;992;j
QF-MER;bptinc992j;p2p100;2015;-1870311.625;992;j
QF-MER;bptinc992j;p2p100;2018;-431149.0;992;j
QF-MER;ahweal992j;p6p7;1995;-3350.8;992;j
QF-MER;ahweal992j;p6p7;1996;-3386.5;992;j
QF-MER;ahweal992j;p6p7;1997;-2390.2;992;j
QF-MER;ahweal992j;p6p7;1998;-2399.8;992;j
QF-MER;ahweal992j;p6p7;1999;-2551.4;992;j
QF-MER;ahweal992j;p6p7;2000;-2715.4;992;j
QF-MER;ahweal992j;p6p7;2001;-2821.9;992;j
QF-MER;ahweal992j;p6p7;2002;-2938.8;992;j
QF-MER;ahweal992j;p6p7;2003;-3171.3;992;j
QF-MER;ahweal992j;p6p7;2004;-3447.0;992;j
QF-MER;ahweal992j;p6p7;2005;-3679.3;992;j
QF-MER;ahweal992j;p6p7;2006;-3795.7;992;j
QF-MER;ahweal992j;p6p7;2007;-4082.8;992;j
QF-MER;ahweal992j;p6p7;2008;-4123.1;992;j
QF-MER;ahweal992j;p6p7;2009;-3751.7;992;j
QF-MER;ahweal992j;p6p7;2010;-3806.7;992;j
QF-MER;ahweal992j;p6p7;2011;-3805.7;992;j
QF-MER;ahweal992j;p6p7;2012;-3643.1;992;j
QF-MER;ahweal992j;p6p7;2013;-3663.2;992;j
QF-MER;ahweal992j;p6p7;2014;-3872.4;992;j
QF-MER;ahweal992j;p6p7;2015;-4185.5;992;j
QF-MER;ahweal992j;p6p7;2016;-4501.9;992;j
QF-MER;ahweal992j;p6p7;2017;-4593.2;992;j
QF-MER;ahweal992j;p6p7;2018;-4732.2;992;j
QF-MER;ahweal992j;p6p7;2019;-4634.5;992;j
QF-MER;ahweal992j;p6p7;2020;-4761.3;992;j
QF-MER;ahweal992j;p6p7;2021;-4921.7;992;j
QF-MER;ahweal992j;p99.9p99.91;1995;4148981.6;992;j
QF-MER;ahweal992j;p99.9p99.91;1996;4131863.5;992;j
QF-MER;ahweal992j;p99.9p99.91;1997;4359656.6;992;j
QF-MER;ahweal992j;p99.9p99.91;1998;4466923.1;992;j
QF-MER;ahweal992j;p99.9p99.91;1999;4948188.4;992;j
QF-MER;ahweal992j;p99.9p99.91;2000;5154186.3;992;j
QF-MER;ahweal992j;p99.9p99.91;2001;5255436.4;992;j
QF-MER;ahweal992j;p99.9p99.91;2002;5468692.8;992;j
QF-MER;ahweal992j;p99.9p99.91;2003;5978567.2;992;j
QF-MER;ahweal992j;p99.9p99.91;2004;6551180.0;992;j
QF-MER;ahweal992j;p99.9p99.91;2005;6977695.4;992;j
QF-MER;ahweal992j;p99.9p99.91;2006;7375512.2;992;j
QF-MER;ahweal992j;p99.9p99.91;2007;7695340.7;992;j
