country;variable;percentile;year;value;age;pop
QF;ehfgho999i;p0p100;1990;84.2812227210831;999;i
QF;ehfgho999i;p0p100;1991;83.6934559039369;999;i
QF;ehfgho999i;p0p100;1992;81.5336476282596;999;i
QF;ehfgho999i;p0p100;1993;79.7470521550885;999;i
QF;ehfgho999i;p0p100;1994;79.3964103224528;999;i
QF;ehfgho999i;p0p100;1995;75.589377153284;999;i
QF;ehfgho999i;p0p100;1996;77.2318397208412;999;i
QF;ehfgho999i;p0p100;1997;80.1245864718298;999;i
QF;ehfgho999i;p0p100;1998;83.0595516206054;999;i
QF;ehfgho999i;p0p100;1999;82.0143877236516;999;i
QF;ehfgho999i;p0p100;2000;84.3675141088723;999;i
QF;ehfgho999i;p0p100;2001;79.8987345268132;999;i
QF;ehfgho999i;p0p100;2002;81.1930660705498;999;i
QF;ehfgho999i;p0p100;2003;80.0676740076471;999;i
QF;ehfgho999i;p0p100;2004;82.7033502584532;999;i
QF;ehfgho999i;p0p100;2005;83.2383735964679;999;i
QF;ehfgho999i;p0p100;2006;82.5879444065246;999;i
QF;ehfgho999i;p0p100;2007;76.7998951121375;999;i
QF;ehfgho999i;p0p100;2008;69.4945458607838;999;i
QF;ehfgho999i;p0p100;2009;71.2102072220392;999;i
QF;ehfgho999i;p0p100;2010;72.2139004551729;999;i
QF;ehfgho999i;p0p100;2011;75.331825537524;999;i
QF;ehfgho999i;p0p100;2012;76.2990444409588;999;i
QF;ehfgho999i;p0p100;2013;75.484292594979;999;i
QF;ehfgho999i;p0p100;2014;75.4265312020805;999;i
QF;ehfgho999i;p0p100;2015;75.6043147742008;999;i
QF;ehfgho999i;p0p100;2016;73.8154854958904;999;i
QF;ehfgho999i;p0p100;2017;74.9075786366058;999;i
QF;ehfgho999i;p0p100;2018;73.4223741062559;999;i
QF;ehfgho999i;p0p100;2019;74.0520028161078;999;i
QF;ehfgho999i;p0p100;2020;66.8032879195859;999;i
QF;knngho999i;p0p100;1990;-1.1995267868042;999;i
QF;knngho999i;p0p100;1991;-1.25512766838074;999;i
QF;knngho999i;p0p100;1992;-1.34854447841644;999;i
QF;knngho999i;p0p100;1993;-1.39191091060638;999;i
QF;knngho999i;p0p100;1994;-1.20473301410675;999;i
QF;knngho999i;p0p100;1995;-1.11897230148315;999;i
QF;knngho999i;p0p100;1996;-1.09752297401428;999;i
QF;knngho999i;p0p100;1997;-1.17564702033997;999;i
QF;knngho999i;p0p100;1998;-1.09505724906921;999;i
QF;knngho999i;p0p100;1999;-0.996002972126007;999;i
QF;knngho999i;p0p100;2000;-1.14093601703644;999;i
QF;knngho999i;p0p100;2001;-1.24259042739868;999;i
QF;knngho999i;p0p100;2002;-1.17490231990814;999;i
QF;knngho999i;p0p100;2003;-0.938174247741699;999;i
QF;knngho999i;p0p100;2004;-0.756379306316376;999;i
QF;knngho999i;p0p100;2005;-0.919048607349396;999;i
QF;knngho999i;p0p100;2006;-0.967127442359924;999;i
QF;knngho999i;p0p100;2007;-0.820310890674591;999;i
QF;knngho999i;p0p100;2008;-1.0277407169342;999;i
QF;knngho999i;p0p100;2009;-0.926566362380981;999;i
QF;knngho999i;p0p100;2010;-0.858646929264069;999;i
QF;knngho999i;p0p100;2011;-0.821339428424835;999;i
QF;knngho999i;p0p100;2012;-0.743041574954987;999;i
QF;knngho999i;p0p100;2013;-0.783234059810638;999;i
QF;knngho999i;p0p100;2014;-0.794583380222321;999;i
QF;knngho999i;p0p100;2015;-0.739828169345856;999;i
QF;knngho999i;p0p100;2016;-0.849491119384766;999;i
QF;knngho999i;p0p100;2017;-0.890998303890228;999;i
QF;knngho999i;p0p100;2018;-0.973503232002258;999;i
QF;knngho999i;p0p100;2019;-0.982092440128326;999;i
QF;knngho999i;p0p100;2020;-0.874176144599915;999;i
QF;kntcna999i;p0p100;1990;9.99394989013672;999;i
QF;kntcna999i;p0p100;1991;9.9116678237915;999;i
QF;kntcna999i;p0p100;1992;9.99157810211182;999;i
QF;kntcna999i;p0p100;1993;9.98596382141113;999;i
QF;kntcna999i;p0p100;1994;10.0065956115723;999;i
QF;kntcna999i;p0p100;1995;10.2201080322266;999;i
QF;kntcna999i;p0p100;1996;10.3205900192261;999;i
QF;kntcna999i;p0p100;1997;10.4908771514893;999;i
QF;kntcna999i;p0p100;1998;10.7289438247681;999;i
QF;kntcna999i;p0p100;1999;10.9043827056885;999;i
QF;kntcna999i;p0p100;2000;10.9557952880859;999;i
QF;kntcna999i;p0p100;2001;11.0697145462036;999;i
QF;kntcna999i;p0p100;2002;11.0540819168091;999;i
QF;kntcna999i;p0p100;2003;11.1581535339356;999;i
QF;kntcna999i;p0p100;2004;11.370418548584;999;i
QF;kntcna999i;p0p100;2005;11.3567657470703;999;i
QF;kntcna999i;p0p100;2006;11.3638715744019;999;i
QF;kntcna999i;p0p100;2007;11.3406028747559;999;i
QF;kntcna999i;p0p100;2008;11.2855396270752;999;i
QF;kntcna999i;p0p100;2009;11.0765857696533;999;i
QF;kntcna999i;p0p100;2010;10.8521976470947;999;i
