country;variable;percentile;year;value;age;pop
QG;entgho999i;p0p100;1980;171.8;999;i
QG;entgho999i;p0p100;1981;167.0;999;i
QG;entgho999i;p0p100;1982;173.1;999;i
QG;entgho999i;p0p100;1983;173.1;999;i
QG;entgho999i;p0p100;1984;175.5;999;i
QG;entgho999i;p0p100;1985;183.4;999;i
QG;entgho999i;p0p100;1986;184.2;999;i
QG;entgho999i;p0p100;1987;181.0;999;i
QG;entgho999i;p0p100;1988;181.2;999;i
QG;entgho999i;p0p100;1989;189.1;999;i
QG;entgho999i;p0p100;1990;186.2;999;i
QG;entgho999i;p0p100;1991;186.3;999;i
QG;entgho999i;p0p100;1992;184.5;999;i
QG;entgho999i;p0p100;1993;181.7;999;i
QG;entgho999i;p0p100;1994;177.8;999;i
QG;entgho999i;p0p100;1995;174.4;999;i
QG;entgho999i;p0p100;1996;176.2;999;i
QG;entgho999i;p0p100;1997;181.0;999;i
QG;entgho999i;p0p100;1998;180.3;999;i
QG;entgho999i;p0p100;1999;176.6;999;i
QG;entgho999i;p0p100;2000;182.8;999;i
QG;entgho999i;p0p100;2001;183.7;999;i
QG;entgho999i;p0p100;2002;183.9;999;i
QG;entgho999i;p0p100;2003;177.3;999;i
QG;entgho999i;p0p100;2004;182.4;999;i
QG;entgho999i;p0p100;2005;184.7;999;i
QG;entgho999i;p0p100;2006;184.0;999;i
QG;entgho999i;p0p100;2007;181.9;999;i
QG;entgho999i;p0p100;2008;180.0;999;i
QG;entgho999i;p0p100;2009;180.0;999;i
QG;entgho999i;p0p100;2010;179.3;999;i
QG;entgho999i;p0p100;2011;183.7;999;i
QG;entgho999i;p0p100;2012;183.4;999;i
QG;entgho999i;p0p100;2013;182.5;999;i
QG;entgho999i;p0p100;2014;183.0;999;i
QG;entgho999i;p0p100;2015;182.6;999;i
QG;entgho999i;p0p100;2016;183.3;999;i
QG;entgho999i;p0p100;2017;187.5;999;i
QG;entgho999i;p0p100;2018;187.8;999;i
QG;entgho999i;p0p100;2019;187.914082114575;999;i
QG;entgho999i;p0p100;2020;169.122673903118;999;i
QG;kntcna999i;p0p100;1990;13.3832960128784;999;i
QG;kntcna999i;p0p100;1991;13.3015232086182;999;i
QG;kntcna999i;p0p100;1992;13.4405097961426;999;i
QG;kntcna999i;p0p100;1993;13.4710655212402;999;i
QG;kntcna999i;p0p100;1994;13.5360431671143;999;i
QG;kntcna999i;p0p100;1995;13.8601741790772;999;i
QG;kntcna999i;p0p100;1996;14.0316314697266;999;i
QG;kntcna999i;p0p100;1997;14.3050632476807;999;i
QG;kntcna999i;p0p100;1998;14.6753911972046;999;i
QG;kntcna999i;p0p100;1999;14.9557199478149;999;i
QG;kntcna999i;p0p100;2000;15.0602684020996;999;i
QG;kntcna999i;p0p100;2001;15.2406749725342;999;i
QG;kntcna999i;p0p100;2002;15.2433824539185;999;i
QG;kntcna999i;p0p100;2003;15.4090051651001;999;i
QG;kntcna999i;p0p100;2004;15.7293920516968;999;i
QG;kntcna999i;p0p100;2005;15.7366495132446;999;i
QG;kntcna999i;p0p100;2006;15.7729473114014;999;i
QG;kntcna999i;p0p100;2007;15.7534446716309;999;i
QG;kntcna999i;p0p100;2008;15.6847124099731;999;i
QG;kntcna999i;p0p100;2009;15.3986301422119;999;i
QG;kntcna999i;p0p100;2010;15.1057786941528;999;i
QG;kntcna999i;p0p100;2011;14.8277568817139;999;i
QG;kntcna999i;p0p100;2012;14.7269849777222;999;i
QG;kntcna999i;p0p100;2013;14.1435527801514;999;i
QG;kntcna999i;p0p100;2014;13.797643661499;999;i
QG;kntcna999i;p0p100;2015;13.8608732223511;999;i
QG;kntcna999i;p0p100;2016;13.9331960678101;999;i
QG;kntcna999i;p0p100;2017;13.9406509399414;999;i
QG;kntcna999i;p0p100;2018;13.7694826126099;999;i
QG;kntcna999i;p0p100;2019;13.5026140213013;999;i
QG;kntcna999i;p0p100;2020;12.0177803039551;999;i
QG;knfgho999i;p0p100;1990;7.49924516677856;999;i
QG;knfgho999i;p0p100;1991;7.30344820022583;999;i
QG;knfgho999i;p0p100;1992;6.98460960388184;999;i
QG;knfgho999i;p0p100;1993;6.71354675292969;999;i
QG;knfgho999i;p0p100;1994;6.69023752212524;999;i
QG;knfgho999i;p0p100;1995;6.58119297027588;999;i
QG;knfgho999i;p0p100;1996;6.58629274368286;999;i
QG;knfgho999i;p0p100;1997;6.61132144927979;999;i
QG;knfgho999i;p0p100;1998;6.6502537727356;999;i
QG;knfgho999i;p0p100;1999;6.5073413848877;999;i
QG;knfgho999i;p0p100;2000;6.50589275360107;999;i
QG;knfgho999i;p0p100;2001;6.29494905471802;999;i
QG;knfgho999i;p0p100;2002;6.3052339553833;999;i
QG;knfgho999i;p0p100;2003;6.25382661819458;999;i
QG;knfgho999i;p0p100;2004;6.64442110061646;999;i
QG;knfgho999i;p0p100;2005;6.42511940002441;999;i
QG;knfgho999i;p0p100;2006;6.24227714538574;999;i
QG;knfgho999i;p0p100;2007;6.24747133255005;999;i
QG;knfgho999i;p0p100;2008;5.75360536575317;999;i
QG;knfgho999i;p0p100;2009;5.7300615310669;999;i
QG;knfgho999i;p0p100;2010;5.66309499740601;999;i
QG;knfgho999i;p0p100;2011;5.77678537368774;999;i
QG;knfgho999i;p0p100;2012;5.75294923782349;999;i
QG;knfgho999i;p0p100;2013;5.56108665466309;999;i
QG;knfgho999i;p0p100;2014;5.48727560043335;999;i
QG;knfgho999i;p0p100;2015;5.42886114120483;999;i
QG;knfgho999i;p0p100;2016;5.21680498123169;999;i
QG;knfgho999i;p0p100;2017;5.22342824935913;999;i
QG;knfgho999i;p0p100;2018;5.05334568023682;999;i
QG;knfgho999i;p0p100;2019;4.99227237701416;999;i
QG;knfgho999i;p0p100;2020;4.4432897567749;999;i
QG;kntona999i;p0p100;1980;9.62897872924805;999;i
QG;kntona999i;p0p100;1981;9.23259544372559;999;i
QG;kntona999i;p0p100;1982;9.42154312133789;999;i
QG;kntona999i;p0p100;1983;9.30185031890869;999;i
QG;kntona999i;p0p100;1984;9.32398319244385;999;i
QG;kntona999i;p0p100;1985;9.62398815155029;999;i
QG;kntona999i;p0p100;1986;9.53976345062256;999;i
QG;kntona999i;p0p100;1987;9.24666881561279;999;i
QG;kntona999i;p0p100;1988;9.12159061431885;999;i
QG;kntona999i;p0p100;1989;9.37281322479248;999;i
QG;kntona999i;p0p100;1990;9.09921646118164;999;i
QG;kntona999i;p0p100;1991;8.9868860244751;999;i
QG;kntona999i;p0p100;1992;8.79332828521729;999;i
QG;kntona999i;p0p100;1993;8.57104873657227;999;i
QG;kntona999i;p0p100;1994;8.29726505279541;999;i
QG;kntona999i;p0p100;1995;8.04434776306152;999;i
QG;kntona999i;p0p100;1996;8.03021907806396;999;i
QG;kntona999i;p0p100;1997;8.16219806671143;999;i
QG;kntona999i;p0p100;1998;8.05214214324951;999;i
QG;kntona999i;p0p100;1999;7.8036642074585;999;i
QG;kntona999i;p0p100;2000;7.98678731918335;999;i
QG;kntona999i;p0p100;2001;7.92403507232666;999;i
QG;kntona999i;p0p100;2002;7.83940410614014;999;i
QG;kntona999i;p0p100;2003;7.46752500534058;999;i
QG;kntona999i;p0p100;2004;7.59583473205566;999;i
QG;kntona999i;p0p100;2005;7.59700918197632;999;i
QG;kntona999i;p0p100;2006;7.46848583221435;999;i
QG;kntona999i;p0p100;2007;7.25838613510132;999;i
QG;kntona999i;p0p100;2008;7.05125951766968;999;i
QG;kntona999i;p0p100;2009;6.9190878868103;999;i
QG;kntona999i;p0p100;2010;6.79120063781738;999;i
QG;kntona999i;p0p100;2011;6.86505651473999;999;i
QG;kntona999i;p0p100;2012;6.74346256256104;999;i
QG;kntona999i;p0p100;2013;6.60372543334961;999;i
QG;kntona999i;p0p100;2014;6.52573299407959;999;i
QG;kntona999i;p0p100;2015;6.42410707473755;999;i
QG;kntona999i;p0p100;2016;6.36515045166016;999;i
QG;kntona999i;p0p100;2017;6.42994022369385;999;i
QG;kntona999i;p0p100;2018;6.36319446563721;999;i
QG;kntona999i;p0p100;2019;6.29382610321045;999;i
QG;kntona999i;p0p100;2020;5.6017165184021;999;i
QG;entgna999i;p0p100;1990;460.066408845285;999;i
QG;entgna999i;p0p100;1991;462.043309133717;999;i
QG;entgna999i;p0p100;1992;466.506309606593;999;i
QG;entgna999i;p0p100;1993;467.276785604113;999;i
QG;entgna999i;p0p100;1994;467.860435780538;999;i
QG;entgna999i;p0p100;1995;474.886048657806;999;i
QG;entgna999i;p0p100;1996;484.083677249005;999;i
QG;entgna999i;p0p100;1997;498.22048064065;999;i
QG;entgna999i;p0p100;1998;508.904881721834;999;i
QG;entgna999i;p0p100;1999;515.053858480221;999;i
QG;entgna999i;p0p100;2000;527.49643620261;999;i
QG;entgna999i;p0p100;2001;537.01899478994;999;i
QG;entgna999i;p0p100;2002;541.485597543094;999;i
QG;entgna999i;p0p100;2003;543.153009444746;999;i
QG;entgna999i;p0p100;2004;560.112408624;999;i
QG;entgna999i;p0p100;2005;567.292543732793;999;i
QG;entgna999i;p0p100;2006;572.595802619242;999;i
QG;entgna999i;p0p100;2007;576.691855209;999;i
QG;entgna999i;p0p100;2008;580.389217530193;999;i
QG;entgna999i;p0p100;2009;580.595197725516;999;i
QG;entgna999i;p0p100;2010;578.11992460686;999;i
QG;entgna999i;p0p100;2011;580.471540362;999;i
QG;entgna999i;p0p100;2012;583.925552729874;999;i
QG;entgna999i;p0p100;2013;573.370009524868;999;i
QG;entgna999i;p0p100;2014;569.924938354;999;i
QG;entgna999i;p0p100;2015;576.584008238029;999;i
QG;entgna999i;p0p100;2016;584.540315649818;999;i
QG;entgna999i;p0p100;2017;594.015779675931;999;i
QG;entgna999i;p0p100;2018;594.18529861514;999;i
QG;entgna999i;p0p100;2019;591.060160749763;999;i
QG;entgna999i;p0p100;2020;531.954144674787;999;i
