country;variable;percentile;year;value;age;pop
QH-MER;mhweal999i;p0p100;1995;44880399748.0;999;i
QH-MER;mhweal999i;p0p100;1996;50858287258.0;999;i
QH-MER;mhweal999i;p0p100;1997;56697698254.0;999;i
QH-MER;mhweal999i;p0p100;1998;62632382606.0;999;i
QH-MER;mhweal999i;p0p100;1999;69515886069.0;999;i
QH-MER;mhweal999i;p0p100;2000;76784479576.0;999;i
QH-MER;mhweal999i;p0p100;2001;82993441600.0;999;i
QH-MER;mhweal999i;p0p100;2002;92571323276.0;999;i
QH-MER;mhweal999i;p0p100;2003;100050068152.0;999;i
QH-MER;mhweal999i;p0p100;2004;111318622728.0;999;i
QH-MER;mhweal999i;p0p100;2005;123154778648.0;999;i
QH-MER;mhweal999i;p0p100;2006;135422082656.0;999;i
QH-MER;mhweal999i;p0p100;2007;146422142928.0;999;i
QH-MER;mhweal999i;p0p100;2008;155311409896.0;999;i
QH-MER;mhweal999i;p0p100;2009;158251292312.0;999;i
QH-MER;mhweal999i;p0p100;2010;166524404604.0;999;i
QH-MER;mhweal999i;p0p100;2011;173612217824.0;999;i
QH-MER;mhweal999i;p0p100;2012;183085851729.0;999;i
QH-MER;mhweal999i;p0p100;2013;192677941292.0;999;i
QH-MER;mhweal999i;p0p100;2014;203674512594.0;999;i
QH-MER;mhweal999i;p0p100;2015;221325360472.0;999;i
QH-MER;mhweal999i;p0p100;2016;241458287536.0;999;i
QH-MER;mhweal999i;p0p100;2017;255489624928.0;999;i
QH-MER;mhweal999i;p0p100;2018;273387092064.0;999;i
QH-MER;mhweal999i;p0p100;2019;282534946912.0;999;i
QH-MER;mhweal999i;p0p100;2020;268223658240.0;999;i
QH-MER;mhweal999i;p0p100;2021;290324329664.0;999;i
QH-MER;mnweal999i;p0p100;1995;64592084304.0;999;i
QH-MER;mnweal999i;p0p100;1996;74026535240.0;999;i
QH-MER;mnweal999i;p0p100;1997;83037116456.0;999;i
QH-MER;mnweal999i;p0p100;1998;91182084219.0;999;i
QH-MER;mnweal999i;p0p100;1999;101280235784.0;999;i
QH-MER;mnweal999i;p0p100;2000;111903044880.0;999;i
QH-MER;mnweal999i;p0p100;2001;119653726952.0;999;i
QH-MER;mnweal999i;p0p100;2002;132601458876.0;999;i
QH-MER;mnweal999i;p0p100;2003;143715440276.0;999;i
QH-MER;mnweal999i;p0p100;2004;162101840254.0;999;i
QH-MER;mnweal999i;p0p100;2005;180015141231.0;999;i
QH-MER;mnweal999i;p0p100;2006;197842749232.0;999;i
QH-MER;mnweal999i;p0p100;2007;214333850976.0;999;i
QH-MER;mnweal999i;p0p100;2008;225961439552.0;999;i
