country;variable;percentile;year;value;age;pop
QH;entghg999i;p0p100;1980;115.3401;999;i
QH;entghg999i;p0p100;1981;110.2472;999;i
QH;entghg999i;p0p100;1982;113.9697;999;i
QH;entghg999i;p0p100;1983;110.3235;999;i
QH;entghg999i;p0p100;1984;115.7548;999;i
QH;entghg999i;p0p100;1985;119.7791;999;i
QH;entghg999i;p0p100;1986;114.4231;999;i
QH;entghg999i;p0p100;1987;117.2834;999;i
QH;entghg999i;p0p100;1988;116.2264;999;i
QH;entghg999i;p0p100;1989;119.8286;999;i
QH;entghg999i;p0p100;1990;113.305207232;999;i
QH;entghg999i;p0p100;1991;110.853741648;999;i
QH;entghg999i;p0p100;1992;115.591482176;999;i
QH;entghg999i;p0p100;1993;112.39514032;999;i
QH;entghg999i;p0p100;1994;115.053387536;999;i
QH;entghg999i;p0p100;1995;112.64015872;999;i
QH;entghg999i;p0p100;1996;122.90958096;999;i
QH;entghg999i;p0p100;1997;123.64699592;999;i
QH;entghg999i;p0p100;1998;122.973679776;999;i
QH;entghg999i;p0p100;1999;128.052892912;999;i
QH;entghg999i;p0p100;2000;134.469714512;999;i
QH;entghg999i;p0p100;2001;136.94922768;999;i
QH;entghg999i;p0p100;2002;142.284553552;999;i
QH;entghg999i;p0p100;2003;149.04220584;999;i
QH;entghg999i;p0p100;2004;147.816969648;999;i
QH;entghg999i;p0p100;2005;156.765648848;999;i
QH;entghg999i;p0p100;2006;168.035992688;999;i
QH;entghg999i;p0p100;2007;173.427198208;999;i
QH;entghg999i;p0p100;2008;179.197506736;999;i
QH;entghg999i;p0p100;2009;175.724778432;999;i
QH;entghg999i;p0p100;2010;186.21932344;999;i
QH;entghg999i;p0p100;2011;185.237588816;999;i
QH;entghg999i;p0p100;2012;182.63652712;999;i
QH;entghg999i;p0p100;2013;182.444638016;999;i
QH;entghg999i;p0p100;2014;183.895591184;999;i
QH;entghg999i;p0p100;2015;184.279583968;999;i
QH;entghg999i;p0p100;2016;186.800589904;999;i
QH;entghg999i;p0p100;2017;185.458412064;999;i
QH;entghg999i;p0p100;2018;187.35745472;999;i
QH;entghg999i;p0p100;2019;191.660130125645;999;i
QH;entghg999i;p0p100;2020;182.077123619362;999;i
QH;entgna999i;p0p100;1990;46.4599445311119;999;i
QH;entgna999i;p0p100;1991;47.8990453978411;999;i
QH;entgna999i;p0p100;1992;51.3637363663337;999;i
QH;entgna999i;p0p100;1993;50.9007745983682;999;i
QH;entgna999i;p0p100;1994;51.6841375481927;999;i
QH;entgna999i;p0p100;1995;53.9134980895182;999;i
QH;entgna999i;p0p100;1996;61.1998616408705;999;i
QH;entgna999i;p0p100;1997;61.865982128705;999;i
QH;entgna999i;p0p100;1998;61.4922124047945;999;i
QH;entgna999i;p0p100;1999;65.5248345021123;999;i
QH;entgna999i;p0p100;2000;70.8681407484479;999;i
QH;entgna999i;p0p100;2001;74.1922351605604;999;i
QH;entgna999i;p0p100;2002;79.1816295356076;999;i
QH;entgna999i;p0p100;2003;86.3488465750589;999;i
QH;entgna999i;p0p100;2004;85.649253889;999;i
