country;variable;percentile;year;value;age;pop
QI-MER;mnninc999i;p0p100;1950;64087264000.0;999;i
QI-MER;mnninc999i;p0p100;1951;68422151424.0;999;i
QI-MER;mnninc999i;p0p100;1952;71527328640.0;999;i
QI-MER;mnninc999i;p0p100;1953;72324142848.0;999;i
QI-MER;mnninc999i;p0p100;1954;78491066624.0;999;i
QI-MER;mnninc999i;p0p100;1955;84717155200.0;999;i
QI-MER;mnninc999i;p0p100;1956;90180332544.0;999;i
QI-MER;mnninc999i;p0p100;1957;96995793152.0;999;i
QI-MER;mnninc999i;p0p100;1958;101809458048.0;999;i
QI-MER;mnninc999i;p0p100;1959;104895337728.0;999;i
QI-MER;mnninc999i;p0p100;1960;112982201160.0;999;i
QI-MER;mnninc999i;p0p100;1961;118413372240.0;999;i
QI-MER;mnninc999i;p0p100;1962;124413638920.0;999;i
QI-MER;mnninc999i;p0p100;1963;134543147784.0;999;i
QI-MER;mnninc999i;p0p100;1964;149651076224.0;999;i
QI-MER;mnninc999i;p0p100;1965;160214980256.0;999;i
QI-MER;mnninc999i;p0p100;1966;170085087544.0;999;i
QI-MER;mnninc999i;p0p100;1967;180057062072.0;999;i
QI-MER;mnninc999i;p0p100;1968;196637152592.0;999;i
QI-MER;mnninc999i;p0p100;1969;203918089472.0;999;i
QI-MER;mnninc999i;p0p100;1970;214240090712.0;999;i
QI-MER;mnninc999i;p0p100;1971;223382301936.0;999;i
QI-MER;mnninc999i;p0p100;1972;240633832112.0;999;i
QI-MER;mnninc999i;p0p100;1973;259300138560.0;999;i
QI-MER;mnninc999i;p0p100;1974;273494338720.0;999;i
QI-MER;mnninc999i;p0p100;1975;286482212560.0;999;i
QI-MER;mnninc999i;p0p100;1976;298041366992.0;999;i
QI-MER;mnninc999i;p0p100;1977;310022383760.0;999;i
QI-MER;mnninc999i;p0p100;1978;334598652640.0;999;i
QI-MER;mnninc999i;p0p100;1979;360792840224.0;999;i
QI-MER;mnninc999i;p0p100;1980;386974360752.0;999;i
QI-MER;mnninc999i;p0p100;1981;411610738976.0;999;i
QI-MER;mnninc999i;p0p100;1982;393521230352.0;999;i
QI-MER;mnninc999i;p0p100;1983;375629234784.0;999;i
QI-MER;mnninc999i;p0p100;1984;392003472768.0;999;i
QI-MER;mnninc999i;p0p100;1985;404366506592.0;999;i
QI-MER;mnninc999i;p0p100;1986;372056705248.0;999;i
QI-MER;mnninc999i;p0p100;1987;396258747008.0;999;i
QI-MER;mnninc999i;p0p100;1988;412096472320.0;999;i
QI-MER;mnninc999i;p0p100;1989;437992412576.0;999;i
QI-MER;mnninc999i;p0p100;1990;462646764256.0;999;i
QI-MER;mnninc999i;p0p100;1991;487975076128.0;999;i
QI-MER;mnninc999i;p0p100;1992;509079847648.0;999;i
QI-MER;mnninc999i;p0p100;1993;604604480384.0;999;i
QI-MER;mnninc999i;p0p100;1994;632178358592.0;999;i
QI-MER;mnninc999i;p0p100;1995;579178254272.0;999;i
QI-MER;mnninc999i;p0p100;1996;604075499968.0;999;i
QI-MER;mnninc999i;p0p100;1997;653635609664.0;999;i
QI-MER;mnninc999i;p0p100;1998;684713793984.0;999;i
QI-MER;mnninc999i;p0p100;1999;706956204672.0;999;i
QI-MER;mnninc999i;p0p100;2000;752894960768.0;999;i
QI-MER;mnninc999i;p0p100;2001;756542689088.0;999;i
QI-MER;mnninc999i;p0p100;2002;737560552256.0;999;i
QI-MER;mnninc999i;p0p100;2003;725794421568.0;999;i
QI-MER;mnninc999i;p0p100;2004;751051085504.0;999;i
QI-MER;mnninc999i;p0p100;2005;771906406976.0;999;i
QI-MER;mnninc999i;p0p100;2006;812007752256.0;999;i
QI-MER;mnninc999i;p0p100;2007;842012349888.0;999;i
QI-MER;mnninc999i;p0p100;2008;857417294848.0;999;i
QI-MER;mnninc999i;p0p100;2009;819762335552.0;999;i
QI-MER;mnninc999i;p0p100;2010;866242272384.0;999;i
QI-MER;mnninc999i;p0p100;2011;902682947328.0;999;i
QI-MER;mnninc999i;p0p100;2012;936746304192.0;999;i
QI-MER;mnninc999i;p0p100;2013;947364160640.0;999;i
QI-MER;mnninc999i;p0p100;2014;981631845504.0;999;i
QI-MER;mnninc999i;p0p100;2015;1008257142912.0;999;i
QI-MER;mnninc999i;p0p100;2016;1028374722176.0;999;i
QI-MER;mnninc999i;p0p100;2017;1050059530752.0;999;i
QI-MER;mnninc999i;p0p100;2018;1064797355776.0;999;i
QI-MER;mnninc999i;p0p100;2019;1065327116032.0;999;i
QI-MER;mnninc999i;p0p100;2020;976297566784.0;999;i
QI-MER;mnninc999i;p0p100;2021;1042026863808.0;999;i
QI-MER;mnweal999i;p0p100;1995;1276609972416.0;999;i
QI-MER;mnweal999i;p0p100;1996;1362014354240.0;999;i
QI-MER;mnweal999i;p0p100;1997;1512367417856.0;999;i
QI-MER;mnweal999i;p0p100;1998;1623780248064.0;999;i
QI-MER;mnweal999i;p0p100;1999;1719375072768.0;999;i
QI-MER;mnweal999i;p0p100;2000;1885677333424.0;999;i
QI-MER;mnweal999i;p0p100;2001;1964060776512.0;999;i
QI-MER;mnweal999i;p0p100;2002;1982092217536.0;999;i
QI-MER;mnweal999i;p0p100;2003;2010620159232.0;999;i
QI-MER;mnweal999i;p0p100;2004;2075583911552.0;999;i
QI-MER;mnweal999i;p0p100;2005;2264091617664.0;999;i
QI-MER;mnweal999i;p0p100;2006;2386806047424.0;999;i
QI-MER;mnweal999i;p0p100;2007;2575986059776.0;999;i
QI-MER;mnweal999i;p0p100;2008;2889421939584.0;999;i
QI-MER;mnweal999i;p0p100;2009;2999877986496.0;999;i
QI-MER;mnweal999i;p0p100;2010;3001298456640.0;999;i
QI-MER;mnweal999i;p0p100;2011;3425187409024.0;999;i
QI-MER;mnweal999i;p0p100;2012;3817213149632.0;999;i
QI-MER;mnweal999i;p0p100;2013;3911746334528.0;999;i
QI-MER;mnweal999i;p0p100;2014;3835589434496.0;999;i
