country;variable;percentile;year;value;age;pop
QJ-MER;bptinc992j;p3p100;1982;-18398.994140625;992;j
QJ-MER;bptinc992j;p3p100;1983;74269.7421875;992;j
QJ-MER;bptinc992j;p3p100;1987;-13735.6513671875;992;j
QJ-MER;bptinc992j;p3p100;1988;-18249.53515625;992;j
QJ-MER;bptinc992j;p3p100;1993;18571545542656.0;992;j
QJ-MER;bptinc992j;p3p100;1997;-23558.669921875;992;j
QJ-MER;bptinc992j;p3p100;1999;-5251.2978515625;992;j
QJ-MER;bptinc992j;p3p100;2001;805353.0625;992;j
QJ-MER;bptinc992j;p3p100;2003;-13580.1689453125;992;j
QJ-MER;bptinc992j;p3p100;2006;-6996.4765625;992;j
QJ-MER;bptinc992j;p3p100;2008;-6794.994140625;992;j
QJ-MER;bptinc992j;p3p100;2009;508534.15625;992;j
QJ-MER;bptinc992j;p3p100;2012;363252.21875;992;j
QJ-MER;bptinc992j;p3p100;2014;552514.9375;992;j
QJ-MER;bptinc992j;p3p100;2015;-5877.25439453125;992;j
QJ-MER;bptinc992j;p3p100;2017;-8995.41015625;992;j
QJ-MER;bptinc992j;p3p100;2018;-9280.33203125;992;j
QJ-MER;bptinc992j;p3p100;2020;194301.0625;992;j
QJ-MER;bptinc992j;p3p100;2021;447171.6875;992;j
QJ-MER;bptinc992j;p2p100;1982;-18181.26171875;992;j
QJ-MER;bptinc992j;p2p100;1983;-73523.359375;992;j
QJ-MER;bptinc992j;p2p100;1987;-13517.6962890625;992;j
QJ-MER;bptinc992j;p2p100;1988;-18035.62109375;992;j
QJ-MER;bptinc992j;p2p100;1997;-23282.8125;992;j
QJ-MER;bptinc992j;p2p100;1999;-4685.69921875;992;j
QJ-MER;bptinc992j;p2p100;2001;-797135.0625;992;j
QJ-MER;bptinc992j;p2p100;2003;-13368.8076171875;992;j
QJ-MER;bptinc992j;p2p100;2006;-6580.77294921875;992;j
QJ-MER;bptinc992j;p2p100;2008;-6418.72900390625;992;j
QJ-MER;bptinc992j;p2p100;2009;-503345.0;992;j
QJ-MER;bptinc992j;p2p100;2012;-359545.5625;992;j
QJ-MER;bptinc992j;p2p100;2014;-546876.9375;992;j
QJ-MER;bptinc992j;p2p100;2015;-5415.4833984375;992;j
QJ-MER;bptinc992j;p2p100;2017;-8721.0068359375;992;j
QJ-MER;bptinc992j;p2p100;2018;-9023.921875;992;j
QJ-MER;bptinc992j;p2p100;2020;-192318.75;992;j
QJ-MER;bptinc992j;p2p100;2021;-442608.65625;992;j
QJ-MER;ahweal992j;p36p100;1995;3264.7;992;j
QJ-MER;ahweal992j;p36p100;1996;3241.7;992;j
QJ-MER;ahweal992j;p36p100;1997;3356.0;992;j
QJ-MER;ahweal992j;p36p100;1998;3352.6;992;j
QJ-MER;ahweal992j;p36p100;1999;3501.0;992;j
QJ-MER;ahweal992j;p36p100;2000;3650.9;992;j
QJ-MER;ahweal992j;p36p100;2001;4138.7;992;j
QJ-MER;ahweal992j;p36p100;2002;4430.5;992;j
QJ-MER;ahweal992j;p36p100;2003;4796.4;992;j
QJ-MER;ahweal992j;p36p100;2004;5271.3;992;j
QJ-MER;ahweal992j;p36p100;2005;5752.2;992;j
QJ-MER;ahweal992j;p36p100;2006;6272.0;992;j
QJ-MER;ahweal992j;p36p100;2007;6918.4;992;j
QJ-MER;ahweal992j;p36p100;2008;7175.3;992;j
QJ-MER;ahweal992j;p36p100;2009;7661.2;992;j
QJ-MER;ahweal992j;p36p100;2010;7854.1;992;j
QJ-MER;ahweal992j;p36p100;2011;8478.7;992;j
QJ-MER;ahweal992j;p36p100;2012;9110.1;992;j
QJ-MER;ahweal992j;p36p100;2013;9931.1;992;j
QJ-MER;ahweal992j;p36p100;2014;10667.4;992;j
QJ-MER;ahweal992j;p36p100;2015;11451.9;992;j
QJ-MER;ahweal992j;p36p100;2016;11676.8;992;j
QJ-MER;ahweal992j;p36p100;2017;12311.3;992;j
QJ-MER;ahweal992j;p36p100;2018;13154.7;992;j
QJ-MER;ahweal992j;p36p100;2019;14198.2;992;j
QJ-MER;ahweal992j;p36p100;2020;14135.7;992;j
QJ-MER;ahweal992j;p36p100;2021;14989.8;992;j
QJ-MER;ahweal992j;p85p100;1995;9818.6;992;j
QJ-MER;ahweal992j;p85p100;1996;9754.9;992;j
QJ-MER;ahweal992j;p85p100;1997;10117.3;992;j
QJ-MER;ahweal992j;p85p100;1998;10125.6;992;j
QJ-MER;ahweal992j;p85p100;1999;10556.9;992;j
QJ-MER;ahweal992j;p85p100;2000;10946.0;992;j
QJ-MER;ahweal992j;p85p100;2001;12497.2;992;j
QJ-MER;ahweal992j;p85p100;2002;13465.0;992;j
QJ-MER;ahweal992j;p85p100;2003;14591.8;992;j
QJ-MER;ahweal992j;p85p100;2004;16057.1;992;j
QJ-MER;ahweal992j;p85p100;2005;17719.3;992;j
QJ-MER;ahweal992j;p85p100;2006;19404.6;992;j
QJ-MER;ahweal992j;p85p100;2007;21433.7;992;j
QJ-MER;ahweal992j;p85p100;2008;22223.2;992;j
QJ-MER;ahweal992j;p85p100;2009;23657.9;992;j
QJ-MER;ahweal992j;p85p100;2010;24476.0;992;j
QJ-MER;ahweal992j;p85p100;2011;26457.4;992;j
QJ-MER;ahweal992j;p85p100;2012;28432.9;992;j
QJ-MER;ahweal992j;p85p100;2013;31204.8;992;j
QJ-MER;ahweal992j;p85p100;2014;33534.8;992;j
QJ-MER;ahweal992j;p85p100;2015;36003.5;992;j
QJ-MER;ahweal992j;p85p100;2016;36610.9;992;j
QJ-MER;ahweal992j;p85p100;2017;38560.4;992;j
QJ-MER;ahweal992j;p85p100;2018;41277.4;992;j
QJ-MER;ahweal992j;p85p100;2019;44743.5;992;j
QJ-MER;ahweal992j;p85p100;2020;44396.0;992;j
