country;variable;percentile;year;value;age;pop
QJ;entcna999i;p0p100;1990;310.091001286119;999;i
QJ;entcna999i;p0p100;1991;298.174204487808;999;i
QJ;entcna999i;p0p100;1992;264.274759840067;999;i
QJ;entcna999i;p0p100;1993;233.09693306539;999;i
QJ;entcna999i;p0p100;1994;193.292586165412;999;i
QJ;entcna999i;p0p100;1995;182.4490189765;999;i
QJ;entcna999i;p0p100;1996;167.724689766242;999;i
QJ;entcna999i;p0p100;1997;159.98907093464;999;i
QJ;entcna999i;p0p100;1998;154.560672080025;999;i
QJ;entcna999i;p0p100;1999;128.597648718347;999;i
QJ;entcna999i;p0p100;2000;151.691392155487;999;i
QJ;entcna999i;p0p100;2001;145.580666386977;999;i
QJ;entcna999i;p0p100;2002;163.775466492832;999;i
QJ;entcna999i;p0p100;2003;181.879144626094;999;i
QJ;entcna999i;p0p100;2004;192.22910953581;999;i
QJ;entcna999i;p0p100;2005;204.746002904833;999;i
QJ;entcna999i;p0p100;2006;224.37759191307;999;i
QJ;entcna999i;p0p100;2007;230.3665720376;999;i
QJ;entcna999i;p0p100;2008;230.029119504028;999;i
QJ;entcna999i;p0p100;2009;220.213121665344;999;i
QJ;entcna999i;p0p100;2010;241.365602083195;999;i
QJ;entcna999i;p0p100;2011;224.9906707691;999;i
QJ;entcna999i;p0p100;2012;232.963896878079;999;i
QJ;entcna999i;p0p100;2013;239.640810553372;999;i
QJ;entcna999i;p0p100;2014;263.9962937266;999;i
QJ;entcna999i;p0p100;2015;272.782396768664;999;i
QJ;entcna999i;p0p100;2016;272.218380560881;999;i
QJ;entcna999i;p0p100;2017;289.71498644496;999;i
QJ;entcna999i;p0p100;2018;301.223363339911;999;i
QJ;entcna999i;p0p100;2019;296.943533801703;999;i
QJ;entcna999i;p0p100;2020;276.157486435583;999;i
QJ;ehfcar999i;p0p100;1990;213.127556745918;999;i
QJ;ehfcar999i;p0p100;1991;141.150843875843;999;i
QJ;ehfcar999i;p0p100;1992;89.8382390631488;999;i
QJ;ehfcar999i;p0p100;1993;119.467891505676;999;i
QJ;ehfcar999i;p0p100;1994;100.108112885707;999;i
QJ;ehfcar999i;p0p100;1995;91.3022284575355;999;i
QJ;ehfcar999i;p0p100;1996;80.2527816958012;999;i
QJ;ehfcar999i;p0p100;1997;74.2801350513545;999;i
QJ;ehfcar999i;p0p100;1998;78.8180760474828;999;i
QJ;ehfcar999i;p0p100;1999;66.9311426533007;999;i
QJ;ehfcar999i;p0p100;2000;69.0828610681936;999;i
QJ;ehfcar999i;p0p100;2001;71.8965851878091;999;i
QJ;ehfcar999i;p0p100;2002;76.5978626285646;999;i
QJ;ehfcar999i;p0p100;2003;82.6584990139162;999;i
QJ;ehfcar999i;p0p100;2004;85.9534054080741;999;i
QJ;ehfcar999i;p0p100;2005;94.960802423575;999;i
QJ;ehfcar999i;p0p100;2006;110.352318748912;999;i
QJ;ehfcar999i;p0p100;2007;109.873746815928;999;i
QJ;ehfcar999i;p0p100;2008;104.761520754749;999;i
QJ;ehfcar999i;p0p100;2009;96.4654822707492;999;i
QJ;ehfcar999i;p0p100;2010;85.3029425039175;999;i
QJ;ehfcar999i;p0p100;2011;73.9287949496417;999;i
QJ;ehfcar999i;p0p100;2012;91.0765175881813;999;i
QJ;ehfcar999i;p0p100;2013;101.921656275021;999;i
QJ;ehfcar999i;p0p100;2014;111.377818579633;999;i
QJ;ehfcar999i;p0p100;2015;131.125513418264;999;i
QJ;ehfcar999i;p0p100;2016;124.10626930993;999;i
QJ;ehfcar999i;p0p100;2017;125.711443022932;999;i
QJ;ehfcar999i;p0p100;2018;123.898114898234;999;i
QJ;ehfcar999i;p0p100;2019;122.859149520424;999;i
QJ;ehfcar999i;p0p100;2020;114.259009053994;999;i
QJ;ehfghn999i;p0p100;1990;299.121139438275;999;i
QJ;ehfghn999i;p0p100;1991;215.468732982573;999;i
QJ;ehfghn999i;p0p100;1992;151.787297680664;999;i
QJ;ehfghn999i;p0p100;1993;180.6303977587;999;i
QJ;ehfghn999i;p0p100;1994;152.832304275669;999;i
QJ;ehfghn999i;p0p100;1995;137.220142342385;999;i
QJ;ehfghn999i;p0p100;1996;122.273729868219;999;i
QJ;ehfghn999i;p0p100;1997;114.991494189715;999;i
QJ;ehfghn999i;p0p100;1998;120.478705708427;999;i
QJ;ehfghn999i;p0p100;1999;106.077821674327;999;i
